"Status","Year","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared disabled","Human Resources","40","[c]","34570","32210"
"Leaver CS","2021","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","45","[c]","45120","43460"
"Leaver CS","2021","Declared disabled","No function","890","[c]","27490","22350"
"Leaver CS","2021","Declared disabled","Project Delivery","85","[c]","35690","32680"
"Leaver CS","2021","Declared disabled","Property","50","[c]","32830","31060"
"Leaver CS","2021","Declared disabled","Security","40","[c]","31780","33300"
"Leaver CS","2021","Declared disabled","Unknown","1705","[c]","28520","26890"
"Leaver CS","2021","Declared non-disabled","Analysis","135","[c]","39690","32780"
"Leaver CS","2021","Declared non-disabled","Commercial","140","[c]","47610","40020"
"Leaver CS","2021","Declared non-disabled","Communications","135","[c]","38540","32750"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","205","[c]","43140","38450"
"Leaver CS","2021","Declared non-disabled","Finance","150","[c]","43310","39790"
"Leaver CS","2021","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","195","[c]","38360","33560"
"Leaver CS","2021","Declared non-disabled","Internal Audit","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","375","[c]","47830","50000"
"Leaver CS","2021","Declared non-disabled","No function","4905","[c]","33150","26140"
"Leaver CS","2021","Declared non-disabled","Project Delivery","535","[c]","39390","35660"
"Leaver CS","2021","Declared non-disabled","Property","315","[c]","32560","28120"
"Leaver CS","2021","Declared non-disabled","Security","200","[c]","30660","26930"
"Leaver CS","2021","Declared non-disabled","Unknown","8175","[c]","29770","26890"
"Leaver CS","2021","Undeclared","Analysis","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","20","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","800","[c]","32350","26780"
"Leaver CS","2021","Undeclared","Project Delivery","60","[c]","36150","33670"
"Leaver CS","2021","Undeclared","Property","30","[c]","35900","33630"
"Leaver CS","2021","Undeclared","Security","35","[c]","35460","39070"
"Leaver CS","2021","Undeclared","Unknown","715","[c]","30580","27570"
"Leaver CS","2021","Unknown","Analysis","115","[c]","29430","24410"
"Leaver CS","2021","Unknown","Commercial","100","[c]","55840","49650"
"Leaver CS","2021","Unknown","Communications","85","[c]","36440","34490"
"Leaver CS","2021","Unknown","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","170","[c]","41100","38220"
"Leaver CS","2021","Unknown","Finance","50","[c]","42850","37050"
"Leaver CS","2021","Unknown","Grants Management","90","[c]","24950","21050"
"Leaver CS","2021","Unknown","Human Resources","75","[c]","39620","31610"
"Leaver CS","2021","Unknown","Internal Audit","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","230","[c]","36390","27350"
"Leaver CS","2021","Unknown","No function","2560","[c]","31280","24430"
"Leaver CS","2021","Unknown","Project Delivery","165","[c]","35400","31100"
"Leaver CS","2021","Unknown","Property","160","[c]","26290","24500"
"Leaver CS","2021","Unknown","Security","155","[c]","27700","24610"
"Leaver CS","2021","Unknown","Unknown","3650","[c]","32430","28120"
"Leaver Dept.","2021","Declared disabled","Analysis","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Communications","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Counter Fraud","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data & Technology","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","55","[c]","40500","34620"
"Leaver Dept.","2021","Declared disabled","Internal Audit","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Legal","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","No function","310","[c]","35840","32120"
"Leaver Dept.","2021","Declared disabled","Project Delivery","55","[c]","38860","33300"
"Leaver Dept.","2021","Declared disabled","Property","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","425","[c]","33970","29330"
"Leaver Dept.","2021","Declared non-disabled","Analysis","165","[c]","41920","37320"
"Leaver Dept.","2021","Declared non-disabled","Commercial","75","[c]","39920","38060"
"Leaver Dept.","2021","Declared non-disabled","Communications","110","[c]","43280","37240"
"Leaver Dept.","2021","Declared non-disabled","Counter Fraud","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data & Technology","140","[c]","45980","40600"
"Leaver Dept.","2021","Declared non-disabled","Finance","130","[c]","46510","43290"
"Leaver Dept.","2021","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","295","[c]","37670","32560"
"Leaver Dept.","2021","Declared non-disabled","Internal Audit","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Legal","140","[c]","44970","40950"
"Leaver Dept.","2021","Declared non-disabled","No function","2035","[c]","39030","33210"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","340","[c]","40960","36360"
"Leaver Dept.","2021","Declared non-disabled","Property","70","[c]","40050","34610"
"Leaver Dept.","2021","Declared non-disabled","Security","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","3385","[c]","34420","29640"
"Leaver Dept.","2021","Undeclared","Analysis","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","195","[c]","35440","32120"
"Leaver Dept.","2021","Undeclared","Project Delivery","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","295","[c]","35490","31060"
"Leaver Dept.","2021","Unknown","Analysis","70","[c]","40600","36780"
"Leaver Dept.","2021","Unknown","Commercial","60","[c]","45410","41980"
"Leaver Dept.","2021","Unknown","Communications","80","[c]","40310","38690"
"Leaver Dept.","2021","Unknown","Counter Fraud","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","70","[c]","45330","43570"
"Leaver Dept.","2021","Unknown","Finance","45","[c]","46530","43750"
"Leaver Dept.","2021","Unknown","Grants Management","45","[c]","26340","25070"
"Leaver Dept.","2021","Unknown","Human Resources","95","[c]","40600","36210"
"Leaver Dept.","2021","Unknown","Legal","60","[c]","40510","35230"
"Leaver Dept.","2021","Unknown","No function","1475","[c]","37060","32240"
"Leaver Dept.","2021","Unknown","Project Delivery","100","[c]","42950","38600"
"Leaver Dept.","2021","Unknown","Property","35","[c]","30140","25500"
"Leaver Dept.","2021","Unknown","Security","30","[c]","28620","29020"
"Leaver Dept.","2021","Unknown","Unknown","1260","[c]","36710","31990"
"New entrant CS","2021","Declared disabled","Analysis","65","[c]","31190","30870"
"New entrant CS","2021","Declared disabled","Commercial","25","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Communications","40","[c]","28590","25560"
"New entrant CS","2021","Declared disabled","Counter Fraud","10","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Debt","25","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Digital, Data & Technology","80","[c]","38510","37000"
"New entrant CS","2021","Declared disabled","Finance","30","[c]","34630","32670"
"New entrant CS","2021","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Human Resources","80","[c]","31900","27770"
"New entrant CS","2021","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Legal","50","[c]","33970","29280"
"New entrant CS","2021","Declared disabled","No function","1160","[c]","27730","24920"
"New entrant CS","2021","Declared disabled","Project Delivery","105","[c]","34480","32560"
"New entrant CS","2021","Declared disabled","Property","25","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","35","[c]","26370","25080"
"New entrant CS","2021","Declared disabled","Unknown","2270","[c]","26980","27570"
"New entrant CS","2021","Declared non-disabled","Analysis","595","[c]","34330","31980"
"New entrant CS","2021","Declared non-disabled","Commercial","290","[c]","36640","34000"
"New entrant CS","2021","Declared non-disabled","Communications","490","[c]","31090","25560"
"New entrant CS","2021","Declared non-disabled","Counter Fraud","85","[c]","31540","26840"
"New entrant CS","2021","Declared non-disabled","Debt","260","[c]","20550","20140"
"New entrant CS","2021","Declared non-disabled","Digital, Data & Technology","805","[c]","40440","36800"
"New entrant CS","2021","Declared non-disabled","Finance","395","[c]","36310","33000"
"New entrant CS","2021","Declared non-disabled","Grants Management","50","[c]","22390","21050"
"New entrant CS","2021","Declared non-disabled","Human Resources","485","[c]","32470","28000"
"New entrant CS","2021","Declared non-disabled","Internal Audit","35","[c]","42180","41300"
"New entrant CS","2021","Declared non-disabled","Legal","415","[c]","39430","36160"
"New entrant CS","2021","Declared non-disabled","No function","9770","[c]","28770","24920"
"New entrant CS","2021","Declared non-disabled","Project Delivery","1185","[c]","37050","33570"
"New entrant CS","2021","Declared non-disabled","Property","450","[c]","31390","28120"
"New entrant CS","2021","Declared non-disabled","Security","430","[c]","26320","23540"
"New entrant CS","2021","Declared non-disabled","Unknown","14695","[c]","27190","27570"
"New entrant CS","2021","Undeclared","Analysis","50","[c]","33190","29970"
"New entrant CS","2021","Undeclared","Commercial","20","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","40","[c]","33010","31810"
"New entrant CS","2021","Undeclared","Counter Fraud","10","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Debt","10","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","50","[c]","42090","39340"
"New entrant CS","2021","Undeclared","Finance","35","[c]","35490","34000"
"New entrant CS","2021","Undeclared","Human Resources","20","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Internal Audit","5","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Legal","15","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","No function","785","[c]","34090","30350"
"New entrant CS","2021","Undeclared","Project Delivery","65","[c]","37300","34020"
"New entrant CS","2021","Undeclared","Property","25","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Security","20","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","745","[c]","26890","27570"
"New entrant CS","2021","Unknown","Analysis","505","[c]","34390","32540"
"New entrant CS","2021","Unknown","Commercial","435","[c]","57340","53360"
"New entrant CS","2021","Unknown","Communications","740","[c]","30190","25560"
"New entrant CS","2021","Unknown","Counter Fraud","90","[c]","28740","25560"
"New entrant CS","2021","Unknown","Debt","675","[c]","20460","20140"
"New entrant CS","2021","Unknown","Digital, Data & Technology","930","[c]","39210","36030"
"New entrant CS","2021","Unknown","Finance","315","[c]","33820","32790"
"New entrant CS","2021","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","285","[c]","32200","28000"
"New entrant CS","2021","Unknown","Internal Audit","5","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","925","[c]","33730","26970"
"New entrant CS","2021","Unknown","No function","9470","[c]","27110","23110"
"New entrant CS","2021","Unknown","Project Delivery","510","[c]","33930","31810"
"New entrant CS","2021","Unknown","Property","245","[c]","29370","24500"
"New entrant CS","2021","Unknown","Security","365","[c]","27830","24540"
"New entrant CS","2021","Unknown","Unknown","5350","[c]","31160","27570"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","The Department for Work and Pensions provided aggregated functions data for 2021, which are available in the Civil Service Statistics publication. However, figures in this browser are derived from individual level data and so are not available for this department in 2021.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
