"Status","Year","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Mixed","Knowledge and Information Management","35","35","40040","37320"
"In post","2021","Mixed","Legal","285","265","50690","51250"
"In post","2021","Mixed","Medicine","45","40","61640","59190"
"In post","2021","Mixed","Operational Delivery","2730","2560","29770","26810"
"In post","2021","Mixed","Operational Research","20","20","[c]","[c]"
"In post","2021","Mixed","Other","270","260","33710","29080"
"In post","2021","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Policy","890","875","44760","40260"
"In post","2021","Mixed","Project Delivery","265","255","42320","38630"
"In post","2021","Mixed","Property","85","85","35100","32780"
"In post","2021","Mixed","Psychology","30","30","36270","29750"
"In post","2021","Mixed","Science and Engineering","200","195","37140","34530"
"In post","2021","Mixed","Security","85","85","34580","31490"
"In post","2021","Mixed","Social Research","25","25","[c]","[c]"
"In post","2021","Mixed","Statistics","40","40","41030","37820"
"In post","2021","Mixed","Tax","215","200","35610","31810"
"In post","2021","Mixed","Unknown","2085","1970","31180","27570"
"In post","2021","Mixed","Veterinarian","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","25","25","[c]","[c]"
"In post","2021","Other ethnicity","Communications","20","20","[c]","[c]"
"In post","2021","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Digital, Data and Technology","80","80","41730","38900"
"In post","2021","Other ethnicity","Economics","20","20","[c]","[c]"
"In post","2021","Other ethnicity","Finance","60","60","39270","36840"
"In post","2021","Other ethnicity","Human Resources","50","45","34650","30520"
"In post","2021","Other ethnicity","Inspector of Education and Training","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Intelligence Analysis","15","15","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","5","5","[c]","[c]"
"In post","2021","Other ethnicity","International Trade","15","15","[c]","[c]"
"In post","2021","Other ethnicity","Knowledge and Information Management","15","15","[c]","[c]"
"In post","2021","Other ethnicity","Legal","125","115","57240","57080"
"In post","2021","Other ethnicity","Medicine","35","30","65730","73100"
"In post","2021","Other ethnicity","Operational Delivery","790","740","30430","27270"
"In post","2021","Other ethnicity","Operational Research","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Other","120","110","35210","28670"
"In post","2021","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Policy","270","260","45630","40050"
"In post","2021","Other ethnicity","Project Delivery","80","80","42040","40000"
"In post","2021","Other ethnicity","Property","30","25","[c]","[c]"
"In post","2021","Other ethnicity","Psychology","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Science and Engineering","95","90","41840","39650"
"In post","2021","Other ethnicity","Security","40","40","35440","31610"
"In post","2021","Other ethnicity","Social Research","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Tax","60","55","36050","31810"
"In post","2021","Other ethnicity","Unknown","590","555","31860","29290"
"In post","2021","Other ethnicity","Veterinarian","10","10","[c]","[c]"
"In post","2021","Undeclared","Commercial","230","220","39830","38240"
"In post","2021","Undeclared","Communications","115","110","40850","39080"
"In post","2021","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","35","35","37410","36080"
"In post","2021","Undeclared","Digital, Data and Technology","695","680","42090","39210"
"In post","2021","Undeclared","Economics","75","70","50370","54760"
"In post","2021","Undeclared","Finance","395","375","41030","37510"
"In post","2021","Undeclared","Human Resources","220","210","36620","33300"
"In post","2021","Undeclared","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","215","200","35250","31870"
"In post","2021","Undeclared","Internal Audit","40","40","46550","43870"
"In post","2021","Undeclared","International Trade","45","45","43920","38540"
"In post","2021","Undeclared","Knowledge and Information Management","185","175","38180","34720"
"In post","2021","Undeclared","Legal","460","435","44170","39800"
"In post","2021","Undeclared","Medicine","80","70","64590","48580"
"In post","2021","Undeclared","Operational Delivery","6850","6335","30080","27370"
"In post","2021","Undeclared","Operational Research","75","75","43110","44870"
"In post","2021","Undeclared","Other","1000","960","32060","27500"
"In post","2021","Undeclared","Planning","5","5","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","15","15","[c]","[c]"
"In post","2021","Undeclared","Policy","1190","1165","48120","46070"
"In post","2021","Undeclared","Project Delivery","825","800","43330","40580"
"In post","2021","Undeclared","Property","390","370","38290","35290"
"In post","2021","Undeclared","Psychology","25","20","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","1090","1045","41300","39840"
"In post","2021","Undeclared","Security","435","430","34550","37650"
"In post","2021","Undeclared","Social Research","10","10","[c]","[c]"
"In post","2021","Undeclared","Statistics","50","50","42240","39850"
"In post","2021","Undeclared","Tax","760","705","39090","35000"
"In post","2021","Undeclared","Unknown","4995","4470","29400","27570"
"In post","2021","Undeclared","Veterinarian","30","30","47290","41980"
"In post","2021","Unknown","Commercial","590","570","39310","36900"
"In post","2021","Unknown","Communications","700","685","42530","38750"
"In post","2021","Unknown","Corporate Finance","10","10","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","170","165","41000","38510"
"In post","2021","Unknown","Digital, Data and Technology","2210","2180","40470","36830"
"In post","2021","Unknown","Economics","420","415","43160","36190"
"In post","2021","Unknown","Finance","965","920","37650","33550"
"In post","2021","Unknown","Human Resources","670","645","35890","32000"
"In post","2021","Unknown","Inspector of Education and Training","15","15","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","295","290","43500","41460"
"In post","2021","Unknown","Internal Audit","30","25","[c]","[c]"
"In post","2021","Unknown","International Trade","435","430","45480","39110"
"In post","2021","Unknown","Knowledge and Information Management","170","160","36580","33550"
"In post","2021","Unknown","Legal","1735","1640","44950","40800"
"In post","2021","Unknown","Medicine","360","315","46350","37890"
"In post","2021","Unknown","Operational Delivery","25860","24070","26300","23970"
"In post","2021","Unknown","Operational Research","105","105","40900","37320"
"In post","2021","Unknown","Other","3810","3715","35630","32700"
"In post","2021","Unknown","Planning","10","10","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","25","20","[c]","[c]"
"In post","2021","Unknown","Policy","4185","4085","45870","41090"
"In post","2021","Unknown","Project Delivery","1405","1375","41880","38630"
"In post","2021","Unknown","Property","920","865","34410","30500"
"In post","2021","Unknown","Psychology","170","160","33110","30450"
"In post","2021","Unknown","Science and Engineering","1005","965","35720","32790"
"In post","2021","Unknown","Security","1005","995","31120","28530"
"In post","2021","Unknown","Social Research","130","120","37900","36770"
"In post","2021","Unknown","Statistics","260","250","39150","36160"
"In post","2021","Unknown","Tax","4925","4720","27190","25560"
"In post","2021","Unknown","Unknown","14455","13760","34890","28000"
"In post","2021","Unknown","Veterinarian","55","50","45790","37910"
"In post","2021","White","Commercial","4010","3860","40840","37850"
"In post","2021","White","Communications","2715","2610","41600","38310"
"In post","2021","White","Corporate Finance","115","110","46920","46080"
"In post","2021","White","Counter Fraud","590","565","37870","34990"
"In post","2021","White","Digital, Data and Technology","8765","8495","42050","38630"
"In post","2021","White","Economics","1300","1270","49070","49120"
"In post","2021","White","Finance","6430","6080","40790","36960"
"In post","2021","White","Human Resources","6045","5715","39120","34150"
"In post","2021","White","Inspector of Education and Training","780","755","66770","74730"
"In post","2021","White","Intelligence Analysis","2535","2430","34310","30980"
"In post","2021","White","Internal Audit","575","545","45960","42890"
"In post","2021","White","International Trade","760","750","48670","50940"
"In post","2021","White","Knowledge and Information Management","1780","1700","36870","33380"
"In post","2021","White","Legal","8185","7605","48770","50520"
"In post","2021","White","Medicine","1715","1535","55140","40580"
"In post","2021","White","Operational Delivery","123590","113210","29100","26300"
"In post","2021","White","Operational Research","915","875","44890","46080"
"In post","2021","White","Other","16045","15355","30860","26350"
"In post","2021","White","Planning","165","155","47750","42140"
"In post","2021","White","Planning Inspectors","295","260","58310","58810"
"In post","2021","White","Policy","19410","18825","48740","47000"
"In post","2021","White","Project Delivery","12100","11710","42660","39450"
"In post","2021","White","Property","5155","4945","36530","33300"
"In post","2021","White","Psychology","1125","1075","35990","31180"
"In post","2021","White","Science and Engineering","10795","10350","38940","37320"
"In post","2021","White","Security","6325","6185","31340","27420"
"In post","2021","White","Social Research","920","875","43280","41110"
"In post","2021","White","Statistics","1455","1400","44280","40480"
"In post","2021","White","Tax","9970","9335","36000","31810"
"In post","2021","White","Unknown","85480","77350","30500","27570"
"In post","2021","White","Veterinarian","345","330","46020","45170"
"Leaver CS","2021","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Communications","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Digital, Data and Technology","30","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Economics","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Finance","15","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Human Resources","15","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Legal","25","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Medicine","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Operational Delivery","270","[c]","26930","23500"
"Leaver CS","2021","Asian","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Other","35","[c]","30930","26680"
"Leaver CS","2021","Asian","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Policy","45","[c]","38200","35180"
"Leaver CS","2021","Asian","Project Delivery","15","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Property","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Psychology","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Science and Engineering","65","[c]","29120","26880"
"Leaver CS","2021","Asian","Security","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","595","[c]","27260","25110"
"Leaver CS","2021","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Communications","10","[c]","[c]","[c]"
"Leaver CS","2021","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2021","Black","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Finance","15","[c]","[c]","[c]"
"Leaver CS","2021","Black","Human Resources","10","[c]","[c]","[c]"
"Leaver CS","2021","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Legal","10","[c]","[c]","[c]"
"Leaver CS","2021","Black","Medicine","5","[c]","[c]","[c]"
"Leaver CS","2021","Black","Operational Delivery","200","[c]","26430","23730"
"Leaver CS","2021","Black","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Other","15","[c]","[c]","[c]"
"Leaver CS","2021","Black","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Policy","25","[c]","[c]","[c]"
"Leaver CS","2021","Black","Project Delivery","20","[c]","[c]","[c]"
"Leaver CS","2021","Black","Property","10","[c]","[c]","[c]"
"Leaver CS","2021","Black","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Science and Engineering","5","[c]","[c]","[c]"
"Leaver CS","2021","Black","Security","5","[c]","[c]","[c]"
"Leaver CS","2021","Black","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","250","[c]","28540","25120"
"Leaver CS","2021","Black","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Operational Delivery","10","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Communications","5","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Finance","5","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Legal","10","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Medicine","5","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Operational Delivery","130","[c]","29380","23520"
"Leaver CS","2021","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Other","15","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Policy","20","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Science and Engineering","15","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Security","5","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","155","[c]","27620","26120"
"Leaver CS","2021","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Legal","5","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Operational Delivery","50","[c]","31440","28210"
"Leaver CS","2021","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Other","5","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","50","[c]","36020","27570"
"Leaver CS","2021","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data and Technology","35","[c]","41150","36260"
"Leaver CS","2021","Undeclared","Economics","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Intelligence Analysis","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","International Trade","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Operational Delivery","325","[c]","28830","25870"
"Leaver CS","2021","Undeclared","Operational Research","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Other","70","[c]","29150","26670"
"Leaver CS","2021","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Policy","25","[c]","[c]","[c]"
