"Status","Year","Age","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Cabinet Office (excl. agencies)","AA/AO","AO","180","180","22270","20920"
"In post","2021","20-29","Cabinet Office (excl. agencies)","EO","EO","455","455","27120","27500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","G6/G7","G6","40","40","65600","64500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","G6/G7","G7","390","390","55020","54700"
"In post","2021","20-29","Cabinet Office (excl. agencies)","SCS level","SCS level","25","25","66140","63750"
"In post","2021","20-29","Cabinet Office (excl. agencies)","SEO/HEO","HEO","2115","2115","31000","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","SEO/HEO","SEO","190","190","40410","40600"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","20","20","21250","21050"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","30","30","24920","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","25","25","29480","29270"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","EO","25","25","24370","24440"
"In post","2021","20-29","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO/HEO","HEO","10","10","28730","29160"
"In post","2021","20-29","Charity Commission","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Companies House","AA/AO","AO","55","55","20210","19850"
"In post","2021","20-29","Companies House","EO","EO","50","50","27990","24500"
"In post","2021","20-29","Companies House","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","SEO/HEO","HEO","15","15","32630","31900"
"In post","2021","20-29","Companies House","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","AA/AO","AO","20","20","23130","22860"
"In post","2021","20-29","Competition and Markets Authority","EO","EO","25","25","28100","27920"
"In post","2021","20-29","Competition and Markets Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G6/G7","G7","35","35","55610","54320"
"In post","2021","20-29","Competition and Markets Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SEO/HEO","HEO","50","50","34220","33610"
"In post","2021","20-29","Competition and Markets Authority","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","EO","EO","10","10","22570","22570"
"In post","2021","20-29","Criminal Injuries Compensation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","EO","EO","40","40","22690","22230"
"In post","2021","20-29","Crown Commercial Service","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","SEO/HEO","HEO","45","45","28170","27770"
"In post","2021","20-29","Crown Commercial Service","SEO/HEO","SEO","35","35","34230","34800"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","AA/AO","AO","205","190","21610","21490"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","EO","EO","95","95","26030","25410"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","15","15","31980","31720"
