"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","Heterosexual / straight","50","50","45780","44740"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Northumberland and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Northumberland and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","Heterosexual / straight","45","40","44300","42420"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Tees Valley and Durham","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Tees Valley and Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Central Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Wales and The Valleys","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Wales and The Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Wales and The Valleys","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Yorkshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East Wales","Heterosexual / straight","70","65","38840","36030"
"In post","2021","Analysis","Economics","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East Wales","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","East Wales","Unknown","45","45","31140","29540"
"In post","2021","Analysis","Economics","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Greater Manchester","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Economics","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Greater Manchester","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Hampshire and Isle of Wight","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Hampshire and Isle of Wight","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Inner London - East","Heterosexual / straight","125","120","56000","56000"
"In post","2021","Analysis","Economics","Inner London - East","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Inner London - East","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Economics","Inner London - East","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Economics","Inner London - West","Heterosexual / straight","600","590","46610","42020"
"In post","2021","Analysis","Economics","Inner London - West","LGBO","55","55","41800","35640"
"In post","2021","Analysis","Economics","Inner London - West","Undeclared","65","65","49390","52830"
"In post","2021","Analysis","Economics","Inner London - West","Unknown","170","170","44410","36160"
"In post","2021","Analysis","Economics","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Outer London - South","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Surrey, East and West Sussex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Surrey, East and West Sussex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Central Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Inner London - East","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Inner London - East","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Finance","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outer London - South","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Shropshire and Staffordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Shropshire and Staffordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Central Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - West","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - East","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - West","Heterosexual / straight","60","55","51200","53360"
"In post","2021","Analysis","Intelligence Analysis","Inner London - West","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - West","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - West","Unknown","110","105","55730","53360"
"In post","2021","Analysis","Intelligence Analysis","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","West Yorkshire","Heterosexual / straight","40","35","50150","51100"
"In post","2021","Analysis","Intelligence Analysis","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","West Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","West Yorkshire","Unknown","20","15","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Derbyshire and Nottinghamshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","East Wales","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - West","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Northumberland and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Northumberland and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Shropshire and Staffordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Shropshire and Staffordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Shropshire and Staffordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Wales and The Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Wales and The Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cumbria","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cumbria","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","East Wales","Heterosexual / straight","200","185","31170","30130"
"In post","2021","Analysis","Operational Delivery","East Wales","LGBO","10","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","East Wales","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","East Wales","Unknown","110","100","30530","29540"
"In post","2021","Analysis","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Greater Manchester","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Hampshire and Isle of Wight","Heterosexual / straight","60","55","31280","29540"
"In post","2021","Analysis","Operational Delivery","Hampshire and Isle of Wight","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Hampshire and Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Hampshire and Isle of Wight","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Inner London - East","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Inner London - East","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Inner London - West","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Inner London - West","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Inner London - West","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Inner London - West","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Merseyside","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Merseyside","Undeclared","[c]","[c]","[c]","[c]"
