"Status","Year","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","HEO","Female","Undeclared","3320","3105","33510","33300"
"In post","2021","HEO","Female","Unknown","7875","7475","33000","32000"
"In post","2021","HEO","Male","Heterosexual / straight","23665","23110","33920","33300"
"In post","2021","HEO","Male","LGBO","1680","1655","33330","32870"
"In post","2021","HEO","Male","Undeclared","3665","3555","34360","33630"
"In post","2021","HEO","Male","Unknown","7930","7750","33620","32750"
"In post","2021","HEO","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HEO","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","SCS level","Female","Heterosexual / straight","2345","2225","87600","80290"
"In post","2021","SCS level","Female","LGBO","110","105","85540","77000"
"In post","2021","SCS level","Female","Undeclared","205","190","87570","81090"
"In post","2021","SCS level","Female","Unknown","745","710","90960","81780"
"In post","2021","SCS level","Male","Heterosexual / straight","2555","2510","92640","83980"
"In post","2021","SCS level","Male","LGBO","230","225","88520","80860"
"In post","2021","SCS level","Male","Undeclared","280","270","90800","83290"
"In post","2021","SCS level","Male","Unknown","825","815","93810","83700"
"In post","2021","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO","Female","Heterosexual / straight","18440","17445","41200","40430"
"In post","2021","SEO","Female","LGBO","845","830","41320","40220"
"In post","2021","SEO","Female","Undeclared","2305","2165","41710","40740"
"In post","2021","SEO","Female","Unknown","4130","3900","40780","40040"
"In post","2021","SEO","Male","Heterosexual / straight","17435","17080","42360","41010"
"In post","2021","SEO","Male","LGBO","1085","1070","41000","40070"
"In post","2021","SEO","Male","Undeclared","2740","2660","42790","41850"
"In post","2021","SEO","Male","Unknown","4845","4710","41590","40580"
"In post","2021","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","SEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SEO","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Female","Heterosexual / straight","8195","7525","30390","30210"
"In post","2021","Unknown","Female","LGBO","430","415","29090","27540"
"In post","2021","Unknown","Female","Undeclared","735","670","32410","32090"
"In post","2021","Unknown","Female","Unknown","970","875","28920","26810"
"In post","2021","Unknown","Male","Heterosexual / straight","3430","3345","35360","33480"
"In post","2021","Unknown","Male","LGBO","220","220","30890","28200"
"In post","2021","Unknown","Male","Undeclared","505","485","38170","37170"
"In post","2021","Unknown","Male","Unknown","2090","2065","36650","33570"
"In post","2021","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA","Female","Heterosexual / straight","435","[c]","18760","18260"
"Leaver CS","2021","AA","Female","LGBO","35","[c]","[c]","[c]"
