"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","SEO/HEO","55","55","38170","37100"
"In post","2021","Commercial","North West (England)","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cheshire","SEO/HEO","15","15","37700","36490"
"In post","2021","Commercial","North West (England)","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cumbria","Unknown","15","15","39570","38860"
"In post","2021","Commercial","North West (England)","Greater Manchester","AA/AO","5","5","[c]","[c]"
"In post","2021","Commercial","North West (England)","Greater Manchester","EO","30","30","26080","25620"
"In post","2021","Commercial","North West (England)","Greater Manchester","G6/G7","45","45","58030","52580"
"In post","2021","Commercial","North West (England)","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Greater Manchester","SEO/HEO","135","130","37150","36960"
"In post","2021","Commercial","North West (England)","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Lancashire","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","North West (England)","Lancashire","SEO/HEO","20","20","43900","44760"
"In post","2021","Commercial","North West (England)","Merseyside","EO","35","30","23830","22590"
"In post","2021","Commercial","North West (England)","Merseyside","G6/G7","40","35","53730","50340"
"In post","2021","Commercial","North West (England)","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Merseyside","SEO/HEO","155","150","33640","34800"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","SEO/HEO","25","25","42840","42010"
"In post","2021","Commercial","Scotland","Eastern Scotland","AA/AO","40","40","22940","22430"
"In post","2021","Commercial","Scotland","Eastern Scotland","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","Eastern Scotland","G6/G7","10","10","58140","58110"
"In post","2021","Commercial","Scotland","Eastern Scotland","SEO/HEO","30","25","40660","39500"
"In post","2021","Commercial","Scotland","Eastern Scotland","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","Highlands and Islands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Southern Scotland","EO","10","10","[c]","[c]"
"In post","2021","Commercial","Scotland","Southern Scotland","G6/G7","20","20","50540","51960"
"In post","2021","Commercial","Scotland","Southern Scotland","SEO/HEO","40","40","38490","39190"
"In post","2021","Commercial","Scotland","West Central Scotland","AA/AO","15","15","24650","25870"
"In post","2021","Commercial","Scotland","West Central Scotland","EO","20","20","27770","26670"
"In post","2021","Commercial","Scotland","West Central Scotland","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","West Central Scotland","SEO/HEO","55","55","37270","36110"
"In post","2021","Commercial","Scotland","West Central Scotland","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","15","15","22220","22440"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","25","25","26120","26350"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","25","25","61350","58890"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","115","110","38870","39580"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","AA/AO","10","10","[c]","[c]"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","EO","50","50","26490","26670"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","G6/G7","15","15","64580","64000"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","SEO/HEO","140","135","37790","37320"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","South East (England)","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Kent","SEO/HEO","15","15","44120","42360"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","SEO/HEO","25","25","43340","40330"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Devon","EO","15","10","25370","25630"
"In post","2021","Commercial","South West (England)","Devon","G6/G7","90","90","52010","48350"
"In post","2021","Commercial","South West (England)","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Devon","SEO/HEO","105","100","36660","37420"
"In post","2021","Commercial","South West (England)","Devon","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","EO","10","10","25340","25950"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","G6/G7","15","15","61930","64370"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","SEO/HEO","40","40","38490","37060"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","30","30","23130","20920"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","195","185","24040","23520"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","235","230","57870","54960"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","20","20","105780","101880"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","810","770","36040","35130"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","135","135","38200","35230"
"In post","2021","Commercial","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Wales","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","East Wales","EO","35","35","26170","26810"
"In post","2021","Commercial","Wales","East Wales","G6/G7","25","25","54390","49120"
"In post","2021","Commercial","Wales","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","East Wales","SEO/HEO","90","85","35080","34800"
"In post","2021","Commercial","Wales","West Wales and The Valleys","AA/AO","35","30","20890","21590"
"In post","2021","Commercial","Wales","West Wales and The Valleys","EO","35","35","26580","26700"
"In post","2021","Commercial","Wales","West Wales and The Valleys","G6/G7","15","15","57210","55300"
"In post","2021","Commercial","Wales","West Wales and The Valleys","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","West Wales and The Valleys","SEO/HEO","80","75","36740","33350"
"In post","2021","Commercial","Wales","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","10","10","48430","49870"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","EO","25","20","26200","26350"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","G6/G7","15","15","68320","65610"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","SEO/HEO","60","60","39250","38630"
"In post","2021","Commercial","West Midlands (England)","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","West Midlands","EO","20","20","26410","26000"
"In post","2021","Commercial","West Midlands (England)","West Midlands","G6/G7","20","20","57590","54630"
"In post","2021","Commercial","West Midlands (England)","West Midlands","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","West Midlands","SEO/HEO","80","80","38090","37650"
"In post","2021","Commercial","West Midlands (England)","West Midlands","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO/HEO","10","10","46240","48740"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","G6/G7","15","15","55680","52070"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","SEO/HEO","35","35","35660","37240"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","EO","15","15","25590","25000"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","G6/G7","20","20","53630","50630"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","SEO/HEO","70","65","36970","36780"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","EO","10","10","23430","23350"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","G6/G7","45","45","57710","54600"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","SEO/HEO","125","125","34970","35280"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","10","25640","26700"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","20","20","53430","52580"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","45","45","35560","36590"
"In post","2021","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","EO","5","5","[c]","[c]"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","SEO/HEO","15","15","38930","40450"
"In post","2021","Communications","East of England","East Anglia","AA/AO","10","10","[c]","[c]"
"In post","2021","Communications","East of England","East Anglia","EO","10","10","[c]","[c]"
"In post","2021","Communications","East of England","East Anglia","G6/G7","10","5","[c]","[c]"
"In post","2021","Communications","East of England","East Anglia","SEO/HEO","20","20","33390","33300"
"In post","2021","Communications","East of England","Essex","EO","5","5","[c]","[c]"
"In post","2021","Communications","East of England","Essex","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Communications","London","Inner London - East","AA/AO","5","5","[c]","[c]"
"In post","2021","Communications","London","Inner London - East","EO","30","30","29550","29210"
"In post","2021","Communications","London","Inner London - East","G6/G7","60","60","62040","60030"
"In post","2021","Communications","London","Inner London - East","SCS level","15","15","99400","96870"
"In post","2021","Communications","London","Inner London - East","SEO/HEO","105","105","39360","39670"
"In post","2021","Communications","London","Inner London - West","AA/AO","55","55","24800","24900"
"In post","2021","Communications","London","Inner London - West","EO","200","195","28470","27850"
"In post","2021","Communications","London","Inner London - West","G6/G7","575","555","58950","57460"
"In post","2021","Communications","London","Inner London - West","SCS level","85","85","86370","80910"
"In post","2021","Communications","London","Inner London - West","SEO/HEO","885","875","39640","39600"
"In post","2021","Communications","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Outer London - South","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Outer London - South","SEO/HEO","25","25","40750","39440"
"In post","2021","Communications","London","Outer London - West and North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Outer London - West and North West","G6/G7","5","5","[c]","[c]"
"In post","2021","Communications","London","Outer London - West and North West","SEO/HEO","25","20","35640","34770"
"In post","2021","Communications","North East (England)","Northumberland and Tyne and Wear","AA/AO","15","10","21590","21590"
"In post","2021","Communications","North East (England)","Northumberland and Tyne and Wear","EO","15","15","26620","26470"
"In post","2021","Communications","North East (England)","Northumberland and Tyne and Wear","G6/G7","10","10","52310","52580"
"In post","2021","Communications","North East (England)","Northumberland and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Northumberland and Tyne and Wear","SEO/HEO","45","45","35180","34310"
"In post","2021","Communications","North East (England)","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Tees Valley and Durham","EO","15","15","26770","25500"
"In post","2021","Communications","North East (England)","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Tees Valley and Durham","SEO/HEO","15","15","34300","33070"
"In post","2021","Communications","North West (England)","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Cheshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Communications","North West (England)","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Greater Manchester","AA/AO","10","10","20970","21000"
"In post","2021","Communications","North West (England)","Greater Manchester","EO","20","20","25570","26000"
"In post","2021","Communications","North West (England)","Greater Manchester","G6/G7","15","15","53150","52580"
"In post","2021","Communications","North West (England)","Greater Manchester","SEO/HEO","40","40","34430","33300"
"In post","2021","Communications","North West (England)","Lancashire","AA/AO","5","5","[c]","[c]"
"In post","2021","Communications","North West (England)","Lancashire","EO","5","5","[c]","[c]"
"In post","2021","Communications","North West (England)","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Lancashire","SEO/HEO","15","15","36390","36700"
"In post","2021","Communications","North West (England)","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Merseyside","G6/G7","20","15","55420","54640"
"In post","2021","Communications","North West (England)","Merseyside","SEO/HEO","50","45","35430","35570"
"In post","2021","Communications","Northern Ireland","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Northern Ireland","G6/G7","5","5","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Northern Ireland","SEO/HEO","15","15","36880","37370"
"In post","2021","Communications","Overseas","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","Eastern Scotland","EO","10","10","[c]","[c]"
"In post","2021","Communications","Scotland","Eastern Scotland","G6/G7","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","Eastern Scotland","SEO/HEO","25","25","37000","36780"
"In post","2021","Communications","Scotland","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Southern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","West Central Scotland","EO","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","West Central Scotland","SEO/HEO","15","15","37590","37100"
"In post","2021","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","15","15","21570","21580"
"In post","2021","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","25","25","27930","26930"
"In post","2021","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","35","35","36870","36460"
"In post","2021","Communications","South East (England)","Hampshire and Isle of Wight","AA/AO","15","15","21240","21030"
"In post","2021","Communications","South East (England)","Hampshire and Isle of Wight","EO","60","60","26620","26670"
"In post","2021","Communications","South East (England)","Hampshire and Isle of Wight","G6/G7","15","15","53920","53500"
"In post","2021","Communications","South East (England)","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Hampshire and Isle of Wight","SEO/HEO","90","85","35720","35660"
"In post","2021","Communications","South East (England)","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Surrey, East and West Sussex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Surrey, East and West Sussex","SEO/HEO","10","10","38600","38520"
"In post","2021","Communications","South West (England)","Cornwall and Isles of Scilly","AA/AO","10","10","[c]","[c]"
