"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Operational Research","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","HEO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","G7","20","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","HEO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","SEO","35","35","39020","38010"
"In post","2021","Declared disabled","Analysis","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","HEO","40","40","33370","32100"
"In post","2021","Declared disabled","Analysis","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","SEO","45","45","40060","39820"
"In post","2021","Declared disabled","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","AO","30","30","22710","21840"
"In post","2021","Declared disabled","Commercial","Commercial","EO","45","45","27240","27010"
"In post","2021","Declared disabled","Commercial","Commercial","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","G7","40","35","56060","54540"
"In post","2021","Declared disabled","Commercial","Commercial","HEO","80","75","32660","33300"
"In post","2021","Declared disabled","Commercial","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","SEO","145","140","42650","42000"
"In post","2021","Declared disabled","Commercial","Commercial","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","EO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","EO","55","50","27430","26780"
"In post","2021","Declared disabled","Communications","Communications","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","HEO","70","65","33920","33540"
"In post","2021","Declared disabled","Communications","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","SEO","50","50","41800","41090"
"In post","2021","Declared disabled","Communications","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","AO","35","30","20850","21050"
"In post","2021","Declared disabled","Communications","Operational Delivery","EO","40","35","26380","25560"
"In post","2021","Declared disabled","Communications","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","HEO","35","35","31650","31810"
"In post","2021","Declared disabled","Communications","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","EO","80","70","25840","25560"
"In post","2021","Declared disabled","Communications","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","HEO","35","35","31730","31810"
"In post","2021","Declared disabled","Communications","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","SEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","AO","35","25","21380","20140"
"In post","2021","Declared disabled","Counter Fraud","Legal","EO","95","90","27110","25560"
"In post","2021","Declared disabled","Counter Fraud","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","HEO","60","60","33380","32100"
"In post","2021","Declared disabled","Counter Fraud","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","SEO","30","30","40000","38630"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","AO","65","60","21660","21440"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","EO","110","105","27070","25560"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","HEO","80","70","32890","31810"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","HEO","[c]","[c]","[c]","[c]"
