"Status","Year","Organisation","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","EO","EO","45","40","24610","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","SEO/HEO","HEO","40","35","32230","31160"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","SEO/HEO","SEO","10","10","41690","42200"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","EO","EO","20","20","24710","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","SEO/HEO","HEO","30","30","32290","31180"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","EO","EO","65","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","SEO/HEO","HEO","60","55","32900","34290"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","SEO/HEO","SEO","10","10","40980","39890"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","SEO/HEO","HEO","10","10","33530","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","SEO/HEO","SEO","10","10","40990","39880"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","AA/AO","AO","15","10","19970","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","EO","EO","30","30","24460","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","SEO/HEO","HEO","35","35","32030","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","SEO/HEO","SEO","10","10","40670","39580"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","EO","EO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","SEO/HEO","HEO","20","20","33010","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","EO","EO","65","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","SEO/HEO","HEO","55","50","32080","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","SEO/HEO","SEO","15","10","41120","39880"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","EO","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","G6/G7","G7","20","20","59220","58850"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","SEO/HEO","HEO","75","70","37750","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","SEO/HEO","SEO","55","55","46490","47250"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","AA/AO","AO","35","35","21200","21050"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","EO","EO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","SEO/HEO","HEO","10","10","30410","29610"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","AA/AO","AO","45","45","21050","21050"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","EO","EO","10","10","25090","25100"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","10","10","30280","30420"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","EO","EO","10","10","24930","25010"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","EO","EO","15","15","25340","25100"
"In post","2021","Animal and Plant Health Agency","Cheshire East","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","SEO/HEO","SEO","10","10","40210","37430"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","AA/AO","AO","15","10","21070","21050"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","EO","EO","15","15","25090","25320"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","SEO/HEO","SEO","15","15","43860","41960"
"In post","2021","Animal and Plant Health Agency","Devon CC","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","AA/AO","AO","110","100","21120","21050"
"In post","2021","Animal and Plant Health Agency","Devon CC","EO","EO","45","40","25460","25190"
"In post","2021","Animal and Plant Health Agency","Devon CC","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","SEO/HEO","HEO","10","10","30360","30190"
"In post","2021","Animal and Plant Health Agency","Devon CC","SEO/HEO","SEO","30","30","40210","37690"
"In post","2021","Animal and Plant Health Agency","Dorset CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","AA/AO","AO","100","95","21080","21050"
"In post","2021","Animal and Plant Health Agency","East Cumbria","EO","EO","25","25","25330","25100"
"In post","2021","Animal and Plant Health Agency","East Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","SEO/HEO","SEO","15","15","42580","37740"
"In post","2021","Animal and Plant Health Agency","East Kent","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Kent","EO","EO","30","25","26380","24920"
"In post","2021","Animal and Plant Health Agency","East Kent","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Kent","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","EO","EO","20","15","25490","25320"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","SEO/HEO","HEO","10","10","30280","30420"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","SEO/HEO","SEO","20","20","40090","37580"
"In post","2021","Animal and Plant Health Agency","Gwynedd","AA/AO","AO","35","25","21080","21050"
"In post","2021","Animal and Plant Health Agency","Gwynedd","EO","EO","15","15","26170","26130"
"In post","2021","Animal and Plant Health Agency","Gwynedd","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gwynedd","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gwynedd","SEO/HEO","SEO","10","10","38470","36970"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","EO","EO","20","20","26510","26520"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hertfordshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hertfordshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hertfordshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hertfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","EO","EO","50","50","31080","31460"
"In post","2021","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","SEO/HEO","HEO","10","10","35070","36600"
"In post","2021","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","AA/AO","AO","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leeds","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leeds","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire CC and Rutland","EO","EO","10","10","25580","25210"
"In post","2021","Animal and Plant Health Agency","Leicestershire CC and Rutland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire CC and Rutland","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Manchester","EO","EO","10","10","27210","28030"
"In post","2021","Animal and Plant Health Agency","Manchester","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Manchester","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Kent","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Kent","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Kent","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","AA/AO","AO","15","15","21210","21050"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","EO","EO","25","20","25530","25190"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","SEO/HEO","HEO","15","10","31150","31700"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","SEO/HEO","SEO","10","10","44030","40440"
"In post","2021","Animal and Plant Health Agency","North and West Norfolk","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North and West Norfolk","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North and West Norfolk","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","AA/AO","AO","15","15","21640","21050"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","EO","EO","50","45","25910","25320"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","SEO/HEO","HEO","25","25","30600","30230"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","SEO/HEO","SEO","25","25","37880","36970"
"In post","2021","Animal and Plant Health Agency","Northumberland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Norwich and East Norfolk","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Norwich and East Norfolk","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Norwich and East Norfolk","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Norwich and East Norfolk","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Nottingham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Nottingham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Nottingham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Nottingham","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Oxfordshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Oxfordshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Oxfordshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Oxfordshire","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","AA/AO","AO","10","10","21050","21050"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","EO","EO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Powys","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Powys","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Powys","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Powys","SEO/HEO","SEO","10","10","37470","37240"
"In post","2021","Animal and Plant Health Agency","Scottish Borders","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scottish Borders","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scottish Borders","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scottish Borders","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scottish Borders","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","EO","EO","15","15","24970","24920"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","SEO/HEO","SEO","15","10","41620","37910"
"In post","2021","Animal and Plant Health Agency","Somerset","EO","EO","10","10","25270","25520"
"In post","2021","Animal and Plant Health Agency","Somerset","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Somerset","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Somerset","SEO/HEO","SEO","10","10","39810","36970"
"In post","2021","Animal and Plant Health Agency","South and West Derbyshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South and West Derbyshire","G6/G7","G7","[c]","[c]","[c]","[c]"
