"Status","Year","Age","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Black","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","EO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","AA/AO","180","170","20870","20850"
"In post","2021","16-19","Unknown","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","EO","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Unknown","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Policy","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","EO","30","30","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Security","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Tax","AA/AO","90","85","20140","20140"
"In post","2021","16-19","Unknown","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","AA/AO","55","55","20850","20140"
"In post","2021","16-19","Unknown","Unknown","EO","10","10","[c]","[c]"
"In post","2021","16-19","White","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Digital, Data and Technology","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","White","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","16-19","White","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Economics","EO","15","15","[c]","[c]"
"In post","2021","16-19","White","Finance","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","White","Finance","EO","20","20","[c]","[c]"
"In post","2021","16-19","White","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","White","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Operational Delivery","AA/AO","185","175","21270","21430"
"In post","2021","16-19","White","Operational Delivery","EO","20","15","[c]","[c]"
"In post","2021","16-19","White","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Other","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","White","Other","EO","10","10","[c]","[c]"
"In post","2021","16-19","White","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Policy","EO","20","20","[c]","[c]"
"In post","2021","16-19","White","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Project Delivery","EO","5","5","[c]","[c]"
"In post","2021","16-19","White","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Property","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","White","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Property","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","White","Science and Engineering","AA/AO","30","30","17140","16990"
"In post","2021","16-19","White","Science and Engineering","EO","40","40","19100","17780"
"In post","2021","16-19","White","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Security","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","White","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Tax","AA/AO","40","40","20140","20140"
"In post","2021","16-19","White","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","AA/AO","185","185","21080","21010"
"In post","2021","16-19","White","Unknown","EO","35","35","27550","27570"
"In post","2021","20-29","Asian","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","EO","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","SEO/HEO","25","25","[c]","[c]"
"In post","2021","20-29","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Communications","EO","15","15","[c]","[c]"
"In post","2021","20-29","Asian","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Communications","SEO/HEO","30","30","[c]","[c]"
"In post","2021","20-29","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Digital, Data and Technology","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Digital, Data and Technology","EO","50","50","27110","26410"
"In post","2021","20-29","Asian","Digital, Data and Technology","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Digital, Data and Technology","SEO/HEO","85","85","36280","35430"
"In post","2021","20-29","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Economics","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Economics","EO","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Economics","G6/G7","20","20","[c]","[c]"
"In post","2021","20-29","Asian","Economics","SEO/HEO","60","60","33420","33050"
"In post","2021","20-29","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Finance","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Finance","EO","35","35","26350","25560"
"In post","2021","20-29","Asian","Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Asian","Finance","SCS level","[c]","[c]","[c]","[c]"
