"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","London","SEO/HEO","Heterosexual / straight","650","640","39630","39670"
"In post","2021","Communications","London","SEO/HEO","LGBO","75","75","39640","40050"
"In post","2021","Communications","London","SEO/HEO","Undeclared","80","75","39570","39610"
"In post","2021","Communications","London","SEO/HEO","Unknown","240","235","39270","38750"
"In post","2021","Communications","Outside London","AA/AO","Heterosexual / straight","115","110","21480","21130"
"In post","2021","Communications","Outside London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Communications","Outside London","AA/AO","Undeclared","30","25","21550","21590"
"In post","2021","Communications","Outside London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","Communications","Outside London","EO","Heterosexual / straight","275","260","26920","26670"
"In post","2021","Communications","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Communications","Outside London","EO","Undeclared","40","35","27330","26780"
"In post","2021","Communications","Outside London","EO","Unknown","65","60","25960","26240"
"In post","2021","Communications","Outside London","G6/G7","Heterosexual / straight","200","190","55640","53500"
"In post","2021","Communications","Outside London","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Communications","Outside London","G6/G7","Undeclared","20","15","[c]","[c]"
"In post","2021","Communications","Outside London","G6/G7","Unknown","70","70","55330","53040"
"In post","2021","Communications","Outside London","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Communications","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outside London","SEO/HEO","Heterosexual / straight","685","655","36210","36460"
"In post","2021","Communications","Outside London","SEO/HEO","LGBO","35","35","36410","36500"
"In post","2021","Communications","Outside London","SEO/HEO","Undeclared","80","75","37070","36120"
"In post","2021","Communications","Outside London","SEO/HEO","Unknown","175","170","36040","36030"
"In post","2021","Communications","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","G6/G7","Heterosexual / straight","30","30","60800","62290"
"In post","2021","Corporate Finance","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Corporate Finance","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","Heterosexual / straight","30","30","33850","29770"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","EO","Heterosexual / straight","45","45","28410","29080"
"In post","2021","Counter Fraud","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","G6/G7","Heterosexual / straight","60","55","64250","64600"
"In post","2021","Counter Fraud","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2021","Counter Fraud","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Counter Fraud","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","Heterosexual / straight","140","140","38320","40000"
"In post","2021","Counter Fraud","London","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","Unknown","60","60","39200","40000"
"In post","2021","Counter Fraud","Outside London","AA/AO","Heterosexual / straight","40","35","20840","21430"
"In post","2021","Counter Fraud","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","EO","Heterosexual / straight","95","85","25490","25310"
"In post","2021","Counter Fraud","Outside London","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","EO","Unknown","15","10","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","Heterosexual / straight","185","180","36710","36760"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","Undeclared","20","15","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","Unknown","85","80","37390","36060"
"In post","2021","Digital, Data and Technology","London","AA/AO","Heterosexual / straight","35","35","24700","24220"
"In post","2021","Digital, Data and Technology","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","EO","Heterosexual / straight","185","185","29590","29500"
"In post","2021","Digital, Data and Technology","London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","EO","Undeclared","25","25","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","EO","Unknown","65","60","29520","29570"
"In post","2021","Digital, Data and Technology","London","G6/G7","Heterosexual / straight","790","780","62260","60770"
"In post","2021","Digital, Data and Technology","London","G6/G7","LGBO","65","65","62800","62440"
"In post","2021","Digital, Data and Technology","London","G6/G7","Undeclared","125","120","62450","62000"
"In post","2021","Digital, Data and Technology","London","G6/G7","Unknown","300","300","62350","60060"
"In post","2021","Digital, Data and Technology","London","SCS level","Heterosexual / straight","85","85","98040","92310"
"In post","2021","Digital, Data and Technology","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","Heterosexual / straight","975","950","40420","40680"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","LGBO","65","60","38630","38160"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","Undeclared","140","140","40840","41470"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","Unknown","370","365","39390","39050"
"In post","2021","Digital, Data and Technology","London","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","Heterosexual / straight","230","225","21660","21130"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","Undeclared","45","45","22030","21580"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","Unknown","105","100","21190","21050"
"In post","2021","Digital, Data and Technology","Outside London","EO","Heterosexual / straight","1140","1095","27220","26670"
"In post","2021","Digital, Data and Technology","Outside London","EO","LGBO","70","65","26510","25940"
"In post","2021","Digital, Data and Technology","Outside London","EO","Undeclared","215","210","28160","27130"
"In post","2021","Digital, Data and Technology","Outside London","EO","Unknown","495","480","26810","26120"
"In post","2021","Digital, Data and Technology","Outside London","G6/G7","Heterosexual / straight","1410","1380","56240","53420"
"In post","2021","Digital, Data and Technology","Outside London","G6/G7","LGBO","65","65","55030","52580"
"In post","2021","Digital, Data and Technology","Outside London","G6/G7","Undeclared","190","185","56730","55000"
"In post","2021","Digital, Data and Technology","Outside London","G6/G7","Unknown","510","500","55110","52580"
"In post","2021","Digital, Data and Technology","Outside London","SCS level","Heterosexual / straight","85","80","86360","80800"
"In post","2021","Digital, Data and Technology","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outside London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outside London","SEO/HEO","Heterosexual / straight","3280","3180","37220","37100"
"In post","2021","Digital, Data and Technology","Outside London","SEO/HEO","LGBO","175","175","35770","36030"
"In post","2021","Digital, Data and Technology","Outside London","SEO/HEO","Undeclared","565","545","37680","38000"
"In post","2021","Digital, Data and Technology","Outside London","SEO/HEO","Unknown","1290","1260","36530","36050"
"In post","2021","Digital, Data and Technology","Outside London","Unknown","Heterosexual / straight","35","35","37550","36830"
"In post","2021","Digital, Data and Technology","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outside London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","AA/AO","Heterosexual / straight","40","40","24130","24120"
"In post","2021","Economics","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","Economics","London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Economics","London","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Economics","London","EO","Heterosexual / straight","60","60","27850","27680"
"In post","2021","Economics","London","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Economics","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Economics","London","EO","Unknown","25","25","[c]","[c]"
"In post","2021","Economics","London","G6/G7","Heterosexual / straight","500","485","60390","59080"
"In post","2021","Economics","London","G6/G7","LGBO","45","40","59510","59160"
"In post","2021","Economics","London","G6/G7","Undeclared","60","60","60820","59630"
"In post","2021","Economics","London","G6/G7","Unknown","160","160","60130","57690"
"In post","2021","Economics","London","SCS level","Heterosexual / straight","65","60","87940","81750"
"In post","2021","Economics","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Economics","London","SEO/HEO","Heterosexual / straight","490","485","35140","34000"
"In post","2021","Economics","London","SEO/HEO","LGBO","45","45","35320","34090"
"In post","2021","Economics","London","SEO/HEO","Undeclared","60","55","35950","34470"
"In post","2021","Economics","London","SEO/HEO","Unknown","175","175","35100","34530"
"In post","2021","Economics","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Economics","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Economics","Outside London","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Economics","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Economics","Outside London","G6/G7","Heterosexual / straight","105","100","56580","54350"
"In post","2021","Economics","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Economics","Outside London","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2021","Economics","Outside London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Economics","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","SEO/HEO","Heterosexual / straight","85","80","33700","32040"
"In post","2021","Economics","Outside London","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Economics","Outside London","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Economics","Outside London","SEO/HEO","Unknown","35","35","33130","31810"
"In post","2021","Economics","Overseas","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Economics","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Economics","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","AA/AO","Heterosexual / straight","60","60","24320","24440"
"In post","2021","Finance","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Finance","London","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Finance","London","EO","Heterosexual / straight","210","205","28710","29000"
"In post","2021","Finance","London","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Finance","London","EO","Undeclared","35","35","29410","30180"
"In post","2021","Finance","London","EO","Unknown","50","50","28320","27870"
"In post","2021","Finance","London","G6/G7","Heterosexual / straight","655","640","61880","59840"
"In post","2021","Finance","London","G6/G7","LGBO","50","50","60190","58000"
"In post","2021","Finance","London","G6/G7","Undeclared","95","95","61150","59500"
"In post","2021","Finance","London","G6/G7","Unknown","120","115","62240","59820"
"In post","2021","Finance","London","SCS level","Heterosexual / straight","130","125","91510","85050"
"In post","2021","Finance","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Finance","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Finance","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Finance","London","SEO/HEO","Heterosexual / straight","750","730","39880","39870"
"In post","2021","Finance","London","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Finance","London","SEO/HEO","Undeclared","95","95","40790","40230"
"In post","2021","Finance","London","SEO/HEO","Unknown","220","220","38190","38540"
"In post","2021","Finance","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Outside London","AA/AO","Heterosexual / straight","655","555","21270","21400"
"In post","2021","Finance","Outside London","AA/AO","LGBO","20","15","[c]","[c]"
"In post","2021","Finance","Outside London","AA/AO","Undeclared","115","95","21240","21440"
"In post","2021","Finance","Outside London","AA/AO","Unknown","290","240","20980","20640"
"In post","2021","Finance","Outside London","EO","Heterosexual / straight","1000","940","26030","26470"
"In post","2021","Finance","Outside London","EO","LGBO","30","30","25310","25560"
"In post","2021","Finance","Outside London","EO","Undeclared","120","115","26690","26670"
