"Status","Year","Function_of_post","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Heterosexual / straight","50","45","58310","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Undeclared","10","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","Heterosexual / straight","135","125","72320","66000"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","Undeclared","30","25","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","Unknown","10","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Heterosexual / straight","400","385","45720","38980"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","LGBO","45","45","43530","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Undeclared","50","50","44840","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","145","135","39190","36160"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","Heterosexual / straight","100","95","51260","52680"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Heterosexual / straight","160","150","40670","38550"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Heterosexual / straight","165","165","47000","48200"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Heterosexual / straight","275","265","45720","40480"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Undeclared","45","40","48240","43300"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","55","55","42360","40480"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Heterosexual / straight","120","115","40450","35010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Heterosexual / straight","35","35","54260","53200"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Unknown","30","30","56650","51520"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
