"Status","Year","Function_of_post","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Charity Commission","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","G6","30","30","77070","76440"
"In post","2021","Analysis","Competition and Markets Authority","London","G7","45","45","57960","56360"
"In post","2021","Analysis","Competition and Markets Authority","London","HEO","25","25","34370","34570"
"In post","2021","Analysis","Competition and Markets Authority","London","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","London","SEO","15","15","44590","43880"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","G7","10","10","60540","60930"
"In post","2021","Analysis","Debt Management Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","G7","195","185","48890","46090"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","HEO","105","100","28410","28650"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","SEO","150","145","37450","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","30","30","29180","27680"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6","20","20","72630","69670"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G7","55","50","58370","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","HEO","145","145","35830","34240"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO","20","20","45720","45270"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","G6","15","15","70410","67140"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","G7","50","50","61340","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","HEO","65","65","42770","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","EO","15","10","31550","29500"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","G6","15","15","66860","65370"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","G7","45","40","55020","54160"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","HEO","45","45","36880","36980"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","SEO","55","50","45880","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","EO","20","20","26790","25000"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","G6","15","15","62810","61680"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","G7","60","55","51640","50630"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","HEO","50","50","33020","33190"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","SEO","85","80","42390","42220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","10","10","25700","25470"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G7","10","10","49990","49690"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","HEO","20","20","31010","30230"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","EO","20","20","27210","26510"
"In post","2021","Analysis","Department for International Trade","London","G6","20","20","62970","62170"
"In post","2021","Analysis","Department for International Trade","London","G7","75","75","51340","51970"
"In post","2021","Analysis","Department for International Trade","London","HEO","75","75","31190","31800"
"In post","2021","Analysis","Department for International Trade","London","SCS level","10","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","SEO","25","25","39500","38540"
"In post","2021","Analysis","Department for International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","EO","35","35","29370","29970"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","G6","35","35","67970","66230"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","G7","130","125","55590","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","HEO","100","100","33150","34710"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","SCS level","15","15","81090","77960"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","SEO","65","60","43020","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","G6","50","50","67010","66230"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","G7","105","105","54460","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","HEO","20","20","32970","32790"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","SEO","10","10","42450","42080"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","G6","10","10","64580","63000"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","G7","50","45","51530","50620"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","HEO","15","15","30120","28970"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","EO","15","15","26560","26780"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","AO","10","10","21590","21590"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","EO","15","15","26600","26700"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","HEO","25","20","32660","33350"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","HEO","10","10","33920","34310"
"In post","2021","Analysis","Food Standards Agency","London","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","G6","15","15","74250","74400"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","G7","20","20","61560","59790"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","SEO","25","25","49990","48880"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","EO","10","10","28300","28230"
"In post","2021","Analysis","Government Actuary's Department","London","G6","85","75","92120","89720"
"In post","2021","Analysis","Government Actuary's Department","London","G7","10","10","58100","57250"
"In post","2021","Analysis","Government Actuary's Department","London","HEO","25","25","36180","36230"
"In post","2021","Analysis","Government Actuary's Department","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","SEO","25","25","47840","48780"
"In post","2021","Analysis","Government Actuary's Department","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","G7","15","10","59750","59150"
"In post","2021","Analysis","Health and Safety Executive","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","AO","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","EO","20","20","29950","29570"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","G6","35","35","69440","71290"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","G7","100","95","57440","59160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","HEO","110","110","36290","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","SCS level","15","10","81880","79930"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","SEO","65","65","41570","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","EO","15","15","26200","25560"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","G6","10","10","62000","64670"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","G7","75","70","50000","52580"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","HEO","95","90","31890","31810"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","SEO","85","80","37590","38630"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","G6","20","20","66420","66040"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","G7","40","40","55150","55530"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","HEO","40","40","34220","32320"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","SCS level","10","10","81660","75240"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","EO","15","15","29100","27200"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","G7","10","10","62170","62140"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","HEO","30","30","38490","38600"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","SEO","25","20","47670","48200"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","EO","35","35","27830","27850"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","G7","15","10","57580","57540"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","HEO","30","30","35200","36000"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","SEO","25","25","42560","43000"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","EO","15","15","29640","27850"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","G6","20","20","67790","67980"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","G7","70","65","55240","53130"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","HEO","55","55","33070","33210"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","SEO","20","20","42710","42980"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","EO","35","35","27820","27940"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","G7","125","120","60920","58320"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","HEO","80","80","34030","33930"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","SCS level","10","10","84050","83690"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","SEO","95","95","41980","40480"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","EO","15","15","21950","21340"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","HEO","10","10","29910","30430"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","SEO","15","15","39950","38280"
"In post","2021","Analysis","National Savings and Investments","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","G7","10","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","HEO","15","15","34960","35010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","SEO","10","10","42770","42850"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","EO","20","15","25790","25880"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","G7","10","10","59810","59810"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","HEO","50","45","32040","32010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","SEO","30","30","39800","39850"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","G7","30","30","57260","55000"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","SEO","[c]","[c]","[c]","[c]"
