"Status","Year","Organisation","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Northern Ireland Office","Northern Ireland Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","G7","Unknown","20","20","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","SEO","Unknown","25","25","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","G7","Unknown","10","10","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","AO","Heterosexual / straight","175","155","21280","21160"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","AO","LGBO","15","15","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","AO","Undeclared","20","20","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","AO","Unknown","20","20","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","EO","Heterosexual / straight","150","145","26320","25880"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G6","Heterosexual / straight","100","100","81570","85550"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G6","LGBO","10","10","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G6","Undeclared","10","10","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G7","Heterosexual / straight","385","375","71010","75500"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G7","LGBO","35","35","70960","75500"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G7","Undeclared","25","25","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G7","Unknown","15","15","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","HEO","Heterosexual / straight","165","160","32700","32010"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","HEO","Unknown","15","10","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SEO","Heterosexual / straight","435","420","47440","51360"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SEO","LGBO","20","20","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SEO","Unknown","40","35","48200","51360"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AO","LGBO","5","5","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AO","Unknown","15","15","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","Heterosexual / straight","110","110","25430","25600"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","LGBO","20","15","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","Unknown","125","125","26290","25750"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6","LGBO","5","5","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6","Unknown","55","55","76670","76500"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G7","Heterosexual / straight","135","130","56290","56080"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G7","LGBO","15","15","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G7","Undeclared","15","15","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G7","Unknown","185","175","56520","55080"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","HEO","Heterosexual / straight","95","95","34330","34240"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","HEO","Unknown","120","120","34290","34240"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","Unknown","25","25","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO","Heterosexual / straight","60","60","39810","39790"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO","Unknown","70","70","40790","41000"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G6","Unknown","10","10","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G7","Heterosexual / straight","40","40","49420","47880"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G7","Unknown","25","20","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","HEO","Heterosexual / straight","40","40","33130","32860"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SEO","Heterosexual / straight","40","35","40070","39640"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SEO","Unknown","10","10","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","G6","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","G6","Unknown","10","10","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","G7","Heterosexual / straight","70","65","58150","56900"
"In post","2021","Office of Rail and Road","Office of Rail and Road","G7","LGBO","5","5","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","G7","Unknown","60","60","61830","62010"
"In post","2021","Office of Rail and Road","Office of Rail and Road","HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","SEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","SEO","Unknown","15","15","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","AO","Heterosexual / straight","615","555","19790","19930"
"In post","2021","Office of the Public Guardian","Ministry of Justice","AO","LGBO","25","25","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","AO","Undeclared","70","65","19740","19930"
"In post","2021","Office of the Public Guardian","Ministry of Justice","AO","Unknown","140","125","19760","19930"
"In post","2021","Office of the Public Guardian","Ministry of Justice","EO","Heterosexual / straight","290","275","22290","22570"
"In post","2021","Office of the Public Guardian","Ministry of Justice","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","EO","Undeclared","35","35","22660","22570"
"In post","2021","Office of the Public Guardian","Ministry of Justice","EO","Unknown","25","20","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","HEO","Heterosexual / straight","110","105","26620","26550"
"In post","2021","Office of the Public Guardian","Ministry of Justice","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","SEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","SEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","HEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","AA","Unknown","5","5","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","AO","Heterosexual / straight","85","75","21560","21270"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","AO","Unknown","70","60","21820","22560"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","EO","Heterosexual / straight","65","60","26630","26050"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","EO","Undeclared","10","5","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G6","Heterosexual / straight","190","170","64080","58810"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G6","LGBO","5","5","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G6","Undeclared","20","15","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G6","Unknown","30","20","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G7","Heterosexual / straight","135","125","49130","47660"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G7","Unknown","25","20","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","HEO","Heterosexual / straight","60","55","33130","32780"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","HEO","Unknown","20","20","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","SEO","Heterosexual / straight","45","45","41280","40720"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","SEO","Unknown","15","15","[c]","[c]"
"In post","2021","Public Health England","Department of Health and Social Care","AA","Heterosexual / straight","105","90","20040","18950"
"In post","2021","Public Health England","Department of Health and Social Care","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Department of Health and Social Care","AA","Undeclared","5","5","[c]","[c]"
"In post","2021","Public Health England","Department of Health and Social Care","AA","Unknown","35","30","20670","19720"
"In post","2021","Public Health England","Department of Health and Social Care","AO","Heterosexual / straight","565","500","21350","20920"
"In post","2021","Public Health England","Department of Health and Social Care","AO","LGBO","40","40","21120","19760"
"In post","2021","Public Health England","Department of Health and Social Care","AO","Undeclared","80","70","20790","19630"
"In post","2021","Public Health England","Department of Health and Social Care","AO","Unknown","70","60","22550","22030"
"In post","2021","Public Health England","Department of Health and Social Care","EO","Heterosexual / straight","645","595","25680","25260"
"In post","2021","Public Health England","Department of Health and Social Care","EO","LGBO","55","55","25700","25780"
"In post","2021","Public Health England","Department of Health and Social Care","EO","Undeclared","100","90","25910","25610"
"In post","2021","Public Health England","Department of Health and Social Care","EO","Unknown","125","105","27780","27900"
"In post","2021","Public Health England","Department of Health and Social Care","G6","Heterosexual / straight","290","275","70360","67450"
"In post","2021","Public Health England","Department of Health and Social Care","G6","LGBO","20","20","[c]","[c]"
"In post","2021","Public Health England","Department of Health and Social Care","G6","Undeclared","70","65","70950","68070"
"In post","2021","Public Health England","Department of Health and Social Care","G6","Unknown","135","130","72570","70860"
"In post","2021","Public Health England","Department of Health and Social Care","G7","Heterosexual / straight","860","810","53250","52610"
"In post","2021","Public Health England","Department of Health and Social Care","G7","LGBO","40","35","54200","53220"
"In post","2021","Public Health England","Department of Health and Social Care","G7","Undeclared","140","130","53180","52610"
"In post","2021","Public Health England","Department of Health and Social Care","G7","Unknown","325","310","53810","52610"
"In post","2021","Public Health England","Department of Health and Social Care","HEO","Heterosexual / straight","930","860","31760","31420"
"In post","2021","Public Health England","Department of Health and Social Care","HEO","LGBO","50","50","31570","31850"
"In post","2021","Public Health England","Department of Health and Social Care","HEO","Undeclared","145","125","32130","32330"
"In post","2021","Public Health England","Department of Health and Social Care","HEO","Unknown","170","155","34640","34700"
"In post","2021","Public Health England","Department of Health and Social Care","SCS level","Heterosexual / straight","295","250","104980","101300"
"In post","2021","Public Health England","Department of Health and Social Care","SCS level","LGBO","15","10","[c]","[c]"
"In post","2021","Public Health England","Department of Health and Social Care","SCS level","Undeclared","60","45","107130","106200"
"In post","2021","Public Health England","Department of Health and Social Care","SCS level","Unknown","105","95","118420","114990"
"In post","2021","Public Health England","Department of Health and Social Care","SEO","Heterosexual / straight","960","870","39980","40070"
"In post","2021","Public Health England","Department of Health and Social Care","SEO","LGBO","60","55","39640","40070"
