"Status","Year","Function_of_post","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","110","105","52430","50400"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","London","Heterosexual / straight","120","110","45620","45250"
"In post","2021","Analysis","Department for Education","London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","London","Unknown","35","35","52160","53760"
"In post","2021","Analysis","Department for Education","Outside London","Heterosexual / straight","170","160","42560","42220"
"In post","2021","Analysis","Department for Education","Outside London","LGBO","20","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","Outside London","Unknown","30","30","43050","42890"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","235","225","33300","30040"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","35","30","35140","35900"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Unknown","285","270","34130","29750"
"In post","2021","Analysis","Department for International Trade","London","Heterosexual / straight","150","150","44070","38540"
"In post","2021","Analysis","Department for International Trade","London","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","Unknown","55","55","39590","31800"
"In post","2021","Analysis","Department for International Trade","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","London","Heterosexual / straight","255","250","47730","43360"
"In post","2021","Analysis","Department for Transport","London","LGBO","30","30","42930","38360"
"In post","2021","Analysis","Department for Transport","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Transport","London","Unknown","70","65","42990","42470"
"In post","2021","Analysis","Department for Transport","Outside London","Heterosexual / straight","70","65","32910","31210"
"In post","2021","Analysis","Department for Transport","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Outside London","Unknown","10","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","Heterosexual / straight","65","60","52580","53360"
"In post","2021","Analysis","Department of Health and Social Care","London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","Undeclared","10","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","Unknown","120","115","55140","53360"
"In post","2021","Analysis","Department of Health and Social Care","Outside London","Heterosexual / straight","60","60","50290","51100"
"In post","2021","Analysis","Department of Health and Social Care","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","Heterosexual / straight","45","45","58390","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","London","Heterosexual / straight","225","220","49990","42070"
"In post","2021","Analysis","HM Revenue and Customs","London","LGBO","30","30","46430","36220"
"In post","2021","Analysis","HM Revenue and Customs","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","London","Unknown","90","90","41900","36160"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","Heterosexual / straight","205","190","41570","38630"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","Unknown","60","60","36360","31810"
"In post","2021","Analysis","HM Treasury","London","Heterosexual / straight","100","95","51420","52680"
"In post","2021","Analysis","HM Treasury","London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","HM Treasury","London","Unknown","30","30","64640","55500"
"In post","2021","Analysis","HM Treasury","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","London","Heterosexual / straight","70","65","44840","40640"
"In post","2021","Analysis","Ministry of Defence","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Outside London","Heterosexual / straight","420","400","39530","37320"
"In post","2021","Analysis","Ministry of Defence","Outside London","LGBO","30","30","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Outside London","Undeclared","55","55","40480","40480"
"In post","2021","Analysis","Ministry of Defence","Outside London","Unknown","65","65","41980","43000"
"In post","2021","Analysis","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","Heterosexual / straight","160","155","47220","52470"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","London","Heterosexual / straight","250","240","46990","41000"
"In post","2021","Analysis","Ministry of Justice","London","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","London","Undeclared","40","40","48870","44340"
"In post","2021","Analysis","Ministry of Justice","London","Unknown","55","55","43130","40480"
"In post","2021","Analysis","Ministry of Justice","Outside London","Heterosexual / straight","30","30","36010","35820"
"In post","2021","Analysis","Ministry of Justice","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Outside London","Heterosexual / straight","90","85","39230","32010"
"In post","2021","Analysis","Office for Standards in Education","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","Heterosexual / straight","145","145","40840","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","Unknown","55","55","41880","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","Heterosexual / straight","915","875","37520","36330"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","LGBO","80","80","34480","30130"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","Undeclared","50","45","35870","32500"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","Unknown","430","405","34950","30130"
"In post","2021","Analysis","Wales Office","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","London","Heterosexual / straight","200","195","74560","64500"
"In post","2021","Commercial","Cabinet Office","London","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","London","Unknown","530","520","76710","68270"
"In post","2021","Commercial","Cabinet Office","Outside London","Heterosexual / straight","90","85","69730","64500"
"In post","2021","Commercial","Cabinet Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Outside London","Unknown","535","530","64300","61710"
"In post","2021","Commercial","Cabinet Office","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","195","185","42970","40140"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Outside London","Heterosexual / straight","155","150","40390","38000"
"In post","2021","Commercial","Department for Education","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Education","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Education","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","140","130","36900","36520"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","Unknown","30","30","42050","37530"
"In post","2021","Commercial","Department for International Trade","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Outside London","Heterosexual / straight","130","125","35010","31860"
"In post","2021","Commercial","Department for Transport","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Outside London","Undeclared","50","40","30940","26780"
"In post","2021","Commercial","Department for Transport","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","Heterosexual / straight","35","35","41060","39990"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","London","Heterosexual / straight","45","45","51180","41950"
"In post","2021","Commercial","Department of Health and Social Care","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","London","Unknown","75","75","55310","53360"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","Heterosexual / straight","50","45","41780","36820"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","Unknown","50","50","39090","36820"
"In post","2021","Commercial","ESTYN","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Outside London","Heterosexual / straight","10","10","[c]","[c]"
