"Status","Year","Age","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs","AO","10","10","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office for Standards in Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other Cabinet Office Agencies","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Welsh Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office for Standards in Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other Cabinet Office Agencies","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Welsh Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Home Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Home Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office for Standards in Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other Cabinet Office Agencies","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scotland Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","United Kingdom Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","United Kingdom Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Welsh Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Home Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Home Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Office for Standards in Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other Cabinet Office Agencies","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scotland Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","United Kingdom Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","United Kingdom Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Welsh Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Home Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Home Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Office for Standards in Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other Cabinet Office Agencies","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Scotland Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","United Kingdom Statistics Authority","AA","[c]","[c]","[c]","[c]"
