"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Office","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","HEO","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","AO","Female","315","285","21750","20920"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","AO","Male","240","235","21890","20920"
"In post","2021","Cabinet Office (excl. agencies)","EO","EO","Female","535","510","27150","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","EO","Male","355","350","27300","27500"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","G6","Female","445","435","69780","66440"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","G6","Male","400","400","71370","67910"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","G7","Female","1060","1025","55050","54700"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","G7","Male","1120","1110","55650","54700"
"In post","2021","Cabinet Office (excl. agencies)","SCS level","SCS level","Female","420","405","87650","75930"
"In post","2021","Cabinet Office (excl. agencies)","SCS level","SCS level","Male","550","550","95640","81170"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Female","1820","1795","31890","32000"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Male","1450","1440","32290","32000"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Female","450","440","40520","40600"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Male","300","300","40650","40600"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Female","30","25","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Male","15","15","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Female","70","65","25050","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Male","50","50","25120","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Male","20","20","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Female","25","25","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Male","60","55","48870","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Female","85","80","29720","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Male","105","100","29760","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Female","65","60","36930","36580"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Male","65","65","37540","37280"
"In post","2021","Charity Commission","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","AO","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","EO","EO","Female","65","60","24740","24440"
"In post","2021","Charity Commission","EO","EO","Male","45","40","24800","24440"
"In post","2021","Charity Commission","G6/G7","G6","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","G7","Female","30","30","51760","51070"
"In post","2021","Charity Commission","G6/G7","G7","Male","15","15","[c]","[c]"
"In post","2021","Charity Commission","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","HEO","Female","80","75","29380","29160"
"In post","2021","Charity Commission","SEO/HEO","HEO","Male","60","60","29490","29160"
"In post","2021","Charity Commission","SEO/HEO","SEO","Female","50","50","38070","37910"
"In post","2021","Charity Commission","SEO/HEO","SEO","Male","45","45","38600","37910"
"In post","2021","Companies House","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","AO","Female","285","235","21880","22490"
"In post","2021","Companies House","AA/AO","AO","Male","140","135","21480","22490"
"In post","2021","Companies House","EO","EO","Female","140","125","26910","27460"
"In post","2021","Companies House","EO","EO","Male","145","145","28760","27460"
"In post","2021","Companies House","G6/G7","G6","Female","15","15","[c]","[c]"
"In post","2021","Companies House","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2021","Companies House","G6/G7","G7","Female","20","20","[c]","[c]"
"In post","2021","Companies House","G6/G7","G7","Male","30","30","53570","51970"
"In post","2021","Companies House","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","HEO","Female","75","70","34110","34470"
"In post","2021","Companies House","SEO/HEO","HEO","Male","85","80","35350","36240"
"In post","2021","Companies House","SEO/HEO","SEO","Female","60","60","42150","40500"
"In post","2021","Companies House","SEO/HEO","SEO","Male","80","80","44120","42990"
"In post","2021","Competition and Markets Authority","AA/AO","AO","Female","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","AO","Male","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","EO","Female","40","40","28640","28040"
"In post","2021","Competition and Markets Authority","EO","EO","Male","35","35","28440","28070"
"In post","2021","Competition and Markets Authority","G6/G7","G6","Female","95","90","76240","75140"
"In post","2021","Competition and Markets Authority","G6/G7","G6","Male","100","95","76860","75520"
"In post","2021","Competition and Markets Authority","G6/G7","G7","Female","120","115","57410","56360"
"In post","2021","Competition and Markets Authority","G6/G7","G7","Male","110","110","58140","56630"
"In post","2021","Competition and Markets Authority","SCS level","SCS level","Female","50","45","107270","99920"
"In post","2021","Competition and Markets Authority","SCS level","SCS level","Male","65","65","111010","102520"
"In post","2021","Competition and Markets Authority","SEO/HEO","HEO","Female","80","80","35490","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","HEO","Male","60","60","35090","34570"
"In post","2021","Competition and Markets Authority","SEO/HEO","SEO","Female","30","30","43890","43880"
"In post","2021","Competition and Markets Authority","SEO/HEO","SEO","Male","25","25","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","AO","Female","60","50","20610","20650"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","AO","Male","45","45","20440","20650"
"In post","2021","Criminal Injuries Compensation Authority","EO","EO","Female","45","45","23080","22570"
"In post","2021","Criminal Injuries Compensation Authority","EO","EO","Male","35","35","23700","22720"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","G7","Female","10","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","G7","Male","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","HEO","Female","30","30","27980","26560"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","HEO","Male","40","40","28310","26590"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","SEO","Male","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","AO","Male","15","15","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","EO","Female","65","60","23380","22230"
"In post","2021","Crown Commercial Service","EO","EO","Male","50","50","23750","22590"
"In post","2021","Crown Commercial Service","G6/G7","G6","Female","25","25","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","G6","Male","25","25","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","G7","Female","80","80","48850","47890"
"In post","2021","Crown Commercial Service","G6/G7","G7","Male","60","60","49730","48690"
"In post","2021","Crown Commercial Service","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS level","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","HEO","Female","100","95","28820","28270"
"In post","2021","Crown Commercial Service","SEO/HEO","HEO","Male","95","95","28920","27770"
"In post","2021","Crown Commercial Service","SEO/HEO","SEO","Female","120","115","36060","35290"
"In post","2021","Crown Commercial Service","SEO/HEO","SEO","Male","115","115","37220","35570"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","AO","Female","535","470","21900","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","AO","Male","170","165","22050","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","EO","Female","235","225","27320","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","EO","Male","85","80","27340","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","G6","Female","25","25","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","G7","Female","120","110","65310","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","G7","Male","45","45","64770","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS level","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","Female","205","190","33050","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","Male","90","90","33430","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","Female","325","300","47140","51540"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","Male","145","145","48470","51120"
"In post","2021","Crown Prosecution Service","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","AO","Female","1065","955","22250","21950"
"In post","2021","Crown Prosecution Service","AA/AO","AO","Male","375","365","22280","21950"
"In post","2021","Crown Prosecution Service","EO","EO","Female","980","880","27970","28430"
"In post","2021","Crown Prosecution Service","EO","EO","Male","375","370","27910","28430"
"In post","2021","Crown Prosecution Service","G6/G7","G6","Female","100","100","72110","70350"
"In post","2021","Crown Prosecution Service","G6/G7","G6","Male","110","110","76090","73210"
"In post","2021","Crown Prosecution Service","G6/G7","G7","Female","1635","1460","55940","55610"
"In post","2021","Crown Prosecution Service","G6/G7","G7","Male","1025","990","56940","55610"
"In post","2021","Crown Prosecution Service","SCS level","SCS level","Female","50","50","92580","85850"
"In post","2021","Crown Prosecution Service","SCS level","SCS level","Male","35","35","97450","92430"
"In post","2021","Crown Prosecution Service","SEO/HEO","HEO","Female","510","480","35060","34480"
"In post","2021","Crown Prosecution Service","SEO/HEO","HEO","Male","255","250","34700","34480"
"In post","2021","Crown Prosecution Service","SEO/HEO","SEO","Female","145","140","40250","39750"
"In post","2021","Crown Prosecution Service","SEO/HEO","SEO","Male","75","75","40180","39750"
"In post","2021","Crown Prosecution Service Inspectorate","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","EO","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","G7","Female","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","G7","Male","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","EO","Female","5","5","[c]","[c]"
"In post","2021","Debt Management Office","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","G6","Male","20","20","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","G7","Female","10","5","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","G7","Male","30","30","[c]","[c]"
"In post","2021","Debt Management Office","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","HEO","Female","10","10","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","HEO","Male","10","10","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","SEO","Female","15","10","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","SEO","Male","15","15","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","AA","Male","25","25","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","AO","Female","25","20","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","AO","Male","35","35","21260","21000"
"In post","2021","Defence Electronics and Components Agency","EO","EO","Female","20","20","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","EO","EO","Male","240","230","28100","28750"
"In post","2021","Defence Electronics and Components Agency","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","G6/G7","G6","Male","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","HEO","Female","15","15","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","HEO","Male","50","50","34830","32850"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","SEO","Male","5","5","[c]","[c]"
"In post","2021","Defence Equipment and Support","EO","EO","Female","1015","935","22180","21470"
"In post","2021","Defence Equipment and Support","EO","EO","Male","1595","1570","22290","21120"
"In post","2021","Defence Equipment and Support","G6/G7","G6","Female","110","105","68480","67790"
"In post","2021","Defence Equipment and Support","G6/G7","G6","Male","305","300","69200","68200"
"In post","2021","Defence Equipment and Support","G6/G7","G7","Female","370","350","51950","52700"
"In post","2021","Defence Equipment and Support","G6/G7","G7","Male","880","865","53210","53890"
"In post","2021","Defence Equipment and Support","SCS level","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Defence Equipment and Support","SCS level","SCS level","Male","85","85","105710","96140"
"In post","2021","Defence Equipment and Support","SEO/HEO","HEO","Female","1215","1130","29940","30000"
"In post","2021","Defence Equipment and Support","SEO/HEO","HEO","Male","1990","1955","31090","31250"
"In post","2021","Defence Equipment and Support","SEO/HEO","SEO","Female","915","865","39700","39980"
"In post","2021","Defence Equipment and Support","SEO/HEO","SEO","Male","2195","2145","41200","41350"
"In post","2021","Defence Equipment and Support","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","AA/AO","AA","Male","20","20","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","AA/AO","AO","Female","35","35","18160","17710"
"In post","2021","Defence Science and Technology Laboratory","AA/AO","AO","Male","65","65","19020","17710"
"In post","2021","Defence Science and Technology Laboratory","EO","EO","Female","150","135","22850","22780"
"In post","2021","Defence Science and Technology Laboratory","EO","EO","Male","95","95","23380","22780"
"In post","2021","Defence Science and Technology Laboratory","G6/G7","G6","Female","40","40","65220","66430"
"In post","2021","Defence Science and Technology Laboratory","G6/G7","G6","Male","135","125","68720","67120"
"In post","2021","Defence Science and Technology Laboratory","G6/G7","G7","Female","540","505","48330","46090"
"In post","2021","Defence Science and Technology Laboratory","G6/G7","G7","Male","1260","1225","50050","46720"
"In post","2021","Defence Science and Technology Laboratory","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","SEO/HEO","HEO","Female","395","375","28610","28650"
"In post","2021","Defence Science and Technology Laboratory","SEO/HEO","HEO","Male","605","600","28680","28650"
"In post","2021","Defence Science and Technology Laboratory","SEO/HEO","SEO","Female","375","345","37300","37320"
"In post","2021","Defence Science and Technology Laboratory","SEO/HEO","SEO","Male","655","645","37900","37320"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","Female","45","40","24040","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","Male","35","35","25340","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","Female","255","245","27870","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","Male","155","155","28510","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","Female","280","265","67430","64990"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","Male","350","345","68230","65250"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","Female","800","770","55070","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","Male","905","900","55500","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","Female","150","140","81660","74880"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","Male","175","175","84420","75540"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","Female","585","575","34180","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","Male","585","580","35170","33630"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","Female","490","480","41860","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","Male","515","515","42050","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","EO","Female","125","120","27470","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","EO","Male","55","55","27240","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","G6","Female","100","100","66160","64890"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","G6","Male","100","100","66910","65480"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","G7","Female","315","300","55760","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","G7","Male","290","290","56310","52300"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Female","65","60","85910","75500"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Male","55","55","87040","78180"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Female","350","345","36730","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Male","310","305","37360","34240"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","AA/AO","AO","Female","55","50","22180","21000"
"In post","2021","Department for Education (excl. agencies)","AA/AO","AO","Male","20","20","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","EO","EO","Female","450","430","26960","26000"
"In post","2021","Department for Education (excl. agencies)","EO","EO","Male","285","285","26740","26000"
"In post","2021","Department for Education (excl. agencies)","G6/G7","G6","Female","370","345","64740","64180"
"In post","2021","Department for Education (excl. agencies)","G6/G7","G6","Male","350","345","65200","64780"
"In post","2021","Department for Education (excl. agencies)","G6/G7","G7","Female","840","795","52770","53420"
"In post","2021","Department for Education (excl. agencies)","G6/G7","G7","Male","575","570","52740","51410"
"In post","2021","Department for Education (excl. agencies)","SCS level","SCS level","Female","135","130","82660","74100"
"In post","2021","Department for Education (excl. agencies)","SCS level","SCS level","Male","100","95","84470","76110"
"In post","2021","Department for Education (excl. agencies)","SEO/HEO","HEO","Female","710","675","31720","30310"
"In post","2021","Department for Education (excl. agencies)","SEO/HEO","HEO","Male","455","450","31980","30840"
"In post","2021","Department for Education (excl. agencies)","SEO/HEO","SEO","Female","805","760","39520","38250"
