"Status","Year","Function_of_post","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","London","EO","20","20","27640","27500"
"In post","2021","Commercial","Cabinet Office","London","G6/G7","385","380","65920","61380"
"In post","2021","Commercial","Cabinet Office","London","SCS level","295","290","99960","88320"
"In post","2021","Commercial","Cabinet Office","London","SEO/HEO","70","70","38410","38970"
"In post","2021","Commercial","Cabinet Office","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Outside London","G6/G7","405","400","60890","53750"
"In post","2021","Commercial","Cabinet Office","Outside London","SCS level","180","180","81890","71000"
"In post","2021","Commercial","Cabinet Office","Outside London","SEO/HEO","45","45","37880","38220"
"In post","2021","Commercial","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Unknown","G6/G7","10","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","15","15","40940","40920"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","EO","20","20","25600","25630"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","100","95","52690","48390"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","105","100","36770","37420"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","G6/G7","15","15","61070","56730"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Education","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Outside London","EO","15","15","25950","25000"
"In post","2021","Commercial","Department for Education","Outside London","G6/G7","45","45","53780","50630"
"In post","2021","Commercial","Department for Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Outside London","SEO/HEO","125","125","36200","36780"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","SEO/HEO","15","15","39040","40200"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","15","15","22500","21050"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","EO","20","15","26490","25190"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","35","35","53120","49830"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","115","110","35180","36520"
"In post","2021","Commercial","Department for International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","London","SEO/HEO","20","20","36900","38160"
"In post","2021","Commercial","Department for Transport","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Outside London","AA/AO","35","30","20990","21590"
"In post","2021","Commercial","Department for Transport","Outside London","EO","50","45","26000","26700"
"In post","2021","Commercial","Department for Transport","Outside London","G6/G7","20","20","57640","54690"
"In post","2021","Commercial","Department for Transport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Outside London","SEO/HEO","95","90","36560","33690"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","G6/G7","15","15","58700","53830"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Outside London","SEO/HEO","15","15","37940","39390"
"In post","2021","Commercial","Department of Health and Social Care","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","London","EO","10","10","28180","27390"
"In post","2021","Commercial","Department of Health and Social Care","London","G6/G7","35","35","57960","53620"
"In post","2021","Commercial","Department of Health and Social Care","London","SCS level","30","30","83620","74730"
"In post","2021","Commercial","Department of Health and Social Care","London","SEO/HEO","55","50","40410","40650"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","G6/G7","30","25","54050","51120"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Outside London","SEO/HEO","60","60","33870","36820"
"In post","2021","Commercial","ESTYN","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
