"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Human Resources","Yorkshire and The Humber","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Internal Audit","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","London","50","45","49760","49900"
"In post","2021","Asian","Internal Audit","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Internal Audit","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Internal Audit","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Legal","East Midlands (England)","Outside London","70","60","38200","35140"
"In post","2021","Asian","Legal","East of England","Outside London","40","35","37140","36020"
"In post","2021","Asian","Legal","London","London","640","600","45700","50500"
"In post","2021","Asian","Legal","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Legal","North West (England)","Outside London","95","90","36670","32870"
"In post","2021","Asian","Legal","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Scotland","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Legal","South East (England)","Outside London","40","35","43010","40690"
"In post","2021","Asian","Legal","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Legal","West Midlands (England)","Outside London","145","135","36030","31810"
"In post","2021","Asian","Legal","Yorkshire and The Humber","Outside London","75","70","40740","41830"
"In post","2021","Asian","No function","East Midlands (England)","Outside London","750","675","26120","22350"
"In post","2021","Asian","No function","East of England","Outside London","255","240","32930","27410"
"In post","2021","Asian","No function","London","London","3990","3815","37970","33740"
"In post","2021","Asian","No function","North East (England)","Outside London","120","110","27260","22030"
"In post","2021","Asian","No function","North West (England)","Outside London","890","810","26760","21440"
"In post","2021","Asian","No function","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Overseas","Overseas","70","70","47850","40330"
"In post","2021","Asian","No function","Scotland","Outside London","125","115","32720","24920"
"In post","2021","Asian","No function","South East (England)","Outside London","450","410","31160","27850"
"In post","2021","Asian","No function","South West (England)","Outside London","205","185","33820","28870"
"In post","2021","Asian","No function","Unknown","Unknown","20","15","[c]","[c]"
"In post","2021","Asian","No function","Wales","Outside London","185","165","27700","21590"
"In post","2021","Asian","No function","West Midlands (England)","Outside London","1675","1575","27110","22570"
"In post","2021","Asian","No function","Yorkshire and The Humber","Outside London","585","540","29150","25560"
"In post","2021","Asian","Project Delivery","East Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Project Delivery","East of England","Outside London","35","30","38380","37640"
"In post","2021","Asian","Project Delivery","London","London","510","500","45550","40510"
"In post","2021","Asian","Project Delivery","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","North West (England)","Outside London","75","70","35710","32200"
"In post","2021","Asian","Project Delivery","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Overseas","25","25","[c]","[c]"
"In post","2021","Asian","Project Delivery","Scotland","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Project Delivery","South East (England)","Outside London","40","40","36140","33300"
"In post","2021","Asian","Project Delivery","South West (England)","Outside London","285","280","36870","33760"
"In post","2021","Asian","Project Delivery","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Project Delivery","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Project Delivery","West Midlands (England)","Outside London","80","75","39190","38630"
"In post","2021","Asian","Project Delivery","Yorkshire and The Humber","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Property","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Property","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Property","London","London","170","160","36620","31820"
"In post","2021","Asian","Property","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Property","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Property","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Asian","Property","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Property","South West (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","West Midlands (England)","Outside London","35","30","37550","36500"
"In post","2021","Asian","Property","Yorkshire and The Humber","Outside London","35","30","28290","21100"
"In post","2021","Asian","Security","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","East of England","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Security","London","London","110","105","36280","34410"
"In post","2021","Asian","Security","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Security","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Security","South East (England)","Outside London","45","45","25470","19560"
"In post","2021","Asian","Security","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Security","Yorkshire and The Humber","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Unknown","East Midlands (England)","Outside London","640","560","24910","26930"
"In post","2021","Asian","Unknown","East of England","Outside London","695","615","27970","27570"
"In post","2021","Asian","Unknown","London","London","5915","5470","33070","31060"
"In post","2021","Asian","Unknown","North East (England)","Outside London","180","155","27130","21430"
"In post","2021","Asian","Unknown","North West (England)","Outside London","1195","1085","26010","27370"
"In post","2021","Asian","Unknown","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Overseas","Overseas","45","40","[c]","[c]"
"In post","2021","Asian","Unknown","Scotland","Outside London","260","245","29850","27570"
"In post","2021","Asian","Unknown","South East (England)","Outside London","630","570","27850","27570"
"In post","2021","Asian","Unknown","South West (England)","Outside London","130","120","29190","27570"
"In post","2021","Asian","Unknown","Unknown","Unknown","135","120","27810","27570"
"In post","2021","Asian","Unknown","Wales","Outside London","135","130","30630","27570"
"In post","2021","Asian","Unknown","West Midlands (England)","Outside London","1635","1485","25790","27570"
"In post","2021","Asian","Unknown","Yorkshire and The Humber","Outside London","1135","1040","26350","27570"
