"Status","Year","Function_of_post","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Finance","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","Heterosexual / straight","85","80","50880","53360"
"In post","2021","Analysis","Intelligence Analysis","London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","Unknown","110","110","55500","53360"
"In post","2021","Analysis","Intelligence Analysis","Outside London","Heterosexual / straight","50","50","46710","49530"
"In post","2021","Analysis","Intelligence Analysis","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","London","Heterosexual / straight","40","40","36020","32540"
"In post","2021","Analysis","Operational Delivery","London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","London","Unknown","30","30","42460","35980"
"In post","2021","Analysis","Operational Delivery","Outside London","Heterosexual / straight","310","290","31580","30040"
"In post","2021","Analysis","Operational Delivery","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Outside London","Unknown","150","140","30250","29540"
"In post","2021","Analysis","Operational Research","London","Heterosexual / straight","175","170","50040","48230"
"In post","2021","Analysis","Operational Research","London","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Operational Research","London","Undeclared","35","30","52510","58130"
"In post","2021","Analysis","Operational Research","London","Unknown","40","40","47850","44490"
"In post","2021","Analysis","Operational Research","Outside London","Heterosexual / straight","285","275","40980","39000"
"In post","2021","Analysis","Operational Research","Outside London","LGBO","20","15","[c]","[c]"
"In post","2021","Analysis","Operational Research","Outside London","Undeclared","35","35","39560","37320"
"In post","2021","Analysis","Operational Research","Outside London","Unknown","45","45","37990","37320"
"In post","2021","Analysis","Operational Research","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","London","Heterosexual / straight","155","150","67000","60780"
"In post","2021","Analysis","Other","London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Other","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Other","London","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Other","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Other","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","London","Heterosexual / straight","145","135","47900","45850"
"In post","2021","Analysis","Policy","London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Policy","London","Unknown","45","45","57680","53590"
"In post","2021","Analysis","Policy","Outside London","Heterosexual / straight","95","90","42990","42220"
"In post","2021","Analysis","Policy","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","Outside London","Unknown","20","15","[c]","[c]"
"In post","2021","Analysis","Project Delivery","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Outside London","Heterosexual / straight","285","270","34550","30660"
"In post","2021","Analysis","Science and Engineering","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Outside London","Undeclared","40","40","37990","36580"
"In post","2021","Analysis","Science and Engineering","Outside London","Unknown","305","290","35610","30220"
"In post","2021","Analysis","Social Research","London","Heterosexual / straight","245","235","47010","42890"
"In post","2021","Analysis","Social Research","London","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Social Research","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","Social Research","London","Unknown","45","45","42370","40960"
"In post","2021","Analysis","Social Research","Outside London","Heterosexual / straight","370","350","38890","37020"
"In post","2021","Analysis","Social Research","Outside London","LGBO","40","40","36000","33170"
"In post","2021","Analysis","Social Research","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Social Research","Outside London","Unknown","115","110","36520","36030"
"In post","2021","Analysis","Statistics","London","Heterosexual / straight","560","545","47790","42980"
"In post","2021","Analysis","Statistics","London","LGBO","55","55","45990","42310"
"In post","2021","Analysis","Statistics","London","Undeclared","55","55","45840","41870"
"In post","2021","Analysis","Statistics","London","Unknown","115","110","43940","40020"
"In post","2021","Analysis","Statistics","Outside London","Heterosexual / straight","655","635","41140","37760"
"In post","2021","Analysis","Statistics","Outside London","LGBO","75","70","37060","32480"
"In post","2021","Analysis","Statistics","Outside London","Undeclared","65","60","37740","35010"
"In post","2021","Analysis","Statistics","Outside London","Unknown","200","195","38360","36030"
"In post","2021","Analysis","Statistics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","London","Heterosexual / straight","40","40","48000","41950"
"In post","2021","Analysis","Unknown","London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","London","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Unknown","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","London","Heterosexual / straight","455","445","47990","43840"
"In post","2021","Commercial","Commercial","London","LGBO","25","25","[c]","[c]"
"In post","2021","Commercial","Commercial","London","Undeclared","45","45","46430","42160"
"In post","2021","Commercial","Commercial","London","Unknown","175","170","46730","40650"
"In post","2021","Commercial","Commercial","Outside London","Heterosexual / straight","2310","2230","39340","36780"
"In post","2021","Commercial","Commercial","Outside London","LGBO","100","100","35990","33300"
"In post","2021","Commercial","Commercial","Outside London","Undeclared","315","295","37590","35420"
"In post","2021","Commercial","Commercial","Outside London","Unknown","620","600","38540","37420"
"In post","2021","Commercial","Commercial","Overseas","Heterosexual / straight","30","30","50030","43060"
"In post","2021","Commercial","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Outside London","Heterosexual / straight","40","40","32890","27950"
"In post","2021","Commercial","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","London","Heterosexual / straight","85","85","36350","31840"
"In post","2021","Commercial","Knowledge and Information Management","London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","London","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","Heterosexual / straight","415","405","32030","28940"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","Undeclared","90","85","36420","33300"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","Unknown","35","35","29680","26670"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","London","Heterosexual / straight","185","180","52310","48420"
"In post","2021","Commercial","Operational Delivery","London","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","London","Unknown","35","35","58600","44080"
"In post","2021","Commercial","Operational Delivery","Outside London","Heterosexual / straight","115","110","30560","28640"
"In post","2021","Commercial","Operational Delivery","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Outside London","Unknown","30","25","[c]","[c]"
"In post","2021","Commercial","Other","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Other","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Outside London","Heterosexual / straight","45","40","41860","40730"
"In post","2021","Commercial","Other","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Other","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Policy","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Policy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Outside London","Heterosexual / straight","50","45","47650","42850"
"In post","2021","Commercial","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","Heterosexual / straight","85","85","40190","40010"
"In post","2021","Commercial","Science and Engineering","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","London","Heterosexual / straight","190","190","75270","64500"
"In post","2021","Commercial","Unknown","London","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","Unknown","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","Unknown","London","Unknown","530","520","76700","68270"
"In post","2021","Commercial","Unknown","Outside London","Heterosexual / straight","115","110","63620","64500"
"In post","2021","Commercial","Unknown","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Outside London","Unknown","545","540","63790","61710"
"In post","2021","Commercial","Unknown","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","London","Heterosexual / straight","1060","1035","46730","42470"
"In post","2021","Communications","Communications","London","LGBO","120","115","45420","43160"
"In post","2021","Communications","Communications","London","Undeclared","120","115","44400","41030"
"In post","2021","Communications","Communications","London","Unknown","495","480","45580","41760"
"In post","2021","Communications","Communications","Outside London","Heterosexual / straight","1115","1065","36000","33300"
"In post","2021","Communications","Communications","Outside London","LGBO","60","55","35270","32650"
"In post","2021","Communications","Communications","Outside London","Undeclared","135","125","32220","30560"
"In post","2021","Communications","Communications","Outside London","Unknown","320","305","37560","35390"
"In post","2021","Communications","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Communications","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","London","Heterosexual / straight","45","45","49500","37430"
"In post","2021","Communications","Operational Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","London","Unknown","30","25","39180","32520"
"In post","2021","Communications","Operational Delivery","Outside London","Heterosexual / straight","900","850","29550","26520"
"In post","2021","Communications","Operational Delivery","Outside London","LGBO","50","50","28610","31810"
"In post","2021","Communications","Operational Delivery","Outside London","Undeclared","90","85","28810","25560"
"In post","2021","Communications","Operational Delivery","Outside London","Unknown","405","380","27840","25560"
"In post","2021","Communications","Other","London","Heterosexual / straight","150","145","25230","21930"
"In post","2021","Communications","Other","London","LGBO","5","5","[c]","[c]"
"In post","2021","Communications","Other","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Communications","Other","London","Unknown","15","15","[c]","[c]"
"In post","2021","Communications","Other","Outside London","Heterosexual / straight","45","45","25770","19980"
"In post","2021","Communications","Other","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Communications","Other","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Communications","Policy","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Communications","Policy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Communications","Policy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Communications","Policy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","Outside London","Heterosexual / straight","1015","975","27900","25560"
"In post","2021","Communications","Tax","Outside London","LGBO","85","85","27750","25560"
"In post","2021","Communications","Tax","Outside London","Undeclared","85","80","28380","25560"
"In post","2021","Communications","Tax","Outside London","Unknown","950","925","26720","25560"
"In post","2021","Communications","Unknown","London","Heterosexual / straight","185","185","48560","43690"
"In post","2021","Communications","Unknown","London","LGBO","25","25","[c]","[c]"
"In post","2021","Communications","Unknown","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Communications","Unknown","London","Unknown","125","120","48860","43450"
"In post","2021","Communications","Unknown","Outside London","Heterosexual / straight","190","190","29870","25560"
