"Status","Year","Disability","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","EO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","G6/G7","20","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","G6/G7","50","45","58340","55610"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","London","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","London","EO","80","80","27780","27500"
"In post","2021","Declared disabled","Cabinet Office","London","G6/G7","200","195","58560","56340"
"In post","2021","Declared disabled","Cabinet Office","London","SCS level","40","40","90710","76200"
"In post","2021","Declared disabled","Cabinet Office","London","SEO/HEO","140","140","36950","35590"
"In post","2021","Declared disabled","Cabinet Office","North East (England)","AA/AO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North East (England)","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North East (England)","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North West (England)","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","North West (England)","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Yorkshire and The Humber","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Yorkshire and The Humber","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Yorkshire and The Humber","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Yorkshire and The Humber","SEO/HEO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","London","G6/G7","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","SEO/HEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","London","AA/AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","London","EO","50","50","28790","27690"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","London","G6/G7","190","185","58880","56380"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","215","210","37850","36740"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","AA/AO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","SEO/HEO","60","55","36290","33860"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","AA/AO","40","40","21500","21910"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","EO","40","40","26670","25100"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","G6/G7","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","SEO/HEO","60","55","37760","39370"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","AA/AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","EO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","SEO/HEO","35","35","35720","32610"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","G6/G7","45","40","57340","54730"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","SEO/HEO","50","50","36290","34210"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East Midlands (England)","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East Midlands (England)","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East Midlands (England)","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","London","EO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","London","G6/G7","85","80","59810","58600"
"In post","2021","Declared disabled","Department for Education","London","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","London","SEO/HEO","90","85","38700","40230"
"In post","2021","Declared disabled","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North East (England)","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North East (England)","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North East (England)","SEO/HEO","45","45","34230","36500"
"In post","2021","Declared disabled","Department for Education","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North West (England)","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North West (England)","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","North West (England)","SEO/HEO","60","60","33960","32750"
"In post","2021","Declared disabled","Department for Education","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","South West (England)","EO","[c]","[c]","[c]","[c]"
