"Status","Year","Age","Disability","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Government (excl. agencies)","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Office and Procurator Fiscal Service","Scottish Government","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Electronics and Components Agency","Ministry of Defence","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","65","65","18710","19040"
"In post","2021","16-19","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","165","165","22640","21010"
"In post","2021","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","Department for Transport","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","FCDO Services","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Forestry and Land Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Courts and Tribunals Service","Ministry of Justice","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Prison and Probation Service","Ministry of Justice","60","60","22480","22850"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","75","70","20660","20140"
"In post","2021","16-19","Declared non-disabled","HM Treasury (excl. agencies)","HM Treasury","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office (incl. agencies)","Home Office","35","30","22720","21430"
"In post","2021","16-19","Declared non-disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Public Health England","Department of Health and Social Care","20","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scottish Government (excl. agencies)","Scottish Government","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Social Security Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Valuation Office Agency","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Transport (excl. agencies)","Department for Transport","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Companies House","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Crown Prosecution Service","Attorney General's Departments","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Defence Equipment and Support","Ministry of Defence","40","40","17140","16780"
"In post","2021","16-19","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education (excl. agencies)","Department for Education","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Driver and Vehicle Licensing Agency","Department for Transport","15","10","[c]","[c]"
"In post","2021","16-19","Unknown","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Courts and Tribunals Service","Ministry of Justice","25","25","[c]","[c]"
"In post","2021","16-19","Unknown","HM Land Registry","HM Land Registry","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","HM Prison and Probation Service","Ministry of Justice","30","30","22930","22350"
"In post","2021","16-19","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","150","140","20430","20140"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Home Office","40","40","22060","21430"
"In post","2021","16-19","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Royal Fleet Auxiliary","Ministry of Defence","35","35","18640","15940"
"In post","2021","16-19","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Courts and Tribunals Service","Scottish Government","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government (excl. agencies)","Scottish Government","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Prison Service","Scottish Government","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Submarine Delivery Agency","Ministry of Defence","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","United Kingdom Statistics Authority","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Valuation Office Agency","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","50","50","24600","24640"
"In post","2021","20-29","Declared disabled","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","165","165","34290","32000"
"In post","2021","20-29","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Crown Prosecution Service","Attorney General's Departments","30","30","28520","24590"
"In post","2021","20-29","Declared disabled","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Defence Equipment and Support","Ministry of Defence","160","160","26870","26070"
"In post","2021","20-29","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","105","100","28290","28650"
"In post","2021","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","135","130","39230","35140"
"In post","2021","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","35","35","39930","36180"
"In post","2021","20-29","Declared disabled","Department for Education (excl. agencies)","Department for Education","95","90","36250","33190"
"In post","2021","20-29","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","115","110","34190","32890"
"In post","2021","20-29","Declared disabled","Department for International Trade","Department for International Trade","50","50","36940","32120"
"In post","2021","20-29","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","45","45","38410","34710"
"In post","2021","20-29","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","1130","1105","26320","27570"
"In post","2021","20-29","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","40","35","37460","32790"
"In post","2021","20-29","Declared disabled","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Education and Skills Funding Agency","Department for Education","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","120","120","35030","35700"
"In post","2021","20-29","Declared disabled","Forestry and Land Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Government Actuary's Department","Chancellor's other departments","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Government Internal Audit Agency","HM Treasury","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Government Legal Department","Attorney General's Departments","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Health and Safety Executive","Department for Work and Pensions","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","155","155","21340","19930"
"In post","2021","20-29","Declared disabled","HM Land Registry","HM Land Registry","30","30","25090","22350"
"In post","2021","20-29","Declared disabled","HM Prison and Probation Service","Ministry of Justice","660","650","25990","24920"
"In post","2021","20-29","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","335","325","28560","25560"
"In post","2021","20-29","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","80","80","38490","32320"
"In post","2021","20-29","Declared disabled","Home Office (incl. agencies)","Home Office","230","225","28670","24890"
"In post","2021","20-29","Declared disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal Aid Agency","Ministry of Justice","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Maritime and Coastguard Agency","Department for Transport","10","10","[c]","[c]"
