"Status","Year","Age","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","London","AA","5","5","[c]","[c]"
"In post","2021","16-19","Public Health England","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Outside London","AA","5","5","[c]","[c]"
"In post","2021","16-19","Public Health England","Outside London","AO","10","5","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Outside London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Outside London","AA","40","40","20860","21150"
"In post","2021","16-19","Scottish Government (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Outside London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Outside London","AA","10","10","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Outside London","Unknown","15","15","16840","16780"
"In post","2021","16-19","The National Archives","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","AO","5","5","[c]","[c]"
