"Status","Year","Age","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Operational Delivery","25","25","21830","21950"
"In post","2021","16-19","Legal","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","Science and Engineering","15","15","17150","16990"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","Policy","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","15","15","24110","25170"
"In post","2021","16-19","No function","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Licensing Agency","Operational Delivery","35","25","19020","18060"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Operational Delivery","40","40","19090","18880"
"In post","2021","16-19","No function","HM Land Registry","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","Operational Delivery","95","95","22620","22850"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Operational Delivery","20","20","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Tax","100","95","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Unknown","30","25","20560","20140"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","Policy","10","10","24140","24300"
"In post","2021","16-19","No function","Insolvency Service","Operational Delivery","10","10","20680","20880"
"In post","2021","16-19","No function","Institute for Apprenticeships and Technical Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of the Public Guardian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","Operational Delivery","20","10","21070","19630"
"In post","2021","16-19","No function","Public Health England","Science and Engineering","5","5","[c]","[c]"
"In post","2021","16-19","No function","Registers of Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Prison Service","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","No function","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","UK Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Operational Delivery","10","10","18700","19130"
"In post","2021","16-19","No function","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Electronics and Components Agency","Science and Engineering","15","15","16460","15820"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","Other","20","20","17870","17780"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","Science and Engineering","65","65","17850","17780"
"In post","2021","16-19","Project Delivery","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Submarine Delivery Agency","Science and Engineering","15","15","16840","16780"
"In post","2021","16-19","Property","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","FCDO Services","Property","10","10","[c]","[c]"
"In post","2021","16-19","Property","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","Property","10","10","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Security","FCDO Services","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","Security","15","15","21860","19560"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","200","195","22680","21010"
"In post","2021","16-19","Unknown","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Operational Delivery","65","60","21550","21430"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Other","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Other","10","10","20550","20920"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Royal Fleet Auxiliary","Other","35","35","18640","15940"
"In post","2021","16-19","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government (excl. agencies)","Unknown","45","45","21410","21150"
"In post","2021","16-19","Unknown","Social Security Scotland","Unknown","10","10","21330","20610"
"In post","2021","16-19","Unknown","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office (excl. agencies)","Unknown","15","15","32390","28560"
"In post","2021","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","65","65","25270","24920"
"In post","2021","20-29","Analysis","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","Economics","30","30","40360","34570"
"In post","2021","20-29","Analysis","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Debt Management Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","Operational Research","55","55","31700","28650"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","Science and Engineering","45","45","29240","28650"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","145","145","36720","34090"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","10","10","43390","38760"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","Economics","45","45","47990","42020"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","10","10","35690","36520"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","Social Research","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","Statistics","10","10","46790","42110"
"In post","2021","20-29","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","35","35","39350","39780"
"In post","2021","20-29","Analysis","Department for Education (excl. agencies)","Policy","105","100","40330","37280"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Department for International Trade","Economics","95","95","36540","31800"
"In post","2021","20-29","Analysis","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for International Trade","Policy","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for International Trade","Social Research","10","10","35100","31800"
"In post","2021","20-29","Analysis","Department for International Trade","Statistics","20","20","35710","32120"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Economics","110","110","39350","34710"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Social Research","15","15","39200","38950"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Statistics","45","45","37810","35060"
"In post","2021","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","70","70","47060","53360"
"In post","2021","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","15","15","40490","36820"
"In post","2021","20-29","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","Economics","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","Social Research","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Government Actuary's Department","Other","50","50","36990","36230"
"In post","2021","20-29","Analysis","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Courts and Tribunals Service","Social Research","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","Economics","65","60","37750","36160"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","35","35","35640","36160"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","25","25","34840","36160"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","90","90","36120","36160"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","Tax","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","15","15","41960","38630"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","Economics","55","55","38760","32320"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","Policy","15","15","50570","52500"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Insolvency Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Defence (excl. agencies)","Economics","20","20","38630","37000"
"In post","2021","20-29","Analysis","Ministry of Defence (excl. agencies)","Statistics","70","70","34600","35250"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Economics","50","50","35560","33210"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","10","10","44260","42980"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","25","25","38270","35700"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Economics","30","30","35710","31470"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Operational Research","35","35","38220","33930"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Social Research","20","20","39200","40480"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Statistics","30","30","34470","33930"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
