"Status","Year","Age","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","10","10","24190","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","65","65","25270","24920"
"In post","2021","20-29","Charity Commission","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Unknown","London","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","Unknown","Outside London","25","25","25690","24440"
"In post","2021","20-29","Companies House","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Digital, Data and Technology","Outside London","40","40","31660","32720"
"In post","2021","20-29","Companies House","Finance","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Companies House","Human Resources","Outside London","10","10","28740","24500"
"In post","2021","20-29","Companies House","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Operational Delivery","Outside London","60","55","21150","19850"
"In post","2021","20-29","Companies House","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Communications","London","10","10","32970","33610"
"In post","2021","20-29","Competition and Markets Authority","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Digital, Data and Technology","London","15","15","41990","34870"
"In post","2021","20-29","Competition and Markets Authority","Economics","London","30","30","40790","34570"
"In post","2021","20-29","Competition and Markets Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Legal","London","15","15","41640","33460"
"In post","2021","20-29","Competition and Markets Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Policy","London","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Project Delivery","London","55","55","34030","33120"
"In post","2021","20-29","Competition and Markets Authority","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","20","20","21850","22570"
"In post","2021","20-29","Crown Commercial Service","Commercial","London","5","5","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Commercial","Outside London","65","65","27840","27770"
"In post","2021","20-29","Crown Commercial Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Digital, Data and Technology","Outside London","15","15","29860","27770"
"In post","2021","20-29","Crown Commercial Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Operational Delivery","Outside London","30","30","25670","22230"
"In post","2021","20-29","Crown Commercial Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Human Resources","Outside London","10","10","[c]","[c]"
