"Status","Year","Age","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","Scottish Courts and Tribunals Service","Scottish Government","AA/AO","275","240","21500","22820"
"In post","2021","50-59","Scottish Courts and Tribunals Service","Scottish Government","EO","135","125","28860","29350"
"In post","2021","50-59","Scottish Courts and Tribunals Service","Scottish Government","G6/G7","25","25","61390","60220"
"In post","2021","50-59","Scottish Courts and Tribunals Service","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Courts and Tribunals Service","Scottish Government","SEO/HEO","90","90","39230","35230"
"In post","2021","50-59","Scottish Courts and Tribunals Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Fiscal Commission","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Fiscal Commission","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Fiscal Commission","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Forestry","Scottish Government","AA/AO","15","15","23490","22920"
"In post","2021","50-59","Scottish Forestry","Scottish Government","EO","10","10","31760","30160"
"In post","2021","50-59","Scottish Forestry","Scottish Government","G6/G7","10","10","61260","58700"
"In post","2021","50-59","Scottish Forestry","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Forestry","Scottish Government","SEO/HEO","25","25","41470","40560"
"In post","2021","50-59","Scottish Government (excl. agencies)","Scottish Government","AA/AO","210","200","24390","23340"
"In post","2021","50-59","Scottish Government (excl. agencies)","Scottish Government","EO","220","210","29290","29190"
"In post","2021","50-59","Scottish Government (excl. agencies)","Scottish Government","G6/G7","645","625","65040","62510"
"In post","2021","50-59","Scottish Government (excl. agencies)","Scottish Government","SCS level","85","85","92170","83230"
"In post","2021","50-59","Scottish Government (excl. agencies)","Scottish Government","SEO/HEO","795","770","41370","42190"
"In post","2021","50-59","Scottish Housing Regulator","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Housing Regulator","Scottish Government","G6/G7","10","10","64580","61010"
"In post","2021","50-59","Scottish Housing Regulator","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Housing Regulator","Scottish Government","SEO/HEO","5","5","[c]","[c]"
"In post","2021","50-59","Scottish Prison Service","Scottish Government","AA/AO","310","290","24620","25870"
"In post","2021","50-59","Scottish Prison Service","Scottish Government","EO","800","770","33530","33650"
"In post","2021","50-59","Scottish Prison Service","Scottish Government","G6/G7","65","65","63830","57960"
"In post","2021","50-59","Scottish Prison Service","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Prison Service","Scottish Government","SEO/HEO","305","280","41150","39500"
"In post","2021","50-59","Scottish Public Pensions Agency","Scottish Government","AA/AO","45","40","23980","24110"
"In post","2021","50-59","Scottish Public Pensions Agency","Scottish Government","EO","25","20","28480","29190"
"In post","2021","50-59","Scottish Public Pensions Agency","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Public Pensions Agency","Scottish Government","SEO/HEO","5","5","[c]","[c]"
"In post","2021","50-59","Serious Fraud Office","Attorney General's Departments","AA/AO","5","5","[c]","[c]"
"In post","2021","50-59","Serious Fraud Office","Attorney General's Departments","EO","15","15","29230","29850"
"In post","2021","50-59","Serious Fraud Office","Attorney General's Departments","G6/G7","55","50","63760","61020"
"In post","2021","50-59","Serious Fraud Office","Attorney General's Departments","SCS level","5","5","[c]","[c]"
"In post","2021","50-59","Serious Fraud Office","Attorney General's Departments","SEO/HEO","40","40","38760","40000"
"In post","2021","50-59","Serious Fraud Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Social Security Scotland","Scottish Government","AA/AO","70","65","21070","21150"
"In post","2021","50-59","Social Security Scotland","Scottish Government","EO","50","45","27310","26160"
"In post","2021","50-59","Social Security Scotland","Scottish Government","G6/G7","40","40","62290","61010"
"In post","2021","50-59","Social Security Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Social Security Scotland","Scottish Government","SEO/HEO","75","75","36710","35110"
"In post","2021","50-59","Standards and Testing Agency","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Standards and Testing Agency","Department for Education","G6/G7","5","5","[c]","[c]"
"In post","2021","50-59","Standards and Testing Agency","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Standards and Testing Agency","Department for Education","SEO/HEO","15","15","34830","33220"
"In post","2021","50-59","Student Awards Agency for Scotland","Scottish Government","AA/AO","25","20","22420","22230"
"In post","2021","50-59","Student Awards Agency for Scotland","Scottish Government","EO","10","5","[c]","[c]"
"In post","2021","50-59","Student Awards Agency for Scotland","Scottish Government","G6/G7","5","5","[c]","[c]"
"In post","2021","50-59","Student Awards Agency for Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Student Awards Agency for Scotland","Scottish Government","SEO/HEO","10","10","43030","46190"
"In post","2021","50-59","Submarine Delivery Agency","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Submarine Delivery Agency","Ministry of Defence","Unknown","435","430","49860","46180"
"In post","2021","50-59","Teaching Regulation Agency","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Teaching Regulation Agency","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Teaching Regulation Agency","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Teaching Regulation Agency","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Teaching Regulation Agency","Department for Education","SEO/HEO","5","5","[c]","[c]"
"In post","2021","50-59","The National Archives","The National Archives","AA/AO","20","20","22390","22390"
"In post","2021","50-59","The National Archives","The National Archives","EO","25","25","26290","25170"
"In post","2021","50-59","The National Archives","The National Archives","G6/G7","25","25","54150","51130"
"In post","2021","50-59","The National Archives","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","The National Archives","The National Archives","SEO/HEO","70","65","38640","36720"
"In post","2021","50-59","Transport Scotland","Scottish Government","AA/AO","10","10","23500","23170"
"In post","2021","50-59","Transport Scotland","Scottish Government","EO","10","10","28540","29190"
"In post","2021","50-59","Transport Scotland","Scottish Government","G6/G7","50","50","64610","65010"
"In post","2021","50-59","Transport Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Transport Scotland","Scottish Government","SEO/HEO","60","60","41790","42620"
"In post","2021","50-59","UK Export Finance","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","UK Export Finance","UK Export Finance","EO","10","10","30120","29470"
"In post","2021","50-59","UK Export Finance","UK Export Finance","G6/G7","30","30","68640","70570"
"In post","2021","50-59","UK Export Finance","UK Export Finance","SCS level","10","10","129200","108310"
"In post","2021","50-59","UK Export Finance","UK Export Finance","SEO/HEO","45","45","43920","44080"
"In post","2021","50-59","UK Hydrographic Office","Ministry of Defence","AA/AO","15","15","20630","20170"
"In post","2021","50-59","UK Hydrographic Office","Ministry of Defence","EO","60","55","27960","27520"
"In post","2021","50-59","UK Hydrographic Office","Ministry of Defence","G6/G7","25","25","57210","53720"
"In post","2021","50-59","UK Hydrographic Office","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","UK Hydrographic Office","Ministry of Defence","SEO/HEO","115","110","38200","35340"
"In post","2021","50-59","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","AA/AO","35","35","20750","21140"
"In post","2021","50-59","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","60","60","25510","26860"
"In post","2021","50-59","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6/G7","100","95","60010","59720"
"In post","2021","50-59","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SCS level","15","15","76220","72650"
"In post","2021","50-59","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","105","100","38910","39540"
"In post","2021","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","20","20","57290","56910"
"In post","2021","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2021","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","10","10","35870","36740"
"In post","2021","50-59","UK Supreme Court","UK Supreme Court","EO","10","10","[c]","[c]"
"In post","2021","50-59","UK Supreme Court","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","50-59","UK Supreme Court","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","UK Supreme Court","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","United Kingdom Statistics Authority","United Kingdom Statistics Authority","AA/AO","480","325","19620","19520"
"In post","2021","50-59","United Kingdom Statistics Authority","United Kingdom Statistics Authority","EO","165","155","24290","23520"
"In post","2021","50-59","United Kingdom Statistics Authority","United Kingdom Statistics Authority","G6/G7","230","230","54290","51640"
"In post","2021","50-59","United Kingdom Statistics Authority","United Kingdom Statistics Authority","SCS level","25","25","88310","75870"
"In post","2021","50-59","United Kingdom Statistics Authority","United Kingdom Statistics Authority","SEO/HEO","350","335","34060","34460"
"In post","2021","50-59","Valuation Office Agency","HM Revenue and Customs","AA/AO","240","215","21540","21100"
"In post","2021","50-59","Valuation Office Agency","HM Revenue and Customs","EO","310","290","27440","26500"
"In post","2021","50-59","Valuation Office Agency","HM Revenue and Customs","G6/G7","200","200","59270","57130"
"In post","2021","50-59","Valuation Office Agency","HM Revenue and Customs","SCS level","10","10","[c]","[c]"
"In post","2021","50-59","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","450","430","39730","41340"
"In post","2021","50-59","Vehicle Certification Agency","Department for Transport","AA/AO","10","10","21810","21590"
"In post","2021","50-59","Vehicle Certification Agency","Department for Transport","EO","5","5","[c]","[c]"
"In post","2021","50-59","Vehicle Certification Agency","Department for Transport","G6/G7","5","5","[c]","[c]"
"In post","2021","50-59","Vehicle Certification Agency","Department for Transport","SEO/HEO","20","20","44490","44010"
"In post","2021","50-59","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","AA/AO","10","10","[c]","[c]"
"In post","2021","50-59","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2021","50-59","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","G6/G7","20","20","60800","61710"
"In post","2021","50-59","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","SEO/HEO","15","15","36410","35580"
"In post","2021","50-59","Wales Office","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Wales Office","Wales Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Water Services Regulation Authority","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Water Services Regulation Authority","Water Services Regulation Authority","EO","5","5","[c]","[c]"
"In post","2021","50-59","Water Services Regulation Authority","Water Services Regulation Authority","G6/G7","15","15","78950","74720"
"In post","2021","50-59","Water Services Regulation Authority","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Water Services Regulation Authority","Water Services Regulation Authority","SEO/HEO","25","20","51230","50220"
"In post","2021","50-59","Welsh Government (excl. agencies)","Welsh Government","AA/AO","195","180","23810","23830"
"In post","2021","50-59","Welsh Government (excl. agencies)","Welsh Government","EO","255","240","28830","28850"
"In post","2021","50-59","Welsh Government (excl. agencies)","Welsh Government","G6/G7","375","370","63400","60830"
"In post","2021","50-59","Welsh Government (excl. agencies)","Welsh Government","SCS level","70","70","91170","82600"
"In post","2021","50-59","Welsh Government (excl. agencies)","Welsh Government","SEO/HEO","765","735","41980","41560"
"In post","2021","50-59","Welsh Revenue Authority","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Welsh Revenue Authority","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Welsh Revenue Authority","Welsh Government","G6/G7","10","10","[c]","[c]"
"In post","2021","50-59","Welsh Revenue Authority","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Wilton Park","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Wilton Park","Foreign, Commonwealth and Development Office","EO","10","5","[c]","[c]"
"In post","2021","50-59","Wilton Park","Foreign, Commonwealth and Development Office","G6/G7","5","5","[c]","[c]"
"In post","2021","50-59","Wilton Park","Foreign, Commonwealth and Development Office","SEO/HEO","5","5","[c]","[c]"
"In post","2021","60-64","Accountant in Bankruptcy","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Accountant in Bankruptcy","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Accountant in Bankruptcy","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","5","5","[c]","[c]"
"In post","2021","60-64","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","20","20","26610","26280"
"In post","2021","60-64","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","10","5","[c]","[c]"
"In post","2021","60-64","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","50","40","37260","34500"
"In post","2021","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","60","55","22080","21050"
"In post","2021","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","60","50","26830","26520"
"In post","2021","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","15","15","57110","54940"
"In post","2021","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","75","65","37400","35900"
"In post","2021","60-64","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","45","35","21740","20920"
"In post","2021","60-64","Cabinet Office (excl. agencies)","Cabinet Office","EO","30","25","27670","26670"
"In post","2021","60-64","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","75","65","62530","59680"
"In post","2021","60-64","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","40","35","107970","101840"
"In post","2021","60-64","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","75","65","36030","35590"
"In post","2021","60-64","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","5","5","[c]","[c]"
"In post","2021","60-64","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2021","60-64","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","10","10","[c]","[c]"
"In post","2021","60-64","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","15","10","34170","33850"
"In post","2021","60-64","Charity Commission","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Charity Commission","Charity Commission","EO","10","10","25810","26190"
"In post","2021","60-64","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Charity Commission","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Charity Commission","Charity Commission","SEO/HEO","15","15","33700","31380"
"In post","2021","60-64","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","60","50","22140","22490"
"In post","2021","60-64","Companies House","Department for Business, Energy and Industrial Strategy","EO","20","15","27660","27460"
"In post","2021","60-64","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","15","15","43000","42990"
"In post","2021","60-64","Competition and Markets Authority","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Competition and Markets Authority","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Competition and Markets Authority","Competition and Markets Authority","G6/G7","10","10","64850","61320"
"In post","2021","60-64","Competition and Markets Authority","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","5","5","[c]","[c]"
"In post","2021","60-64","Criminal Injuries Compensation Authority","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","5","5","[c]","[c]"
"In post","2021","60-64","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Crown Commercial Service","Other Cabinet Office Agencies","EO","5","5","[c]","[c]"
"In post","2021","60-64","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","5","5","[c]","[c]"
"In post","2021","60-64","Crown Commercial Service","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","10","5","[c]","[c]"
"In post","2021","60-64","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","55","50","22190","22220"
"In post","2021","60-64","Crown Office and Procurator Fiscal Service","Scottish Government","EO","15","10","28860","29040"
"In post","2021","60-64","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","15","15","66160","68470"
"In post","2021","60-64","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","30","25","45980","48690"
"In post","2021","60-64","Crown Prosecution Service","Attorney General's Departments","AA/AO","95","80","22620","21950"
"In post","2021","60-64","Crown Prosecution Service","Attorney General's Departments","EO","70","60","28650","28430"
"In post","2021","60-64","Crown Prosecution Service","Attorney General's Departments","G6/G7","210","175","60750","60710"
"In post","2021","60-64","Crown Prosecution Service","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","40","35","35760","34480"
"In post","2021","60-64","Debt Management Office","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Debt Management Office","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Debt Management Office","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","15","10","21280","21000"
"In post","2021","60-64","Defence Electronics and Components Agency","Ministry of Defence","EO","40","35","27880","28750"
"In post","2021","60-64","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","5","5","[c]","[c]"
"In post","2021","60-64","Defence Equipment and Support","Ministry of Defence","EO","205","190","22600","21800"
"In post","2021","60-64","Defence Equipment and Support","Ministry of Defence","G6/G7","125","110","57970","55930"
"In post","2021","60-64","Defence Equipment and Support","Ministry of Defence","SCS level","10","10","116050","99220"
"In post","2021","60-64","Defence Equipment and Support","Ministry of Defence","SEO/HEO","525","475","37730","37960"
"In post","2021","60-64","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Defence Science and Technology Laboratory","Ministry of Defence","EO","10","10","23790","22780"
"In post","2021","60-64","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","150","130","53840","50900"
"In post","2021","60-64","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","100","90","35600","37320"
"In post","2021","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","[c]","[c]"
"In post","2021","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","30","30","28790","28110"
"In post","2021","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","55","50","63220","59080"
"In post","2021","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","45","45","38450","36740"
"In post","2021","60-64","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","15","15","62690","58920"
"In post","2021","60-64","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","10","10","39410","37190"
"In post","2021","60-64","Department for Education (excl. agencies)","Department for Education","AA/AO","5","5","[c]","[c]"
"In post","2021","60-64","Department for Education (excl. agencies)","Department for Education","EO","25","25","27470","26000"
"In post","2021","60-64","Department for Education (excl. agencies)","Department for Education","G6/G7","80","80","59580","60780"
"In post","2021","60-64","Department for Education (excl. agencies)","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Department for Education (excl. agencies)","Department for Education","SEO/HEO","70","65","37830","37100"
"In post","2021","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","15","15","23100","24370"
"In post","2021","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","40","40","27240","27380"
"In post","2021","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","55","55","56570","56760"
"In post","2021","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","10","10","90830","87470"
"In post","2021","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","70","65","35920","35900"
"In post","2021","60-64","Department for International Trade","Department for International Trade","AA/AO","10","10","[c]","[c]"
"In post","2021","60-64","Department for International Trade","Department for International Trade","EO","10","10","29760","30040"
"In post","2021","60-64","Department for International Trade","Department for International Trade","G6/G7","25","25","62220","60130"
"In post","2021","60-64","Department for International Trade","Department for International Trade","SCS level","5","5","[c]","[c]"
"In post","2021","60-64","Department for International Trade","Department for International Trade","SEO/HEO","30","30","38510","38800"
"In post","2021","60-64","Department for Transport (excl. agencies)","Department for Transport","AA/AO","30","25","28870","27370"
"In post","2021","60-64","Department for Transport (excl. agencies)","Department for Transport","EO","25","25","29390","30490"
"In post","2021","60-64","Department for Transport (excl. agencies)","Department for Transport","G6/G7","35","35","66010","59540"
"In post","2021","60-64","Department for Transport (excl. agencies)","Department for Transport","SCS level","5","5","[c]","[c]"
"In post","2021","60-64","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","50","45","41070","41880"
"In post","2021","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","3560","2790","21150","21010"
"In post","2021","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","4600","3505","28030","27570"
"In post","2021","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","195","160","57410","55400"
"In post","2021","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","10","5","[c]","[c]"
"In post","2021","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","875","675","35600","34290"
"In post","2021","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","15","15","28730","29700"
"In post","2021","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","25","25","60270","59990"
"In post","2021","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","10","5","[c]","[c]"
"In post","2021","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","35","35","38030","37320"
"In post","2021","60-64","Disclosure Scotland","Scottish Government","AA/AO","20","20","22490","22230"
"In post","2021","60-64","Disclosure Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Disclosure Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Disclosure Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","410","285","20210","21590"
"In post","2021","60-64","Driver and Vehicle Licensing Agency","Department for Transport","EO","65","50","26800","26780"
"In post","2021","60-64","Driver and Vehicle Licensing Agency","Department for Transport","G6/G7","20","15","63520","57050"
"In post","2021","60-64","Driver and Vehicle Licensing Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","60","50","38800","39030"
"In post","2021","60-64","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","150","130","25000","26580"
"In post","2021","60-64","Driver and Vehicle Standards Agency","Department for Transport","EO","395","335","28380","26780"
"In post","2021","60-64","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","5","5","[c]","[c]"
"In post","2021","60-64","Driver and Vehicle Standards Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","95","85","35830","34800"
"In post","2021","60-64","Education and Skills Funding Agency","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Education and Skills Funding Agency","Department for Education","EO","5","5","[c]","[c]"
"In post","2021","60-64","Education and Skills Funding Agency","Department for Education","G6/G7","35","35","56960","54400"
"In post","2021","60-64","Education and Skills Funding Agency","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Education and Skills Funding Agency","Department for Education","SEO/HEO","30","30","35230","36640"
"In post","2021","60-64","Education Scotland","Scottish Government","AA/AO","5","5","[c]","[c]"
"In post","2021","60-64","Education Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Education Scotland","Scottish Government","G6/G7","25","20","74610","75940"
"In post","2021","60-64","Education Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
