"Status","Year","Disability","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Department of Health and Social Care","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Revenue and Customs","Outside London","10","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Defence","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Defence","Outside London","205","200","36580","34800"
"In post","2021","Declared disabled","Commercial","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Housing, Communities and Local Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Justice","London","35","35","46980","46550"
"In post","2021","Declared disabled","Commercial","Ministry of Justice","Outside London","85","85","41080","41100"
"In post","2021","Declared disabled","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other Cabinet Office Agencies","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","UK Export Finance","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cabinet Office","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Education","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Transport","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department of Health and Social Care","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Foreign, Commonwealth and Development Office","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Revenue and Customs","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Revenue and Customs","Outside London","265","245","28370","25560"
"In post","2021","Declared disabled","Communications","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Defence","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Defence","Outside London","60","55","30560","27080"
"In post","2021","Declared disabled","Communications","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Housing, Communities and Local Government","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","United Kingdom Statistics Authority","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Cabinet Office","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","HM Revenue and Customs","London","135","125","37620","36160"
"In post","2021","Declared disabled","Counter Fraud","HM Revenue and Customs","Outside London","630","575","31670","31810"
"In post","2021","Declared disabled","Counter Fraud","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","HM Revenue and Customs","London","50","45","26880","25630"
"In post","2021","Declared disabled","Debt","HM Revenue and Customs","Outside London","325","280","22500","21440"
"In post","2021","Declared disabled","Debt","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Attorney General's Departments","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Cabinet Office","London","85","80","49270","54700"
"In post","2021","Declared disabled","Digital, Data & Technology","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Outside London","70","70","37480","36480"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Education","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Education","Outside London","55","55","36450","36500"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Outside London","60","60","42650","42670"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for International Trade","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Transport","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Transport","Outside London","75","70","37350","33350"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department of Health and Social Care","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department of Health and Social Care","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Outside London","35","30","36280","33930"
"In post","2021","Declared disabled","Digital, Data & Technology","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","HM Land Registry","Outside London","40","40","36860","38450"
"In post","2021","Declared disabled","Digital, Data & Technology","HM Revenue and Customs","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","HM Revenue and Customs","Outside London","180","170","37640","33790"
"In post","2021","Declared disabled","Digital, Data & Technology","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Ministry of Defence","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Ministry of Defence","Outside London","130","125","32510","28610"
"In post","2021","Declared disabled","Digital, Data & Technology","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Ministry of Justice","London","50","50","48850","50460"
"In post","2021","Declared disabled","Digital, Data & Technology","Ministry of Justice","Outside London","45","40","37600","31970"
"In post","2021","Declared disabled","Digital, Data & Technology","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","National Crime Agency","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Office for Standards in Education","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other Cabinet Office Agencies","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Scottish Government","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","The National Archives","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","United Kingdom Statistics Authority","Outside London","40","40","40230","36250"
"In post","2021","Declared disabled","Digital, Data & Technology","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Cabinet Office","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
