"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Buckinghamshire CC","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","EO","EO","15","15","29940","28270"
"In post","2021","Analysis","Camden and City of London","G6/G7","G6","100","90","92250","89720"
"In post","2021","Analysis","Camden and City of London","G6/G7","G7","30","30","61460","59160"
"In post","2021","Analysis","Camden and City of London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","SEO/HEO","HEO","40","40","36940","36160"
"In post","2021","Analysis","Camden and City of London","SEO/HEO","SEO","30","30","47130","47650"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","G6/G7","G7","160","150","49130","46130"
"In post","2021","Analysis","Central Hampshire","SEO/HEO","HEO","70","70","28810","28650"
"In post","2021","Analysis","Central Hampshire","SEO/HEO","SEO","105","105","37470","37320"
"In post","2021","Analysis","Central Valleys","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","SEO/HEO","HEO","10","10","35720","36780"
"In post","2021","Analysis","City of Edinburgh","SEO/HEO","SEO","15","15","42060","42890"
"In post","2021","Analysis","Cornwall and Isles of Scilly","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Coventry","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Croydon","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Croydon","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","SEO/HEO","HEO","10","10","35730","36160"
"In post","2021","Analysis","Croydon","SEO/HEO","SEO","10","10","42180","41760"
"In post","2021","Analysis","Darlington","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","G6/G7","G7","10","10","50330","50630"
"In post","2021","Analysis","Darlington","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Darlington","SEO/HEO","SEO","10","10","41880","42220"
"In post","2021","Analysis","Devon CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","AA/AO","AO","10","10","21050","21050"
"In post","2021","Analysis","Dorset CC","EO","EO","30","25","25050","24920"
"In post","2021","Analysis","Dorset CC","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Dorset CC","G6/G7","G7","15","10","48590","48080"
"In post","2021","Analysis","Dorset CC","SEO/HEO","HEO","35","35","29680","29270"
"In post","2021","Analysis","Dorset CC","SEO/HEO","SEO","20","15","37570","36580"
"In post","2021","Analysis","Durham CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Glasgow City","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Leeds","EO","EO","20","20","22820","22540"
"In post","2021","Analysis","Leeds","G6/G7","G6","10","10","62930","62400"
"In post","2021","Analysis","Leeds","G6/G7","G7","55","50","51520","50620"
"In post","2021","Analysis","Leeds","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","SEO/HEO","HEO","25","25","30050","28970"
"In post","2021","Analysis","Leeds","SEO/HEO","SEO","20","20","38060","36820"
"In post","2021","Analysis","Leicester","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","G6/G7","G7","25","25","47520","52580"
"In post","2021","Analysis","Liverpool","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","SEO/HEO","HEO","20","15","31860","31810"
"In post","2021","Analysis","Liverpool","SEO/HEO","SEO","20","20","37690","38630"
"In post","2021","Analysis","Manchester","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","EO","EO","20","20","25980","25560"
"In post","2021","Analysis","Manchester","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Manchester","G6/G7","G7","45","40","51510","52580"
"In post","2021","Analysis","Manchester","SEO/HEO","HEO","80","80","32000","31810"
"In post","2021","Analysis","Manchester","SEO/HEO","SEO","70","65","38640","38630"
"In post","2021","Analysis","Medway","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","AA/AO","AO","50","50","19210","19130"
"In post","2021","Analysis","Monmouthshire and Newport","EO","EO","140","125","24100","23050"
"In post","2021","Analysis","Monmouthshire and Newport","G6/G7","G6","35","35","60980","58880"
"In post","2021","Analysis","Monmouthshire and Newport","G6/G7","G7","175","170","50550","49120"
"In post","2021","Analysis","Monmouthshire and Newport","SCS level","SCS level","20","20","82180","72320"
"In post","2021","Analysis","Monmouthshire and Newport","SEO/HEO","HEO","315","305","30080","29540"
"In post","2021","Analysis","Monmouthshire and Newport","SEO/HEO","SEO","300","290","37190","37020"
"In post","2021","Analysis","North Northamptonshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","EO","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Nottingham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","SEO/HEO","HEO","10","10","32610","32590"
"In post","2021","Analysis","Nottingham","SEO/HEO","SEO","15","15","42290","42580"
"In post","2021","Analysis","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Plymouth","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Portsmouth","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","G6/G7","G7","10","10","55670","58330"
"In post","2021","Analysis","Sefton","SEO/HEO","HEO","10","10","32600","33100"
"In post","2021","Analysis","Sefton","SEO/HEO","SEO","10","10","39790","39390"
"In post","2021","Analysis","Sheffield","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sheffield","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Sheffield","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Analysis","Sheffield","G6/G7","G7","40","35","51740","50630"
"In post","2021","Analysis","Sheffield","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sheffield","SEO/HEO","HEO","30","25","32920","33190"
"In post","2021","Analysis","Sheffield","SEO/HEO","SEO","40","35","42670","42220"
"In post","2021","Analysis","Somerset","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Somerset","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Somerset","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","AA/AO","AO","10","5","[c]","[c]"
"In post","2021","Analysis","South Hampshire","EO","EO","45","40","23910","23050"
"In post","2021","Analysis","South Hampshire","G6/G7","G6","20","20","60400","58880"
"In post","2021","Analysis","South Hampshire","G6/G7","G7","85","80","50390","49100"
"In post","2021","Analysis","South Hampshire","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","South Hampshire","SEO/HEO","HEO","160","155","30150","29540"
"In post","2021","Analysis","South Hampshire","SEO/HEO","SEO","120","115","37390","37020"
"In post","2021","Analysis","South Nottinghamshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Suffolk","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Suffolk","AA/AO","AO","25","25","21210","21050"
"In post","2021","Analysis","Suffolk","EO","EO","55","50","25050","24920"
"In post","2021","Analysis","Suffolk","G6/G7","G6","15","15","60770","57390"
"In post","2021","Analysis","Suffolk","G6/G7","G7","55","50","48700","48080"
"In post","2021","Analysis","Suffolk","SEO/HEO","HEO","110","105","29760","29270"
"In post","2021","Analysis","Suffolk","SEO/HEO","SEO","90","85","37160","36580"
"In post","2021","Analysis","Swansea","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Swansea","EO","EO","15","15","26580","26780"
"In post","2021","Analysis","Swansea","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Swansea","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","EO","EO","50","50","27990","28100"
"In post","2021","Analysis","Tower Hamlets","G6/G7","G6","50","50","74820","75140"
"In post","2021","Analysis","Tower Hamlets","G6/G7","G7","245","235","59530","58860"
"In post","2021","Analysis","Tower Hamlets","SCS level","SCS level","35","30","96630","93190"
"In post","2021","Analysis","Tower Hamlets","SEO/HEO","HEO","155","150","34700","34570"
"In post","2021","Analysis","Tower Hamlets","SEO/HEO","SEO","140","135","42330","41760"
"In post","2021","Analysis","Tyneside","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Tyneside","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","G6/G7","G7","10","10","53870","54990"
"In post","2021","Analysis","Tyneside","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Tyneside","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (North East)","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","AA/AO","AO","45","45","24850","24900"
"In post","2021","Analysis","Westminster","EO","EO","195","190","28910","29000"
"In post","2021","Analysis","Westminster","G6/G7","G6","260","250","68220","66600"
"In post","2021","Analysis","Westminster","G6/G7","G7","735","710","56020","54760"
"In post","2021","Analysis","Westminster","SCS level","SCS level","75","75","84460","78540"
"In post","2021","Analysis","Westminster","SEO/HEO","HEO","830","820","34920","34090"
"In post","2021","Analysis","Westminster","SEO/HEO","SEO","350","340","43730","42980"
"In post","2021","Analysis","Westminster","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wiltshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wiltshire","G6/G7","G7","30","30","48290","46090"
"In post","2021","Analysis","Wiltshire","SEO/HEO","HEO","35","35","28360","28650"
"In post","2021","Analysis","Wiltshire","SEO/HEO","SEO","45","40","37640","37320"
"In post","2021","Analysis","Wirral","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Worcestershire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","York","EO","EO","10","10","25750","25750"
"In post","2021","Analysis","York","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","York","G6/G7","G7","10","10","53310","52600"
"In post","2021","Analysis","York","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","SEO/HEO","HEO","20","20","30870","30320"
"In post","2021","Analysis","York","SEO/HEO","SEO","10","10","38040","37350"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Armagh City, Banbridge and Craigavon","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","EO","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","EO","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","55","50","25940","26670"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","35","35","70410","69770"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","80","75","54350","54540"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","25","25","107330","95190"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","120","115","32780","33300"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","165","160","41120","40980"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","150","145","41730","38240"
