"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","North West (England)","Sefton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Sefton","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Sefton","Unknown","10","5","[c]","[c]"
"In post","2021","Analysis","North West (England)","West Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","West Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","West Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Wirral","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Wirral","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Scotland","Glasgow City","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Scotland","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Glasgow City","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Buckinghamshire CC","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","South East (England)","Buckinghamshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Buckinghamshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Central Hampshire","Heterosexual / straight","260","245","40720","37940"
"In post","2021","Analysis","South East (England)","Central Hampshire","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","South East (England)","Central Hampshire","Undeclared","30","30","41840","41250"
"In post","2021","Analysis","South East (England)","Central Hampshire","Unknown","40","40","42660","46080"
"In post","2021","Analysis","South East (England)","East Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","East Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","East Sussex CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","East Sussex CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Medway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Medway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Portsmouth","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","South East (England)","Portsmouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Portsmouth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Portsmouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","South Hampshire","Heterosexual / straight","305","290","38120","37020"
"In post","2021","Analysis","South East (England)","South Hampshire","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","South East (England)","South Hampshire","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","South East (England)","South Hampshire","Unknown","105","100","36930","31700"
"In post","2021","Analysis","South East (England)","Southampton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Southampton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Surrey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Surrey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Surrey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (North East)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (North East)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (South West)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (South West)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (South West)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (South West)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","45","40","40880","40000"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bristol, City of","Heterosexual / straight","110","105","40500","39070"
"In post","2021","Analysis","South West (England)","Bristol, City of","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bristol, City of","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bristol, City of","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","South West (England)","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Cornwall and Isles of Scilly","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Dorset CC","Heterosexual / straight","45","45","33790","29990"
"In post","2021","Analysis","South West (England)","Dorset CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Dorset CC","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Dorset CC","Unknown","60","55","32890","29270"
"In post","2021","Analysis","South West (England)","Plymouth","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Plymouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Plymouth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Plymouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Wiltshire","Heterosexual / straight","80","75","36680","37320"
"In post","2021","Analysis","South West (England)","Wiltshire","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Wiltshire","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","South West (England)","Wiltshire","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Cardiff and Vale of Glamorgan","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Analysis","Wales","Cardiff and Vale of Glamorgan","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Central Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Flintshire and Wrexham","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Wales","Flintshire and Wrexham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","Heterosexual / straight","615","590","37410","36030"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","LGBO","55","55","36870","37020"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","Undeclared","40","35","36230","31700"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","Unknown","325","310","34340","30130"
"In post","2021","Analysis","Wales","Swansea","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Wales","Swansea","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Swansea","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Wales","Swansea","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Coventry","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Coventry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Coventry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Coventry","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Staffordshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Staffordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Staffordshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Staffordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Telford and Wrekin","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Telford and Wrekin","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Telford and Wrekin","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Worcestershire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Worcestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Worcestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Bradford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Bradford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","East Riding of Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","East Riding of Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","Heterosexual / straight","90","90","42950","48940"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","Unknown","30","25","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","North Yorkshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","North Yorkshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","North Yorkshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","Heterosexual / straight","100","95","44360","42420"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Wakefield","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Wakefield","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","York","Heterosexual / straight","50","45","37310","31830"
"In post","2021","Analysis","Yorkshire and The Humber","York","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","York","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","York","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Derby","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
