"Status","Year","Region_ITL1","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","North West (England)","Cheshire East","Outside London","Heterosexual / straight","440","410","31250","27570"
"In post","2021","North West (England)","Cheshire East","Outside London","LGBO","45","45","29730","27150"
"In post","2021","North West (England)","Cheshire East","Outside London","Undeclared","80","75","30470","28690"
"In post","2021","North West (England)","Cheshire East","Outside London","Unknown","190","175","27160","25350"
"In post","2021","North West (England)","Cheshire West and Chester","Outside London","Heterosexual / straight","335","310","25690","26120"
"In post","2021","North West (England)","Cheshire West and Chester","Outside London","LGBO","30","30","26570","27570"
"In post","2021","North West (England)","Cheshire West and Chester","Outside London","Undeclared","45","40","26330","25580"
"In post","2021","North West (England)","Cheshire West and Chester","Outside London","Unknown","45","40","28510","27570"
"In post","2021","North West (England)","Chorley and West Lancashire","Outside London","Heterosexual / straight","865","800","29990","27570"
"In post","2021","North West (England)","Chorley and West Lancashire","Outside London","LGBO","45","45","29340","26810"
"In post","2021","North West (England)","Chorley and West Lancashire","Outside London","Undeclared","80","75","30430","27570"
"In post","2021","North West (England)","Chorley and West Lancashire","Outside London","Unknown","340","310","28820","27470"
"In post","2021","North West (England)","East Cumbria","Outside London","Heterosexual / straight","655","595","27390","24920"
"In post","2021","North West (England)","East Cumbria","Outside London","LGBO","30","30","27170","21720"
"In post","2021","North West (England)","East Cumbria","Outside London","Undeclared","90","80","28240","23970"
"In post","2021","North West (England)","East Cumbria","Outside London","Unknown","165","150","28290","25190"
"In post","2021","North West (England)","East Lancashire","Outside London","Heterosexual / straight","330","295","25910","27570"
"In post","2021","North West (England)","East Lancashire","Outside London","LGBO","15","10","[c]","[c]"
"In post","2021","North West (England)","East Lancashire","Outside London","Undeclared","35","30","25870","23900"
"In post","2021","North West (England)","East Lancashire","Outside London","Unknown","105","90","25120","26720"
"In post","2021","North West (England)","East Merseyside","Outside London","Heterosexual / straight","690","615","27940","27570"
"In post","2021","North West (England)","East Merseyside","Outside London","LGBO","25","25","[c]","[c]"
"In post","2021","North West (England)","East Merseyside","Outside London","Undeclared","80","70","27310","26780"
"In post","2021","North West (England)","East Merseyside","Outside London","Unknown","245","215","26430","27570"
"In post","2021","North West (England)","Greater Manchester North East","Outside London","Heterosexual / straight","795","750","28130","27570"
"In post","2021","North West (England)","Greater Manchester North East","Outside London","LGBO","45","45","28640","27570"
"In post","2021","North West (England)","Greater Manchester North East","Outside London","Undeclared","115","105","27140","27570"
"In post","2021","North West (England)","Greater Manchester North East","Outside London","Unknown","250","220","25990","27570"
"In post","2021","North West (England)","Greater Manchester North West","Outside London","Heterosexual / straight","1285","1165","25780","24920"
"In post","2021","North West (England)","Greater Manchester North West","Outside London","LGBO","65","60","24710","22850"
"In post","2021","North West (England)","Greater Manchester North West","Outside London","Undeclared","145","130","24410","23240"
