"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","35","35","56710","54700"
"In post","2021","Declared disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Defence Equipment and Support","Ministry of Defence","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Education (excl. agencies)","Department for Education","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","10","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","15","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Prison and Probation Service","Ministry of Justice","85","85","46550","46550"
"In post","2021","Declared disabled","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","10","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Legal Aid Agency","Ministry of Justice","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","190","185","35690","33300"
"In post","2021","Declared disabled","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scottish Prison Service","Scottish Government","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Submarine Delivery Agency","Ministry of Defence","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","UK Export Finance","UK Export Finance","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cabinet Office (excl. agencies)","Cabinet Office","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Defence Equipment and Support","Ministry of Defence","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Education (excl. agencies)","Department for Education","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Driver and Vehicle Licensing Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Driver and Vehicle Standards Agency","Department for Transport","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Education and Skills Funding Agency","Department for Education","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","275","255","28750","25560"
"In post","2021","Declared disabled","Communications","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","50","50","33160","29200"
"In post","2021","Declared disabled","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","United Kingdom Statistics Authority","United Kingdom Statistics Authority","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","765","695","32720","31810"
"In post","2021","Declared disabled","Counter Fraud","Insolvency Service","Department for Business, Energy and Industrial Strategy","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","375","320","23060","21440"
"In post","2021","Declared disabled","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","90","85","48410","54700"
"In post","2021","Declared disabled","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Crown Commercial Service","Other Cabinet Office Agencies","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","10","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","40","40","35960","33740"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","70","65","43580","43320"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for International Trade","Department for International Trade","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department for Transport (excl. agencies)","Department for Transport","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","45","40","40120","39870"
"In post","2021","Declared disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","25","25","[c]","[c]"
