"Status","Year","Organisation","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","EO","Heterosexual / straight","395","375","26300","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","EO","LGBO","45","45","26200","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","EO","Undeclared","65","60","26040","25480"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","EO","Unknown","80","70","26160","25630"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","HEO","Heterosexual / straight","190","180","30930","30400"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","HEO","Undeclared","30","30","31680","31020"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SEO","Heterosexual / straight","85","85","37990","37530"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
