"Status","Year","Age","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Wales","15","15","16570","16780"
"In post","2021","16-19","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Scotland","10","10","17080","16780"
"In post","2021","16-19","Defence Equipment and Support","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","South West (England)","95","95","18210","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","South West (England)","15","15","17150","16990"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","North West (England)","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","East Midlands (England)","15","15","22520","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","East of England","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","London","10","10","29280","31060"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","North East (England)","35","35","21540","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","North West (England)","35","35","21010","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Scotland","15","15","21010","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","South East (England)","15","15","24850","24180"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Wales","20","20","22830","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","West Midlands (England)","15","15","23530","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","30","30","22320","21010"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Wales","35","25","19200","18060"
"In post","2021","16-19","Driver and Vehicle Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","South East (England)","15","15","21020","21600"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","London","15","15","20920","20180"
"In post","2021","16-19","HM Courts and Tribunals Service","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","East Midlands (England)","15","15","21650","20600"
"In post","2021","16-19","HM Prison and Probation Service","East of England","15","15","23720","22850"
"In post","2021","16-19","HM Prison and Probation Service","London","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","South East (England)","20","20","23920","22850"
"In post","2021","16-19","HM Prison and Probation Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Wales","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","West Midlands (England)","15","15","22070","22850"
"In post","2021","16-19","HM Prison and Probation Service","Yorkshire and The Humber","10","10","20590","20600"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","East Midlands (England)","15","15","21810","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","North East (England)","50","45","20460","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","North West (England)","50","45","20590","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Scotland","40","35","20270","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Wales","25","20","20370","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","30","30","20140","20140"
"In post","2021","16-19","HM Treasury (excl. agencies)","London","25","25","23980","24300"
"In post","2021","16-19","Home Office (incl. agencies)","East of England","15","15","21430","21430"
"In post","2021","16-19","Home Office (incl. agencies)","London","10","10","28540","28650"
"In post","2021","16-19","Home Office (incl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","North West (England)","10","5","21430","21430"
"In post","2021","16-19","Home Office (incl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","South East (England)","25","25","21290","21430"
"In post","2021","16-19","Home Office (incl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","16-19","Insolvency Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","South East (England)","15","15","21530","20920"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","South West (England)","15","15","21380","20920"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","London","10","5","23100","22100"
"In post","2021","16-19","Public Health England","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","South West (England)","10","5","[c]","[c]"
"In post","2021","16-19","Public Health England","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scotland","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scotland","45","45","21410","21150"
"In post","2021","16-19","Scottish Prison Service","Scotland","10","10","20240","20810"
"In post","2021","16-19","Social Security Scotland","Scotland","10","10","21330","20610"
"In post","2021","16-19","Student Awards Agency for Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","South West (England)","15","15","16840","16780"
"In post","2021","16-19","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Wales","10","10","21110","21090"
"In post","2021","16-19","Valuation Office Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","North East (England)","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Wales","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scotland","10","10","24090","22230"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","East Midlands (England)","15","15","23140","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","London","20","20","32160","28420"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","North East (England)","15","15","25170","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","North West (England)","20","20","25570","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Scotland","10","10","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Wales","10","10","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","West Midlands (England)","10","10","25370","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","East of England","35","35","26490","25230"
"In post","2021","20-29","Animal and Plant Health Agency","London","25","25","31800","31460"
"In post","2021","20-29","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","North West (England)","50","50","23870","21050"
"In post","2021","20-29","Animal and Plant Health Agency","Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","South East (England)","140","135","26860","24920"
"In post","2021","20-29","Animal and Plant Health Agency","South West (England)","70","70","24540","24920"
"In post","2021","20-29","Animal and Plant Health Agency","Wales","55","50","21800","21050"
"In post","2021","20-29","Animal and Plant Health Agency","West Midlands (England)","30","30","22830","21740"
"In post","2021","20-29","Animal and Plant Health Agency","Yorkshire and The Humber","35","35","24910","23680"
"In post","2021","20-29","Attorney General's Office","London","10","10","36790","34230"
"In post","2021","20-29","Cabinet Office (excl. agencies)","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","East of England","15","15","27170","28000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","2515","2515","35450","32000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","North East (England)","90","90","25160","23850"
"In post","2021","20-29","Cabinet Office (excl. agencies)","North West (England)","90","90","32230","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Scotland","25","25","30310","28000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","South East (England)","40","40","26930","28000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","South West (England)","35","35","31060","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","370","370","31530","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Wales","35","35","29260","28630"
"In post","2021","20-29","Cabinet Office (excl. agencies)","West Midlands (England)","15","15","29600","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Yorkshire and The Humber","160","160","27400","26670"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","East of England","70","70","25360","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","15","15","25040","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","15","15","31080","29160"
"In post","2021","20-29","Charity Commission","North West (England)","35","35","25540","24440"
"In post","2021","20-29","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Scotland","10","10","[c]","[c]"
"In post","2021","20-29","Companies House","Wales","115","115","27160","24500"
"In post","2021","20-29","Competition and Markets Authority","London","140","140","37810","33610"
"In post","2021","20-29","Competition and Markets Authority","Scotland","10","10","48720","53530"
"In post","2021","20-29","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Scotland","25","25","23310","22570"
"In post","2021","20-29","Crown Commercial Service","East of England","30","30","26260","27770"
"In post","2021","20-29","Crown Commercial Service","London","15","15","37070","35470"
"In post","2021","20-29","Crown Commercial Service","North West (England)","65","65","27930","27770"
"In post","2021","20-29","Crown Commercial Service","Wales","20","20","29070","27770"
"In post","2021","20-29","Crown Commercial Service","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scotland","390","380","26170","22220"
"In post","2021","20-29","Crown Prosecution Service","East Midlands (England)","60","60","25320","21950"
"In post","2021","20-29","Crown Prosecution Service","East of England","60","60","28270","25480"
"In post","2021","20-29","Crown Prosecution Service","London","255","255","28300","26970"
"In post","2021","20-29","Crown Prosecution Service","North East (England)","30","30","29790","25480"
"In post","2021","20-29","Crown Prosecution Service","North West (England)","115","115","27140","25480"
"In post","2021","20-29","Crown Prosecution Service","South East (England)","115","115","26790","24590"
"In post","2021","20-29","Crown Prosecution Service","South West (England)","55","55","25440","23470"
"In post","2021","20-29","Crown Prosecution Service","Wales","25","25","32940","25920"
"In post","2021","20-29","Crown Prosecution Service","West Midlands (England)","55","50","26580","23470"
"In post","2021","20-29","Crown Prosecution Service","Yorkshire and The Humber","120","115","26790","25480"
"In post","2021","20-29","Debt Management Office","London","15","15","38840","38720"
"In post","2021","20-29","Defence Electronics and Components Agency","Wales","20","20","21810","19810"
"In post","2021","20-29","Defence Electronics and Components Agency","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","East Midlands (England)","10","10","27310","27210"
"In post","2021","20-29","Defence Equipment and Support","East of England","5","5","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","London","10","10","22830","19240"
"In post","2021","20-29","Defence Equipment and Support","North West (England)","10","10","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Scotland","65","65","24240","23230"
"In post","2021","20-29","Defence Equipment and Support","South East (England)","45","45","22390","22020"
"In post","2021","20-29","Defence Equipment and Support","South West (England)","1890","1870","26940","26950"
"In post","2021","20-29","Defence Equipment and Support","West Midlands (England)","15","15","19480","19040"
"In post","2021","20-29","Defence Equipment and Support","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","South East (England)","365","365","30060","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","South West (England)","540","535","28360","28650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","1755","1745","41160","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","5","5","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","25","25","26480","24570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","30","30","30510","30360"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","650","645","41310","35660"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","North West (England)","20","20","33290","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","East Midlands (England)","25","25","31420","29610"
"In post","2021","20-29","Department for Education (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","London","595","590","39750","36980"
"In post","2021","20-29","Department for Education (excl. agencies)","North East (England)","65","65","31350","29360"
"In post","2021","20-29","Department for Education (excl. agencies)","North West (England)","225","225","32940","29730"
"In post","2021","20-29","Department for Education (excl. agencies)","South West (England)","35","35","36360","34100"
"In post","2021","20-29","Department for Education (excl. agencies)","West Midlands (England)","105","105","30500","29360"
"In post","2021","20-29","Department for Education (excl. agencies)","Yorkshire and The Humber","195","195","34030","30200"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","20","20","29840","29180"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","London","755","750","36470","33120"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","25","25","30240","29180"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","35","35","32400","29720"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","20","20","32510","29430"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","150","150","32360","29690"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","90","90","30550","29290"
"In post","2021","20-29","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
