"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Animal and Plant Health Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Science and Engineering","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","London","415","405","47410","41820"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Outside London","35","35","33300","32000"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Companies House","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Communications","London","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Corporate Finance","London","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Digital, Data and Technology","London","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Human Resources","London","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Legal","London","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Project Delivery","London","50","45","45500","35680"
"In post","2021","Asian","Competition and Markets Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Commercial","London","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Legal","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Operational Delivery","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Legal","London","115","110","56270","57400"
"In post","2021","Asian","Crown Prosecution Service","Legal","Outside London","165","145","50260","49580"
"In post","2021","Asian","Crown Prosecution Service","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Operational Delivery","London","155","140","27930","24590"
"In post","2021","Asian","Crown Prosecution Service","Operational Delivery","Outside London","130","120","25190","23470"
"In post","2021","Asian","Crown Prosecution Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Security","London","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Commercial","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Digital, Data and Technology","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Finance","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Other","London","45","45","22190","20000"
"In post","2021","Asian","Defence Equipment and Support","Other","Outside London","50","45","31630","26450"
"In post","2021","Asian","Defence Equipment and Support","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Project Delivery","Outside London","65","65","35600","33200"
"In post","2021","Asian","Defence Equipment and Support","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Science and Engineering","Outside London","90","85","34700","33120"
"In post","2021","Asian","Defence Equipment and Support","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Science and Engineering","Outside London","45","45","41520","37700"
"In post","2021","Asian","Defence Science and Technology Laboratory","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","London","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","London","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","35","35","45160","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","295","285","44200","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
