"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","White","G6/G7","G7","2540","2530","53620","53380"
"In post","2021","20-29","White","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","20-29","White","SEO/HEO","HEO","9275","9220","32530","32320"
"In post","2021","20-29","White","SEO/HEO","SEO","3500","3485","39620","39660"
"In post","2021","20-29","White","Unknown","Unknown","1870","1840","26160","24020"
"In post","2021","30-39","Asian","AA/AO","AA","110","100","20540","20600"
"In post","2021","30-39","Asian","AA/AO","AO","1785","1585","22020","21010"
"In post","2021","30-39","Asian","EO","EO","2555","2405","27770","27570"
"In post","2021","30-39","Asian","G6/G7","G6","180","175","67780","66090"
"In post","2021","30-39","Asian","G6/G7","G7","835","815","55060","54290"
"In post","2021","30-39","Asian","SCS level","SCS level","60","60","82840","76280"
"In post","2021","30-39","Asian","SEO/HEO","HEO","1405","1360","33490","32960"
"In post","2021","30-39","Asian","SEO/HEO","SEO","850","835","41190","40740"
"In post","2021","30-39","Asian","Unknown","Unknown","175","160","29300","28690"
"In post","2021","30-39","Black","AA/AO","AA","60","60","21540","20600"
"In post","2021","30-39","Black","AA/AO","AO","620","575","24390","22680"
"In post","2021","30-39","Black","EO","EO","1055","1010","28720","28760"
"In post","2021","30-39","Black","G6/G7","G6","35","35","67760","65790"
"In post","2021","30-39","Black","G6/G7","G7","275","270","54460","53420"
"In post","2021","30-39","Black","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Black","SEO/HEO","HEO","560","550","33450","33400"
"In post","2021","30-39","Black","SEO/HEO","SEO","330","330","40730","40580"
"In post","2021","30-39","Black","Unknown","Unknown","165","160","29620","27730"
"In post","2021","30-39","Chinese","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","AA/AO","AO","50","45","22800","21010"
"In post","2021","30-39","Chinese","EO","EO","75","70","27450","27570"
"In post","2021","30-39","Chinese","G6/G7","G6","20","20","[c]","[c]"
"In post","2021","30-39","Chinese","G6/G7","G7","70","70","54190","53800"
"In post","2021","30-39","Chinese","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Chinese","SEO/HEO","HEO","60","60","33880","33330"
"In post","2021","30-39","Chinese","SEO/HEO","SEO","60","60","40680","40850"
"In post","2021","30-39","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Mixed","AA/AO","AA","30","30","21390","21520"
"In post","2021","30-39","Mixed","AA/AO","AO","420","390","23410","21430"
"In post","2021","30-39","Mixed","EO","EO","565","535","28060","27570"
"In post","2021","30-39","Mixed","G6/G7","G6","100","95","66870","66230"
"In post","2021","30-39","Mixed","G6/G7","G7","385","375","54510","53760"
"In post","2021","30-39","Mixed","SCS level","SCS level","40","40","76570","73430"
"In post","2021","30-39","Mixed","SEO/HEO","HEO","380","370","33610","33280"
"In post","2021","30-39","Mixed","SEO/HEO","SEO","290","285","40690","40450"
"In post","2021","30-39","Mixed","Unknown","Unknown","110","105","28340","28440"
"In post","2021","30-39","Other ethnicity","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","30-39","Other ethnicity","AA/AO","AO","105","95","23400","21430"
"In post","2021","30-39","Other ethnicity","EO","EO","145","140","28190","27680"
"In post","2021","30-39","Other ethnicity","G6/G7","G6","30","30","68380","66360"
"In post","2021","30-39","Other ethnicity","G6/G7","G7","95","90","55870","54110"
"In post","2021","30-39","Other ethnicity","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Other ethnicity","SEO/HEO","HEO","120","115","34410","34630"
"In post","2021","30-39","Other ethnicity","SEO/HEO","SEO","70","70","40820","40150"
"In post","2021","30-39","Other ethnicity","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","30-39","Undeclared","AA/AO","AA","50","45","19560","19560"
"In post","2021","30-39","Undeclared","AA/AO","AO","685","630","23250","21300"
"In post","2021","30-39","Undeclared","EO","EO","895","855","27940","27570"
"In post","2021","30-39","Undeclared","G6/G7","G6","130","130","66400","65410"
"In post","2021","30-39","Undeclared","G6/G7","G7","555","545","53900","53600"
"In post","2021","30-39","Undeclared","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","30-39","Undeclared","SEO/HEO","HEO","585","570","33520","33000"
"In post","2021","30-39","Undeclared","SEO/HEO","SEO","505","495","41010","40480"
"In post","2021","30-39","Undeclared","Unknown","Unknown","110","105","33010","32690"
"In post","2021","30-39","Unknown","AA/AO","AA","540","490","20220","20310"
"In post","2021","30-39","Unknown","AA/AO","AO","4600","4255","22900","21050"
"In post","2021","30-39","Unknown","EO","EO","3880","3725","27420","27150"
"In post","2021","30-39","Unknown","G6/G7","G6","615","600","67380","66230"
"In post","2021","30-39","Unknown","G6/G7","G7","2005","1960","54380","53580"
"In post","2021","30-39","Unknown","SCS level","SCS level","275","270","77640","72900"
"In post","2021","30-39","Unknown","SEO/HEO","HEO","2670","2595","32920","31810"
"In post","2021","30-39","Unknown","SEO/HEO","SEO","1675","1635","40460","40050"
"In post","2021","30-39","Unknown","Unknown","Unknown","690","660","33570","32400"
"In post","2021","30-39","White","AA/AO","AA","1730","1580","20010","20060"
"In post","2021","30-39","White","AA/AO","AO","15020","13615","23180","21430"
"In post","2021","30-39","White","EO","EO","16500","15555","27320","27570"
"In post","2021","30-39","White","G6/G7","G6","2660","2585","66590","65590"
"In post","2021","30-39","White","G6/G7","G7","8540","8275","54080","53420"
"In post","2021","30-39","White","SCS level","SCS level","745","715","79470","75200"
"In post","2021","30-39","White","SEO/HEO","HEO","11885","11475","32890","31990"
"In post","2021","30-39","White","SEO/HEO","SEO","8890","8620","40690","40000"
"In post","2021","30-39","White","Unknown","Unknown","2605","2425","31260","31420"
"In post","2021","40-49","Asian","AA/AO","AA","135","120","20250","20070"
"In post","2021","40-49","Asian","AA/AO","AO","1840","1540","22370","21010"
"In post","2021","40-49","Asian","EO","EO","2455","2245","28260","27570"
"In post","2021","40-49","Asian","G6/G7","G6","270","260","68980","67080"
"In post","2021","40-49","Asian","G6/G7","G7","815","785","56190","54850"
"In post","2021","40-49","Asian","SCS level","SCS level","135","135","88870","85000"
"In post","2021","40-49","Asian","SEO/HEO","HEO","1150","1100","34260","34070"
"In post","2021","40-49","Asian","SEO/HEO","SEO","870","845","42190","41760"
"In post","2021","40-49","Asian","Unknown","Unknown","180","165","32830","32840"
"In post","2021","40-49","Black","AA/AO","AA","90","80","21870","21500"
"In post","2021","40-49","Black","AA/AO","AO","735","665","24550","23500"
"In post","2021","40-49","Black","EO","EO","1220","1160","28990","29080"
"In post","2021","40-49","Black","G6/G7","G6","60","60","68960","68120"
"In post","2021","40-49","Black","G6/G7","G7","340","335","55450","54400"
"In post","2021","40-49","Black","SCS level","SCS level","30","30","91580","92690"
"In post","2021","40-49","Black","SEO/HEO","HEO","575","560","34340","34220"
"In post","2021","40-49","Black","SEO/HEO","SEO","430","425","42110","41760"
"In post","2021","40-49","Black","Unknown","Unknown","145","140","31160","28690"
"In post","2021","40-49","Chinese","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","40-49","Chinese","AA/AO","AO","70","60","22450","21140"
"In post","2021","40-49","Chinese","EO","EO","85","80","28110","27840"
"In post","2021","40-49","Chinese","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","40-49","Chinese","G6/G7","G7","55","55","56520","55840"
"In post","2021","40-49","Chinese","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","40-49","Chinese","SEO/HEO","HEO","55","55","34730","34350"
"In post","2021","40-49","Chinese","SEO/HEO","SEO","40","40","43400","41970"
"In post","2021","40-49","Chinese","Unknown","Unknown","10","5","[c]","[c]"
"In post","2021","40-49","Mixed","AA/AO","AA","35","30","20440","20060"
"In post","2021","40-49","Mixed","AA/AO","AO","300","270","23100","21270"
"In post","2021","40-49","Mixed","EO","EO","425","395","27900","27570"
"In post","2021","40-49","Mixed","G6/G7","G6","105","100","68390","66250"
"In post","2021","40-49","Mixed","G6/G7","G7","285","270","55470","54670"
"In post","2021","40-49","Mixed","SCS level","SCS level","60","55","83020","78010"
"In post","2021","40-49","Mixed","SEO/HEO","HEO","265","255","34800","34870"
"In post","2021","40-49","Mixed","SEO/HEO","SEO","195","190","42150","40910"
"In post","2021","40-49","Mixed","Unknown","Unknown","100","95","33210","34340"
"In post","2021","40-49","Other ethnicity","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","40-49","Other ethnicity","AA/AO","AO","115","105","23690","21590"
"In post","2021","40-49","Other ethnicity","EO","EO","185","175","28210","27570"
"In post","2021","40-49","Other ethnicity","G6/G7","G6","45","45","67590","66980"
"In post","2021","40-49","Other ethnicity","G6/G7","G7","90","85","54860","54020"
"In post","2021","40-49","Other ethnicity","SCS level","SCS level","20","20","[c]","[c]"
"In post","2021","40-49","Other ethnicity","SEO/HEO","HEO","85","80","33880","33480"
"In post","2021","40-49","Other ethnicity","SEO/HEO","SEO","80","80","44340","42500"
"In post","2021","40-49","Other ethnicity","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","40-49","Undeclared","AA/AO","AA","90","80","19560","19560"
"In post","2021","40-49","Undeclared","AA/AO","AO","1030","935","23230","21180"
"In post","2021","40-49","Undeclared","EO","EO","1335","1255","28170","27570"
"In post","2021","40-49","Undeclared","G6/G7","G6","215","210","68370","66640"
"In post","2021","40-49","Undeclared","G6/G7","G7","595","580","55470","54540"
"In post","2021","40-49","Undeclared","SCS level","SCS level","60","55","87040","82470"
"In post","2021","40-49","Undeclared","SEO/HEO","HEO","835","810","33720","33090"
"In post","2021","40-49","Undeclared","SEO/HEO","SEO","700","680","41550","40580"
"In post","2021","40-49","Undeclared","Unknown","Unknown","135","130","36730","37170"
"In post","2021","40-49","Unknown","AA/AO","AA","495","450","20220","20070"
"In post","2021","40-49","Unknown","AA/AO","AO","3290","2985","22530","21050"
"In post","2021","40-49","Unknown","EO","EO","2630","2490","27840","27570"
"In post","2021","40-49","Unknown","G6/G7","G6","720","700","68930","67060"
"In post","2021","40-49","Unknown","G6/G7","G7","1495","1435","55250","53650"
"In post","2021","40-49","Unknown","SCS level","SCS level","475","460","91030","80080"
"In post","2021","40-49","Unknown","SEO/HEO","HEO","1630","1565","33920","32180"
"In post","2021","40-49","Unknown","SEO/HEO","SEO","1290","1240","41430","40580"
"In post","2021","40-49","Unknown","Unknown","Unknown","685","645","36830","34340"
"In post","2021","40-49","White","AA/AO","AA","2170","2005","19920","19850"
"In post","2021","40-49","White","AA/AO","AO","16815","14975","22930","21180"
"In post","2021","40-49","White","EO","EO","20055","18595","27610","27570"
"In post","2021","40-49","White","G6/G7","G6","4215","4050","68050","66440"
"In post","2021","40-49","White","G6/G7","G7","9820","9410","55130","54160"
"In post","2021","40-49","White","SCS level","SCS level","2110","2040","87620","80410"
"In post","2021","40-49","White","SEO/HEO","HEO","12065","11560","33480","32470"
"In post","2021","40-49","White","SEO/HEO","SEO","10390","9965","41800","40580"
"In post","2021","40-49","White","Unknown","Unknown","2720","2520","34260","34340"
"In post","2021","50-59","Asian","AA/AO","AA","190","175","20700","20230"
"In post","2021","50-59","Asian","AA/AO","AO","1415","1250","22750","21440"
"In post","2021","50-59","Asian","EO","EO","1895","1760","28870","28990"
"In post","2021","50-59","Asian","G6/G7","G6","140","140","70020","69530"
"In post","2021","50-59","Asian","G6/G7","G7","410","400","57300","56960"
"In post","2021","50-59","Asian","SCS level","SCS level","85","80","102510","99820"
"In post","2021","50-59","Asian","SEO/HEO","HEO","760","735","35200","35200"
"In post","2021","50-59","Asian","SEO/HEO","SEO","515","510","42890","41760"
"In post","2021","50-59","Asian","Unknown","Unknown","100","95","32380","32090"
"In post","2021","50-59","Black","AA/AO","AA","210","200","22230","22210"
"In post","2021","50-59","Black","AA/AO","AO","1245","1170","24640","23520"
"In post","2021","50-59","Black","EO","EO","1825","1765","29630","29570"
"In post","2021","50-59","Black","G6/G7","G6","80","80","70740","70410"
"In post","2021","50-59","Black","G6/G7","G7","350","345","57440","56980"
"In post","2021","50-59","Black","SCS level","SCS level","55","55","98540","86570"
"In post","2021","50-59","Black","SEO/HEO","HEO","710","700","35550","35200"
"In post","2021","50-59","Black","SEO/HEO","SEO","475","470","43350","42170"
"In post","2021","50-59","Black","Unknown","Unknown","285","275","33780","32090"
"In post","2021","50-59","Chinese","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","50-59","Chinese","AA/AO","AO","55","50","21780","21440"
"In post","2021","50-59","Chinese","EO","EO","60","60","28020","27800"
"In post","2021","50-59","Chinese","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","50-59","Chinese","G6/G7","G7","25","25","[c]","[c]"
"In post","2021","50-59","Chinese","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","50-59","Chinese","SEO/HEO","HEO","35","35","35500","35680"
"In post","2021","50-59","Chinese","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","50-59","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Mixed","AA/AO","AA","40","35","20590","20230"
"In post","2021","50-59","Mixed","AA/AO","AO","350","320","23730","21510"
"In post","2021","50-59","Mixed","EO","EO","430","400","28700","27570"
"In post","2021","50-59","Mixed","G6/G7","G6","65","65","70780","68760"
"In post","2021","50-59","Mixed","G6/G7","G7","170","160","56880","56500"
"In post","2021","50-59","Mixed","SCS level","SCS level","35","35","92800","84660"
"In post","2021","50-59","Mixed","SEO/HEO","HEO","210","200","34510","33960"
"In post","2021","50-59","Mixed","SEO/HEO","SEO","185","180","43610","42190"
"In post","2021","50-59","Mixed","Unknown","Unknown","70","65","35290","37170"
"In post","2021","50-59","Other ethnicity","AA/AO","AA","20","20","[c]","[c]"
"In post","2021","50-59","Other ethnicity","AA/AO","AO","130","120","24710","22680"
"In post","2021","50-59","Other ethnicity","EO","EO","180","170","28930","28130"
"In post","2021","50-59","Other ethnicity","G6/G7","G6","30","30","69850","69180"
"In post","2021","50-59","Other ethnicity","G6/G7","G7","80","75","56340","56470"
"In post","2021","50-59","Other ethnicity","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","50-59","Other ethnicity","SEO/HEO","HEO","75","70","35160","35070"
"In post","2021","50-59","Other ethnicity","SEO/HEO","SEO","80","75","45310","42780"
"In post","2021","50-59","Other ethnicity","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","50-59","Undeclared","AA/AO","AA","165","155","19700","19560"
"In post","2021","50-59","Undeclared","AA/AO","AO","1785","1610","22630","21430"
"In post","2021","50-59","Undeclared","EO","EO","2355","2190","28580","27570"
"In post","2021","50-59","Undeclared","G6/G7","G6","285","275","70200","69010"
"In post","2021","50-59","Undeclared","G6/G7","G7","715","700","55940","55320"
"In post","2021","50-59","Undeclared","SCS level","SCS level","80","75","92710","85280"
"In post","2021","50-59","Undeclared","SEO/HEO","HEO","1325","1290","34600","33840"
"In post","2021","50-59","Undeclared","SEO/HEO","SEO","975","940","42400","41630"
"In post","2021","50-59","Undeclared","Unknown","Unknown","175","175","37320","37170"
"In post","2021","50-59","Unknown","AA/AO","AA","835","755","20100","20070"
"In post","2021","50-59","Unknown","AA/AO","AO","3565","3200","22450","21430"
"In post","2021","50-59","Unknown","EO","EO","2815","2670","28790","27570"
"In post","2021","50-59","Unknown","G6/G7","G6","570","550","71160","69660"
"In post","2021","50-59","Unknown","G6/G7","G7","1190","1160","55980","54820"
"In post","2021","50-59","Unknown","SCS level","SCS level","335","330","100720","89370"
"In post","2021","50-59","Unknown","SEO/HEO","HEO","1570","1510","34760","33800"
"In post","2021","50-59","Unknown","SEO/HEO","SEO","1170","1130","42470","41130"
"In post","2021","50-59","Unknown","Unknown","Unknown","720","700","39870","35380"
"In post","2021","50-59","White","AA/AO","AA","4655","4300","19850","19560"
"In post","2021","50-59","White","AA/AO","AO","25820","22995","22980","21180"
"In post","2021","50-59","White","EO","EO","29620","27325","27970","27570"
"In post","2021","50-59","White","G6/G7","G6","4440","4350","69720","68510"
"In post","2021","50-59","White","G6/G7","G7","9860","9590","56100","54800"
"In post","2021","50-59","White","SCS level","SCS level","2010","1975","94810","86670"
"In post","2021","50-59","White","SEO/HEO","HEO","15785","15160","34140","33310"
"In post","2021","50-59","White","SEO/HEO","SEO","12395","12025","42500","41160"
"In post","2021","50-59","White","Unknown","Unknown","2640","2495","34560","33340"
"In post","2021","60-64","Asian","AA/AO","AA","80","70","20980","21550"
"In post","2021","60-64","Asian","AA/AO","AO","465","385","23390","23500"
"In post","2021","60-64","Asian","EO","EO","460","385","29350","29370"
"In post","2021","60-64","Asian","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","60-64","Asian","G6/G7","G7","55","50","59280","59160"
"In post","2021","60-64","Asian","SCS level","SCS level","20","15","[c]","[c]"
"In post","2021","60-64","Asian","SEO/HEO","HEO","170","150","36260","36480"
"In post","2021","60-64","Asian","SEO/HEO","SEO","95","90","45250","43260"
"In post","2021","60-64","Asian","Unknown","Unknown","25","20","[c]","[c]"
"In post","2021","60-64","Black","AA/AO","AA","70","65","21600","21550"
"In post","2021","60-64","Black","AA/AO","AO","330","295","24530","23530"
"In post","2021","60-64","Black","EO","EO","390","345","29680","29590"
"In post","2021","60-64","Black","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","60-64","Black","G6/G7","G7","45","45","60070","59720"
"In post","2021","60-64","Black","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","SEO/HEO","HEO","125","115","35270","35300"
"In post","2021","60-64","Black","SEO/HEO","SEO","75","70","44150","42700"
"In post","2021","60-64","Black","Unknown","Unknown","80","80","31630","29330"
"In post","2021","60-64","Chinese","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","60-64","Chinese","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","60-64","Chinese","EO","EO","15","15","[c]","[c]"
"In post","2021","60-64","Chinese","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Chinese","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","60-64","Chinese","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Chinese","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","60-64","Chinese","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","60-64","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Mixed","AA/AO","AA","15","15","[c]","[c]"
"In post","2021","60-64","Mixed","AA/AO","AO","100","80","22490","21430"
"In post","2021","60-64","Mixed","EO","EO","105","90","28560","27570"
"In post","2021","60-64","Mixed","G6/G7","G6","10","5","[c]","[c]"
"In post","2021","60-64","Mixed","G6/G7","G7","20","20","[c]","[c]"
"In post","2021","60-64","Mixed","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","60-64","Mixed","SEO/HEO","HEO","40","35","35890","35630"
"In post","2021","60-64","Mixed","SEO/HEO","SEO","30","25","[c]","[c]"
"In post","2021","60-64","Mixed","Unknown","Unknown","30","25","[c]","[c]"
"In post","2021","60-64","Other ethnicity","AA/AO","AA","15","10","[c]","[c]"
"In post","2021","60-64","Other ethnicity","AA/AO","AO","50","40","23840","23310"
"In post","2021","60-64","Other ethnicity","EO","EO","45","35","28900","28850"
"In post","2021","60-64","Other ethnicity","G6/G7","G6","10","5","[c]","[c]"
"In post","2021","60-64","Other ethnicity","G6/G7","G7","25","20","[c]","[c]"
"In post","2021","60-64","Other ethnicity","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","60-64","Other ethnicity","SEO/HEO","HEO","25","20","[c]","[c]"
"In post","2021","60-64","Other ethnicity","SEO/HEO","SEO","15","15","[c]","[c]"
