"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","HEO","20","20","31070","28690"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","SEO","15","15","39840","37870"
"In post","2021","Counter Fraud","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","EO","EO","65","60","28180","28750"
"In post","2021","Counter Fraud","London","G6/G7","G6","40","35","70420","69110"
"In post","2021","Counter Fraud","London","G6/G7","G7","50","50","58200","58470"
"In post","2021","Counter Fraud","London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","HEO","115","115","34760","33140"
"In post","2021","Counter Fraud","London","SEO/HEO","SEO","115","110","42080","41080"
"In post","2021","Counter Fraud","Outside London","AA/AO","AA","10","10","18080","17990"
"In post","2021","Counter Fraud","Outside London","AA/AO","AO","40","35","21480","21430"
"In post","2021","Counter Fraud","Outside London","EO","EO","120","110","25760","25310"
"In post","2021","Counter Fraud","Outside London","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","G6/G7","G7","25","25","53360","52530"
"In post","2021","Counter Fraud","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","HEO","210","200","34760","34390"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","SEO","85","80","42200","42520"
"In post","2021","Digital, Data and Technology","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","AA/AO","AO","45","45","24870","24270"
"In post","2021","Digital, Data and Technology","London","EO","EO","290","285","29510","29500"
"In post","2021","Digital, Data and Technology","London","G6/G7","G6","265","260","71930","71300"
"In post","2021","Digital, Data and Technology","London","G6/G7","G7","1015","1000","59830","59160"
"In post","2021","Digital, Data and Technology","London","SCS level","SCS level","115","115","94880","90710"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","HEO","655","640","35330","35070"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","SEO","895","880","43660","42850"
"In post","2021","Digital, Data and Technology","London","Unknown","Unknown","15","15","37060","33050"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","AA","50","50","20110","19730"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","AO","345","335","21810","21580"
"In post","2021","Digital, Data and Technology","Outside London","EO","EO","1920","1850","27190","26670"
"In post","2021","Digital, Data and Technology","Outside London","G6/G7","G6","440","430","65960","64670"
"In post","2021","Digital, Data and Technology","Outside London","G6/G7","G7","1740","1705","53460","52580"
"In post","2021","Digital, Data and Technology","Outside London","SCS level","SCS level","110","105","87260","80800"
"In post","2021","Digital, Data and Technology","Outside London","SEO/HEO","HEO","2715","2620","33250","32320"
"In post","2021","Digital, Data and Technology","Outside London","SEO/HEO","SEO","2600","2535","41020","40100"
"In post","2021","Digital, Data and Technology","Outside London","Unknown","Unknown","50","50","35720","33400"
"In post","2021","Digital, Data and Technology","Overseas","EO","EO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Economics","London","AA/AO","AO","55","55","24350","24300"
"In post","2021","Economics","London","EO","EO","95","95","27720","27680"
"In post","2021","Economics","London","G6/G7","G6","200","190","70630","69630"
"In post","2021","Economics","London","G6/G7","G7","565","550","56660","56360"
"In post","2021","Economics","London","SCS level","SCS level","80","80","89940","82660"
"In post","2021","Economics","London","SEO/HEO","HEO","675","675","34190","33880"
"In post","2021","Economics","London","SEO/HEO","SEO","90","90","42810","42470"
"In post","2021","Economics","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","AA/AO","AO","30","30","19710","19130"
"In post","2021","Economics","Outside London","EO","EO","25","25","24400","23380"
"In post","2021","Economics","Outside London","G6/G7","G6","25","25","67390","65030"
"In post","2021","Economics","Outside London","G6/G7","G7","120","115","53350","51970"
"In post","2021","Economics","Outside London","SCS level","SCS level","10","10","81270","77330"
"In post","2021","Economics","Outside London","SEO/HEO","HEO","95","95","31400","30820"
"In post","2021","Economics","Outside London","SEO/HEO","SEO","45","45","38080","36820"
"In post","2021","Economics","Overseas","G6/G7","G6","10","10","67530","66680"
"In post","2021","Economics","Overseas","G6/G7","G7","25","25","55250","55620"
"In post","2021","Economics","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Finance","London","AA/AO","AO","75","70","24610","24980"
"In post","2021","Finance","London","EO","EO","300","290","28740","29000"
"In post","2021","Finance","London","G6/G7","G6","285","280","69810","69800"
"In post","2021","Finance","London","G6/G7","G7","635","620","58150","57870"
"In post","2021","Finance","London","SCS level","SCS level","165","160","91190","83860"
"In post","2021","Finance","London","SEO/HEO","HEO","530","520","35610","35030"
"In post","2021","Finance","London","SEO/HEO","SEO","560","550","43400","42410"
"In post","2021","Finance","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Outside London","AA/AO","AA","70","55","19500","20070"
"In post","2021","Finance","Outside London","AA/AO","AO","1010","850","21300","21430"
"In post","2021","Finance","Outside London","EO","EO","1315","1235","26050","26350"
"In post","2021","Finance","Outside London","G6/G7","G6","305","300","66390","65220"
"In post","2021","Finance","Outside London","G6/G7","G7","905","885","53910","52580"
"In post","2021","Finance","Outside London","SCS level","SCS level","115","115","89690","82480"
"In post","2021","Finance","Outside London","SEO/HEO","HEO","1360","1300","32790","32300"
"In post","2021","Finance","Outside London","SEO/HEO","SEO","1350","1300","41360","40430"
"In post","2021","Finance","Outside London","Unknown","Unknown","130","125","40400","39860"
"In post","2021","Finance","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","EO","EO","15","15","28310","26670"
"In post","2021","Finance","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Finance","Overseas","SEO/HEO","HEO","10","10","35680","33630"
"In post","2021","Finance","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","AA/AO","AA","10","10","22170","22100"
"In post","2021","Human Resources","London","AA/AO","AO","80","75","24640","24370"
"In post","2021","Human Resources","London","EO","EO","345","335","29060","28810"
"In post","2021","Human Resources","London","G6/G7","G6","220","215","69420","68720"
"In post","2021","Human Resources","London","G6/G7","G7","550","530","57650","57460"
"In post","2021","Human Resources","London","SCS level","SCS level","135","130","89020","82600"
"In post","2021","Human Resources","London","SEO/HEO","HEO","600","585","35010","35050"
"In post","2021","Human Resources","London","SEO/HEO","SEO","475","460","43800","43000"
"In post","2021","Human Resources","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Outside London","AA/AO","AA","60","55","19410","19560"
"In post","2021","Human Resources","Outside London","AA/AO","AO","1060","965","21560","21130"
"In post","2021","Human Resources","Outside London","EO","EO","1025","960","26460","26670"
"In post","2021","Human Resources","Outside London","G6/G7","G6","210","205","64840","64650"
"In post","2021","Human Resources","Outside London","G6/G7","G7","670","645","53120","52580"
"In post","2021","Human Resources","Outside London","SCS level","SCS level","60","55","89070","83350"
"In post","2021","Human Resources","Outside London","SEO/HEO","HEO","1320","1240","32190","31940"
"In post","2021","Human Resources","Outside London","SEO/HEO","SEO","965","920","40910","39930"
"In post","2021","Human Resources","Outside London","Unknown","Unknown","40","35","42090","41040"
"In post","2021","Human Resources","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","EO","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","G6/G7","G6","25","25","85350","85550"
"In post","2021","Inspector of Education and Training","London","G6/G7","G7","100","100","73320","75500"
"In post","2021","Inspector of Education and Training","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","SEO/HEO","SEO","100","95","51030","51360"
"In post","2021","Inspector of Education and Training","Outside London","G6/G7","G6","120","115","79550","74730"
"In post","2021","Inspector of Education and Training","Outside London","G6/G7","G7","265","265","73340","75500"
"In post","2021","Inspector of Education and Training","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Inspector of Education and Training","Outside London","SEO/HEO","SEO","235","230","51080","51360"
"In post","2021","Intelligence Analysis","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","London","AA/AO","AO","60","55","25280","25630"
"In post","2021","Intelligence Analysis","London","EO","EO","450","420","29940","29250"
"In post","2021","Intelligence Analysis","London","G6/G7","G6","85","80","68040","66230"
"In post","2021","Intelligence Analysis","London","G6/G7","G7","210","205","56900","56400"
"In post","2021","Intelligence Analysis","London","SCS level","SCS level","15","15","84760","78810"
"In post","2021","Intelligence Analysis","London","SEO/HEO","HEO","360","345","36460","36160"
"In post","2021","Intelligence Analysis","London","SEO/HEO","SEO","240","235","44630","45070"
"In post","2021","Intelligence Analysis","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Outside London","AA/AO","AO","65","60","21570","21430"
"In post","2021","Intelligence Analysis","Outside London","EO","EO","1110","1060","26930","26670"
"In post","2021","Intelligence Analysis","Outside London","G6/G7","G6","15","15","64210","63940"
"In post","2021","Intelligence Analysis","Outside London","G6/G7","G7","85","80","52890","52310"
"In post","2021","Intelligence Analysis","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Outside London","SEO/HEO","HEO","450","440","32360","31890"
"In post","2021","Intelligence Analysis","Outside London","SEO/HEO","SEO","175","170","39600","39720"
"In post","2021","Intelligence Analysis","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","G6/G7","G7","15","15","55080","54540"
"In post","2021","Intelligence Analysis","Overseas","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","SEO/HEO","HEO","30","30","34340","34430"
"In post","2021","Intelligence Analysis","Overseas","SEO/HEO","SEO","15","15","41350","40580"
"In post","2021","Intelligence Analysis","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","London","AA/AO","AO","10","10","33630","35900"
"In post","2021","Internal Audit","London","EO","EO","10","10","31580","32160"
"In post","2021","Internal Audit","London","G6/G7","G6","25","25","72170","70780"
"In post","2021","Internal Audit","London","G6/G7","G7","45","45","57440","56740"
"In post","2021","Internal Audit","London","SCS level","SCS level","20","20","91180","88450"
"In post","2021","Internal Audit","London","SEO/HEO","HEO","30","30","37740","37490"
"In post","2021","Internal Audit","London","SEO/HEO","SEO","65","60","48350","49300"
"In post","2021","Internal Audit","Outside London","AA/AO","AO","10","10","24490","22080"
"In post","2021","Internal Audit","Outside London","EO","EO","40","35","27530","26780"
"In post","2021","Internal Audit","Outside London","G6/G7","G6","45","45","64300","63440"
"In post","2021","Internal Audit","Outside London","G6/G7","G7","80","80","52660","52080"
"In post","2021","Internal Audit","Outside London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Internal Audit","Outside London","SEO/HEO","HEO","140","135","33550","33300"
"In post","2021","Internal Audit","Outside London","SEO/HEO","SEO","240","225","42940","42320"
"In post","2021","Internal Audit","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","London","EO","EO","70","70","27760","26510"
"In post","2021","International Trade","London","G6/G7","G6","120","120","63130","62170"
"In post","2021","International Trade","London","G6/G7","G7","335","330","52660","51970"
"In post","2021","International Trade","London","SCS level","SCS level","85","80","84460","75570"
"In post","2021","International Trade","London","SEO/HEO","HEO","230","230","32860","32120"
"In post","2021","International Trade","London","SEO/HEO","SEO","230","230","38730","38540"
"In post","2021","International Trade","Outside London","EO","EO","30","30","24950","25560"
"In post","2021","International Trade","Outside London","G6/G7","G6","15","15","62390","62170"
"In post","2021","International Trade","Outside London","G6/G7","G7","40","40","50070","51970"
"In post","2021","International Trade","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","International Trade","Outside London","SEO/HEO","HEO","105","100","31640","31810"
"In post","2021","International Trade","Outside London","SEO/HEO","SEO","45","40","38070","38630"
"In post","2021","International Trade","Overseas","G6/G7","G6","30","30","63810","64400"
"In post","2021","International Trade","Overseas","G6/G7","G7","55","55","54420","53750"
"In post","2021","International Trade","Overseas","SCS level","SCS level","25","25","90850","89840"
"In post","2021","International Trade","Overseas","SEO/HEO","HEO","20","20","33610","33780"
"In post","2021","International Trade","Overseas","SEO/HEO","SEO","25","25","40800","40330"
"In post","2021","Knowledge and Information Management","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","London","AA/AO","AO","80","80","24700","24590"
"In post","2021","Knowledge and Information Management","London","EO","EO","135","125","28920","29160"
"In post","2021","Knowledge and Information Management","London","G6/G7","G6","60","55","69860","68720"
"In post","2021","Knowledge and Information Management","London","G6/G7","G7","130","120","55070","54230"
"In post","2021","Knowledge and Information Management","London","SCS level","SCS level","15","15","86460","78820"
"In post","2021","Knowledge and Information Management","London","SEO/HEO","HEO","180","175","34690","34930"
"In post","2021","Knowledge and Information Management","London","SEO/HEO","SEO","145","140","42170","41950"
"In post","2021","Knowledge and Information Management","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Outside London","AA/AO","AO","250","235","21330","20920"
"In post","2021","Knowledge and Information Management","Outside London","EO","EO","370","350","26220","26670"
"In post","2021","Knowledge and Information Management","Outside London","G6/G7","G6","35","35","66600","64940"
"In post","2021","Knowledge and Information Management","Outside London","G6/G7","G7","175","170","53140","52280"
"In post","2021","Knowledge and Information Management","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Knowledge and Information Management","Outside London","SEO/HEO","HEO","395","380","32770","33300"
"In post","2021","Knowledge and Information Management","Outside London","SEO/HEO","SEO","335","320","40530","40170"
"In post","2021","Knowledge and Information Management","Outside London","Unknown","Unknown","55","55","46000","41820"
"In post","2021","Knowledge and Information Management","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","AA/AO","AO","45","40","25230","25630"
"In post","2021","Legal","London","EO","EO","575","560","30300","29570"
"In post","2021","Legal","London","G6/G7","G6","1060","975","69680","67950"
"In post","2021","Legal","London","G6/G7","G7","1895","1770","56570","54490"
"In post","2021","Legal","London","SCS level","SCS level","290","280","88850","82520"
"In post","2021","Legal","London","SEO/HEO","HEO","570","555","37590","36160"
"In post","2021","Legal","London","SEO/HEO","SEO","325","310","43220","42480"
"In post","2021","Legal","London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outside London","AA/AO","AO","260","230","20870","20140"
"In post","2021","Legal","Outside London","EO","EO","1365","1305","26190","25560"
"In post","2021","Legal","Outside London","G6/G7","G6","275","265","70670","70350"
"In post","2021","Legal","Outside London","G6/G7","G7","2685","2450","56220","55610"
"In post","2021","Legal","Outside London","SCS level","SCS level","100","95","87150","83230"
"In post","2021","Legal","Outside London","SEO/HEO","HEO","1305","1245","32810","31810"
"In post","2021","Legal","Outside London","SEO/HEO","SEO","1375","1250","42820","41830"
"In post","2021","Legal","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Legal","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","London","AA/AO","AO","10","10","25020","24420"
"In post","2021","Medicine","London","EO","EO","15","15","30100","27550"
"In post","2021","Medicine","London","G6/G7","G6","60","55","68540","67750"
"In post","2021","Medicine","London","G6/G7","G7","50","50","59750","53860"
"In post","2021","Medicine","London","SCS level","SCS level","205","175","103560","95140"
"In post","2021","Medicine","London","SEO/HEO","HEO","20","20","39090","38770"
"In post","2021","Medicine","London","SEO/HEO","SEO","25","20","42610","41040"
"In post","2021","Medicine","Outside London","AA/AO","AA","55","50","18920","18760"
"In post","2021","Medicine","Outside London","AA/AO","AO","280","265","22590","22640"
"In post","2021","Medicine","Outside London","EO","EO","310","280","30560","30620"
"In post","2021","Medicine","Outside London","G6/G7","G6","125","105","85200","85630"
"In post","2021","Medicine","Outside London","G6/G7","G7","400","340","73970","78870"
"In post","2021","Medicine","Outside London","SCS level","SCS level","215","190","109850","106390"
"In post","2021","Medicine","Outside London","SEO/HEO","HEO","455","415","36410","37890"
"In post","2021","Medicine","Outside London","SEO/HEO","SEO","210","190","42990","44500"
"In post","2021","Medicine","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Overseas","EO","EO","10","10","[c]","[c]"
"In post","2021","Medicine","Overseas","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Medicine","Overseas","G6/G7","G7","20","20","70700","73760"
"In post","2021","Medicine","Overseas","SEO/HEO","HEO","10","10","36430","37890"
"In post","2021","Medicine","Overseas","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Medicine","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Medicine","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","London","AA/AO","AA","1315","1200","22330","22210"
"In post","2021","Operational Delivery","London","AA/AO","AO","7050","6580","26600","25630"
"In post","2021","Operational Delivery","London","EO","EO","7080","6620","29940","29080"
"In post","2021","Operational Delivery","London","G6/G7","G6","585","570","70930","68940"
"In post","2021","Operational Delivery","London","G6/G7","G7","1700","1650","57160","56780"
"In post","2021","Operational Delivery","London","SCS level","SCS level","330","320","95850","89520"
"In post","2021","Operational Delivery","London","SEO/HEO","HEO","3790","3655","35870","35200"
"In post","2021","Operational Delivery","London","SEO/HEO","SEO","2510","2430","43440","42050"
"In post","2021","Operational Delivery","London","Unknown","Unknown","1545","1490","33360","32090"
"In post","2021","Operational Delivery","Outside London","AA/AO","AA","10330","8980","19720","20070"
"In post","2021","Operational Delivery","Outside London","AA/AO","AO","62220","55905","23100","21440"
"In post","2021","Operational Delivery","Outside London","EO","EO","37870","35085","27340","26520"
"In post","2021","Operational Delivery","Outside London","G6/G7","G6","1030","1010","69100","65630"
"In post","2021","Operational Delivery","Outside London","G6/G7","G7","3185","3090","53900","52580"
"In post","2021","Operational Delivery","Outside London","SCS level","SCS level","320","315","90200","83560"
"In post","2021","Operational Delivery","Outside London","SEO/HEO","HEO","16510","15560","33170","31810"
"In post","2021","Operational Delivery","Outside London","SEO/HEO","SEO","7650","7350","42600","40000"
"In post","2021","Operational Delivery","Outside London","Unknown","Unknown","10650","9785","29420","28200"
"In post","2021","Operational Delivery","Overseas","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Operational Delivery","Overseas","EO","EO","105","105","28140","27370"
"In post","2021","Operational Delivery","Overseas","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Operational Delivery","Overseas","G6/G7","G7","25","25","69320","70470"
"In post","2021","Operational Delivery","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Overseas","SEO/HEO","HEO","40","40","48120","40390"
"In post","2021","Operational Delivery","Overseas","SEO/HEO","SEO","100","100","63310","62570"
