"Status","Year","Organisation","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Yorkshire and The Humber","AO","5","5","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Yorkshire and The Humber","EO","10","10","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Yorkshire and The Humber","G7","10","10","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Yorkshire and The Humber","HEO","15","15","30970","30320"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Yorkshire and The Humber","SEO","5","5","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","London","G7","5","5","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","London","HEO","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","London","SEO","15","15","39140","38540"
"In post","2021","Department for International Trade","Commercial","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","London","EO","15","15","26420","26250"
"In post","2021","Department for International Trade","Communications","London","G6","15","15","65320","64990"
"In post","2021","Department for International Trade","Communications","London","G7","35","35","49780","51970"
"In post","2021","Department for International Trade","Communications","London","HEO","30","30","31970","32120"
"In post","2021","Department for International Trade","Communications","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Communications","London","SEO","30","30","39350","38540"
"In post","2021","Department for International Trade","Communications","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","London","EO","15","15","28520","28200"
"In post","2021","Department for International Trade","Digital, Data and Technology","London","G6","10","10","64430","66220"
"In post","2021","Department for International Trade","Digital, Data and Technology","London","G7","40","35","54970","52700"
"In post","2021","Department for International Trade","Digital, Data and Technology","London","HEO","20","15","33760","33660"
"In post","2021","Department for International Trade","Digital, Data and Technology","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","London","SEO","30","30","41820","39800"
"In post","2021","Department for International Trade","Digital, Data and Technology","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","London","AO","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Economics","London","EO","10","10","26430","26380"
"In post","2021","Department for International Trade","Economics","London","G6","10","10","64200","62170"
"In post","2021","Department for International Trade","Economics","London","G7","50","50","51750","51970"
"In post","2021","Department for International Trade","Economics","London","HEO","55","55","30920","31800"
"In post","2021","Department for International Trade","Economics","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Economics","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","South East (England)","G7","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Economics","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","London","EO","10","10","28250","28290"
"In post","2021","Department for International Trade","Finance","London","G6","15","15","65150","66700"
"In post","2021","Department for International Trade","Finance","London","G7","25","25","52820","51970"
"In post","2021","Department for International Trade","Finance","London","HEO","10","10","33580","32500"
"In post","2021","Department for International Trade","Finance","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Finance","London","SEO","15","15","40770","40120"
"In post","2021","Department for International Trade","Finance","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","London","EO","25","25","27350","27150"
"In post","2021","Department for International Trade","Human Resources","London","G6","10","10","63470","62170"
"In post","2021","Department for International Trade","Human Resources","London","G7","25","25","53650","51970"
"In post","2021","Department for International Trade","Human Resources","London","HEO","30","30","31630","32000"
"In post","2021","Department for International Trade","Human Resources","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","London","SEO","15","15","39160","38540"
"In post","2021","Department for International Trade","Human Resources","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","London","EO","60","55","27350","26510"
"In post","2021","Department for International Trade","International Trade","London","G6","115","115","63190","62170"
"In post","2021","Department for International Trade","International Trade","London","G7","320","320","52590","51970"
"In post","2021","Department for International Trade","International Trade","London","HEO","210","205","32550","32120"
"In post","2021","Department for International Trade","International Trade","London","SCS level","80","80","84510","75570"
"In post","2021","Department for International Trade","International Trade","London","SEO","220","220","38540","38540"
"In post","2021","Department for International Trade","International Trade","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Overseas","G6","30","30","63810","64400"
"In post","2021","Department for International Trade","International Trade","Overseas","G7","55","55","54420","53750"
"In post","2021","Department for International Trade","International Trade","Overseas","HEO","20","20","33610","33780"
"In post","2021","Department for International Trade","International Trade","Overseas","SCS level","25","25","90850","89840"
"In post","2021","Department for International Trade","International Trade","Overseas","SEO","25","25","40800","40330"
"In post","2021","Department for International Trade","International Trade","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","South East (England)","G7","20","20","51800","51970"
"In post","2021","Department for International Trade","International Trade","South East (England)","HEO","25","25","32030","31800"
"In post","2021","Department for International Trade","International Trade","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","South East (England)","SEO","10","10","37850","38350"
"In post","2021","Department for International Trade","International Trade","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","London","HEO","10","10","32330","31960"
"In post","2021","Department for International Trade","Knowledge and Information Management","London","SEO","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Legal","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","South East (England)","G7","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Legal","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","London","AO","10","10","25140","25140"
"In post","2021","Department for International Trade","Operational Delivery","London","EO","25","25","28510","29310"
"In post","2021","Department for International Trade","Operational Delivery","London","G6","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","London","G7","15","15","52670","53970"
"In post","2021","Department for International Trade","Operational Delivery","London","HEO","35","35","33420","32660"
"In post","2021","Department for International Trade","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","London","SEO","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Research","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Research","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","London","AO","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Other","London","EO","50","50","27870","27580"
"In post","2021","Department for International Trade","Other","London","G6","10","10","62230","62170"
"In post","2021","Department for International Trade","Other","London","G7","35","35","51850","51970"
"In post","2021","Department for International Trade","Other","London","HEO","45","45","32390","32120"
"In post","2021","Department for International Trade","Other","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Other","London","SEO","25","25","38340","38540"
"In post","2021","Department for International Trade","Other","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","London","HEO","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Planning","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","London","EO","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Policy","London","G6","20","20","61650","62170"
"In post","2021","Department for International Trade","Policy","London","G7","55","55","52770","51970"
"In post","2021","Department for International Trade","Policy","London","HEO","65","65","32880","32120"
"In post","2021","Department for International Trade","Policy","London","SCS level","15","15","79260","73520"
"In post","2021","Department for International Trade","Policy","London","SEO","45","45","39090","38540"
"In post","2021","Department for International Trade","Policy","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","London","G6","10","10","63160","62550"
"In post","2021","Department for International Trade","Project Delivery","London","G7","20","20","51500","51970"
"In post","2021","Department for International Trade","Project Delivery","London","HEO","15","15","31880","32120"
"In post","2021","Department for International Trade","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","London","SEO","15","15","39390","38540"
"In post","2021","Department for International Trade","Project Delivery","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Science and Engineering","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","London","G7","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Security","London","HEO","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Security","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","London","SEO","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","London","G7","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","London","HEO","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","London","G6","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","London","G7","15","15","48450","51970"
"In post","2021","Department for International Trade","Statistics","London","HEO","10","10","31790","32120"
"In post","2021","Department for International Trade","Statistics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","London","SEO","15","15","39740","39070"
"In post","2021","Department for International Trade","Statistics","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","London","EO","5","5","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","London","G6","25","25","68730","67660"
"In post","2021","Department for Transport (excl. agencies)","Commercial","London","G7","20","20","54890","54650"
"In post","2021","Department for Transport (excl. agencies)","Commercial","London","HEO","20","20","34730","34710"
"In post","2021","Department for Transport (excl. agencies)","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","London","SEO","15","15","42920","42890"
"In post","2021","Department for Transport (excl. agencies)","Commercial","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","London","G6","10","10","67840","66990"
"In post","2021","Department for Transport (excl. agencies)","Communications","London","G7","35","30","55000","54760"
"In post","2021","Department for Transport (excl. agencies)","Communications","London","HEO","25","25","35620","35060"
"In post","2021","Department for Transport (excl. agencies)","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","London","SEO","35","35","43330","42890"
"In post","2021","Department for Transport (excl. agencies)","Communications","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","London","G7","15","10","55500","54650"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Counter Fraud","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Counter Fraud","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","London","EO","15","15","30510","30720"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","London","G6","5","5","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","London","G7","20","20","56610","54760"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","London","HEO","20","20","34930","35060"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","London","SEO","25","25","44300","43360"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","South East (England)","G7","5","5","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","South East (England)","HEO","10","10","31130","31380"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","South East (England)","SEO","10","10","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Economics","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Economics","London","EO","10","10","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Economics","London","G6","15","15","69230","69750"
"In post","2021","Department for Transport (excl. agencies)","Economics","London","G7","70","65","55450","54760"
"In post","2021","Department for Transport (excl. agencies)","Economics","London","HEO","60","60","31990","33990"
"In post","2021","Department for Transport (excl. agencies)","Economics","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Economics","London","SEO","10","10","42600","42470"
"In post","2021","Department for Transport (excl. agencies)","Economics","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","London","AO","5","5","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","London","EO","10","10","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","London","G6","35","35","67930","67000"
"In post","2021","Department for Transport (excl. agencies)","Finance","London","G7","55","55","55070","54760"
"In post","2021","Department for Transport (excl. agencies)","Finance","London","HEO","25","25","35650","35430"
"In post","2021","Department for Transport (excl. agencies)","Finance","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","London","SEO","30","30","44200","44030"
"In post","2021","Department for Transport (excl. agencies)","Finance","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","South East (England)","EO","15","10","26190","26350"
"In post","2021","Department for Transport (excl. agencies)","Finance","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","South East (England)","HEO","10","10","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","London","G6","15","15","65730","66090"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","London","G7","25","25","54970","54760"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","London","HEO","15","15","34350","35060"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","London","SCS level","5","5","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","London","SEO","15","15","43200","42910"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","Wales","G7","[c]","[c]","[c]","[c]"
