"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Eastern Scotland","Falkirk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Falkirk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Perth and Kinross and Stirling","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Perth and Kinross and Stirling","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Perth and Kinross and Stirling","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","West Lothian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","West Lothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","West Lothian","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Essex","Essex Haven Gateway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Essex Haven Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Heart of Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Heart of Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Southend-on-Sea","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Southend-on-Sea","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Southend-on-Sea","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","895","860","39620","37400"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","40","40","34570","32050"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","135","125","42410","39580"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","95","90","38240","34800"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Heterosexual / straight","55","50","41270","39390"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Heterosexual / straight","150","140","33480","34800"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Undeclared","20","15","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South West","Heterosexual / straight","40","40","42260","40170"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South West","Undeclared","10","5","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South West","Unknown","25","20","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Manchester","Heterosexual / straight","115","110","40330","36780"
