"Status","Year","Age","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Commercial","Unknown","130","130","45810","43500"
"In post","2021","20-29","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Communications","735","735","33960","32790"
"In post","2021","20-29","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Operational Delivery","285","285","28120","25560"
"In post","2021","20-29","Communications","Other","15","15","27880","25000"
"In post","2021","20-29","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Tax","745","740","26540","25560"
"In post","2021","20-29","Communications","Unknown","275","275","31300","27570"
"In post","2021","20-29","Counter Fraud","Counter Fraud","65","65","31700","33100"
"In post","2021","20-29","Counter Fraud","Intelligence Analysis","35","35","32950","31810"
"In post","2021","20-29","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Legal","470","465","27460","25560"
"In post","2021","20-29","Counter Fraud","Operational Delivery","265","260","27470","25560"
"In post","2021","20-29","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Other","15","15","34030","31810"
"In post","2021","20-29","Counter Fraud","Policy","5","5","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Tax","185","185","35730","31810"
"In post","2021","20-29","Counter Fraud","Unknown","60","60","32670","29570"
"In post","2021","20-29","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Operational Delivery","565","550","21800","20140"
"In post","2021","20-29","Debt","Tax","450","440","20380","20140"
"In post","2021","20-29","Debt","Unknown","45","40","22550","20140"
"In post","2021","20-29","Digital, Data & Technology","Communications","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Digital, Data and Technology","1590","1580","32750","31810"
"In post","2021","20-29","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Knowledge and Information Management","25","25","30590","29420"
"In post","2021","20-29","Digital, Data & Technology","Operational Delivery","70","70","31490","31810"
"In post","2021","20-29","Digital, Data & Technology","Operational Research","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Other","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Project Delivery","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Science and Engineering","45","45","30960","31580"
"In post","2021","20-29","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Tax","10","10","29680","28690"
"In post","2021","20-29","Digital, Data & Technology","Unknown","285","280","38560","34550"
"In post","2021","20-29","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Corporate Finance","15","15","33450","28650"
"In post","2021","20-29","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Economics","55","55","35420","32790"
"In post","2021","20-29","Finance","Finance","995","980","32670","30420"
"In post","2021","20-29","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Operational Delivery","100","100","24300","21380"
"In post","2021","20-29","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Other","15","15","25440","25190"
"In post","2021","20-29","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Project Delivery","10","10","28650","30420"
"In post","2021","20-29","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Tax","15","15","26180","22850"
"In post","2021","20-29","Finance","Unknown","80","80","35560","35120"
"In post","2021","20-29","Grants Management","Operational Delivery","240","240","22390","21050"
"In post","2021","20-29","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Human Resources","960","945","31000","28840"
"In post","2021","20-29","Human Resources","Operational Delivery","115","115","26180","25560"
"In post","2021","20-29","Human Resources","Other","10","10","[c]","[c]"
"In post","2021","20-29","Human Resources","Policy","30","30","34040","32540"
"In post","2021","20-29","Human Resources","Project Delivery","5","5","[c]","[c]"
"In post","2021","20-29","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Tax","10","10","29830","25560"
"In post","2021","20-29","Human Resources","Unknown","280","280","30520","28000"
"In post","2021","20-29","Internal Audit","Internal Audit","50","50","35140","33930"
"In post","2021","20-29","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Legal","745","745","37370","36160"
"In post","2021","20-29","Legal","Operational Delivery","895","880","23980","23470"
"In post","2021","20-29","Legal","Other","110","110","27420","27350"
"In post","2021","20-29","Legal","Policy","10","10","45060","38430"
"In post","2021","20-29","Legal","Tax","35","35","38650","31810"
"In post","2021","20-29","Legal","Unknown","45","45","36620","31810"
"In post","2021","20-29","No function","Commercial","55","55","33740","32940"
"In post","2021","20-29","No function","Communications","25","25","33420","30500"
"In post","2021","20-29","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Counter Fraud","10","10","[c]","[c]"
"In post","2021","20-29","No function","Digital, Data and Technology","35","35","32180","29730"
"In post","2021","20-29","No function","Economics","225","225","38520","34710"
"In post","2021","20-29","No function","Finance","55","55","35520","33610"
"In post","2021","20-29","No function","Human Resources","10","10","41550","41260"
"In post","2021","20-29","No function","Intelligence Analysis","70","70","28870","26330"
"In post","2021","20-29","No function","International Trade","455","455","37710","34960"
"In post","2021","20-29","No function","Knowledge and Information Management","115","110","29100","28460"
"In post","2021","20-29","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Operational Delivery","20560","20150","25350","24120"
"In post","2021","20-29","No function","Operational Research","80","80","32390","28650"
"In post","2021","20-29","No function","Other","480","475","30940","28880"
"In post","2021","20-29","No function","Planning","30","30","35210","32120"
"In post","2021","20-29","No function","Policy","6090","6065","38240","34210"
"In post","2021","20-29","No function","Project Delivery","40","40","35610","33750"
"In post","2021","20-29","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Psychology","355","350","27420","27380"
"In post","2021","20-29","No function","Science and Engineering","1495","1475","29160","28650"
"In post","2021","20-29","No function","Security","25","25","38140","34880"
"In post","2021","20-29","No function","Social Research","10","10","37830","35620"
"In post","2021","20-29","No function","Statistics","5","5","[c]","[c]"
"In post","2021","20-29","No function","Tax","2250","2190","27370","20140"
"In post","2021","20-29","No function","Unknown","3520","3500","30940","29250"
"In post","2021","20-29","No function","Veterinarian","10","10","35520","36210"
"In post","2021","20-29","Project Delivery","Commercial","170","170","27490","28300"
"In post","2021","20-29","Project Delivery","Communications","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Digital, Data and Technology","70","70","32340","31340"
"In post","2021","20-29","Project Delivery","Economics","25","25","39050","35310"
"In post","2021","20-29","Project Delivery","Finance","80","80","30650","30420"
"In post","2021","20-29","Project Delivery","Human Resources","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Knowledge and Information Management","20","20","28430","28340"
"In post","2021","20-29","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Operational Delivery","255","255","29620","28650"
"In post","2021","20-29","Project Delivery","Other","455","445","24680","22480"
"In post","2021","20-29","Project Delivery","Policy","295","290","40020","38600"
"In post","2021","20-29","Project Delivery","Project Delivery","1800","1785","32610","31810"
"In post","2021","20-29","Project Delivery","Property","35","35","34810","29500"
"In post","2021","20-29","Project Delivery","Science and Engineering","875","875","27750","27540"
"In post","2021","20-29","Project Delivery","Security","10","10","31340","30630"
"In post","2021","20-29","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Tax","15","15","41350","38630"
"In post","2021","20-29","Project Delivery","Unknown","85","85","38170","34550"
"In post","2021","20-29","Property","Commercial","10","10","[c]","[c]"
"In post","2021","20-29","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","20-29","Property","Operational Delivery","215","210","23330","21100"
"In post","2021","20-29","Property","Other","45","45","27010","25980"
"In post","2021","20-29","Property","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Property","575","560","28340","26670"
"In post","2021","20-29","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Unknown","90","85","28260","26530"
"In post","2021","20-29","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Intelligence Analysis","45","45","37960","35700"
"In post","2021","20-29","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Security","1000","995","26440","25680"
"In post","2021","20-29","Security","Unknown","185","185","28170","26670"
"In post","2021","20-29","Unknown","Commercial","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Communications","60","60","38030","37320"
"In post","2021","20-29","Unknown","Counter Fraud","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","Digital, Data and Technology","180","180","37190","36550"
"In post","2021","20-29","Unknown","Economics","115","115","36390","34800"
"In post","2021","20-29","Unknown","Finance","60","60","30760","28850"
"In post","2021","20-29","Unknown","Human Resources","90","90","30790","28850"
"In post","2021","20-29","Unknown","Intelligence Analysis","310","310","31000","29250"
"In post","2021","20-29","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Knowledge and Information Management","15","15","26090","23830"
"In post","2021","20-29","Unknown","Legal","15","15","33810","28850"
"In post","2021","20-29","Unknown","Medicine","140","135","29010","27420"
"In post","2021","20-29","Unknown","Operational Delivery","3850","3715","24680","24890"
"In post","2021","20-29","Unknown","Operational Research","70","70","35120","36590"
"In post","2021","20-29","Unknown","Other","1400","1390","27650","26350"
"In post","2021","20-29","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Policy","975","970","38560","36500"
"In post","2021","20-29","Unknown","Project Delivery","180","180","34580","35050"
"In post","2021","20-29","Unknown","Property","10","10","28180","27430"
"In post","2021","20-29","Unknown","Psychology","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Science and Engineering","195","195","32500","32960"
"In post","2021","20-29","Unknown","Security","25","25","27400","25630"
"In post","2021","20-29","Unknown","Social Research","50","50","40370","41560"
"In post","2021","20-29","Unknown","Statistics","70","70","34850","33090"
"In post","2021","20-29","Unknown","Unknown","12580","12365","27120","27570"
"In post","2021","30-39","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Digital, Data and Technology","70","70","40820","41990"
"In post","2021","30-39","Analysis","Economics","285","275","57290","56360"
"In post","2021","30-39","Analysis","Finance","10","10","[c]","[c]"
"In post","2021","30-39","Analysis","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Analysis","Intelligence Analysis","90","90","52480","53360"
"In post","2021","30-39","Analysis","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2021","30-39","Analysis","Operational Delivery","155","150","31630","29540"
"In post","2021","30-39","Analysis","Operational Research","210","200","45400","46080"
"In post","2021","30-39","Analysis","Other","65","65","67960","65470"
"In post","2021","30-39","Analysis","Policy","115","105","50840","50400"
"In post","2021","30-39","Analysis","Project Delivery","5","5","[c]","[c]"
"In post","2021","30-39","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Science and Engineering","205","200","34330","30220"
"In post","2021","30-39","Analysis","Social Research","280","260","42490","38440"
"In post","2021","30-39","Analysis","Statistics","520","500","43920","40720"
"In post","2021","30-39","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Unknown","25","20","54500","54700"
"In post","2021","30-39","Commercial","Commercial","950","915","38510","37100"
"In post","2021","30-39","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Finance","15","15","30720","24200"
"In post","2021","30-39","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Knowledge and Information Management","105","100","33790","33300"
"In post","2021","30-39","Commercial","Operational Delivery","90","90","40370","37240"
"In post","2021","30-39","Commercial","Other","10","10","35680","34920"
"In post","2021","30-39","Commercial","Policy","5","5","[c]","[c]"
"In post","2021","30-39","Commercial","Project Delivery","25","25","43980","41220"
"In post","2021","30-39","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Science and Engineering","25","25","38020","38480"
"In post","2021","30-39","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","295","295","63150","61710"
"In post","2021","30-39","Communications","Communications","980","950","42950","40230"
"In post","2021","30-39","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Operational Delivery","445","425","29420","25560"
"In post","2021","30-39","Communications","Other","35","35","25780","20530"
"In post","2021","30-39","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Tax","700","680","27730","25560"
"In post","2021","30-39","Communications","Unknown","280","275","39790","35900"
"In post","2021","30-39","Counter Fraud","Counter Fraud","140","135","39480","35600"
"In post","2021","30-39","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Intelligence Analysis","65","60","38820","36160"
"In post","2021","30-39","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Legal","730","715","29490","26980"
"In post","2021","30-39","Counter Fraud","Operational Delivery","560","540","29460","25560"
"In post","2021","30-39","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Other","55","55","40110","38630"
"In post","2021","30-39","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Tax","445","435","37270","31810"
"In post","2021","30-39","Counter Fraud","Unknown","65","60","38430","32910"
"In post","2021","30-39","Debt","Operational Delivery","610","550","22560","20140"
"In post","2021","30-39","Debt","Tax","225","220","20640","20140"
"In post","2021","30-39","Debt","Unknown","25","20","22270","20140"
"In post","2021","30-39","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Digital, Data and Technology","2670","2620","40490","38000"
"In post","2021","30-39","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Knowledge and Information Management","30","30","36320","33800"
"In post","2021","30-39","Digital, Data & Technology","Operational Delivery","115","110","34690","31810"
"In post","2021","30-39","Digital, Data & Technology","Operational Research","15","10","41710","39470"
"In post","2021","30-39","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Project Delivery","5","5","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Science and Engineering","150","145","38430","39650"
"In post","2021","30-39","Digital, Data & Technology","Security","10","10","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Tax","15","15","36820","36160"
"In post","2021","30-39","Digital, Data & Technology","Unknown","435","430","49880","54700"
"In post","2021","30-39","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Corporate Finance","40","35","48510","49690"
"In post","2021","30-39","Finance","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Economics","25","25","53260","53360"
"In post","2021","30-39","Finance","Finance","1515","1450","41140","38000"
"In post","2021","30-39","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Operational Delivery","145","135","30600","28500"
"In post","2021","30-39","Finance","Other","30","30","34530","31400"
"In post","2021","30-39","Finance","Policy","15","15","42690","38980"
"In post","2021","30-39","Finance","Project Delivery","20","20","46020","42560"
"In post","2021","30-39","Finance","Statistics","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Tax","20","15","35250","31810"
"In post","2021","30-39","Finance","Unknown","80","80","44460","41760"
"In post","2021","30-39","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","Operational Delivery","365","325","24270","21050"
"In post","2021","30-39","Human Resources","Communications","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Human Resources","1540","1455","36940","32840"
"In post","2021","30-39","Human Resources","Operational Delivery","210","195","28970","25560"
"In post","2021","30-39","Human Resources","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Other","10","10","[c]","[c]"
"In post","2021","30-39","Human Resources","Policy","20","20","37830","36030"
"In post","2021","30-39","Human Resources","Project Delivery","10","10","[c]","[c]"
"In post","2021","30-39","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Tax","35","35","34670","31810"
"In post","2021","30-39","Human Resources","Unknown","380","365","38030","35590"
"In post","2021","30-39","Internal Audit","Internal Audit","135","130","42560","39980"
"In post","2021","30-39","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Knowledge and Information Management","10","5","[c]","[c]"
"In post","2021","30-39","Legal","Legal","2210","2110","51500","51250"
"In post","2021","30-39","Legal","Operational Delivery","895","820","27120","25820"
"In post","2021","30-39","Legal","Other","90","85","29060","27580"
"In post","2021","30-39","Legal","Policy","15","15","56620","55420"
"In post","2021","30-39","Legal","Tax","95","90","38260","31810"
"In post","2021","30-39","Legal","Unknown","65","60","55620","59160"
"In post","2021","30-39","No function","Commercial","60","55","44770","40640"
"In post","2021","30-39","No function","Communications","35","35","40200","38540"
"In post","2021","30-39","No function","Corporate Finance","10","10","60110","54110"
"In post","2021","30-39","No function","Counter Fraud","15","15","38950","40760"
"In post","2021","30-39","No function","Digital, Data and Technology","75","75","39320","36870"
"In post","2021","30-39","No function","Economics","145","140","56310","57850"
"In post","2021","30-39","No function","Finance","115","110","42740","37300"
"In post","2021","30-39","No function","Human Resources","25","25","47570","54760"
"In post","2021","30-39","No function","Inspector of Education and Training","75","75","61280","51360"
"In post","2021","30-39","No function","Intelligence Analysis","155","145","31020","28350"
"In post","2021","30-39","No function","International Trade","435","430","49560","51970"
