"Status","Year","Age","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","No function","Kent","15","15","22470","21500"
"In post","2021","16-19","No function","Lancashire","15","15","20310","20140"
"In post","2021","16-19","No function","Leicestershire, Rutland and Northamptonshire","10","10","20210","20140"
"In post","2021","16-19","No function","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Merseyside","30","30","20300","20140"
"In post","2021","16-19","No function","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Northumberland and Tyne and Wear","30","30","20150","20140"
"In post","2021","16-19","No function","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Outer London - South","5","5","[c]","[c]"
"In post","2021","16-19","No function","Outer London - West and North West","10","5","20520","21320"
"In post","2021","16-19","No function","Shropshire and Staffordshire","10","10","21930","22850"
"In post","2021","16-19","No function","South Yorkshire","10","10","[c]","[c]"
"In post","2021","16-19","No function","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2021","16-19","No function","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","West Central Scotland","10","10","[c]","[c]"
"In post","2021","16-19","No function","West Midlands","15","15","20140","20030"
"In post","2021","16-19","No function","West Wales and The Valleys","40","30","19380","18060"
"In post","2021","16-19","No function","West Yorkshire","40","40","20190","20140"
"In post","2021","16-19","Project Delivery","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Devon","10","10","17720","16780"
"In post","2021","16-19","Project Delivery","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East Wales","15","15","16570","16780"
"In post","2021","16-19","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","80","80","17830","17780"
"In post","2021","16-19","Project Delivery","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Southern Scotland","10","10","17480","16780"
"In post","2021","16-19","Property","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","16-19","Property","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Security","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Security","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Anglia","10","10","21900","21430"
"In post","2021","16-19","Unknown","East Wales","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Eastern Scotland","45","45","21430","21150"
"In post","2021","16-19","Unknown","Essex","10","10","21980","21430"
"In post","2021","16-19","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Greater Manchester","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Inner London - West","10","10","28000","27600"
"In post","2021","16-19","Unknown","Kent","30","30","21700","21430"
"In post","2021","16-19","Unknown","Lancashire","20","20","21010","21010"
"In post","2021","16-19","Unknown","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Merseyside","10","10","21360","21430"
"In post","2021","16-19","Unknown","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Northumberland and Tyne and Wear","30","30","21650","21010"
"In post","2021","16-19","Unknown","Outer London - East and North East","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South Yorkshire","15","15","21530","21010"
"In post","2021","16-19","Unknown","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","18870","15940"
"In post","2021","16-19","Unknown","West Central Scotland","30","30","21020","21010"
"In post","2021","16-19","Unknown","West Midlands","10","10","23450","21430"
"In post","2021","16-19","Unknown","West Wales and The Valleys","20","20","22110","21010"
"In post","2021","16-19","Unknown","West Yorkshire","20","20","22760","21010"
"In post","2021","20-29","Analysis","Berkshire, Buckinghamshire and Oxfordshire","10","10","34340","31800"
"In post","2021","20-29","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Dorset and Somerset","10","10","24710","24920"
"In post","2021","20-29","Analysis","East Anglia","45","45","25330","24920"
"In post","2021","20-29","Analysis","East Wales","350","345","31480","29540"
"In post","2021","20-29","Analysis","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","80","75","32530","32010"
"In post","2021","20-29","Analysis","Greater Manchester","110","110","33880","31810"
"In post","2021","20-29","Analysis","Hampshire and Isle of Wight","240","240","31730","29540"
"In post","2021","20-29","Analysis","Inner London - East","210","210","38270","36160"
"In post","2021","20-29","Analysis","Inner London - West","1260","1250","38790","35640"
"In post","2021","20-29","Analysis","Merseyside","20","20","33880","31810"
"In post","2021","20-29","Analysis","North Yorkshire","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Northumberland and Tyne and Wear","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Outer London - South","10","10","40660","36160"
"In post","2021","20-29","Analysis","South Yorkshire","30","30","37360","37830"
"In post","2021","20-29","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","West Midlands","10","10","33550","33700"
"In post","2021","20-29","Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","West Yorkshire","50","50","34310","29850"
"In post","2021","20-29","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Berkshire, Buckinghamshire and Oxfordshire","30","30","28240","26590"
"In post","2021","20-29","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Devon","15","15","33000","33510"
"In post","2021","20-29","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East Anglia","35","35","27940","27770"
"In post","2021","20-29","Commercial","East Wales","15","15","29500","28160"
"In post","2021","20-29","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Eastern Scotland","25","20","25660","22430"
"In post","2021","20-29","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","195","195","29710","27910"
"In post","2021","20-29","Commercial","Greater Manchester","55","55","34140","31810"
"In post","2021","20-29","Commercial","Hampshire and Isle of Wight","60","60","27780","26670"
"In post","2021","20-29","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Inner London - East","40","40","34700","34550"
"In post","2021","20-29","Commercial","Inner London - West","215","210","42700","40600"
"In post","2021","20-29","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Merseyside","40","40","27940","27770"
"In post","2021","20-29","Commercial","North Yorkshire","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Outer London - South","10","10","36570","33310"
"In post","2021","20-29","Commercial","Outer London - West and North West","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Shropshire and Staffordshire","15","15","27230","26510"
"In post","2021","20-29","Commercial","South Yorkshire","15","15","36220","36500"
"In post","2021","20-29","Commercial","Southern Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Surrey, East and West Sussex","10","5","[c]","[c]"
"In post","2021","20-29","Commercial","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","West Central Scotland","30","30","28980","30430"
"In post","2021","20-29","Commercial","West Midlands","20","20","29300","28100"
"In post","2021","20-29","Commercial","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","West Yorkshire","40","40","32530","28970"
"In post","2021","20-29","Communications","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2021","20-29","Communications","Berkshire, Buckinghamshire and Oxfordshire","10","10","27620","26630"
"In post","2021","20-29","Communications","Cumbria","10","10","[c]","[c]"
"In post","2021","20-29","Communications","Derbyshire and Nottinghamshire","160","160","26830","25560"
"In post","2021","20-29","Communications","Devon","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Dorset and Somerset","5","5","[c]","[c]"
"In post","2021","20-29","Communications","East Anglia","10","10","[c]","[c]"
"In post","2021","20-29","Communications","East Wales","230","230","27180","25560"
"In post","2021","20-29","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Eastern Scotland","10","10","[c]","[c]"
"In post","2021","20-29","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","28810","26550"
"In post","2021","20-29","Communications","Greater Manchester","170","170","27870","25560"
"In post","2021","20-29","Communications","Hampshire and Isle of Wight","20","20","27950","26670"
"In post","2021","20-29","Communications","Inner London - East","50","50","34540","33610"
"In post","2021","20-29","Communications","Inner London - West","610","605","36400","34710"
"In post","2021","20-29","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Merseyside","10","10","[c]","[c]"
"In post","2021","20-29","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Northumberland and Tyne and Wear","370","365","26750","25560"
"In post","2021","20-29","Communications","Outer London - South","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Outer London - West and North West","15","15","24240","20340"
"In post","2021","20-29","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","South Yorkshire","10","10","27330","25000"
"In post","2021","20-29","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","West Midlands","75","75","27560","25560"
"In post","2021","20-29","Communications","West Wales and The Valleys","15","15","27060","26350"
"In post","2021","20-29","Communications","West Yorkshire","215","210","26790","25560"
"In post","2021","20-29","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","15","15","26780","25560"
"In post","2021","20-29","Counter Fraud","Derbyshire and Nottinghamshire","70","70","29140","25560"
"In post","2021","20-29","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East Anglia","45","45","23920","25560"
"In post","2021","20-29","Counter Fraud","East Wales","45","45","28550","25560"
"In post","2021","20-29","Counter Fraud","Eastern Scotland","30","30","27170","25560"
"In post","2021","20-29","Counter Fraud","Essex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","31980","25560"
"In post","2021","20-29","Counter Fraud","Greater Manchester","135","135","27060","25560"
"In post","2021","20-29","Counter Fraud","Hampshire and Isle of Wight","10","10","26130","25560"
"In post","2021","20-29","Counter Fraud","Inner London - East","15","15","33550","29570"
"In post","2021","20-29","Counter Fraud","Inner London - West","190","190","34040","29570"
"In post","2021","20-29","Counter Fraud","Kent","20","20","25930","25560"
"In post","2021","20-29","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Merseyside","55","55","28450","25560"
"In post","2021","20-29","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Northern Ireland","25","25","25700","25560"
"In post","2021","20-29","Counter Fraud","Northumberland and Tyne and Wear","65","65","28950","25560"
"In post","2021","20-29","Counter Fraud","Outer London - South","100","100","32490","29570"
"In post","2021","20-29","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","West Central Scotland","45","45","27080","25560"
"In post","2021","20-29","Counter Fraud","West Midlands","55","55","27980","25560"
"In post","2021","20-29","Counter Fraud","West Yorkshire","115","115","30210","25560"
"In post","2021","20-29","Debt","Derbyshire and Nottinghamshire","70","65","20690","20140"
"In post","2021","20-29","Debt","East Wales","115","110","22850","20140"
"In post","2021","20-29","Debt","Eastern Scotland","175","175","20800","20140"
"In post","2021","20-29","Debt","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Merseyside","60","60","20700","20140"
"In post","2021","20-29","Debt","Northumberland and Tyne and Wear","175","170","20430","20140"
"In post","2021","20-29","Debt","Outer London - South","50","50","24480","24120"
"In post","2021","20-29","Debt","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Southern Scotland","80","75","20820","20140"
"In post","2021","20-29","Debt","West Central Scotland","100","95","20980","20140"
"In post","2021","20-29","Debt","West Midlands","135","130","20770","20140"
"In post","2021","20-29","Debt","West Yorkshire","100","100","20510","20140"
"In post","2021","20-29","Digital, Data & Technology","Bedfordshire and Hertfordshire","10","10","26560","24950"
"In post","2021","20-29","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","30","30","31840","29770"
"In post","2021","20-29","Digital, Data & Technology","Cheshire","15","15","35150","36520"
"In post","2021","20-29","Digital, Data & Technology","Derbyshire and Nottinghamshire","35","35","31820","29760"
"In post","2021","20-29","Digital, Data & Technology","Devon","180","180","29350","29760"
"In post","2021","20-29","Digital, Data & Technology","Dorset and Somerset","30","30","34330","33290"
"In post","2021","20-29","Digital, Data & Technology","East Anglia","25","25","26100","24920"
"In post","2021","20-29","Digital, Data & Technology","East Wales","170","170","30140","29540"
"In post","2021","20-29","Digital, Data & Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Eastern Scotland","35","35","30850","30080"
"In post","2021","20-29","Digital, Data & Technology","Essex","20","20","30990","31810"
"In post","2021","20-29","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","115","110","30490","29180"
"In post","2021","20-29","Digital, Data & Technology","Greater Manchester","70","70","34290","31810"
"In post","2021","20-29","Digital, Data & Technology","Hampshire and Isle of Wight","55","55","30310","29540"
"In post","2021","20-29","Digital, Data & Technology","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
