"Status","Year","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other ethnicity","G6/G7","G6","125","120","69310","67490"
"In post","2021","Other ethnicity","G6/G7","G7","320","305","56070","54640"
"In post","2021","Other ethnicity","SCS level","SCS level","65","60","88330","83980"
"In post","2021","Other ethnicity","SEO/HEO","HEO","410","400","34360","34510"
"In post","2021","Other ethnicity","SEO/HEO","SEO","295","285","43180","41480"
"In post","2021","Other ethnicity","Unknown","Unknown","75","70","31030","31910"
"In post","2021","Undeclared","AA/AO","AA","450","410","19640","19560"
"In post","2021","Undeclared","AA/AO","AO","4570","4090","22860","21430"
"In post","2021","Undeclared","EO","EO","5870","5380","28280","27570"
"In post","2021","Undeclared","G6/G7","G6","705","675","68880","67590"
"In post","2021","Undeclared","G6/G7","G7","2135","2070","55280","54540"
"In post","2021","Undeclared","SCS level","SCS level","185","180","90060","82440"
"In post","2021","Undeclared","SEO/HEO","HEO","3505","3355","34100","33350"
"In post","2021","Undeclared","SEO/HEO","SEO","2590","2495","41790","40860"
"In post","2021","Undeclared","Unknown","Unknown","540","515","35290","33740"
"In post","2021","Unknown","AA/AO","AA","3370","3070","20090","20070"
"In post","2021","Unknown","AA/AO","AO","20305","18810","22530","21050"
"In post","2021","Unknown","EO","EO","14740","14070","27600","27570"
"In post","2021","Unknown","G6/G7","G6","2110","2040","69100","66610"
"In post","2021","Unknown","G6/G7","G7","5825","5655","54960","53890"
"In post","2021","Unknown","SCS level","SCS level","1155","1130","90790","79930"
"In post","2021","Unknown","SEO/HEO","HEO","10950","10655","32920","32000"
"In post","2021","Unknown","SEO/HEO","SEO","5505","5325","41200","40580"
"In post","2021","Unknown","Unknown","Unknown","3110","2990","34050","32690"
"In post","2021","White","AA/AO","AA","13840","12475","19840","19600"
"In post","2021","White","AA/AO","AO","83275","74360","22890","21400"
"In post","2021","White","EO","EO","89805","82585","27580","27570"
"In post","2021","White","G6/G7","G6","12450","11980","68560","66920"
"In post","2021","White","G6/G7","G7","32930","31660","55210","54200"
"In post","2021","White","SCS level","SCS level","5320","5140","90470","82530"
"In post","2021","White","SEO/HEO","HEO","53545","51125","33470","33000"
"In post","2021","White","SEO/HEO","SEO","38225","36655","41720","40580"
"In post","2021","White","Unknown","Unknown","11010","10280","32070","30680"
"Leaver CS","2021","Asian","AA/AO","AA","45","[c]","20570","21770"
"Leaver CS","2021","Asian","AA/AO","AO","490","[c]","21810","21010"
"Leaver CS","2021","Asian","EO","EO","320","[c]","27770","27570"
"Leaver CS","2021","Asian","G6/G7","G6","20","[c]","[c]","[c]"
"Leaver CS","2021","Asian","G6/G7","G7","65","[c]","57480","55130"
"Leaver CS","2021","Asian","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SEO/HEO","HEO","125","[c]","33020","32980"
"Leaver CS","2021","Asian","SEO/HEO","SEO","90","[c]","41630","40510"
"Leaver CS","2021","Asian","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Black","AA/AO","AA","40","[c]","[c]","[c]"
"Leaver CS","2021","Black","AA/AO","AO","225","[c]","22890","23070"
"Leaver CS","2021","Black","EO","EO","135","[c]","27940","27660"
"Leaver CS","2021","Black","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Black","G6/G7","G7","30","[c]","[c]","[c]"
"Leaver CS","2021","Black","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Black","SEO/HEO","HEO","75","[c]","32780","32980"
"Leaver CS","2021","Black","SEO/HEO","SEO","45","[c]","42310","41660"
"Leaver CS","2021","Black","Unknown","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","AO","15","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","AA/AO","AA","15","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","AA/AO","AO","160","[c]","21920","21010"
"Leaver CS","2021","Mixed","EO","EO","90","[c]","27770","27570"
"Leaver CS","2021","Mixed","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","G6/G7","G7","25","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","HEO","40","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","SEO","40","[c]","40310","40060"
"Leaver CS","2021","Mixed","Unknown","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","AO","40","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","EO","EO","30","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","G7","15","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","HEO","15","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","SEO","20","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","AA","65","[c]","18570","18460"
"Leaver CS","2021","Undeclared","AA/AO","AO","420","[c]","21550","20610"
"Leaver CS","2021","Undeclared","EO","EO","320","[c]","28230","27570"
"Leaver CS","2021","Undeclared","G6/G7","G6","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G7","100","[c]","55740","55430"
"Leaver CS","2021","Undeclared","SCS level","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","HEO","220","[c]","33840","33630"
"Leaver CS","2021","Undeclared","SEO/HEO","SEO","140","[c]","41590","41000"
"Leaver CS","2021","Undeclared","Unknown","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","AA","535","[c]","19300","19090"
"Leaver CS","2021","Unknown","AA/AO","AO","2330","[c]","21550","21010"
"Leaver CS","2021","Unknown","EO","EO","1380","[c]","27170","27570"
"Leaver CS","2021","Unknown","G6/G7","G6","165","[c]","71230","69160"
"Leaver CS","2021","Unknown","G6/G7","G7","375","[c]","55640","55000"
"Leaver CS","2021","Unknown","SCS level","SCS level","100","[c]","100250","86750"
"Leaver CS","2021","Unknown","SEO/HEO","HEO","655","[c]","32690","32340"
"Leaver CS","2021","Unknown","SEO/HEO","SEO","370","[c]","41520","40050"
"Leaver CS","2021","Unknown","Unknown","Unknown","645","[c]","34750","32400"
"Leaver CS","2021","White","AA/AO","AA","1255","[c]","18730","18640"
"Leaver CS","2021","White","AA/AO","AO","6260","[c]","21740","21010"
"Leaver CS","2021","White","EO","EO","3895","[c]","27330","27570"
"Leaver CS","2021","White","G6/G7","G6","500","[c]","72020","70880"
"Leaver CS","2021","White","G6/G7","G7","1150","[c]","56120","55350"
"Leaver CS","2021","White","SCS level","SCS level","315","[c]","97550","94700"
"Leaver CS","2021","White","SEO/HEO","HEO","2185","[c]","33750","33300"
"Leaver CS","2021","White","SEO/HEO","SEO","1495","[c]","42100","41090"
"Leaver CS","2021","White","Unknown","Unknown","520","[c]","37480","35790"
"Leaver Dept.","2021","Asian","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","AA/AO","AO","225","[c]","21440","20920"
"Leaver Dept.","2021","Asian","EO","EO","255","[c]","27570","27570"
"Leaver Dept.","2021","Asian","G6/G7","G6","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","G6/G7","G7","95","[c]","55490","54700"
"Leaver Dept.","2021","Asian","SCS level","SCS level","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","HEO","210","[c]","33060","33300"
"Leaver Dept.","2021","Asian","SEO/HEO","SEO","125","[c]","40700","40640"
"Leaver Dept.","2021","Asian","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","AO","90","[c]","22140","21310"
"Leaver Dept.","2021","Black","EO","EO","145","[c]","27500","27570"
"Leaver Dept.","2021","Black","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","G7","45","[c]","54420","54150"
"Leaver Dept.","2021","Black","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","HEO","120","[c]","34170","33740"
"Leaver Dept.","2021","Black","SEO/HEO","SEO","65","[c]","40260","40450"
"Leaver Dept.","2021","Black","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","EO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","AO","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","EO","EO","70","[c]","27560","27570"
"Leaver Dept.","2021","Mixed","G6/G7","G6","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","G6/G7","G7","60","[c]","54960","54180"
"Leaver Dept.","2021","Mixed","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","SEO/HEO","HEO","95","[c]","32880","32830"
"Leaver Dept.","2021","Mixed","SEO/HEO","SEO","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","EO","EO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","G6/G7","G7","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SEO/HEO","HEO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","AO","65","[c]","21680","21010"
"Leaver Dept.","2021","Undeclared","EO","EO","75","[c]","27160","27570"
"Leaver Dept.","2021","Undeclared","G6/G7","G6","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","G6/G7","G7","70","[c]","55440","54160"
"Leaver Dept.","2021","Undeclared","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","HEO","105","[c]","32850","33040"
"Leaver Dept.","2021","Undeclared","SEO/HEO","SEO","70","[c]","39940","39510"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","AA","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","AO","545","[c]","21180","21010"
"Leaver Dept.","2021","Unknown","EO","EO","460","[c]","27180","27500"
"Leaver Dept.","2021","Unknown","G6/G7","G6","145","[c]","65710","64700"
"Leaver Dept.","2021","Unknown","G6/G7","G7","485","[c]","53870","53420"
"Leaver Dept.","2021","Unknown","SCS level","SCS level","75","[c]","85160","77030"
"Leaver Dept.","2021","Unknown","SEO/HEO","HEO","1010","[c]","32090","32000"
"Leaver Dept.","2021","Unknown","SEO/HEO","SEO","345","[c]","40400","39630"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2021","White","AA/AO","AA","50","[c]","18830","18060"
"Leaver Dept.","2021","White","AA/AO","AO","1085","[c]","21020","21010"
"Leaver Dept.","2021","White","EO","EO","1375","[c]","26520","27470"
"Leaver Dept.","2021","White","G6/G7","G6","335","[c]","65940","65370"
"Leaver Dept.","2021","White","G6/G7","G7","970","[c]","54340","53860"
"Leaver Dept.","2021","White","SCS level","SCS level","235","[c]","89280","80390"
"Leaver Dept.","2021","White","SEO/HEO","HEO","1535","[c]","32530","32430"
"Leaver Dept.","2021","White","SEO/HEO","SEO","800","[c]","40330","40220"
"Leaver Dept.","2021","White","Unknown","Unknown","100","[c]","[c]","[c]"
"New entrant CS","2021","Asian","AA/AO","AA","65","[c]","20680","20600"
"New entrant CS","2021","Asian","AA/AO","AO","1065","[c]","21880","21010"
"New entrant CS","2021","Asian","EO","EO","1910","[c]","28680","27570"
"New entrant CS","2021","Asian","G6/G7","G6","35","[c]","71390","68500"
"New entrant CS","2021","Asian","G6/G7","G7","210","[c]","55650","54070"
"New entrant CS","2021","Asian","SCS level","SCS level","25","[c]","[c]","[c]"
"New entrant CS","2021","Asian","SEO/HEO","HEO","495","[c]","32910","32560"
"New entrant CS","2021","Asian","SEO/HEO","SEO","245","[c]","40410","40000"
"New entrant CS","2021","Asian","Unknown","Unknown","60","[c]","23820","22920"
"New entrant CS","2021","Black","AA/AO","AA","55","[c]","21870","21150"
"New entrant CS","2021","Black","AA/AO","AO","590","[c]","23270","22850"
"New entrant CS","2021","Black","EO","EO","1335","[c]","29300","31060"
"New entrant CS","2021","Black","G6/G7","G6","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","G6/G7","G7","100","[c]","53940","52720"
"New entrant CS","2021","Black","SCS level","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","SEO/HEO","HEO","300","[c]","32830","32560"
"New entrant CS","2021","Black","SEO/HEO","SEO","155","[c]","40650","40070"
"New entrant CS","2021","Black","Unknown","Unknown","105","[c]","24700","24020"
"New entrant CS","2021","Chinese","AA/AO","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","AA/AO","AO","30","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","EO","EO","45","[c]","28170","27770"
"New entrant CS","2021","Chinese","G6/G7","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","G6/G7","G7","10","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SCS level","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SEO/HEO","HEO","25","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SEO/HEO","SEO","15","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","AA/AO","AA","30","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","AA/AO","AO","435","[c]","22480","21010"
"New entrant CS","2021","Mixed","EO","EO","630","[c]","28430","27570"
"New entrant CS","2021","Mixed","G6/G7","G6","10","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","G6/G7","G7","75","[c]","54470","53420"
"New entrant CS","2021","Mixed","SCS level","SCS level","15","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","SEO/HEO","HEO","205","[c]","32640","32560"
"New entrant CS","2021","Mixed","SEO/HEO","SEO","95","[c]","40070","40070"
"New entrant CS","2021","Mixed","Unknown","Unknown","50","[c]","23810","22920"
"New entrant CS","2021","Other ethnicity","AA/AO","AA","10","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","AA/AO","AO","90","[c]","22370","21010"
"New entrant CS","2021","Other ethnicity","EO","EO","150","[c]","28900","29290"
"New entrant CS","2021","Other ethnicity","G6/G7","G6","5","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","G6/G7","G7","25","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","SEO/HEO","HEO","60","[c]","33710","33000"
"New entrant CS","2021","Other ethnicity","SEO/HEO","SEO","25","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","AA","30","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","AO","265","[c]","21290","21010"
"New entrant CS","2021","Undeclared","EO","EO","345","[c]","27800","27570"
"New entrant CS","2021","Undeclared","G6/G7","G6","15","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","G7","75","[c]","56050","54850"
"New entrant CS","2021","Undeclared","SCS level","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","HEO","145","[c]","32620","32330"
"New entrant CS","2021","Undeclared","SEO/HEO","SEO","80","[c]","40270","39680"
"New entrant CS","2021","Undeclared","Unknown","Unknown","25","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","AA","1150","[c]","19760","20060"
"New entrant CS","2021","Unknown","AA/AO","AO","5950","[c]","21770","20880"
"New entrant CS","2021","Unknown","EO","EO","3950","[c]","26660","27270"
"New entrant CS","2021","Unknown","G6/G7","G6","300","[c]","71090","66230"
"New entrant CS","2021","Unknown","G6/G7","G7","905","[c]","54800","53380"
"New entrant CS","2021","Unknown","SCS level","SCS level","270","[c]","88850","74000"
"New entrant CS","2021","Unknown","SEO/HEO","HEO","2505","[c]","31430","31800"
"New entrant CS","2021","Unknown","SEO/HEO","SEO","1025","[c]","40110","40000"
"New entrant CS","2021","Unknown","Unknown","Unknown","770","[c]","23480","22920"
"New entrant CS","2021","White","AA/AO","AA","1505","[c]","19660","20060"
"New entrant CS","2021","White","AA/AO","AO","9305","[c]","21770","21010"
"New entrant CS","2021","White","EO","EO","10310","[c]","27490","27570"
"New entrant CS","2021","White","G6/G7","G6","360","[c]","68360","66230"
"New entrant CS","2021","White","G6/G7","G7","1630","[c]","54440","53350"
"New entrant CS","2021","White","SCS level","SCS level","200","[c]","96440","90500"
"New entrant CS","2021","White","SEO/HEO","HEO","4055","[c]","32500","32330"
"New entrant CS","2021","White","SEO/HEO","SEO","2215","[c]","39780","39310"
"New entrant CS","2021","White","Unknown","Unknown","1000","[c]","25550","22920"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","","",""
"","For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' from 2022 onwards.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
