"Status","Year","Disability","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Competition and Markets Authority","G6/G7","G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","EO","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","EO","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","AO","35","30","21930","22220"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","EO","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","40","35","47640","52490"
"In post","2021","Declared disabled","Crown Prosecution Service","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","AA/AO","AO","155","140","22520","21950"
"In post","2021","Declared disabled","Crown Prosecution Service","EO","EO","140","125","28210","28430"
"In post","2021","Declared disabled","Crown Prosecution Service","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","G6/G7","G7","290","265","57520","55610"
"In post","2021","Declared disabled","Crown Prosecution Service","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","SEO/HEO","HEO","75","75","34840","34480"
"In post","2021","Declared disabled","Crown Prosecution Service","SEO/HEO","SEO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","EO","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","EO","EO","290","270","22630","21850"
"In post","2021","Declared disabled","Defence Equipment and Support","G6/G7","G6","35","35","66690","67150"
"In post","2021","Declared disabled","Defence Equipment and Support","G6/G7","G7","100","95","52490","52500"
"In post","2021","Declared disabled","Defence Equipment and Support","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","SEO/HEO","HEO","330","320","30970","31340"
"In post","2021","Declared disabled","Defence Equipment and Support","SEO/HEO","SEO","320","305","40810","40980"
"In post","2021","Declared disabled","Defence Equipment and Support","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","EO","EO","35","35","23280","22780"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","G6/G7","G7","160","155","49610","46210"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","SEO/HEO","HEO","125","125","28720","28650"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","SEO/HEO","SEO","115","110","37900","37320"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","50","50","28290","27690"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","55","55","67140","65680"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","135","130","55030","53600"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","115","115","34180","33640"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","85","85","41730","40220"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","EO","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","55","55","36170","34020"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","EO","EO","85","80","26690","26000"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","G6/G7","G6","50","50","64380","64180"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","G6/G7","G7","95","90","53060","53420"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","SCS level","SCS level","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","SEO/HEO","HEO","125","120","31710","30630"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","SEO/HEO","SEO","135","130","39600","38300"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","75","70","26700","26050"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","40","40","61700","61270"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","135","135","51290","51280"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","140","135","31480","31430"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","165","155","38220","37530"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","EO","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","G6/G7","G6","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","G6/G7","G7","55","55","52570","51970"
"In post","2021","Declared disabled","Department for International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","SEO/HEO","HEO","40","40","32920","32120"
"In post","2021","Declared disabled","Department for International Trade","SEO/HEO","SEO","35","35","38170","38160"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","EO","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","G6/G7","G7","50","50","54910","54760"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","HEO","50","50","34440","35060"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","SEO","35","35","44120","43690"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AA","70","55","20130","20230"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AO","5000","4225","21160","21010"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","EO","8370","7425","28060","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G6","70","65","67590","66250"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G7","230","215","52520","52150"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","1115","1030","33670","33040"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","345","320","38140","37410"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","G6/G7","G6","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","G6/G7","G7","30","30","53320","53360"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","30","30","32220","32790"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","30","30","39730","40650"
"In post","2021","Declared disabled","Disclosure Scotland","AA/AO","AA","15","15","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","EO","EO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","AA","190","140","18190","18060"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","AO","300","250","21620","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","EO","EO","90","80","26710","26780"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","SEO/HEO","HEO","35","30","32370","32180"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","SEO/HEO","SEO","30","30","43100","41230"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","AO","80","75","23620","21590"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","EO","EO","275","245","28140","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","SEO/HEO","HEO","60","60","32670","32320"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","SEO/HEO","SEO","30","30","41790","41090"
"In post","2021","Declared disabled","Education and Skills Funding Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","EO","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","G6/G7","G7","30","30","51680","50630"
"In post","2021","Declared disabled","Education and Skills Funding Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","SEO/HEO","HEO","45","40","30770","30200"
"In post","2021","Declared disabled","Education and Skills Funding Agency","SEO/HEO","SEO","50","50","38290","37100"
"In post","2021","Declared disabled","Education Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","AA/AO","AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","EO","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","EO","EO","30","30","27550","26750"
"In post","2021","Declared disabled","Food Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AO","65","65","25950","25430"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","EO","EO","105","100","30040","30430"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","G6","75","75","67940","68200"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","G7","165","160","55360","55620"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","HEO","210","205","35750","35700"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","SEO","70","70","42520","42890"
"In post","2021","Declared disabled","Forestry and Land Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","AA/AO","AO","15","15","[c]","[c]"
