"Status","Year","Disability","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Counter Fraud","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","London","35","35","39470","35000"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","London","35","35","42000","37640"
"In post","2021","Declared disabled","Asian","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","North West (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","East Midlands (England)","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","London","60","55","48000","49710"
"In post","2021","Declared disabled","Asian","Legal","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","North West (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","West Midlands (England)","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","East Midlands (England)","85","80","24920","21620"
"In post","2021","Declared disabled","Asian","No function","East of England","30","30","28870","25870"
"In post","2021","Declared disabled","Asian","No function","London","335","315","35850","32560"
"In post","2021","Declared disabled","Asian","No function","North East (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","North West (England)","75","70","27490","21440"
"In post","2021","Declared disabled","Asian","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Scotland","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","South East (England)","40","35","30330","25710"
"In post","2021","Declared disabled","Asian","No function","South West (England)","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","West Midlands (England)","135","125","26870","23140"
"In post","2021","Declared disabled","Asian","No function","Yorkshire and The Humber","40","35","28620","26850"
"In post","2021","Declared disabled","Asian","Project Delivery","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","London","45","45","42050","39390"
"In post","2021","Declared disabled","Asian","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","South West (England)","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","East Midlands (England)","85","75","24530","27570"
"In post","2021","Declared disabled","Asian","Unknown","East of England","85","70","27620","27570"
"In post","2021","Declared disabled","Asian","Unknown","London","620","560","32840","31060"
"In post","2021","Declared disabled","Asian","Unknown","North East (England)","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","North West (England)","150","135","25410","26030"
"In post","2021","Declared disabled","Asian","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Scotland","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","South East (England)","55","45","29080","27570"
"In post","2021","Declared disabled","Asian","Unknown","South West (England)","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","West Midlands (England)","210","190","25300","27570"
"In post","2021","Declared disabled","Asian","Unknown","Yorkshire and The Humber","100","95","26310","27570"
"In post","2021","Declared disabled","Black","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","South East (England)","[c]","[c]","[c]","[c]"
