"Status","Year","Disability","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","SEO/HEO","60","60","39920","39360"
"In post","2021","Declared disabled","Communications","Outside London","AA/AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","EO","45","45","26810","26670"
"In post","2021","Declared disabled","Communications","Outside London","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","SEO/HEO","75","75","35160","35260"
"In post","2021","Declared disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","SEO/HEO","30","30","36880","37910"
"In post","2021","Declared disabled","Digital, Data and Technology","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","London","EO","35","35","29810","29530"
"In post","2021","Declared disabled","Digital, Data and Technology","London","G6/G7","85","80","63210","61960"
"In post","2021","Declared disabled","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","London","SEO/HEO","100","95","39690","38480"
"In post","2021","Declared disabled","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","AA/AO","35","30","21480","21130"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","EO","210","200","26930","26670"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","G6/G7","130","125","55550","52910"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","SEO/HEO","420","400","36670","36500"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","London","G6/G7","40","40","59280","57620"
"In post","2021","Declared disabled","Economics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","London","SEO/HEO","35","35","35570","34880"
"In post","2021","Declared disabled","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","G6/G7","60","60","60640","59160"
"In post","2021","Declared disabled","Finance","London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","SEO/HEO","75","75","39820","39980"
"In post","2021","Declared disabled","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Outside London","AA/AO","120","95","21110","21400"
"In post","2021","Declared disabled","Finance","Outside London","EO","120","115","25940","26580"
"In post","2021","Declared disabled","Finance","Outside London","G6/G7","85","85","55620","52580"
"In post","2021","Declared disabled","Finance","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Outside London","SEO/HEO","240","225","36590","36420"
"In post","2021","Declared disabled","Finance","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","London","EO","40","40","29290","29540"
"In post","2021","Declared disabled","Human Resources","London","G6/G7","95","90","61250","59580"
"In post","2021","Declared disabled","Human Resources","London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","London","SEO/HEO","135","130","39360","37920"
"In post","2021","Declared disabled","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Outside London","AA/AO","120","110","21620","21160"
"In post","2021","Declared disabled","Human Resources","Outside London","EO","120","110","26710","26670"
"In post","2021","Declared disabled","Human Resources","Outside London","G6/G7","120","115","55920","53110"
"In post","2021","Declared disabled","Human Resources","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Outside London","SEO/HEO","295","280","36360","34980"
"In post","2021","Declared disabled","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","London","EO","55","50","30490","29570"
"In post","2021","Declared disabled","Intelligence Analysis","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","London","SEO/HEO","55","50","39850","38360"
"In post","2021","Declared disabled","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","EO","105","100","27220","27230"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","SEO/HEO","60","55","34220","33300"
"In post","2021","Declared disabled","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","SEO/HEO","55","55","39280","39200"
"In post","2021","Declared disabled","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","London","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","London","G6/G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","International Trade","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","International Trade","London","SEO/HEO","30","30","36000","35560"
"In post","2021","Declared disabled","International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","London","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","London","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","London","SEO/HEO","35","35","39030","38120"
"In post","2021","Declared disabled","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","AA/AO","40","35","21350","21130"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","EO","45","40","26080","26670"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","SEO/HEO","80","75","35840","35000"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","London","AA/AO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Legal","London","EO","35","35","30560","29570"
"In post","2021","Declared disabled","Legal","London","G6/G7","220","200","62090","62590"
"In post","2021","Declared disabled","Legal","London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Legal","London","SEO/HEO","60","55","39720","38650"
"In post","2021","Declared disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Outside London","AA/AO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Legal","Outside London","EO","90","85","26420","25560"
"In post","2021","Declared disabled","Legal","Outside London","G6/G7","265","240","57390","55610"
"In post","2021","Declared disabled","Legal","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Legal","Outside London","SEO/HEO","235","220","38910","38260"
"In post","2021","Declared disabled","Legal","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Medicine","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Outside London","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Outside London","G6/G7","30","30","78790","86040"
"In post","2021","Declared disabled","Medicine","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Outside London","SEO/HEO","40","35","39150","37890"
"In post","2021","Declared disabled","Medicine","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","London","AA/AO","800","735","25380","24660"
"In post","2021","Declared disabled","Operational Delivery","London","EO","705","645","29890","29370"
"In post","2021","Declared disabled","Operational Delivery","London","G6/G7","135","130","59390","57740"
"In post","2021","Declared disabled","Operational Delivery","London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","London","SEO/HEO","530","515","39010","37290"
"In post","2021","Declared disabled","Operational Delivery","London","Unknown","290","280","33990","33090"
"In post","2021","Declared disabled","Operational Delivery","Outside London","AA/AO","7095","6215","22070","21430"
"In post","2021","Declared disabled","Operational Delivery","Outside London","EO","3295","3015","27140","26670"
"In post","2021","Declared disabled","Operational Delivery","Outside London","G6/G7","315","305","57950","53720"
"In post","2021","Declared disabled","Operational Delivery","Outside London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Outside London","SEO/HEO","2155","2030","36260","34190"
"In post","2021","Declared disabled","Operational Delivery","Outside London","Unknown","1950","1800","29980","29300"
"In post","2021","Declared disabled","Operational Delivery","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","London","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","London","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Outside London","G6/G7","35","35","49720","46690"
"In post","2021","Declared disabled","Operational Research","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Outside London","SEO/HEO","55","55","34620","37320"
"In post","2021","Declared disabled","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","London","AA/AO","70","65","24180","24590"
"In post","2021","Declared disabled","Other","London","EO","100","95","27770","28650"
"In post","2021","Declared disabled","Other","London","G6/G7","35","35","64700","62170"
"In post","2021","Declared disabled","Other","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other","London","SEO/HEO","85","80","37770","36590"
"In post","2021","Declared disabled","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Outside London","AA/AO","740","695","20930","20920"
"In post","2021","Declared disabled","Other","Outside London","EO","410","380","25830","26440"
"In post","2021","Declared disabled","Other","Outside London","G6/G7","55","55","57200","57000"
"In post","2021","Declared disabled","Other","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other","Outside London","SEO/HEO","370","355","34720","33630"
"In post","2021","Declared disabled","Other","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Outside London","G6/G7","15","10","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","London","AA/AO","55","50","25500","24900"
"In post","2021","Declared disabled","Policy","London","EO","195","195","29460","28990"
"In post","2021","Declared disabled","Policy","London","G6/G7","650","630","58950","57460"
"In post","2021","Declared disabled","Policy","London","SCS level","90","85","86990","77580"
"In post","2021","Declared disabled","Policy","London","SEO/HEO","685","670","37280","36800"
"In post","2021","Declared disabled","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Outside London","AA/AO","40","40","21760","21520"
"In post","2021","Declared disabled","Policy","Outside London","EO","95","90","26460","26120"
"In post","2021","Declared disabled","Policy","Outside London","G6/G7","165","160","54590","52580"
"In post","2021","Declared disabled","Policy","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Policy","Outside London","SEO/HEO","350","335","35630","35910"
"In post","2021","Declared disabled","Policy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Overseas","G6/G7","60","60","59900","58600"
"In post","2021","Declared disabled","Policy","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Policy","Overseas","SEO/HEO","55","55","35480","34400"
"In post","2021","Declared disabled","Policy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Unknown","EO","[c]","[c]","[c]","[c]"
