"Status","Year","Function_of_post","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","London","190","190","46840","46510"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","London","355","340","46610","41040"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","45","45","34540","31000"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","London","10","10","38090","33290"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","London","35","35","45600","42850"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Outside London","115","110","37950","32010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","55","55","54980","52000"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","10","10","54880","63750"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","London","30","30","53850","55430"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","Outside London","20","20","49190","51060"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","Outside London","20","20","37960","36780"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","35","30","31320","29690"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","London","25","25","44760","38200"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","15","15","49150","55600"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","225","225","40680","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Outside London","1475","1405","36550","36030"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","London","20","20","50380","45730"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","Outside London","30","25","44810","42500"
"In post","2021","Analysis","Wales Office","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","London","20","20","71600","71740"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","15","15","53360","49810"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","50","45","32690","29640"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","London","770","755","75440","67440"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","635","625","65000","62010"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","15","15","62420","54700"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","15","15","41410","38800"
"In post","2021","Commercial","Charity Commission","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","London","20","20","47540","40730"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","355","340","33360","33270"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","Outside London","15","15","43670","38360"
"In post","2021","Commercial","Debt Management Office","HM Treasury","London","10","10","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Outside London","25","25","32190","30040"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","Outside London","275","270","44380","41220"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","70","65","33600","35470"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","15","15","46040","45210"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","25","25","53430","51730"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Department for Education","London","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Department for Education","Outside London","175","175","39520","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","20","20","39850","40200"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","120","115","39090","36970"
"In post","2021","Commercial","Department for International Trade","Department for International Trade","London","25","25","37120","38160"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Department for Transport","London","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","105","105","55070","53360"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","95","90","41770","36820"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","155","140","32760","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Outside London","40","40","36260","38650"
"In post","2021","Commercial","Education and Skills Funding Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","London","10","10","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","75","70","43520","40850"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","Outside London","10","10","38840","34720"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","5","5","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","75","75","38960","39630"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Actuary's Department","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Department for Work and Pensions","Outside London","45","45","40900","39390"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","Outside London","15","15","38820","38550"
"In post","2021","Commercial","HM Prison and Probation Service","Ministry of Justice","London","235","230","50190","46600"
"In post","2021","Commercial","HM Prison and Probation Service","Ministry of Justice","Outside London","445","430","48760","48710"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","140","130","36720","35000"
"In post","2021","Commercial","HM Treasury (excl. agencies)","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","20","20","44810","42700"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","London","5","5","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","10","10","43160","45070"
"In post","2021","Commercial","Legal Aid Agency","Ministry of Justice","London","45","45","43030","41150"
"In post","2021","Commercial","Legal Aid Agency","Ministry of Justice","Outside London","115","110","35560","37800"
"In post","2021","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2021","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","185","180","42850","40090"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","London","160","155","38400","34640"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","1325","1275","34320","33300"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","35","35","47940","42100"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","15","15","35740","34500"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","London","5","5","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","London","80","75","39380","37920"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","130","130","28660","25100"
"In post","2021","Commercial","National Crime Agency","National Crime Agency","London","10","10","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","National Crime Agency","Outside London","10","10","44230","42240"
"In post","2021","Commercial","National Savings and Investments","Chancellor's other departments","London","5","5","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Outside London","15","15","35070","32010"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Public Health England","Department of Health and Social Care","London","25","25","47500","43480"
"In post","2021","Commercial","Public Health England","Department of Health and Social Care","Outside London","15","15","29280","23850"
"In post","2021","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","London","10","10","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Scottish Government","Outside London","10","10","35460","32890"
"In post","2021","Commercial","Scottish Prison Service","Scottish Government","Outside London","85","80","30640","25870"
"In post","2021","Commercial","Serious Fraud Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Ministry of Defence","Outside London","145","145","40530","38240"
"In post","2021","Commercial","The National Archives","The National Archives","London","40","40","32110","24510"
"In post","2021","Commercial","UK Export Finance","UK Export Finance","London","190","190","53960","49790"
"In post","2021","Commercial","UK Hydrographic Office","Ministry of Defence","Outside London","20","20","45380","42510"
"In post","2021","Commercial","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Outside London","30","30","46660","49100"
"In post","2021","Commercial","Valuation Office Agency","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","HM Revenue and Customs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","25","20","28600","25710"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","15","10","42000","38670"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Attorney General's Departments","London","10","10","42490","38010"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Cabinet Office","London","320","320","47710","42990"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","15","15","34070","35810"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","5","5","[c]","[c]"
"In post","2021","Communications","Charity Commission","Charity Commission","London","10","10","47110","37910"
"In post","2021","Communications","Charity Commission","Charity Commission","Outside London","20","20","33640","29300"
"In post","2021","Communications","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","20","20","36610","36240"
"In post","2021","Communications","Competition and Markets Authority","Competition and Markets Authority","London","35","35","47210","41980"
"In post","2021","Communications","Crown Commercial Service","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","15","15","35870","34270"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Attorney General's Departments","London","30","30","43110","39750"
"In post","2021","Communications","Crown Prosecution Service","Attorney General's Departments","Outside London","20","20","38420","39750"
"In post","2021","Communications","Debt Management Office","HM Treasury","London","5","5","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Ministry of Defence","London","175","170","23760","21190"
"In post","2021","Communications","Defence Equipment and Support","Ministry of Defence","Outside London","110","110","31870","28130"
"In post","2021","Communications","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","25","25","37840","37320"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","110","105","48940","45270"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","45","40","55500","52120"
"In post","2021","Communications","Department for Education (excl. agencies)","Department for Education","London","130","130","42530","38090"
"In post","2021","Communications","Department for Education (excl. agencies)","Department for Education","Outside London","105","100","32000","29360"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","130","130","44540","39910"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","135","125","38700","36970"
"In post","2021","Communications","Department for International Trade","Department for International Trade","London","100","100","42590","38540"
"In post","2021","Communications","Department for International Trade","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","Department for Transport","London","115","115","47350","43360"
"In post","2021","Communications","Department for Transport (excl. agencies)","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","165","160","41300","32790"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","20","20","59830","62400"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","65","60","29810","26740"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Department for Transport","Outside London","85","80","31290","30730"
"In post","2021","Communications","Education and Skills Funding Agency","Department for Education","London","25","20","48530","54160"
"In post","2021","Communications","Education and Skills Funding Agency","Department for Education","Outside London","65","65","41480","37100"
"In post","2021","Communications","ESTYN","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","10","5","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Food Standards Agency","London","20","20","46130","40960"
"In post","2021","Communications","Food Standards Agency","Food Standards Agency","Outside London","15","15","39470","37910"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","130","130","48760","45840"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Forestry and Land Scotland","Scottish Government","Outside London","20","15","37400","37530"
"In post","2021","Communications","Government Actuary's Department","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","HM Treasury","London","5","5","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Attorney General's Departments","London","15","15","47840","38290"
"In post","2021","Communications","Government Property Agency","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Property Agency","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","Department for Work and Pensions","Outside London","30","30","43530","39390"
"In post","2021","Communications","HM Courts and Tribunals Service","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","Ministry of Justice","Outside London","5","5","[c]","[c]"
"In post","2021","Communications","HM Land Registry","HM Land Registry","London","20","20","41950","39690"
"In post","2021","Communications","HM Land Registry","HM Land Registry","Outside London","10","10","[c]","[c]"
"In post","2021","Communications","HM Prison and Probation Service","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Prison and Probation Service","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","155","150","47920","41760"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","4000","3850","28500","25560"
"In post","2021","Communications","HM Treasury (excl. agencies)","HM Treasury","London","30","30","47090","42300"
"In post","2021","Communications","Insolvency Service","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2021","Communications","Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2021","Communications","Institute for Apprenticeships and Technical Education","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","Ministry of Justice","London","5","5","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Maritime and Coastguard Agency","Department for Transport","Outside London","20","20","35120","31860"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","40","40","42100","35480"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","10","10","35290","32860"
"In post","2021","Communications","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","30","30","38570","38250"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","London","110","105","48720","45200"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","420","405","30970","29200"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","London","90","90","42010","39600"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Outside London","10","10","32340","30190"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","London","110","110","44480","40440"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","15","15","39630","35000"
