"Status","Year","Age","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","65+","G7","575","455","59260","58130"
"In post","2021","65+","HEO","1255","980","35040","34500"
"In post","2021","65+","SCS level","110","85","105360","99740"
"In post","2021","65+","SEO","770","595","44190","43180"
"In post","2021","65+","Unknown","405","325","33510","32400"
"In post","2021","Unknown","AO","5","5","[c]","[c]"
"In post","2021","Unknown","EO","25","20","27180","27570"
"In post","2021","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HEO","10","10","[c]","[c]"
"In post","2021","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","AA","25","[c]","18980","18160"
"Leaver CS","2021","16-19","AO","65","[c]","20970","21010"
"Leaver CS","2021","16-19","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","AA","480","[c]","19060","18850"
"Leaver CS","2021","20-29","AO","2635","[c]","21450","21010"
"Leaver CS","2021","20-29","EO","1110","[c]","25870","26670"
"Leaver CS","2021","20-29","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","G7","95","[c]","53680","53760"
"Leaver CS","2021","20-29","HEO","575","[c]","31470","32000"
"Leaver CS","2021","20-29","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","SEO","185","[c]","39800","40010"
"Leaver CS","2021","20-29","Unknown","295","[c]","27290","26400"
"Leaver CS","2021","30-39","AA","210","[c]","18960","18800"
"Leaver CS","2021","30-39","AO","1450","[c]","21990","21010"
"Leaver CS","2021","30-39","EO","815","[c]","27640","27570"
"Leaver CS","2021","30-39","G6","100","[c]","67960","65950"
"Leaver CS","2021","30-39","G7","380","[c]","54220","53830"
"Leaver CS","2021","30-39","HEO","465","[c]","33350","32920"
"Leaver CS","2021","30-39","SCS level","35","[c]","78510","76680"
"Leaver CS","2021","30-39","SEO","400","[c]","40270","40040"
"Leaver CS","2021","30-39","Unknown","215","[c]","29010","29880"
"Leaver CS","2021","40-49","AA","180","[c]","19200","19080"
"Leaver CS","2021","40-49","AO","1180","[c]","21530","21010"
"Leaver CS","2021","40-49","EO","700","[c]","27740","27570"
"Leaver CS","2021","40-49","G6","130","[c]","72150","70230"
"Leaver CS","2021","40-49","G7","280","[c]","55550","54600"
"Leaver CS","2021","40-49","HEO","370","[c]","33490","33180"
"Leaver CS","2021","40-49","SCS level","110","[c]","93560","87550"
"Leaver CS","2021","40-49","SEO","300","[c]","41340","40630"
"Leaver CS","2021","40-49","Unknown","175","[c]","36800","36970"
"Leaver CS","2021","50-59","AA","345","[c]","19100","19050"
"Leaver CS","2021","50-59","AO","1965","[c]","22040","21010"
"Leaver CS","2021","50-59","EO","1510","[c]","28050","27570"
"Leaver CS","2021","50-59","G6","245","[c]","72750","71210"
"Leaver CS","2021","50-59","G7","500","[c]","57090","56220"
"Leaver CS","2021","50-59","HEO","850","[c]","34210","33630"
"Leaver CS","2021","50-59","SCS level","150","[c]","106190","1e+05"
"Leaver CS","2021","50-59","SEO","605","[c]","42540","41900"
"Leaver CS","2021","50-59","Unknown","245","[c]","39990","35120"
"Leaver CS","2021","60-64","AA","280","[c]","18770","18800"
"Leaver CS","2021","60-64","AO","1330","[c]","22080","21010"
"Leaver CS","2021","60-64","EO","1120","[c]","27900","27570"
"Leaver CS","2021","60-64","G6","175","[c]","72880","71830"
"Leaver CS","2021","60-64","G7","360","[c]","57730","56900"
"Leaver CS","2021","60-64","HEO","660","[c]","34560","33840"
"Leaver CS","2021","60-64","SCS level","120","[c]","98260","94700"
"Leaver CS","2021","60-64","SEO","480","[c]","43420","42910"
"Leaver CS","2021","60-64","Unknown","170","[c]","43510","37850"
"Leaver CS","2021","65+","AA","450","[c]","18690","18440"
"Leaver CS","2021","65+","AO","1315","[c]","21550","21010"
"Leaver CS","2021","65+","EO","870","[c]","27520","27570"
"Leaver CS","2021","65+","G6","65","[c]","71260","70630"
"Leaver CS","2021","65+","G7","130","[c]","57680","57680"
"Leaver CS","2021","65+","HEO","385","[c]","34320","33840"
"Leaver CS","2021","65+","SCS level","30","[c]","103200","98450"
"Leaver CS","2021","65+","SEO","225","[c]","44650","43630"
"Leaver CS","2021","65+","Unknown","135","[c]","38370","35660"
"Leaver CS","2021","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","35","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G7","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HEO","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA","35","[c]","18520","17540"
"Leaver Dept.","2021","20-29","AO","840","[c]","21310","21010"
"Leaver Dept.","2021","20-29","EO","970","[c]","26940","27500"
"Leaver Dept.","2021","20-29","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G7","325","[c]","53820","53380"
"Leaver Dept.","2021","20-29","HEO","1700","[c]","32300","32000"
"Leaver Dept.","2021","20-29","SEO","360","[c]","40010","39960"
"Leaver Dept.","2021","20-29","Unknown","100","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA","20","[c]","18190","17640"
"Leaver Dept.","2021","30-39","AO","580","[c]","21140","21010"
"Leaver Dept.","2021","30-39","EO","665","[c]","26620","27460"
"Leaver Dept.","2021","30-39","G6","215","[c]","65380","64860"
"Leaver Dept.","2021","30-39","G7","765","[c]","54000","53630"
"Leaver Dept.","2021","30-39","HEO","805","[c]","32580","32520"
"Leaver Dept.","2021","30-39","SCS level","65","[c]","77970","74650"
"Leaver Dept.","2021","30-39","SEO","515","[c]","40680","40600"
"Leaver Dept.","2021","30-39","Unknown","60","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AO","335","[c]","21190","21010"
"Leaver Dept.","2021","40-49","EO","425","[c]","27010","27570"
"Leaver Dept.","2021","40-49","G6","210","[c]","66140","65540"
"Leaver Dept.","2021","40-49","G7","380","[c]","54690","54440"
"Leaver Dept.","2021","40-49","HEO","315","[c]","33060","32820"
"Leaver Dept.","2021","40-49","SCS level","175","[c]","87110","78550"
"Leaver Dept.","2021","40-49","SEO","325","[c]","40270","39870"
"Leaver Dept.","2021","40-49","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","AA","15","[c]","19260","19130"
"Leaver Dept.","2021","50-59","AO","255","[c]","21180","21010"
"Leaver Dept.","2021","50-59","EO","290","[c]","27030","27570"
"Leaver Dept.","2021","50-59","G6","105","[c]","66710","66060"
"Leaver Dept.","2021","50-59","G7","225","[c]","55720","54500"
"Leaver Dept.","2021","50-59","HEO","250","[c]","33090","33180"
"Leaver Dept.","2021","50-59","SCS level","85","[c]","95670","85180"
"Leaver Dept.","2021","50-59","SEO","210","[c]","40470","40050"
"Leaver Dept.","2021","50-59","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","AO","35","[c]","20570","20710"
"Leaver Dept.","2021","60-64","EO","35","[c]","26120","26890"
"Leaver Dept.","2021","60-64","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","G7","15","[c]","55500","54880"
"Leaver Dept.","2021","60-64","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","SEO","15","[c]","40370","39030"
"Leaver Dept.","2021","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G7","35","[c]","54460","53800"
"Leaver Dept.","2021","Unknown","HEO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","16-19","AA","125","[c]","19090","19090"
"New entrant CS","2021","16-19","AO","550","[c]","21250","21010"
"New entrant CS","2021","16-19","EO","200","[c]","23890","24500"
"New entrant CS","2021","16-19","Unknown","25","[c]","17440","16780"
"New entrant CS","2021","20-29","AA","1195","[c]","19830","20060"
"New entrant CS","2021","20-29","AO","8525","[c]","21800","21010"
"New entrant CS","2021","20-29","EO","7715","[c]","27380","27570"
"New entrant CS","2021","20-29","G6","25","[c]","65120","64690"
"New entrant CS","2021","20-29","G7","410","[c]","53510","53360"
"New entrant CS","2021","20-29","HEO","4320","[c]","31820","32060"
"New entrant CS","2021","20-29","SCS level","10","[c]","72290","70710"
"New entrant CS","2021","20-29","SEO","825","[c]","39300","39550"
"New entrant CS","2021","20-29","Unknown","895","[c]","23240","22920"
"New entrant CS","2021","30-39","AA","515","[c]","20130","20060"
"New entrant CS","2021","30-39","AO","3670","[c]","22060","21010"
"New entrant CS","2021","30-39","EO","4435","[c]","27810","27570"
"New entrant CS","2021","30-39","G6","205","[c]","68230","66230"
"New entrant CS","2021","30-39","G7","1120","[c]","54670","53420"
"New entrant CS","2021","30-39","HEO","1750","[c]","32580","32000"
"New entrant CS","2021","30-39","SCS level","115","[c]","78530","74000"
"New entrant CS","2021","30-39","SEO","1360","[c]","39790","39350"
"New entrant CS","2021","30-39","Unknown","440","[c]","25050","22920"
"New entrant CS","2021","40-49","AA","405","[c]","19950","20060"
"New entrant CS","2021","40-49","AO","2335","[c]","22020","21010"
"New entrant CS","2021","40-49","EO","3150","[c]","27860","27570"
"New entrant CS","2021","40-49","G6","265","[c]","70020","66510"
"New entrant CS","2021","40-49","G7","890","[c]","55010","53130"
"New entrant CS","2021","40-49","HEO","950","[c]","32710","32000"
"New entrant CS","2021","40-49","SCS level","195","[c]","92020","84100"
"New entrant CS","2021","40-49","SEO","930","[c]","40480","40000"
"New entrant CS","2021","40-49","Unknown","305","[c]","29120","22920"
"New entrant CS","2021","50-59","AA","490","[c]","19480","19560"
"New entrant CS","2021","50-59","AO","2120","[c]","21760","21010"
"New entrant CS","2021","50-59","EO","2695","[c]","27950","27570"
"New entrant CS","2021","50-59","G6","205","[c]","71110","68000"
"New entrant CS","2021","50-59","G7","525","[c]","54860","53360"
"New entrant CS","2021","50-59","HEO","640","[c]","33130","32450"
"New entrant CS","2021","50-59","SCS level","155","[c]","99710","93000"
"New entrant CS","2021","50-59","SEO","615","[c]","40440","40000"
"New entrant CS","2021","50-59","Unknown","260","[c]","26630","22920"
"New entrant CS","2021","60-64","AA","90","[c]","19070","19340"
"New entrant CS","2021","60-64","AO","455","[c]","21320","21010"
"New entrant CS","2021","60-64","EO","425","[c]","27800","27570"
"New entrant CS","2021","60-64","G6","25","[c]","69460","66230"
"New entrant CS","2021","60-64","G7","65","[c]","56100","54810"
"New entrant CS","2021","60-64","HEO","100","[c]","32690","32340"
"New entrant CS","2021","60-64","SCS level","30","[c]","104720","102460"
"New entrant CS","2021","60-64","SEO","100","[c]","40170","40000"
"New entrant CS","2021","60-64","Unknown","65","[c]","27310","18460"
"New entrant CS","2021","65+","AA","25","[c]","18480","18410"
"New entrant CS","2021","65+","AO","75","[c]","21320","21010"
"New entrant CS","2021","65+","EO","60","[c]","27030","27570"
"New entrant CS","2021","65+","G6","5","[c]","[c]","[c]"
"New entrant CS","2021","65+","G7","20","[c]","54120","53500"
"New entrant CS","2021","65+","HEO","30","[c]","30930","30460"
"New entrant CS","2021","65+","SCS level","20","[c]","99920","105070"
"New entrant CS","2021","65+","SEO","30","[c]","39010","38630"
"New entrant CS","2021","65+","Unknown","20","[c]","23200","20410"
"New entrant CS","2021","Unknown","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HEO","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
