"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Sheffield","EO","35","30","27450","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Sheffield","G6/G7","40","40","56750","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Sheffield","SEO/HEO","20","20","36080","38000"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Wakefield","AA/AO","10","10","21950","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Wakefield","EO","20","20","26730","25920"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Wakefield","G6/G7","15","15","62050","59300"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Wakefield","SEO/HEO","20","20","35430","33900"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","York","AA/AO","30","30","21600","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","York","EO","40","35","26400","25920"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","York","G6/G7","195","175","58230","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","York","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","York","SEO/HEO","55","50","35230","38180"
"In post","2021","Cabinet Office","East Midlands (England)","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Nottingham","G6/G7","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Nottingham","SEO/HEO","10","10","32360","30630"
"In post","2021","Cabinet Office","East of England","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Cambridgeshire CC","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Norwich and East Norfolk","AA/AO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Norwich and East Norfolk","EO","15","10","24640","23850"
"In post","2021","Cabinet Office","East of England","Norwich and East Norfolk","G6/G7","35","35","57950","55120"
"In post","2021","Cabinet Office","East of England","Norwich and East Norfolk","SCS level","10","10","85510","75980"
"In post","2021","Cabinet Office","East of England","Norwich and East Norfolk","SEO/HEO","30","25","34910","33640"
"In post","2021","Cabinet Office","East of England","Peterborough","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Peterborough","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Suffolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Camden and City of London","G6/G7","70","70","58310","56340"
"In post","2021","Cabinet Office","London","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Camden and City of London","SEO/HEO","20","20","33770","32000"
"In post","2021","Cabinet Office","London","Croydon","G6/G7","15","15","68960","66900"
"In post","2021","Cabinet Office","London","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Croydon","SEO/HEO","35","35","29510","29250"
"In post","2021","Cabinet Office","London","Hackney and Newham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Hackney and Newham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Harrow and Hillingdon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Lambeth","SEO/HEO","10","10","29310","28630"
"In post","2021","Cabinet Office","London","Lewisham and Southwark","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Lewisham and Southwark","SCS level","10","10","124750","129180"
"In post","2021","Cabinet Office","London","Lewisham and Southwark","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Tower Hamlets","AA/AO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","London","Tower Hamlets","EO","65","60","27870","27500"
"In post","2021","Cabinet Office","London","Tower Hamlets","G6/G7","525","515","58860","56670"
"In post","2021","Cabinet Office","London","Tower Hamlets","SCS level","35","35","97250","86860"
"In post","2021","Cabinet Office","London","Tower Hamlets","SEO/HEO","240","235","36650","35590"
"In post","2021","Cabinet Office","London","Westminster","AA/AO","135","130","24470","24490"
"In post","2021","Cabinet Office","London","Westminster","EO","535","525","27970","27500"
"In post","2021","Cabinet Office","London","Westminster","G6/G7","1755","1725","60070","56370"
"In post","2021","Cabinet Office","London","Westminster","SCS level","710","695","94130","80070"
"In post","2021","Cabinet Office","London","Westminster","SEO/HEO","2320","2305","33960","34550"
"In post","2021","Cabinet Office","North East (England)","Darlington","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Darlington","SCS level","5","5","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Darlington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","South Teesside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Tyneside","AA/AO","155","140","20800","20800"
"In post","2021","Cabinet Office","North East (England)","Tyneside","EO","95","90","24800","23850"
"In post","2021","Cabinet Office","North East (England)","Tyneside","G6/G7","30","30","54080","51520"
"In post","2021","Cabinet Office","North East (England)","Tyneside","SCS level","5","5","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Tyneside","SEO/HEO","120","115","33170","32000"
"In post","2021","Cabinet Office","North West (England)","Blackpool","G6/G7","25","25","56100","49700"
