"Status","Year","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Crown Prosecution Service","Yorkshire and The Humber","935","860","41410","38180"
"In post","2021","Crown Prosecution Service Inspectorate","London","15","15","53250","56160"
"In post","2021","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Debt Management Office","London","115","110","58680","51550"
"In post","2021","Defence Electronics and Components Agency","Wales","380","365","28840","28750"
"In post","2021","Defence Electronics and Components Agency","West Midlands (England)","60","55","25720","25950"
"In post","2021","Defence Equipment and Support","East Midlands (England)","220","220","35980","34880"
"In post","2021","Defence Equipment and Support","East of England","225","215","34470","33530"
"In post","2021","Defence Equipment and Support","London","195","190","25910","21960"
"In post","2021","Defence Equipment and Support","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","North West (England)","145","140","28800","24160"
"In post","2021","Defence Equipment and Support","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Overseas","40","40","43570","42190"
"In post","2021","Defence Equipment and Support","Scotland","510","495","29100","26000"
"In post","2021","Defence Equipment and Support","South East (England)","460","445","29860","27230"
"In post","2021","Defence Equipment and Support","South West (England)","8655","8355","37810","35300"
"In post","2021","Defence Equipment and Support","Unknown","5","5","[c]","[c]"
"In post","2021","Defence Equipment and Support","Wales","15","15","33740","33510"
"In post","2021","Defence Equipment and Support","West Midlands (England)","205","200","26230","23110"
"In post","2021","Defence Equipment and Support","Yorkshire and The Humber","15","15","31530","32010"
"In post","2021","Defence Science and Technology Laboratory","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","East of England","15","15","46640","46090"
"In post","2021","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","South East (England)","1700","1625","41250","40600"
"In post","2021","Defence Science and Technology Laboratory","South West (England)","2665","2580","39860","37320"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Midlands (England)","10","10","39960","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","East of England","15","10","44570","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","4895","4795","49450","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","20","20","47830","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","20","20","43440","37520"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","100","95","50140","47350"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","20","15","44130","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","75","70","34620","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","150","145","40000","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","10","10","44910","40460"
"In post","2021","Department for Digital, Culture, Media and Sport","London","1715","1680","49440","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","45","45","40660","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Scotland","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","East Midlands (England)","220","205","41850","37100"
"In post","2021","Department for Education (excl. agencies)","East of England","70","65","46080","46180"
"In post","2021","Department for Education (excl. agencies)","London","2170","2090","50130","53420"
"In post","2021","Department for Education (excl. agencies)","North East (England)","570","545","38500","36780"
"In post","2021","Department for Education (excl. agencies)","North West (England)","930","910","40660","36780"
"In post","2021","Department for Education (excl. agencies)","South West (England)","140","135","46090","42220"
"In post","2021","Department for Education (excl. agencies)","Unknown","10","10","56650","56930"
"In post","2021","Department for Education (excl. agencies)","West Midlands (England)","475","465","39870","36780"
"In post","2021","Department for Education (excl. agencies)","Yorkshire and The Humber","1115","1070","41250","37100"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","80","75","39680","36590"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","175","165","37450","36190"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","London","2485","2415","45270","39830"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","195","185","39170","36520"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","290","280","40760","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","25","25","35220","30210"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","330","315","41520","37410"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","940","890","40210","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","20","20","39770","36170"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","215","205","42290","37440"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","650","630","39340","36520"
"In post","2021","Department for International Trade","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","Department for International Trade","East of England","5","5","[c]","[c]"
"In post","2021","Department for International Trade","London","2315","2295","45240","38950"
"In post","2021","Department for International Trade","North East (England)","10","10","39300","36790"
"In post","2021","Department for International Trade","North West (England)","15","15","47900","48220"
"In post","2021","Department for International Trade","Overseas","155","155","56610","54470"
"In post","2021","Department for International Trade","Scotland","10","10","37800","32030"
"In post","2021","Department for International Trade","South East (England)","120","120","46620","51710"
"In post","2021","Department for International Trade","South West (England)","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","West Midlands (England)","20","15","38940","33500"
"In post","2021","Department for International Trade","Yorkshire and The Humber","15","15","44820","48220"
"In post","2021","Department for Transport (excl. agencies)","East Midlands (England)","30","30","56940","53300"
"In post","2021","Department for Transport (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","London","3065","2995","48330","43800"
"In post","2021","Department for Transport (excl. agencies)","North East (England)","15","15","27970","26780"
"In post","2021","Department for Transport (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","South East (England)","245","230","47370","39040"
"In post","2021","Department for Transport (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Wales","45","45","38090","38650"
"In post","2021","Department for Transport (excl. agencies)","West Midlands (England)","65","65","34990","30730"
"In post","2021","Department for Transport (excl. agencies)","Yorkshire and The Humber","40","40","38740","38650"
"In post","2021","Department for Work and Pensions (excl. agencies)","East Midlands (England)","4490","3975","25910","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","East of England","4570","4095","28120","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","London","10025","9385","33600","31060"
"In post","2021","Department for Work and Pensions (excl. agencies)","North East (England)","9550","8460","27110","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","North West (England)","17710","15930","26890","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions (excl. agencies)","Scotland","8815","7785","25210","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","South East (England)","6665","6020","27390","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","South West (England)","5740","4995","26140","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Unknown","900","835","30410","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Wales","5640","5045","25760","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","West Midlands (England)","7600","6665","26010","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","9250","8220","29470","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","London","2445","2395","48400","41890"
"In post","2021","Department of Health and Social Care (excl. agencies)","North West (England)","30","30","36110","33990"
"In post","2021","Department of Health and Social Care (excl. agencies)","South East (England)","5","5","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","1040","1005","42980","37630"
"In post","2021","Disclosure Scotland","Scotland","310","290","28110","23170"
"In post","2021","Driver and Vehicle Licensing Agency","Wales","6225","5490","26100","21590"
"In post","2021","Driver and Vehicle Standards Agency","East Midlands (England)","545","520","32180","27680"
"In post","2021","Driver and Vehicle Standards Agency","East of England","375","355","28740","26780"
"In post","2021","Driver and Vehicle Standards Agency","London","360","345","32170","30780"
"In post","2021","Driver and Vehicle Standards Agency","North East (England)","335","305","27020","26580"
"In post","2021","Driver and Vehicle Standards Agency","North West (England)","430","405","28340","26780"
"In post","2021","Driver and Vehicle Standards Agency","Scotland","295","280","28820","26780"
"In post","2021","Driver and Vehicle Standards Agency","South East (England)","510","485","29870","27680"
"In post","2021","Driver and Vehicle Standards Agency","South West (England)","565","535","32160","27680"
"In post","2021","Driver and Vehicle Standards Agency","Wales","525","495","29190","26780"
"In post","2021","Driver and Vehicle Standards Agency","West Midlands (England)","400","380","28240","26780"
"In post","2021","Driver and Vehicle Standards Agency","Yorkshire and The Humber","440","410","27500","26780"
"In post","2021","Education and Skills Funding Agency","East Midlands (England)","65","60","42010","37100"
"In post","2021","Education and Skills Funding Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","London","310","300","50270","53420"
"In post","2021","Education and Skills Funding Agency","North East (England)","215","205","37330","36500"
"In post","2021","Education and Skills Funding Agency","North West (England)","205","200","38940","36780"
"In post","2021","Education and Skills Funding Agency","South West (England)","80","80","39360","36780"
"In post","2021","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","West Midlands (England)","575","560","42000","37100"
"In post","2021","Education and Skills Funding Agency","Yorkshire and The Humber","365","350","39240","36780"
"In post","2021","Education Scotland","Scotland","315","300","55840","61010"
"In post","2021","ESTYN","Wales","115","105","58000","74730"
"In post","2021","FCDO Services","London","170","165","47700","44410"
"In post","2021","FCDO Services","Overseas","135","135","40180","39870"
"In post","2021","FCDO Services","South East (England)","770","740","38770","34760"
"In post","2021","Food Standards Agency","East Midlands (England)","45","40","27130","26750"
"In post","2021","Food Standards Agency","East of England","55","55","27660","26750"
"In post","2021","Food Standards Agency","London","470","460","42510","40350"
"In post","2021","Food Standards Agency","North East (England)","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","North West (England)","45","45","26820","26750"
"In post","2021","Food Standards Agency","Northern Ireland","80","80","38880","37910"
"In post","2021","Food Standards Agency","South East (England)","10","10","30560","29090"
"In post","2021","Food Standards Agency","South West (England)","50","45","26800","26750"
"In post","2021","Food Standards Agency","Wales","140","135","36990","30840"
"In post","2021","Food Standards Agency","West Midlands (England)","115","115","34690","30350"
"In post","2021","Food Standards Agency","Yorkshire and The Humber","295","285","36770","31450"
"In post","2021","Food Standards Scotland","Scotland","250","245","35100","30650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","London","4090","3995","49420","44880"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","2145","2140","52770","54080"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","965","930","40570","34530"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","275","270","31540","27060"
"In post","2021","Forestry and Land Scotland","Scotland","990","955","31490","29140"
"In post","2021","Government Actuary's Department","London","200","190","64910","57250"
"In post","2021","Government Actuary's Department","Scotland","5","5","[c]","[c]"
"In post","2021","Government Internal Audit Agency","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Government Internal Audit Agency","East of England","5","5","[c]","[c]"
"In post","2021","Government Internal Audit Agency","London","175","170","52670","51290"
"In post","2021","Government Internal Audit Agency","North East (England)","25","25","43680","43300"
"In post","2021","Government Internal Audit Agency","North West (England)","50","45","45840","42810"
"In post","2021","Government Internal Audit Agency","Scotland","10","10","46240","46320"
"In post","2021","Government Internal Audit Agency","South East (England)","15","15","41640","42770"
"In post","2021","Government Internal Audit Agency","South West (England)","35","35","47920","43800"
"In post","2021","Government Internal Audit Agency","Wales","25","25","47860","48780"
"In post","2021","Government Internal Audit Agency","West Midlands (England)","30","30","51590","44990"
"In post","2021","Government Internal Audit Agency","Yorkshire and The Humber","70","65","44660","41720"
"In post","2021","Government Legal Department","London","2440","2275","54510","52040"
"In post","2021","Government Legal Department","North West (England)","10","10","59240","56650"
"In post","2021","Government Legal Department","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","South West (England)","40","35","55070","53840"
"In post","2021","Government Legal Department","Yorkshire and The Humber","35","35","55970","58180"
"In post","2021","Government Property Agency","East Midlands (England)","10","10","50480","52440"
"In post","2021","Government Property Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","London","80","80","50750","54180"
"In post","2021","Government Property Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","North West (England)","10","10","49040","49700"
"In post","2021","Government Property Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","South West (England)","15","15","45520","47000"
"In post","2021","Government Property Agency","Unknown","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","West Midlands (England)","35","35","45690","38000"
"In post","2021","Government Property Agency","Yorkshire and The Humber","35","35","51540","49700"
"In post","2021","Health and Safety Executive","East Midlands (England)","395","365","42350","39390"
"In post","2021","Health and Safety Executive","East of England","130","125","44430","44820"
"In post","2021","Health and Safety Executive","London","155","150","49050","45610"
"In post","2021","Health and Safety Executive","North East (England)","75","70","42660","43830"
"In post","2021","Health and Safety Executive","North West (England)","915","855","40170","35910"
"In post","2021","Health and Safety Executive","Scotland","225","210","59820","53360"
"In post","2021","Health and Safety Executive","South East (England)","90","85","42090","41810"
"In post","2021","Health and Safety Executive","South West (England)","80","75","44980","46320"
"In post","2021","Health and Safety Executive","Wales","100","90","41050","44460"
"In post","2021","Health and Safety Executive","West Midlands (England)","80","75","44170","46320"
"In post","2021","Health and Safety Executive","Yorkshire and The Humber","340","320","39270","37090"
"In post","2021","HM Courts and Tribunals Service","East Midlands (England)","1370","1210","22280","19830"
"In post","2021","HM Courts and Tribunals Service","East of England","1080","955","23410","20230"
"In post","2021","HM Courts and Tribunals Service","London","4445","4195","28770","23500"
"In post","2021","HM Courts and Tribunals Service","North East (England)","690","600","23800","20100"
"In post","2021","HM Courts and Tribunals Service","North West (England)","2205","1985","23820","20650"
"In post","2021","HM Courts and Tribunals Service","Scotland","230","215","22910","20650"
"In post","2021","HM Courts and Tribunals Service","South East (England)","1360","1200","24320","21170"
"In post","2021","HM Courts and Tribunals Service","South West (England)","990","875","23110","20100"
"In post","2021","HM Courts and Tribunals Service","Unknown","15","15","20040","19930"
"In post","2021","HM Courts and Tribunals Service","Wales","950","865","22980","20100"
"In post","2021","HM Courts and Tribunals Service","West Midlands (England)","1990","1800","22770","20100"
"In post","2021","HM Courts and Tribunals Service","Yorkshire and The Humber","1280","1105","22970","20100"
"In post","2021","HM Land Registry","East Midlands (England)","870","795","30980","27130"
"In post","2021","HM Land Registry","East of England","285","260","31050","27130"
"In post","2021","HM Land Registry","London","375","355","41430","37290"
"In post","2021","HM Land Registry","North East (England)","710","645","28370","27130"
"In post","2021","HM Land Registry","North West (England)","905","810","29390","27130"
"In post","2021","HM Land Registry","South West (England)","1550","1400","32770","31740"
"In post","2021","HM Land Registry","Wales","720","645","29080","27130"
"In post","2021","HM Land Registry","West Midlands (England)","605","550","29710","27130"
"In post","2021","HM Land Registry","Yorkshire and The Humber","335","305","29120","27130"
"In post","2021","HM Prison and Probation Service","East Midlands (England)","5015","4725","28970","26850"
"In post","2021","HM Prison and Probation Service","East of England","5360","5080","29650","28880"
"In post","2021","HM Prison and Probation Service","London","6460","6260","35690","33260"
"In post","2021","HM Prison and Probation Service","North East (England)","3395","3170","29330","27700"
"In post","2021","HM Prison and Probation Service","North West (England)","6870","6410","29420","27380"
"In post","2021","HM Prison and Probation Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","South East (England)","8120","7715","30490","30400"
"In post","2021","HM Prison and Probation Service","South West (England)","3925","3655","29100","27150"
"In post","2021","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Wales","2885","2715","29170","26810"
"In post","2021","HM Prison and Probation Service","West Midlands (England)","5385","5115","29300","26810"
"In post","2021","HM Prison and Probation Service","Yorkshire and The Humber","6615","6180","29150","26810"
"In post","2021","HM Revenue and Customs (excl. agencies)","East Midlands (England)","3785","3535","31950","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","East of England","1680","1530","31990","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","London","8055","7660","43380","36240"
"In post","2021","HM Revenue and Customs (excl. agencies)","North East (England)","10830","9600","27590","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","North West (England)","12550","11585","30050","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Northern Ireland","1995","1855","28510","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Scotland","7730","6960","26980","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","South East (England)","2340","2105","29780","28130"
"In post","2021","HM Revenue and Customs (excl. agencies)","South West (England)","1295","1225","35160","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Wales","4155","3835","27810","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","West Midlands (England)","3855","3605","32850","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","4670","4315","29870","25560"
"In post","2021","HM Treasury (excl. agencies)","East of England","65","65","29430","23780"
"In post","2021","HM Treasury (excl. agencies)","London","1955","1920","47850","52500"
"In post","2021","Home Office (incl. agencies)","East Midlands (England)","220","210","28000","25390"
"In post","2021","Home Office (incl. agencies)","East of England","1960","1765","26450","25220"
"In post","2021","Home Office (incl. agencies)","London","13330","12600","39800","35070"
"In post","2021","Home Office (incl. agencies)","North East (England)","1290","1135","25210","21430"
"In post","2021","Home Office (incl. agencies)","North West (England)","7160","6645","27050","24890"
"In post","2021","Home Office (incl. agencies)","Northern Ireland","535","490","25380","24890"
"In post","2021","Home Office (incl. agencies)","Overseas","330","325","28290","27370"
"In post","2021","Home Office (incl. agencies)","Scotland","1040","965","27140","25040"
"In post","2021","Home Office (incl. agencies)","South East (England)","3790","3445","27740","26250"
"In post","2021","Home Office (incl. agencies)","South West (England)","390","360","28190","25440"
"In post","2021","Home Office (incl. agencies)","Unknown","15","15","44290","30410"
"In post","2021","Home Office (incl. agencies)","Wales","640","590","27400","25040"
"In post","2021","Home Office (incl. agencies)","West Midlands (England)","1030","960","27940","25310"
"In post","2021","Home Office (incl. agencies)","Yorkshire and The Humber","3635","3380","27790","25040"
"In post","2021","Insolvency Service","East Midlands (England)","70","65","31350","28130"
"In post","2021","Insolvency Service","East of England","130","125","30970","27300"
"In post","2021","Insolvency Service","London","315","300","40670","38510"
"In post","2021","Insolvency Service","North East (England)","55","50","31030","27720"
"In post","2021","Insolvency Service","North West (England)","290","280","33370","32060"
"In post","2021","Insolvency Service","Scotland","75","70","25540","20880"
"In post","2021","Insolvency Service","South East (England)","125","115","30080","26290"
"In post","2021","Insolvency Service","South West (England)","145","140","30040","26290"
"In post","2021","Insolvency Service","Wales","75","70","28260","26000"
"In post","2021","Insolvency Service","West Midlands (England)","420","400","31260","26410"
"In post","2021","Insolvency Service","Yorkshire and The Humber","110","105","31290","28310"
"In post","2021","Institute for Apprenticeships and Technical Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","London","105","105","53820","53950"
"In post","2021","Institute for Apprenticeships and Technical Education","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","West Midlands (England)","100","95","44040","49960"
"In post","2021","Institute for Apprenticeships and Technical Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","East Midlands (England)","180","165","23080","19970"
"In post","2021","Legal Aid Agency","East of England","15","15","33080","33000"
"In post","2021","Legal Aid Agency","London","170","165","44760","40530"
"In post","2021","Legal Aid Agency","North East (England)","275","255","24020","21170"
"In post","2021","Legal Aid Agency","North West (England)","245","235","25480","22570"
"In post","2021","Legal Aid Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","South East (England)","20","20","41100","40080"
"In post","2021","Legal Aid Agency","South West (England)","75","70","29090","22570"
"In post","2021","Legal Aid Agency","Wales","45","40","30990","28400"
"In post","2021","Legal Aid Agency","West Midlands (England)","110","105","25030","21170"
"In post","2021","Legal Aid Agency","Yorkshire and The Humber","50","45","28130","26050"
"In post","2021","Maritime and Coastguard Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","East of England","20","20","51230","59220"
"In post","2021","Maritime and Coastguard Agency","London","10","10","[c]","[c]"
