"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","HM Revenue and Customs","G6","75","75","68040","71290"
"In post","2021","Asian","HM Revenue and Customs","G7","315","310","54900","52600"
"In post","2021","Asian","HM Revenue and Customs","HEO","1090","1055","33570","31810"
"In post","2021","Asian","HM Revenue and Customs","SCS level","20","20","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","SEO","390","385","39930","38630"
"In post","2021","Asian","HM Treasury","AO","10","10","[c]","[c]"
"In post","2021","Asian","HM Treasury","EO","35","35","26910","26860"
"In post","2021","Asian","HM Treasury","G6","35","35","69060","65540"
"In post","2021","Asian","HM Treasury","G7","60","60","55300","53210"
"In post","2021","Asian","HM Treasury","HEO","105","105","35110","33890"
"In post","2021","Asian","HM Treasury","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","HM Treasury","SEO","20","20","[c]","[c]"
"In post","2021","Asian","Home Office","AA","150","130","21320","22210"
"In post","2021","Asian","Home Office","AO","1065","935","23700","25630"
"In post","2021","Asian","Home Office","EO","1880","1735","28090","28760"
"In post","2021","Asian","Home Office","G6","50","50","70760","68940"
"In post","2021","Asian","Home Office","G7","220","220","59000","57680"
"In post","2021","Asian","Home Office","HEO","680","650","34740","35070"
"In post","2021","Asian","Home Office","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Home Office","SEO","405","400","42630","42170"
"In post","2021","Asian","Home Office","Unknown","35","35","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","AA","110","105","20200","19560"
"In post","2021","Asian","Ministry of Defence","AO","225","215","24110","22550"
"In post","2021","Asian","Ministry of Defence","EO","270","260","26200","26670"
"In post","2021","Asian","Ministry of Defence","G6","30","25","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","G7","100","100","60100","57230"
"In post","2021","Asian","Ministry of Defence","HEO","295","290","33590","33300"
"In post","2021","Asian","Ministry of Defence","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","SEO","250","245","42960","42200"
"In post","2021","Asian","Ministry of Defence","Unknown","50","50","36620","33200"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","AO","10","10","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","EO","40","40","28720","27850"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","G6","15","15","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","G7","50","50","52800","53130"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","HEO","70","65","33700","33210"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","SEO","35","35","39610","39600"
"In post","2021","Asian","Ministry of Justice","AA","245","225","20630","20600"
"In post","2021","Asian","Ministry of Justice","AO","1630","1480","22750","21180"
"In post","2021","Asian","Ministry of Justice","EO","565","540","25800","26410"
"In post","2021","Asian","Ministry of Justice","G6","5","5","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","G7","155","150","58920","58130"
"In post","2021","Asian","Ministry of Justice","HEO","465","425","32750","31330"
"In post","2021","Asian","Ministry of Justice","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","SEO","350","340","42570","41260"
"In post","2021","Asian","Ministry of Justice","Unknown","525","485","29300","28200"
"In post","2021","Asian","National Crime Agency","AO","40","40","23500","24220"
"In post","2021","Asian","National Crime Agency","EO","110","105","33520","32770"
"In post","2021","Asian","National Crime Agency","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","G7","5","5","[c]","[c]"
"In post","2021","Asian","National Crime Agency","HEO","65","60","41170","40170"
"In post","2021","Asian","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","SEO","20","20","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","AO","15","15","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","EO","15","15","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","G7","15","15","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","HEO","20","20","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","SEO","30","25","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","AO","5","5","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","EO","20","20","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","G7","35","35","58520","57750"
"In post","2021","Asian","Office of Gas and Electricity Markets","HEO","25","25","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","SEO","15","10","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","G7","5","5","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","EO","5","5","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","G7","5","5","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Scotland Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","AA","20","15","[c]","[c]"
"In post","2021","Asian","Scottish Government","AO","30","25","[c]","[c]"
"In post","2021","Asian","Scottish Government","EO","30","30","[c]","[c]"
"In post","2021","Asian","Scottish Government","G6","5","5","[c]","[c]"
"In post","2021","Asian","Scottish Government","G7","15","15","[c]","[c]"
"In post","2021","Asian","Scottish Government","HEO","30","30","33090","33100"
"In post","2021","Asian","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","SEO","45","45","43730","43660"
"In post","2021","Asian","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","AO","15","10","[c]","[c]"
"In post","2021","Asian","The National Archives","EO","5","5","[c]","[c]"
"In post","2021","Asian","The National Archives","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","G7","5","5","[c]","[c]"
"In post","2021","Asian","The National Archives","HEO","10","10","[c]","[c]"
"In post","2021","Asian","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","SEO","10","10","[c]","[c]"
"In post","2021","Asian","UK Export Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","EO","15","15","[c]","[c]"
"In post","2021","Asian","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","G7","15","15","[c]","[c]"
"In post","2021","Asian","UK Export Finance","HEO","15","15","[c]","[c]"
"In post","2021","Asian","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","SEO","15","15","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","AA","20","15","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","AO","25","20","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","EO","20","20","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","G7","10","10","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","HEO","35","35","31020","30130"
"In post","2021","Asian","United Kingdom Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","SEO","20","20","[c]","[c]"
"In post","2021","Asian","Wales Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","EO","10","10","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","AO","10","10","[c]","[c]"
"In post","2021","Asian","Welsh Government","EO","10","10","[c]","[c]"
"In post","2021","Asian","Welsh Government","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","G7","5","5","[c]","[c]"
"In post","2021","Asian","Welsh Government","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","SEO","10","10","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","AO","105","100","23270","23520"
"In post","2021","Black","Attorney General's Departments","EO","150","145","28250","27740"
"In post","2021","Black","Attorney General's Departments","G6","25","25","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","G7","175","165","57180","56560"
"In post","2021","Black","Attorney General's Departments","HEO","75","70","35130","33930"
"In post","2021","Black","Attorney General's Departments","SCS level","10","10","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","SEO","20","20","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office","AO","20","20","[c]","[c]"
"In post","2021","Black","Cabinet Office","EO","55","55","27890","27500"
"In post","2021","Black","Cabinet Office","G6","15","15","[c]","[c]"
"In post","2021","Black","Cabinet Office","G7","50","50","55800","54700"
"In post","2021","Black","Cabinet Office","HEO","70","70","34950","34550"
"In post","2021","Black","Cabinet Office","SCS level","10","10","[c]","[c]"
"In post","2021","Black","Cabinet Office","SEO","35","35","41180","40600"
"In post","2021","Black","Chancellor's other departments","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","HEO","5","5","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","SEO","5","5","[c]","[c]"
"In post","2021","Black","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","EO","5","5","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","G7","5","5","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","HEO","10","10","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","SEO","10","10","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","AA","5","5","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","AO","40","35","22950","22490"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","EO","70","70","28260","27690"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","G6","5","5","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","G7","75","75","54920","53600"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","HEO","125","125","34470","33640"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","SEO","65","65","41540","40220"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","EO","20","20","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","G6","5","5","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","G7","20","20","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","HEO","40","40","36440","34020"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Education","AO","10","10","[c]","[c]"
"In post","2021","Black","Department for Education","EO","60","55","28160","28500"
"In post","2021","Black","Department for Education","G6","15","15","[c]","[c]"
"In post","2021","Black","Department for Education","G7","55","55","53220","53420"
"In post","2021","Black","Department for Education","HEO","70","70","33280","33300"
"In post","2021","Black","Department for Education","SCS level","5","5","[c]","[c]"
"In post","2021","Black","Department for Education","SEO","75","75","40400","40230"
"In post","2021","Black","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","AA","[c]","[c]","[c]","[c]"
