"Status","Year","Disability","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Chinese","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","No function","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","No function","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","No function","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Analysis","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Commercial","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Commercial","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Communications","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Communications","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Counter Fraud","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Counter Fraud","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Debt","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Digital, Data & Technology","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Digital, Data & Technology","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Finance","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Human Resources","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Human Resources","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Legal","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Legal","Outside London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","No function","London","165","160","37580","33640"
"In post","2021","Declared disabled","Mixed","No function","Outside London","280","260","28750","26700"
"In post","2021","Declared disabled","Mixed","No function","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Project Delivery","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Project Delivery","Outside London","35","35","37270","33300"
"In post","2021","Declared disabled","Mixed","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Property","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Security","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","London","140","135","34780","31060"
"In post","2021","Declared disabled","Mixed","Unknown","Outside London","330","295","27260","27570"
"In post","2021","Declared disabled","Mixed","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Counter Fraud","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Debt","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Legal","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","No function","London","70","70","37620","35030"
"In post","2021","Declared disabled","Other ethnicity","No function","Outside London","70","65","31840","31260"
"In post","2021","Declared disabled","Other ethnicity","No function","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Project Delivery","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","London","45","45","34490","31060"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Outside London","85","80","27660","27570"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Analysis","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Analysis","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Commercial","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Commercial","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Communications","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Counter Fraud","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Counter Fraud","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Debt","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Debt","Outside London","10","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Digital, Data & Technology","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Digital, Data & Technology","Outside London","35","30","39230","33530"
"In post","2021","Declared disabled","Undeclared","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Finance","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Finance","Outside London","30","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Grants Management","London","[c]","[c]","[c]","[c]"
