"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","SEO/HEO","SEO","Male","125","125","42230","41280"
"In post","2021","Digital, Data and Technology","AA/AO","AA","Female","15","15","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","AA","Male","40","35","19980","20070"
"In post","2021","Digital, Data and Technology","AA/AO","AO","Female","175","160","21860","21580"
"In post","2021","Digital, Data and Technology","AA/AO","AO","Male","215","215","22390","21590"
"In post","2021","Digital, Data and Technology","EO","EO","Female","810","755","27230","26670"
"In post","2021","Digital, Data and Technology","EO","EO","Male","1410","1385","27660","26750"
"In post","2021","Digital, Data and Technology","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","G6","Female","245","235","66520","65340"
"In post","2021","Digital, Data and Technology","G6/G7","G6","Male","460","455","69090","67940"
"In post","2021","Digital, Data and Technology","G6/G7","G7","Female","945","915","54610","53130"
"In post","2021","Digital, Data and Technology","G6/G7","G7","Male","1810","1795","56440","54990"
"In post","2021","Digital, Data and Technology","SCS level","SCS level","Female","80","80","87410","80420"
"In post","2021","Digital, Data and Technology","SCS level","SCS level","Male","145","140","93360","87910"
"In post","2021","Digital, Data and Technology","SEO/HEO","HEO","Female","1230","1155","33180","32670"
"In post","2021","Digital, Data and Technology","SEO/HEO","HEO","Male","2150","2115","33950","33300"
"In post","2021","Digital, Data and Technology","SEO/HEO","SEO","Female","1115","1070","40940","40470"
"In post","2021","Digital, Data and Technology","SEO/HEO","SEO","Male","2380","2350","42060","41740"
"In post","2021","Digital, Data and Technology","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","Male","50","50","37220","37440"
"In post","2021","Economics","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","AO","Female","35","35","22580","22680"
"In post","2021","Economics","AA/AO","AO","Male","50","50","22680","22500"
"In post","2021","Economics","EO","EO","Female","55","55","26300","26250"
"In post","2021","Economics","EO","EO","Male","65","65","27640","27680"
"In post","2021","Economics","G6/G7","G6","Female","95","85","69800","68670"
"In post","2021","Economics","G6/G7","G6","Male","145","140","70350","70010"
"In post","2021","Economics","G6/G7","G7","Female","260","250","55400","55220"
"In post","2021","Economics","G6/G7","G7","Male","445","440","56450","56130"
"In post","2021","Economics","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS level","SCS level","Female","35","30","89770","84250"
"In post","2021","Economics","SCS level","SCS level","Male","60","60","88330","81610"
"In post","2021","Economics","SEO/HEO","HEO","Female","260","255","33530","33170"
"In post","2021","Economics","SEO/HEO","HEO","Male","515","510","34000","33880"
"In post","2021","Economics","SEO/HEO","SEO","Female","55","50","40100","39990"
"In post","2021","Economics","SEO/HEO","SEO","Male","85","80","41760","41790"
"In post","2021","Economics","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","AA","Female","45","30","19550","20070"
"In post","2021","Finance","AA/AO","AA","Male","35","30","19930","20070"
"In post","2021","Finance","AA/AO","AO","Female","760","625","21500","21440"
"In post","2021","Finance","AA/AO","AO","Male","325","300","21590","21440"
"In post","2021","Finance","EO","EO","Female","1045","965","26670","26670"
"In post","2021","Finance","EO","EO","Male","580","575","26390","26670"
"In post","2021","Finance","G6/G7","G6","Female","260","250","67350","67220"
"In post","2021","Finance","G6/G7","G6","Male","330","330","68570","68290"
"In post","2021","Finance","G6/G7","G7","Female","760","730","55090","54540"
"In post","2021","Finance","G6/G7","G7","Male","790","785","56230","55740"
"In post","2021","Finance","SCS level","SCS level","Female","110","105","88770","81830"
"In post","2021","Finance","SCS level","SCS level","Male","170","170","91720","85100"
"In post","2021","Finance","SEO/HEO","HEO","Female","1080","1020","33420","33190"
"In post","2021","Finance","SEO/HEO","HEO","Male","820","810","33820","33300"
"In post","2021","Finance","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","SEO","Female","995","950","41800","40720"
"In post","2021","Finance","SEO/HEO","SEO","Male","920","905","42130","41340"
"In post","2021","Finance","Unknown","Unknown","Female","80","75","41270","39860"
"In post","2021","Finance","Unknown","Unknown","Male","55","55","41440","40410"
"In post","2021","Human Resources","AA/AO","AA","Female","55","50","19840","19560"
"In post","2021","Human Resources","AA/AO","AA","Male","15","15","[c]","[c]"
"In post","2021","Human Resources","AA/AO","AO","Female","835","740","21770","21130"
"In post","2021","Human Resources","AA/AO","AO","Male","305","300","21750","21130"
"In post","2021","Human Resources","EO","EO","Female","990","915","26910","26670"
"In post","2021","Human Resources","EO","EO","Male","390","380","27640","27180"
"In post","2021","Human Resources","G6/G7","G6","Female","300","290","66620","65920"
"In post","2021","Human Resources","G6/G7","G6","Male","135","135","68520","68180"
"In post","2021","Human Resources","G6/G7","G7","Female","870","830","54900","54270"
"In post","2021","Human Resources","G6/G7","G7","Male","360","355","55800","55020"
"In post","2021","Human Resources","SCS level","SCS level","Female","130","125","89020","82020"
"In post","2021","Human Resources","SCS level","SCS level","Male","65","65","89200","83690"
"In post","2021","Human Resources","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","HEO","Female","1360","1280","32940","32790"
"In post","2021","Human Resources","SEO/HEO","HEO","Male","570","555","33440","33300"
"In post","2021","Human Resources","SEO/HEO","SEO","Female","985","935","41670","40720"
"In post","2021","Human Resources","SEO/HEO","SEO","Male","460","450","42270","41950"
"In post","2021","Human Resources","Unknown","Unknown","Female","30","30","41140","41030"
"In post","2021","Human Resources","Unknown","Unknown","Male","10","5","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","G6","Female","80","75","80980","85550"
"In post","2021","Inspector of Education and Training","G6/G7","G6","Male","65","65","80060","74730"
"In post","2021","Inspector of Education and Training","G6/G7","G7","Female","225","220","72560","75500"
"In post","2021","Inspector of Education and Training","G6/G7","G7","Male","145","140","74560","75500"
"In post","2021","Inspector of Education and Training","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","SEO","Female","295","285","51070","51360"
"In post","2021","Inspector of Education and Training","SEO/HEO","SEO","Male","40","40","51060","51360"
"In post","2021","Intelligence Analysis","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","AO","Female","80","75","23420","23060"
"In post","2021","Intelligence Analysis","AA/AO","AO","Male","45","45","23200","21510"
"In post","2021","Intelligence Analysis","EO","EO","Female","785","725","27450","27370"
"In post","2021","Intelligence Analysis","EO","EO","Male","780","755","28140","27370"
"In post","2021","Intelligence Analysis","G6/G7","G6","Female","50","45","67080","66230"
"In post","2021","Intelligence Analysis","G6/G7","G6","Male","50","50","67830","66400"
"In post","2021","Intelligence Analysis","G6/G7","G7","Female","130","125","54840","53480"
"In post","2021","Intelligence Analysis","G6/G7","G7","Male","180","180","56340","55180"
"In post","2021","Intelligence Analysis","SCS level","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS level","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","HEO","Female","355","340","33970","33300"
"In post","2021","Intelligence Analysis","SEO/HEO","HEO","Male","485","480","34340","33630"
"In post","2021","Intelligence Analysis","SEO/HEO","SEO","Female","155","150","41690","41970"
"In post","2021","Intelligence Analysis","SEO/HEO","SEO","Male","275","275","42900","43140"
"In post","2021","Intelligence Analysis","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2021","Internal Audit","EO","EO","Female","35","35","27950","26780"
"In post","2021","Internal Audit","EO","EO","Male","15","15","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","G6","Female","30","30","67130","65550"
"In post","2021","Internal Audit","G6/G7","G6","Male","40","35","67370","64350"
"In post","2021","Internal Audit","G6/G7","G7","Female","55","50","53970","53110"
"In post","2021","Internal Audit","G6/G7","G7","Male","75","75","54730","54290"
"In post","2021","Internal Audit","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","SCS level","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","HEO","Female","95","90","34060","33300"
"In post","2021","Internal Audit","SEO/HEO","HEO","Male","80","80","34630","33930"
"In post","2021","Internal Audit","SEO/HEO","SEO","Female","160","150","43510","42510"
"In post","2021","Internal Audit","SEO/HEO","SEO","Male","145","140","44710","44760"
"In post","2021","Internal Audit","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","EO","Female","50","45","26910","26510"
"In post","2021","International Trade","EO","EO","Male","50","50","26910","26510"
"In post","2021","International Trade","G6/G7","G6","Female","70","70","62510","62170"
"In post","2021","International Trade","G6/G7","G6","Male","100","100","63650","62170"
"In post","2021","International Trade","G6/G7","G7","Female","185","185","51800","51970"
"In post","2021","International Trade","G6/G7","G7","Male","240","240","53290","51970"
"In post","2021","International Trade","SCS level","SCS level","Female","50","50","79670","74540"
"In post","2021","International Trade","SCS level","SCS level","Male","65","60","90530","76810"
"In post","2021","International Trade","SEO/HEO","HEO","Female","170","165","32590","32120"
"In post","2021","International Trade","SEO/HEO","HEO","Male","190","185","32510","32120"
"In post","2021","International Trade","SEO/HEO","SEO","Female","120","120","38840","38540"
"In post","2021","International Trade","SEO/HEO","SEO","Male","180","180","38810","38540"
"In post","2021","Knowledge and Information Management","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","AO","Female","205","190","22140","21580"
"In post","2021","Knowledge and Information Management","AA/AO","AO","Male","130","125","22160","21130"
"In post","2021","Knowledge and Information Management","EO","EO","Female","320","295","26840","26670"
"In post","2021","Knowledge and Information Management","EO","EO","Male","190","185","27140","26670"
"In post","2021","Knowledge and Information Management","G6/G7","G6","Female","45","40","68370","66670"
"In post","2021","Knowledge and Information Management","G6/G7","G6","Male","55","50","68890","68190"
"In post","2021","Knowledge and Information Management","G6/G7","G7","Female","170","160","53700","52850"
"In post","2021","Knowledge and Information Management","G6/G7","G7","Male","135","135","54260","53890"
"In post","2021","Knowledge and Information Management","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","HEO","Female","290","270","33000","33300"
"In post","2021","Knowledge and Information Management","SEO/HEO","HEO","Male","290","285","33730","33300"
"In post","2021","Knowledge and Information Management","SEO/HEO","SEO","Female","235","220","40410","40070"
"In post","2021","Knowledge and Information Management","SEO/HEO","SEO","Male","245","240","41630","40980"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","Male","45","40","47530","41630"
"In post","2021","Legal","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","AO","Female","175","145","21340","21440"
"In post","2021","Legal","AA/AO","AO","Male","130","125","21720","20870"
"In post","2021","Legal","EO","EO","Female","975","920","27400","26060"
"In post","2021","Legal","EO","EO","Male","965","945","27400","25560"
"In post","2021","Legal","G6/G7","G6","Female","780","705","69260","67400"
"In post","2021","Legal","G6/G7","G6","Male","555","545","70750","69880"
"In post","2021","Legal","G6/G7","G7","Female","2880","2585","56060","55490"
"In post","2021","Legal","G6/G7","G7","Male","1715","1645","56910","55610"
"In post","2021","Legal","SCS level","SCS level","Female","215","200","86910","82500"
"In post","2021","Legal","SCS level","SCS level","Male","175","175","90200","83830"
"In post","2021","Legal","SEO/HEO","HEO","Female","950","905","34360","33840"
"In post","2021","Legal","SEO/HEO","HEO","Male","920","900","34150","33520"
"In post","2021","Legal","SEO/HEO","SEO","Female","1055","935","42850","41900"
"In post","2021","Legal","SEO/HEO","SEO","Male","645","620","42960","41850"
"In post","2021","Legal","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","AA","Female","40","40","18960","18760"
"In post","2021","Medicine","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2021","Medicine","AA/AO","AO","Female","275","260","22670","22640"
"In post","2021","Medicine","AA/AO","AO","Male","20","20","[c]","[c]"
"In post","2021","Medicine","EO","EO","Female","240","215","30900","30620"
"In post","2021","Medicine","EO","EO","Male","90","90","29660","30620"
"In post","2021","Medicine","G6/G7","G6","Female","100","90","77730","74070"
"In post","2021","Medicine","G6/G7","G6","Male","95","85","80910","74730"
"In post","2021","Medicine","G6/G7","G7","Female","290","245","70850","73760"
"In post","2021","Medicine","G6/G7","G7","Male","185","170","74520","79040"
"In post","2021","Medicine","SCS level","SCS level","Female","255","220","105080","98890"
"In post","2021","Medicine","SCS level","SCS level","Male","165","145","109440","106750"
"In post","2021","Medicine","SEO/HEO","HEO","Female","380","340","36540","37890"
"In post","2021","Medicine","SEO/HEO","HEO","Male","115","110","36510","37890"
"In post","2021","Medicine","SEO/HEO","SEO","Female","160","140","43000","44130"
"In post","2021","Medicine","SEO/HEO","SEO","Male","80","80","42950","44500"
"In post","2021","Medicine","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA/AO","AA","Female","6605","5510","19740","20070"
"In post","2021","Operational Delivery","AA/AO","AA","Male","5045","4675","20370","20600"
"In post","2021","Operational Delivery","AA/AO","AO","Female","38285","32930","22440","21440"
"In post","2021","Operational Delivery","AA/AO","AO","Male","31005","29570","24710","22850"
"In post","2021","Operational Delivery","EO","EO","Female","23190","20945","27120","26570"
"In post","2021","Operational Delivery","EO","EO","Male","21900","20895","28430","27370"
"In post","2021","Operational Delivery","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","G6/G7","G6","Female","760","735","68750","66520"
"In post","2021","Operational Delivery","G6/G7","G6","Male","865","850","70740","68430"
"In post","2021","Operational Delivery","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","G6/G7","G7","Female","2555","2450","53840","52850"
"In post","2021","Operational Delivery","G6/G7","G7","Male","2365","2325","56510","54400"
"In post","2021","Operational Delivery","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","SCS level","SCS level","Female","295","280","91300","82500"
"In post","2021","Operational Delivery","SCS level","SCS level","Male","360","355","94350","90530"
"In post","2021","Operational Delivery","SEO/HEO","HEO","Female","10535","9830","32940","31920"
"In post","2021","Operational Delivery","SEO/HEO","HEO","Male","9855","9475","34560","33840"
"In post","2021","Operational Delivery","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","SEO/HEO","SEO","Female","5255","5005","41450","40070"
"In post","2021","Operational Delivery","SEO/HEO","SEO","Male","5025","4895","44660","42170"
"In post","2021","Operational Delivery","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Unknown","Female","9420","8605","29650","28200"
"In post","2021","Operational Delivery","Unknown","Unknown","Male","2785","2680","30840","30210"
"In post","2021","Operational Research","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","AO","Female","15","15","[c]","[c]"
"In post","2021","Operational Research","AA/AO","AO","Male","20","20","[c]","[c]"
"In post","2021","Operational Research","EO","EO","Female","20","20","[c]","[c]"
"In post","2021","Operational Research","EO","EO","Male","35","35","28160","26510"
"In post","2021","Operational Research","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","G6/G7","G6","Female","20","20","[c]","[c]"
"In post","2021","Operational Research","G6/G7","G6","Male","40","40","68600","68660"
"In post","2021","Operational Research","G6/G7","G7","Female","145","130","52920","52580"
"In post","2021","Operational Research","G6/G7","G7","Male","300","290","52190","52070"
"In post","2021","Operational Research","SCS level","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Operational Research","SCS level","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Operational Research","SEO/HEO","HEO","Female","120","115","32540","32190"
"In post","2021","Operational Research","SEO/HEO","HEO","Male","165","160","32740","32540"
"In post","2021","Operational Research","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","SEO/HEO","SEO","Female","100","95","40310","39030"
"In post","2021","Operational Research","SEO/HEO","SEO","Male","180","175","41260","39470"
"In post","2021","Operational Research","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","AA/AO","AA","Female","900","820","19670","19560"
"In post","2021","Other","AA/AO","AA","Male","1245","1220","19250","18800"
"In post","2021","Other","AA/AO","AO","Female","3715","3475","21730","21130"
"In post","2021","Other","AA/AO","AO","Male","1980","1935","22350","21130"
"In post","2021","Other","EO","EO","Female","2345","2195","26230","26670"
"In post","2021","Other","EO","EO","Male","2805","2710","26550","26670"
"In post","2021","Other","G6/G7","G6","Female","285","265","70150","68140"
"In post","2021","Other","G6/G7","G6","Male","400","385","74280","69660"
"In post","2021","Other","G6/G7","G7","Female","570","545","54840","54540"
"In post","2021","Other","G6/G7","G7","Male","705","690","56650","54970"
"In post","2021","Other","SCS level","SCS level","Female","125","120","89200","83510"
"In post","2021","Other","SCS level","SCS level","Male","145","140","98840","90100"
"In post","2021","Other","SEO/HEO","HEO","Female","1780","1690","33580","33300"
"In post","2021","Other","SEO/HEO","HEO","Male","1730","1700","33230","33300"
"In post","2021","Other","SEO/HEO","SEO","Female","825","790","40800","40580"
"In post","2021","Other","SEO/HEO","SEO","Male","1055","1020","41420","41000"
"In post","2021","Other","Unknown","Unknown","Female","215","210","34760","33570"
"In post","2021","Other","Unknown","Unknown","Male","1850","1845","38680","35380"
"In post","2021","Planning","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","EO","Female","15","10","[c]","[c]"
"In post","2021","Planning","EO","EO","Male","10","5","[c]","[c]"
"In post","2021","Planning","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2021","Planning","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2021","Planning","G6/G7","G7","Female","20","20","[c]","[c]"
"In post","2021","Planning","G6/G7","G7","Male","25","25","[c]","[c]"
"In post","2021","Planning","SCS level","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Planning","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Planning","SEO/HEO","HEO","Female","20","20","[c]","[c]"
"In post","2021","Planning","SEO/HEO","HEO","Male","25","25","[c]","[c]"
"In post","2021","Planning","SEO/HEO","SEO","Female","30","25","[c]","[c]"
"In post","2021","Planning","SEO/HEO","SEO","Male","30","30","41350","40290"
"In post","2021","Planning Inspectors","G6/G7","G6","Female","75","65","64000","58810"
"In post","2021","Planning Inspectors","G6/G7","G6","Male","130","110","64040","58810"
"In post","2021","Planning Inspectors","G6/G7","G7","Female","55","45","48370","47660"
"In post","2021","Planning Inspectors","G6/G7","G7","Male","85","80","48760","47660"
"In post","2021","Planning Inspectors","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","AA","Female","30","25","[c]","[c]"
"In post","2021","Policy","AA/AO","AA","Male","25","25","[c]","[c]"
"In post","2021","Policy","AA/AO","AO","Female","495","465","23580","23500"
"In post","2021","Policy","AA/AO","AO","Male","245","245","24170","23830"
"In post","2021","Policy","EO","EO","Female","1635","1565","28320","28410"
"In post","2021","Policy","EO","EO","Male","1055","1040","28270","28500"
"In post","2021","Policy","G6/G7","G6","Female","1570","1490","66400","65730"
"In post","2021","Policy","G6/G7","G6","Male","1695","1670","67230","66230"
"In post","2021","Policy","G6/G7","G7","Female","4170","4000","54930","53760"
"In post","2021","Policy","G6/G7","G7","Male","3940","3900","55300","54400"
"In post","2021","Policy","SCS level","SCS level","Female","880","825","83510","76700"
"In post","2021","Policy","SCS level","SCS level","Male","960","945","87550","78460"
"In post","2021","Policy","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","SEO/HEO","HEO","Female","3990","3870","33970","33570"
"In post","2021","Policy","SEO/HEO","HEO","Male","3085","3060","34300","33860"
"In post","2021","Policy","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","SEO/HEO","SEO","Female","2940","2815","41090","40230"
"In post","2021","Policy","SEO/HEO","SEO","Male","2350","2320","41590","40650"
"In post","2021","Policy","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Policy","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Project Delivery","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2021","Project Delivery","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2021","Project Delivery","AA/AO","AO","Female","220","205","21690","21130"
