"Status","Year","Organisation","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","London","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Outside London","10","10","27840","24370"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","15","15","32170","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","London","85","85","33370","31690"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","1485","1400","26700","25100"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Outside London","15","15","36610","33120"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Outside London","30","30","34670","33560"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","645","610","31610","28270"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Outside London","30","25","25280","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","London","15","15","53210","54650"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Outside London","335","320","44030","38320"
"In post","2021","Attorney General's Office","Attorney General's Departments","Communications","London","10","10","42920","38290"
"In post","2021","Attorney General's Office","Attorney General's Departments","Legal","London","15","15","69090","65680"
"In post","2021","Attorney General's Office","Attorney General's Departments","Other","London","10","10","32820","30720"
"In post","2021","Attorney General's Office","Attorney General's Departments","Policy","London","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","London","15","15","40110","37300"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","Outside London","10","10","35600","37300"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Other","London","35","35","45790","38430"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Policy","London","30","25","54580","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","London","6410","6325","49820","42270"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Outside London","2335","2250","40760","33300"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Unknown","595","590","36190","32000"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","Outside London","15","15","41820","40320"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","Outside London","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Corporate Finance","Outside London","10","10","31730","26890"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","20","20","30610","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","60","55","33860","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","Outside London","15","10","43240","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","480","455","33720","29750"
"In post","2021","Charity Commission","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Communications","London","10","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Communications","Outside London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Digital, Data and Technology","Outside London","45","45","36950","37910"
"In post","2021","Charity Commission","Charity Commission","Finance","Outside London","10","10","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Human Resources","Outside London","10","10","32360","29160"
"In post","2021","Charity Commission","Charity Commission","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Legal","London","10","10","53100","52600"
"In post","2021","Charity Commission","Charity Commission","Legal","Outside London","10","10","50320","51830"
"In post","2021","Charity Commission","Charity Commission","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Operational Delivery","Outside London","45","45","30850","29160"
"In post","2021","Charity Commission","Charity Commission","Other","London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Other","Outside London","15","15","29690","29160"
"In post","2021","Charity Commission","Charity Commission","Policy","London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Policy","Outside London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Project Delivery","Outside London","10","10","32740","29760"
"In post","2021","Charity Commission","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Unknown","London","30","30","40550","31770"
"In post","2021","Charity Commission","Charity Commission","Unknown","Outside London","190","180","31770","29160"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Communications","Outside London","20","20","36610","36240"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","255","250","38840","38000"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Finance","Outside London","60","55","30930","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","85","80","33040","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Legal","Outside London","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","570","510","24550","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Other","Outside London","20","20","52090","42610"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Policy","Outside London","30","25","41520","39820"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","Outside London","15","15","43350","46140"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Property","Outside London","10","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Security","Outside London","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Commercial","London","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Communications","London","35","35","48650","42290"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","London","15","15","46260","43490"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","London","65","60","57200","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Economics","London","90","85","63040","59890"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Human Resources","London","35","35","50820","45980"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","London","30","30","53750","46940"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Legal","London","120","115","70510","72430"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Legal","Outside London","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Policy","London","25","25","66900","63370"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","London","340","330","61130","56630"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","Outside London","35","35","56560","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","Outside London","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Commercial","London","20","20","47540","40730"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Commercial","Outside London","355","340","33360","33270"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Communications","Outside London","15","15","35870","34270"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Digital, Data and Technology","London","25","25","50800","49300"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Digital, Data and Technology","Outside London","90","90","38630","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Finance","Outside London","30","30","43110","35860"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Human Resources","Outside London","30","25","35170","31040"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Operational Delivery","London","20","20","52170","49300"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Operational Delivery","Outside London","165","165","39800","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Project Delivery","Outside London","25","25","47040","46920"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","Outside London","10","10","40390","35280"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","Outside London","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","Outside London","50","50","40730","36930"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","Outside London","20","20","39520","38610"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","Outside London","30","30","33810","31110"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","Outside London","20","20","38010","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","Outside London","600","565","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","Outside London","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","Outside London","20","20","47900","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Commercial","London","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Commercial","Outside London","15","15","43670","38360"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Communications","London","30","30","43110","39750"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Communications","Outside London","20","20","38420","39750"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","London","25","25","48020","43800"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","Outside London","95","95","37600","38180"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Finance","London","20","20","42510","35020"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Finance","Outside London","75","70","30110","27610"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Human Resources","London","40","40","47350","40530"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Human Resources","Outside London","105","100","38260","33310"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Legal","London","730","695","60150","61860"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Legal","Outside London","2450","2260","53390","55000"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","London","785","740","29350","27440"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","Outside London","2265","2085","26560","25480"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Policy","London","30","30","61520","57490"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Policy","Outside London","10","10","56510","56580"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Security","London","20","20","37480","32080"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Security","Outside London","10","10","39980","38180"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Legal","London","10","10","63480","61850"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Legal","Outside London","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Other","London","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Digital, Data and Technology","London","35","35","53150","53360"
"In post","2021","Debt Management Office","HM Treasury","Finance","London","10","10","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Operational Delivery","London","40","40","57830","46010"
"In post","2021","Debt Management Office","HM Treasury","Policy","London","15","15","75650","61540"
"In post","2021","Debt Management Office","HM Treasury","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Commercial","Outside London","25","25","32190","30040"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","Outside London","10","10","30920","31450"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Finance","Outside London","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Medicine","Outside London","15","15","28810","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","Outside London","60","55","30360","28110"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Other","Outside London","35","30","25920","25950"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","Outside London","10","10","27930","28110"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Property","Outside London","15","15","28970","25200"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","Outside London","240","230","26900","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Commercial","Outside London","915","880","39490","35560"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Communications","Outside London","40","35","36510","36030"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","Outside London","365","355","40990","40640"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Finance","Outside London","455","440","38920","32860"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Human Resources","Outside London","190","175","38400","33190"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","Outside London","175","175","35400","33150"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Other","London","170","165","23580","20760"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Other","Outside London","3285","3140","31810","28380"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Policy","Outside London","80","75","42680","40730"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Project Delivery","Outside London","2250","2185","40410","39100"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Project Delivery","Overseas","10","10","49140","42190"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Property","Outside London","110","105","35850","33500"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Science and Engineering","London","15","15","44140","39650"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Science and Engineering","Outside London","2535","2480","36940","36080"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Science and Engineering","Overseas","20","20","40760","42080"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Security","Outside London","55","55","36820","36090"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","Outside London","75","70","33740","35520"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Communications","Outside London","25","25","35780","32500"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Corporate Finance","Outside London","55","55","39680","37760"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","Outside London","120","120","45900","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Finance","Outside London","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","Outside London","80","70","33990","28650"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","Outside London","40","40","42440","38680"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Legal","Outside London","10","10","62670","72050"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","Outside London","385","365","38980","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","Outside London","490","470","42750","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","Outside London","450","430","40740","37360"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Property","Outside London","40","40","45370","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","Outside London","20","20","50080","46720"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","Outside London","2500","2425","39950","37360"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Security","Outside London","60","55","36220","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Statistics","Outside London","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","London","15","15","49260","48480"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","London","130","125","48060","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","100","100","46990","40220"
