"Status","Year","Age","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Finance","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","London","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Operational Delivery","Outside London","25","25","21670","21950"
"In post","2021","16-19","Legal","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Economics","London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Operational Delivery","London","30","25","22380","22350"
"In post","2021","16-19","No function","Operational Delivery","Outside London","260","245","20880","20600"
"In post","2021","16-19","No function","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Policy","London","25","25","25380","24300"
"In post","2021","16-19","No function","Policy","Outside London","10","10","23680","24220"
"In post","2021","16-19","No function","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Science and Engineering","Outside London","20","20","18240","17710"
"In post","2021","16-19","No function","Tax","Outside London","100","95","20140","20140"
"In post","2021","16-19","No function","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","Outside London","25","25","20140","20140"
"In post","2021","16-19","Project Delivery","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Other","Outside London","20","20","17870","17780"
"In post","2021","16-19","Project Delivery","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Science and Engineering","Outside London","95","95","17460","16780"
"In post","2021","16-19","Project Delivery","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Property","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Property","Outside London","20","20","21650","21600"
"In post","2021","16-19","Property","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Security","Outside London","15","15","21520","19560"
"In post","2021","16-19","Security","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","Outside London","70","60","21490","21430"
"In post","2021","16-19","Unknown","Other","London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Other","Outside London","10","10","20080","20920"
"In post","2021","16-19","Unknown","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Unknown","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","London","10","10","28690","31060"
"In post","2021","16-19","Unknown","Unknown","Outside London","255","255","22120","21010"
"In post","2021","16-19","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Digital, Data and Technology","London","25","25","42390","42680"
"In post","2021","20-29","Analysis","Digital, Data and Technology","Outside London","25","25","33510","32870"
"In post","2021","20-29","Analysis","Economics","London","655","655","38450","34330"
"In post","2021","20-29","Analysis","Economics","Outside London","105","105","29870","29540"
"In post","2021","20-29","Analysis","Finance","London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Human Resources","London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Intelligence Analysis","London","60","55","48110","53360"
"In post","2021","20-29","Analysis","Intelligence Analysis","Outside London","15","15","42650","40160"
"In post","2021","20-29","Analysis","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Operational Delivery","London","30","30","32690","32540"
"In post","2021","20-29","Analysis","Operational Delivery","Outside London","80","80","30530","29540"
"In post","2021","20-29","Analysis","Operational Research","London","90","90","37440","36160"
"In post","2021","20-29","Analysis","Operational Research","Outside London","90","90","32280","31810"
"In post","2021","20-29","Analysis","Other","London","60","60","36170","34730"
"In post","2021","20-29","Analysis","Policy","London","90","90","44110","42890"
"In post","2021","20-29","Analysis","Policy","Outside London","50","45","37180","33840"
"In post","2021","20-29","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Science and Engineering","Outside London","110","110","26950","26000"
"In post","2021","20-29","Analysis","Social Research","London","140","140","37580","34710"
"In post","2021","20-29","Analysis","Social Research","Outside London","210","210","33220","29540"
"In post","2021","20-29","Analysis","Statistics","London","270","270","37840","36160"
"In post","2021","20-29","Analysis","Statistics","Outside London","295","295","32350","31810"
"In post","2021","20-29","Analysis","Tax","London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","London","25","25","36550","34550"
"In post","2021","20-29","Analysis","Unknown","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Commercial","London","105","105","38130","37780"
"In post","2021","20-29","Commercial","Commercial","Outside London","490","485","29860","28540"
"In post","2021","20-29","Commercial","Commercial","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Knowledge and Information Management","London","10","10","31620","30470"
"In post","2021","20-29","Commercial","Knowledge and Information Management","Outside London","75","75","25530","26350"
"In post","2021","20-29","Commercial","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Operational Delivery","London","45","45","35750","33000"
"In post","2021","20-29","Commercial","Operational Delivery","Outside London","25","25","26940","24850"
"In post","2021","20-29","Commercial","Other","London","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Other","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Science and Engineering","Outside London","15","15","30450","31950"
"In post","2021","20-29","Commercial","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","London","100","100","47300","54700"
"In post","2021","20-29","Commercial","Unknown","Outside London","30","30","41570","37460"
"In post","2021","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Communications","London","525","520","36250","34980"
"In post","2021","20-29","Communications","Communications","Outside London","215","210","28350","26950"
"In post","2021","20-29","Communications","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Operational Delivery","London","20","20","33210","30850"
"In post","2021","20-29","Communications","Operational Delivery","Outside London","265","265","27740","25560"
"In post","2021","20-29","Communications","Other","London","15","15","27240","24850"
"In post","2021","20-29","Communications","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Tax","Outside London","745","740","26540","25560"
"In post","2021","20-29","Communications","Unknown","London","115","115","36410","34640"
"In post","2021","20-29","Communications","Unknown","Outside London","160","160","27370","25560"
"In post","2021","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Counter Fraud","London","50","50","32370","33100"
"In post","2021","20-29","Counter Fraud","Counter Fraud","Outside London","15","15","29560","30810"
"In post","2021","20-29","Counter Fraud","Intelligence Analysis","London","15","15","36320","36160"
"In post","2021","20-29","Counter Fraud","Intelligence Analysis","Outside London","20","20","30390","31810"
"In post","2021","20-29","Counter Fraud","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Legal","London","145","145","30510","29570"
"In post","2021","20-29","Counter Fraud","Legal","Outside London","325","320","26100","25560"
"In post","2021","20-29","Counter Fraud","Operational Delivery","London","20","20","34250","29570"
"In post","2021","20-29","Counter Fraud","Operational Delivery","Outside London","245","240","26920","25560"
"In post","2021","20-29","Counter Fraud","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Other","Outside London","10","10","34400","31810"
"In post","2021","20-29","Counter Fraud","Policy","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Tax","London","45","45","40660","36160"
"In post","2021","20-29","Counter Fraud","Tax","Outside London","145","145","34250","31810"
"In post","2021","20-29","Counter Fraud","Unknown","London","30","30","37300","35070"
"In post","2021","20-29","Counter Fraud","Unknown","Outside London","25","25","27750","25560"
"In post","2021","20-29","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Operational Delivery","London","35","35","26500","24120"
"In post","2021","20-29","Debt","Operational Delivery","Outside London","530","515","21470","20140"
"In post","2021","20-29","Debt","Tax","London","10","10","24120","24120"
"In post","2021","20-29","Debt","Tax","Outside London","440","430","20280","20140"
"In post","2021","20-29","Debt","Unknown","London","5","5","[c]","[c]"
"In post","2021","20-29","Debt","Unknown","Outside London","40","35","21390","20140"
"In post","2021","20-29","Digital, Data & Technology","Communications","London","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Digital, Data and Technology","London","385","385","37930","35530"
"In post","2021","20-29","Digital, Data & Technology","Digital, Data and Technology","Outside London","1200","1195","31090","30090"
"In post","2021","20-29","Digital, Data & Technology","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Knowledge and Information Management","Outside London","25","25","30480","28680"
"In post","2021","20-29","Digital, Data & Technology","Operational Delivery","London","15","15","38420","40050"
"In post","2021","20-29","Digital, Data & Technology","Operational Delivery","Outside London","55","55","29670","30990"
"In post","2021","20-29","Digital, Data & Technology","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Science and Engineering","Outside London","45","45","30750","31580"
"In post","2021","20-29","Digital, Data & Technology","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Tax","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","London","195","195","42010","40600"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Outside London","85","80","30710","28000"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Finance","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Corporate Finance","London","5","5","[c]","[c]"
"In post","2021","20-29","Finance","Corporate Finance","Outside London","10","10","28660","28650"
"In post","2021","20-29","Finance","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Economics","London","40","40","35530","32790"
"In post","2021","20-29","Finance","Economics","Outside London","15","15","35130","36820"
"In post","2021","20-29","Finance","Finance","London","345","345","39610","36160"
"In post","2021","20-29","Finance","Finance","Outside London","645","635","28950","26670"
"In post","2021","20-29","Finance","Finance","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Finance","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Operational Delivery","London","15","15","31890","29570"
"In post","2021","20-29","Finance","Operational Delivery","Outside London","85","85","22780","20140"
"In post","2021","20-29","Finance","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Other","Outside London","10","10","24810","21200"
"In post","2021","20-29","Finance","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Project Delivery","Outside London","10","10","28650","30420"
"In post","2021","20-29","Finance","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Tax","Outside London","15","10","25220","20140"
"In post","2021","20-29","Finance","Unknown","London","45","45","39540","36160"
"In post","2021","20-29","Finance","Unknown","Outside London","35","35","30210","31810"
"In post","2021","20-29","Grants Management","Operational Delivery","Outside London","240","240","22390","21050"
"In post","2021","20-29","Human Resources","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Human Resources","London","400","395","35830","32330"
"In post","2021","20-29","Human Resources","Human Resources","Outside London","560","550","27530","25880"
"In post","2021","20-29","Human Resources","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Operational Delivery","London","15","15","31730","28630"
"In post","2021","20-29","Human Resources","Operational Delivery","Outside London","100","100","25290","23800"
"In post","2021","20-29","Human Resources","Other","London","5","5","[c]","[c]"
"In post","2021","20-29","Human Resources","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Policy","London","15","15","35200","32540"
"In post","2021","20-29","Human Resources","Policy","Outside London","15","15","32810","36030"
"In post","2021","20-29","Human Resources","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Tax","Outside London","10","10","26890","25560"
"In post","2021","20-29","Human Resources","Unknown","London","130","130","34970","32000"
"In post","2021","20-29","Human Resources","Unknown","Outside London","140","140","26500","23850"
"In post","2021","20-29","Human Resources","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","Internal Audit","London","15","15","39020","36580"
"In post","2021","20-29","Internal Audit","Internal Audit","Outside London","35","35","33260","33300"
"In post","2021","20-29","Internal Audit","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Legal","London","360","360","40050","40000"
"In post","2021","20-29","Legal","Legal","Outside London","385","385","34890","33550"
"In post","2021","20-29","Legal","Operational Delivery","London","230","230","25700","24590"
"In post","2021","20-29","Legal","Operational Delivery","Outside London","665","655","23390","22820"
"In post","2021","20-29","Legal","Other","London","110","105","27430","27350"
"In post","2021","20-29","Legal","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Policy","London","10","10","[c]","[c]"
"In post","2021","20-29","Legal","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Tax","London","5","5","[c]","[c]"
"In post","2021","20-29","Legal","Tax","Outside London","30","30","36750","31810"
"In post","2021","20-29","Legal","Unknown","London","25","25","40240","36160"
"In post","2021","20-29","Legal","Unknown","Outside London","20","20","31390","31810"
"In post","2021","20-29","No function","Commercial","London","30","30","37800","34710"
"In post","2021","20-29","No function","Commercial","Outside London","25","25","29200","29730"
"In post","2021","20-29","No function","Communications","London","20","20","33960","31000"
"In post","2021","20-29","No function","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Counter Fraud","London","10","10","[c]","[c]"
"In post","2021","20-29","No function","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Digital, Data and Technology","London","15","15","37740","32180"
"In post","2021","20-29","No function","Digital, Data and Technology","Outside London","20","20","27740","26000"
"In post","2021","20-29","No function","Economics","London","200","200","39050","35010"
"In post","2021","20-29","No function","Economics","Outside London","25","25","34270","31000"
"In post","2021","20-29","No function","Finance","London","30","30","40170","38000"
"In post","2021","20-29","No function","Finance","Outside London","25","25","30130","29360"
"In post","2021","20-29","No function","Human Resources","London","10","10","[c]","[c]"
"In post","2021","20-29","No function","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Intelligence Analysis","London","15","15","33220","33910"
"In post","2021","20-29","No function","Intelligence Analysis","Outside London","55","55","27630","26080"
"In post","2021","20-29","No function","International Trade","London","380","380","38500","38040"
"In post","2021","20-29","No function","International Trade","Outside London","60","60","31920","31810"
"In post","2021","20-29","No function","International Trade","Overseas","20","20","39940","36530"
"In post","2021","20-29","No function","Knowledge and Information Management","London","60","60","30900","29300"
"In post","2021","20-29","No function","Knowledge and Information Management","Outside London","50","50","26920","26050"
"In post","2021","20-29","No function","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Operational Delivery","London","3215","3175","30320","30220"
"In post","2021","20-29","No function","Operational Delivery","Outside London","17335","16960","24430","23230"
"In post","2021","20-29","No function","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Operational Delivery","Unknown","10","10","21110","20610"
"In post","2021","20-29","No function","Operational Research","London","15","15","38120","33570"
"In post","2021","20-29","No function","Operational Research","Outside London","70","70","31290","28650"
"In post","2021","20-29","No function","Other","London","300","300","34050","31800"
"In post","2021","20-29","No function","Other","Outside London","180","175","25760","23450"
"In post","2021","20-29","No function","Planning","London","25","25","35370","32120"
"In post","2021","20-29","No function","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Policy","London","5220","5200","39170","34770"
"In post","2021","20-29","No function","Policy","Outside London","710","705","31890","29730"
"In post","2021","20-29","No function","Policy","Overseas","155","155","36110","33860"
"In post","2021","20-29","No function","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Project Delivery","London","25","25","38540","35060"
"In post","2021","20-29","No function","Project Delivery","Outside London","15","15","29990","29050"
"In post","2021","20-29","No function","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Psychology","London","15","15","27710","27070"
"In post","2021","20-29","No function","Psychology","Outside London","335","335","27400","27380"
"In post","2021","20-29","No function","Science and Engineering","London","230","225","32930","32330"
"In post","2021","20-29","No function","Science and Engineering","Outside London","1250","1235","28360","28650"
"In post","2021","20-29","No function","Science and Engineering","Overseas","15","15","38320","40980"
"In post","2021","20-29","No function","Security","London","25","25","38140","34880"
"In post","2021","20-29","No function","Social Research","London","5","5","[c]","[c]"
"In post","2021","20-29","No function","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Statistics","London","5","5","[c]","[c]"
"In post","2021","20-29","No function","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Tax","London","200","200","40460","36160"
"In post","2021","20-29","No function","Tax","Outside London","2050","1990","26100","20140"
"In post","2021","20-29","No function","Unknown","London","1995","1995","34640","32000"
"In post","2021","20-29","No function","Unknown","Outside London","1195","1175","24550","20140"
"In post","2021","20-29","No function","Unknown","Unknown","335","335","31720","29250"
"In post","2021","20-29","No function","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Veterinarian","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Project Delivery","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Commercial","Outside London","170","170","27460","28260"
"In post","2021","20-29","Project Delivery","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Digital, Data and Technology","Outside London","70","70","32340","31340"
"In post","2021","20-29","Project Delivery","Economics","London","15","15","37590","33420"
"In post","2021","20-29","Project Delivery","Economics","Outside London","[c]","[c]","[c]","[c]"
