"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","SEO","Female","70","65","37200","36800"
"In post","2021","Analysis","Operational Delivery","SEO","Male","65","65","37600","36480"
"In post","2021","Analysis","Operational Delivery","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","AO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","AO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Operational Research","EO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","G6","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","G6","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Research","G7","Female","70","60","55720","57850"
"In post","2021","Analysis","Operational Research","G7","Male","180","170","52390","51690"
"In post","2021","Analysis","Operational Research","HEO","Female","70","65","32550","31830"
"In post","2021","Analysis","Operational Research","HEO","Male","95","95","32790","32540"
"In post","2021","Analysis","Operational Research","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Research","SEO","Female","55","55","40570","39030"
"In post","2021","Analysis","Operational Research","SEO","Male","110","110","40950","38630"
"In post","2021","Analysis","Other","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Other","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Other","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Other","G6","Female","40","30","83410","77270"
"In post","2021","Analysis","Other","G6","Male","60","55","96380","89720"
"In post","2021","Analysis","Other","G7","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Other","G7","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Other","HEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Other","HEO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","SEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Other","SEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Policy","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","EO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","G6","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Policy","G6","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Policy","G7","Female","50","45","54360","53760"
"In post","2021","Analysis","Policy","G7","Male","50","50","54010","53470"
"In post","2021","Analysis","Policy","HEO","Female","35","35","35010","33510"
"In post","2021","Analysis","Policy","HEO","Male","45","45","36030","36660"
"In post","2021","Analysis","Policy","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","SEO","Female","60","55","43730","42960"
"In post","2021","Analysis","Policy","SEO","Male","40","40","43930","44850"
"In post","2021","Analysis","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AO","Female","25","20","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","EO","Female","55","50","25260","24920"
"In post","2021","Analysis","Science and Engineering","EO","Male","45","40","25130","24920"
"In post","2021","Analysis","Science and Engineering","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","G6","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","G7","Female","30","25","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","G7","Male","95","90","50870","48080"
"In post","2021","Analysis","Science and Engineering","HEO","Female","90","85","29980","29270"
"In post","2021","Analysis","Science and Engineering","HEO","Male","120","120","29370","29270"
"In post","2021","Analysis","Science and Engineering","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","SEO","Female","70","65","36950","37280"
"In post","2021","Analysis","Science and Engineering","SEO","Male","100","100","38020","37320"
"In post","2021","Analysis","Social Research","AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","G6","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Social Research","G6","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Social Research","G7","Female","140","130","54110","52960"
"In post","2021","Analysis","Social Research","G7","Male","75","75","53800","53130"
"In post","2021","Analysis","Social Research","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","HEO","Female","200","195","31950","31000"
"In post","2021","Analysis","Social Research","HEO","Male","105","100","31430","30130"
"In post","2021","Analysis","Social Research","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","SEO","Female","190","175","39100","37880"
"In post","2021","Analysis","Social Research","SEO","Male","85","85","38400","37520"
"In post","2021","Analysis","Social Research","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","AO","Female","15","10","[c]","[c]"
"In post","2021","Analysis","Statistics","AO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Statistics","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","EO","Female","90","85","27020","27050"
"In post","2021","Analysis","Statistics","EO","Male","110","105","27710","27850"
"In post","2021","Analysis","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","G6","Female","50","45","65240","66090"
"In post","2021","Analysis","Statistics","G6","Male","75","70","65550","65310"
"In post","2021","Analysis","Statistics","G7","Female","210","195","54200","53140"
"In post","2021","Analysis","Statistics","G7","Male","240","235","54780","54760"
"In post","2021","Analysis","Statistics","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","HEO","Female","215","205","32720","32010"
"In post","2021","Analysis","Statistics","HEO","Male","265","260","33700","32790"
"In post","2021","Analysis","Statistics","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Statistics","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Statistics","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Statistics","SEO","Female","215","205","39730","39050"
"In post","2021","Analysis","Statistics","SEO","Male","220","215","40580","40080"
"In post","2021","Analysis","Statistics","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","SEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G7","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","G7","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Unknown","HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","HEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","SEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","SEO","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Commercial","AA","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Commercial","AA","Male","20","15","[c]","[c]"
"In post","2021","Commercial","Commercial","AO","Female","150","135","22530","21710"
"In post","2021","Commercial","Commercial","AO","Male","85","80","22670","21680"
"In post","2021","Commercial","Commercial","EO","Female","320","300","26610","26670"
"In post","2021","Commercial","Commercial","EO","Male","220","215","26740","26670"
"In post","2021","Commercial","Commercial","G6","Female","95","90","71070","69530"
"In post","2021","Commercial","Commercial","G6","Male","120","115","70140","67070"
"In post","2021","Commercial","Commercial","G7","Female","255","245","53560","53360"
"In post","2021","Commercial","Commercial","G7","Male","255","250","55830","53730"
"In post","2021","Commercial","Commercial","HEO","Female","525","500","32450","33000"
"In post","2021","Commercial","Commercial","HEO","Male","360","360","32720","33000"
"In post","2021","Commercial","Commercial","SCS level","Female","40","35","90380","80140"
"In post","2021","Commercial","Commercial","SCS level","Male","45","45","87310","78390"
"In post","2021","Commercial","Commercial","SEO","Female","715","690","40980","40580"
"In post","2021","Commercial","Commercial","SEO","Male","660","650","43080","41500"
"In post","2021","Commercial","Commercial","Unknown","Female","105","105","36870","33010"
"In post","2021","Commercial","Commercial","Unknown","Male","110","110","40320","38240"
"In post","2021","Commercial","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","EO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Finance","EO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","HEO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Finance","HEO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","SEO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Finance","SEO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Human Resources","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","AO","Female","100","90","21760","21130"
"In post","2021","Commercial","Knowledge and Information Management","AO","Male","75","75","21760","21130"
"In post","2021","Commercial","Knowledge and Information Management","EO","Female","105","100","27430","26670"
"In post","2021","Commercial","Knowledge and Information Management","EO","Male","70","70","28270","26670"
"In post","2021","Commercial","Knowledge and Information Management","G6","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","G6","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","G7","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","G7","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","HEO","Female","75","70","34080","33300"
"In post","2021","Commercial","Knowledge and Information Management","HEO","Male","95","95","35280","33630"
"In post","2021","Commercial","Knowledge and Information Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","SEO","Female","35","35","42570","40980"
"In post","2021","Commercial","Knowledge and Information Management","SEO","Male","60","55","43380","43220"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","AA","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","AO","Female","30","30","21540","20480"
"In post","2021","Commercial","Operational Delivery","AO","Male","30","30","21270","18890"
"In post","2021","Commercial","Operational Delivery","EO","Female","40","35","26470","26410"
"In post","2021","Commercial","Operational Delivery","EO","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","G6","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","G6","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","G7","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","G7","Male","45","45","62160","60380"
"In post","2021","Commercial","Operational Delivery","HEO","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","HEO","Male","35","35","32990","33000"
"In post","2021","Commercial","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","SEO","Female","60","60","42300","40150"
"In post","2021","Commercial","Operational Delivery","SEO","Male","55","55","45000","44080"
"In post","2021","Commercial","Other","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","EO","Female","10","5","[c]","[c]"
"In post","2021","Commercial","Other","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","G6","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Other","G7","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Other","G7","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Other","HEO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Other","HEO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","SEO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Policy","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","G7","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Policy","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","G6","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Project Delivery","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","G7","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Project Delivery","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","HEO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Project Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","SEO","Female","10","10","[c]","[c]"
