"Status","Year","Age","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","60-64","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Royal Fleet Auxiliary","Ministry of Defence","120","120","40030","37150"
"In post","2021","60-64","Rural Payments Agency","Department for Environment, Food and Rural Affairs","195","165","26850","25190"
"In post","2021","60-64","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Courts and Tribunals Service","Scottish Government","200","160","27010","22820"
"In post","2021","60-64","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Forestry","Scottish Government","10","10","36500","35330"
"In post","2021","60-64","Scottish Government (excl. agencies)","Scottish Government","380","335","44790","38830"
"In post","2021","60-64","Scottish Housing Regulator","Scottish Government","5","5","[c]","[c]"
"In post","2021","60-64","Scottish Prison Service","Scottish Government","375","250","33950","33650"
"In post","2021","60-64","Scottish Public Pensions Agency","Scottish Government","30","25","30030","27150"
"In post","2021","60-64","Serious Fraud Office","Attorney General's Departments","25","25","46080","40920"
"In post","2021","60-64","Social Security Scotland","Scottish Government","25","25","28680","23340"
"In post","2021","60-64","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Student Awards Agency for Scotland","Scottish Government","10","10","26590","27160"
"In post","2021","60-64","Submarine Delivery Agency","Ministry of Defence","100","90","45770","43120"
"In post","2021","60-64","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","60-64","The National Archives","The National Archives","40","35","34760","28460"
"In post","2021","60-64","Transport Scotland","Scottish Government","40","35","42600","42190"
"In post","2021","60-64","UK Export Finance","UK Export Finance","20","20","56160","49760"
"In post","2021","60-64","UK Hydrographic Office","Ministry of Defence","50","40","35230","33290"
"In post","2021","60-64","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","70","55","35190","28240"
"In post","2021","60-64","UK Space Agency","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","60-64","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","60-64","United Kingdom Statistics Authority","United Kingdom Statistics Authority","435","315","25960","19520"
"In post","2021","60-64","Valuation Office Agency","HM Revenue and Customs","325","265","33880","30770"
"In post","2021","60-64","Vehicle Certification Agency","Department for Transport","20","15","34910","30950"
"In post","2021","60-64","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2021","60-64","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Water Services Regulation Authority","Water Services Regulation Authority","10","5","[c]","[c]"
"In post","2021","60-64","Welsh Government (excl. agencies)","Welsh Government","405","350","43940","37410"
"In post","2021","60-64","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Wilton Park","Foreign, Commonwealth and Development Office","10","10","40060","34450"
"In post","2021","65+","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","40","25","38350","34500"
"In post","2021","65+","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","70","55","32590","27850"
"In post","2021","65+","Cabinet Office (excl. agencies)","Cabinet Office","55","45","50180","35100"
"In post","2021","65+","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","65+","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","65+","Companies House","Department for Business, Energy and Industrial Strategy","40","30","26380","22490"
"In post","2021","65+","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","65+","Criminal Injuries Compensation Authority","Ministry of Justice","5","5","[c]","[c]"
"In post","2021","65+","Crown Commercial Service","Other Cabinet Office Agencies","10","5","[c]","[c]"
"In post","2021","65+","Crown Office and Procurator Fiscal Service","Scottish Government","45","30","30670","22220"
"In post","2021","65+","Crown Prosecution Service","Attorney General's Departments","100","80","43290","30110"
"In post","2021","65+","Debt Management Office","HM Treasury","5","5","[c]","[c]"
"In post","2021","65+","Defence Electronics and Components Agency","Ministry of Defence","20","15","26930","27460"
"In post","2021","65+","Defence Equipment and Support","Ministry of Defence","255","210","34500","33200"
"In post","2021","65+","Defence Science and Technology Laboratory","Ministry of Defence","120","90","46310","46130"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","45","40","44800","41550"
"In post","2021","65+","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Education (excl. agencies)","Department for Education","45","40","42330","40470"
"In post","2021","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","85","75","37430","32950"
"In post","2021","65+","Department for International Trade","Department for International Trade","20","20","63520","42590"
"In post","2021","65+","Department for Transport (excl. agencies)","Department for Transport","45","35","39770","33390"
"In post","2021","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","2575","1845","26000","26120"
"In post","2021","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","20","15","57450","53360"
"In post","2021","65+","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Driver and Vehicle Licensing Agency","Department for Transport","130","85","24070","21590"
"In post","2021","65+","Driver and Vehicle Standards Agency","Department for Transport","265","200","27980","26780"
"In post","2021","65+","Education and Skills Funding Agency","Department for Education","20","20","40670","37100"
"In post","2021","65+","Education Scotland","Scottish Government","10","10","60250","75940"
"In post","2021","65+","ESTYN","ESTYN","5","5","[c]","[c]"
"In post","2021","65+","FCDO Services","Foreign, Commonwealth and Development Office","55","40","49710","53630"
"In post","2021","65+","Food Standards Agency","Food Standards Agency","45","35","32020","28800"
"In post","2021","65+","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","70","60","46990","38430"
"In post","2021","65+","Forestry and Land Scotland","Scottish Government","30","25","30870","26530"
"In post","2021","65+","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","65+","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","65+","Government Legal Department","Attorney General's Departments","30","25","53590","61000"
"In post","2021","65+","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","65+","Health and Safety Executive","Department for Work and Pensions","45","35","51160","46320"
"In post","2021","65+","HM Courts and Tribunals Service","Ministry of Justice","690","525","21460","20100"
"In post","2021","65+","HM Land Registry","HM Land Registry","125","80","33450","30600"
"In post","2021","65+","HM Prison and Probation Service","Ministry of Justice","1095","795","28600","26630"
"In post","2021","65+","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1445","1025","29880","25630"
"In post","2021","65+","HM Treasury (excl. agencies)","HM Treasury","5","5","[c]","[c]"
"In post","2021","65+","Home Office (incl. agencies)","Home Office","750","560","28140","25630"
"In post","2021","65+","Insolvency Service","Department for Business, Energy and Industrial Strategy","40","35","35000","28280"
"In post","2021","65+","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","65+","Legal Aid Agency","Ministry of Justice","35","30","32110","21860"
"In post","2021","65+","Maritime and Coastguard Agency","Department for Transport","30","25","45790","50730"
"In post","2021","65+","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","35","35","59750","62610"
"In post","2021","65+","Met Office","Department for Business, Energy and Industrial Strategy","35","25","44310","43520"
"In post","2021","65+","Ministry of Defence (excl. agencies)","Ministry of Defence","1505","1350","28900","23120"
"In post","2021","65+","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","25","25","41270","34830"
"In post","2021","65+","Ministry of Justice (excl. agencies)","Ministry of Justice","70","65","38380","36000"
"In post","2021","65+","National Crime Agency","National Crime Agency","45","45","39970","38190"
"In post","2021","65+","National Records of Scotland","Scottish Government","15","15","29410","22230"
"In post","2021","65+","National Savings and Investments","Chancellor's other departments","5","5","[c]","[c]"
"In post","2021","65+","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","30","25","55910","51360"
"In post","2021","65+","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2021","65+","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Rail and Road","Office of Rail and Road","5","5","[c]","[c]"
"In post","2021","65+","Office of the Public Guardian","Ministry of Justice","15","15","21380","20290"
"In post","2021","65+","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Planning Inspectorate","Ministry of Housing, Communities and Local Government","60","40","57860","65270"
"In post","2021","65+","Public Health England","Department of Health and Social Care","195","145","49570","37740"
"In post","2021","65+","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Registers of Scotland","Scottish Government","30","25","27890","24130"
"In post","2021","65+","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Royal Fleet Auxiliary","Ministry of Defence","20","20","38430","33430"
"In post","2021","65+","Rural Payments Agency","Department for Environment, Food and Rural Affairs","45","35","24000","21050"
"In post","2021","65+","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scottish Courts and Tribunals Service","Scottish Government","60","45","23920","22820"
"In post","2021","65+","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scottish Government (excl. agencies)","Scottish Government","120","95","40930","35110"
"In post","2021","65+","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scottish Prison Service","Scottish Government","65","45","33450","33650"
"In post","2021","65+","Scottish Public Pensions Agency","Scottish Government","10","10","24430","24110"
"In post","2021","65+","Serious Fraud Office","Attorney General's Departments","10","5","[c]","[c]"
"In post","2021","65+","Social Security Scotland","Scottish Government","10","5","[c]","[c]"
"In post","2021","65+","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","65+","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Submarine Delivery Agency","Ministry of Defence","40","35","41030","39930"
"In post","2021","65+","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","65+","The National Archives","The National Archives","20","20","28840","24330"
"In post","2021","65+","Transport Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2021","65+","UK Export Finance","UK Export Finance","10","5","[c]","[c]"
"In post","2021","65+","UK Hydrographic Office","Ministry of Defence","25","20","32300","33290"
"In post","2021","65+","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","30","20","35130","27980"
"In post","2021","65+","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","65+","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","65+","United Kingdom Statistics Authority","United Kingdom Statistics Authority","245","160","24020","19520"
"In post","2021","65+","Valuation Office Agency","HM Revenue and Customs","90","75","33330","27530"
"In post","2021","65+","Vehicle Certification Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","65+","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","10","5","[c]","[c]"
"In post","2021","65+","Welsh Government (excl. agencies)","Welsh Government","170","130","39770","34490"
"In post","2021","65+","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","65+","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","25","20","28480","27570"
"In post","2021","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","15","15","33550","28790"
"In post","2021","Unknown","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Defence Equipment and Support","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","20","[c]","21500","21010"
"Leaver CS","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","HM Courts and Tribunals Service","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","HM Prison and Probation Service","Ministry of Justice","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","20","[c]","[c]","[c]"
"Leaver CS","2021","16-19","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Home Office (incl. agencies)","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Public Health England","Department of Health and Social Care","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","50","[c]","23110","23660"
"Leaver CS","2021","20-29","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","140","[c]","29220","26330"
"Leaver CS","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","10","[c]","21280","19450"
"Leaver CS","2021","20-29","Charity Commission","Charity Commission","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","25","[c]","32610","27150"
"Leaver CS","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","20","[c]","22040","21490"
"Leaver CS","2021","20-29","Crown Prosecution Service","Attorney General's Departments","50","[c]","27220","23520"
"Leaver CS","2021","20-29","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Defence Equipment and Support","Ministry of Defence","110","[c]","24400","23230"
"Leaver CS","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","105","[c]","21090","17180"
"Leaver CS","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","60","[c]","31500","32490"
"Leaver CS","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","25","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Department for Education (excl. agencies)","Department for Education","95","[c]","33140","29910"
"Leaver CS","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","100","[c]","25990","24370"
"Leaver CS","2021","20-29","Department for International Development","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Department for International Trade","Department for International Trade","75","[c]","24260","18200"
"Leaver CS","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","40","[c]","28740","28820"
"Leaver CS","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","655","[c]","24870","21010"
"Leaver CS","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","45","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","65","[c]","21150","21590"
"Leaver CS","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","15","[c]","23910","21590"
"Leaver CS","2021","20-29","Education and Skills Funding Agency","Department for Education","15","[c]","29130","29500"
"Leaver CS","2021","20-29","FCDO Services","Foreign, Commonwealth and Development Office","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Food Standards Agency","Food Standards Agency","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","30","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Forestry and Land Scotland","Scottish Government","10","[c]","24930","22920"
"Leaver CS","2021","20-29","Government Actuary's Department","Chancellor's other departments","10","[c]","26800","23030"
"Leaver CS","2021","20-29","Government Legal Department","Attorney General's Departments","15","[c]","32120","27350"
"Leaver CS","2021","20-29","Health and Safety Executive","Department for Work and Pensions","10","[c]","25160","25670"
"Leaver CS","2021","20-29","HM Courts and Tribunals Service","Ministry of Justice","325","[c]","21240","19930"
"Leaver CS","2021","20-29","HM Land Registry","HM Land Registry","60","[c]","25180","22350"
"Leaver CS","2021","20-29","HM Prison and Probation Service","Ministry of Justice","1170","[c]","25120","24910"
"Leaver CS","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","525","[c]","[c]","[c]"
"Leaver CS","2021","20-29","HM Treasury (excl. agencies)","HM Treasury","40","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Home Office (incl. agencies)","Home Office","310","[c]","26540","24880"
"Leaver CS","2021","20-29","Insolvency Service","Department for Business, Energy and Industrial Strategy","15","[c]","22920","20880"
"Leaver CS","2021","20-29","Legal Aid Agency","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Maritime and Coastguard Agency","Department for Transport","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","25","[c]","31240","27400"
"Leaver CS","2021","20-29","Met Office","Department for Business, Energy and Industrial Strategy","20","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","200","[c]","24990","24530"
"Leaver CS","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","30","[c]","28630","26340"
"Leaver CS","2021","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","60","[c]","30180","26410"
"Leaver CS","2021","20-29","National Crime Agency","National Crime Agency","20","[c]","30240","31090"
"Leaver CS","2021","20-29","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","15","[c]","29910","25880"
"Leaver CS","2021","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","30","[c]","31490","24900"
"Leaver CS","2021","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Office of the Public Guardian","Ministry of Justice","20","[c]","21340","19930"
"Leaver CS","2021","20-29","Planning Inspectorate","Ministry of Housing, Communities and Local Government","10","[c]","37930","36650"
"Leaver CS","2021","20-29","Public Health England","Department of Health and Social Care","175","[c]","25580","23530"
"Leaver CS","2021","20-29","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Registers of Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Royal Fleet Auxiliary","Ministry of Defence","30","[c]","27620","28680"
"Leaver CS","2021","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","25","[c]","21810","21050"
"Leaver CS","2021","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scottish Courts and Tribunals Service","Scottish Government","15","[c]","23920","22820"
"Leaver CS","2021","20-29","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scottish Government (excl. agencies)","Scottish Government","45","[c]","26220","26160"
"Leaver CS","2021","20-29","Scottish Prison Service","Scottish Government","30","[c]","23620","21810"
"Leaver CS","2021","20-29","Serious Fraud Office","Attorney General's Departments","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Social Security Scotland","Scottish Government","10","[c]","25910","22230"
"Leaver CS","2021","20-29","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Submarine Delivery Agency","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","The National Archives","The National Archives","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","UK Export Finance","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","UK Hydrographic Office","Ministry of Defence","15","[c]","27500","26370"
"Leaver CS","2021","20-29","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","UK Supreme Court","UK Supreme Court","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","United Kingdom Statistics Authority","United Kingdom Statistics Authority","100","[c]","23100","19130"
"Leaver CS","2021","20-29","Valuation Office Agency","HM Revenue and Customs","85","[c]","25420","24500"
"Leaver CS","2021","20-29","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Water Services Regulation Authority","Water Services Regulation Authority","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Welsh Government (excl. agencies)","Welsh Government","20","[c]","24140","22160"
"Leaver CS","2021","30-39","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","20","[c]","29660","28590"
"Leaver CS","2021","30-39","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Cabinet Office (excl. agencies)","Cabinet Office","95","[c]","50720","54700"
"Leaver CS","2021","30-39","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Companies House","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Competition and Markets Authority","Competition and Markets Authority","30","[c]","55480","54240"
"Leaver CS","2021","30-39","Crown Commercial Service","Other Cabinet Office Agencies","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Crown Office and Procurator Fiscal Service","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Crown Prosecution Service","Attorney General's Departments","40","[c]","40570","48830"
"Leaver CS","2021","30-39","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Defence Equipment and Support","Ministry of Defence","65","[c]","33620","32530"
"Leaver CS","2021","30-39","Defence Science and Technology Laboratory","Ministry of Defence","20","[c]","36880","37320"
"Leaver CS","2021","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","60","[c]","48550","52300"
"Leaver CS","2021","30-39","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","30","[c]","45410","45800"
"Leaver CS","2021","30-39","Department for Education (excl. agencies)","Department for Education","80","[c]","46040","46280"
"Leaver CS","2021","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","45","[c]","41430","38840"
"Leaver CS","2021","30-39","Department for International Development","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Department for International Trade","Department for International Trade","25","[c]","48430","50700"
"Leaver CS","2021","30-39","Department for Transport (excl. agencies)","Department for Transport","15","[c]","46250","43980"
