"Status","Year","Ethnicity","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","London","Female","80","[c]","34820","31060"
"Leaver CS","2021","Mixed","London","Male","70","[c]","38570","33400"
"Leaver CS","2021","Mixed","London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Outside London","Female","135","[c]","26590","21510"
"Leaver CS","2021","Mixed","Outside London","Male","100","[c]","29960","27570"
"Leaver CS","2021","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","London","Female","35","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","London","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Outside London","Female","35","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Outside London","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Female","135","[c]","33160","27070"
"Leaver CS","2021","Undeclared","London","Male","145","[c]","41390","35020"
"Leaver CS","2021","Undeclared","London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Outside London","Female","460","[c]","27690","25650"
"Leaver CS","2021","Undeclared","Outside London","Male","575","[c]","32370","28910"
"Leaver CS","2021","Undeclared","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Overseas","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","Female","710","[c]","37190","31060"
"Leaver CS","2021","Unknown","London","Male","675","[c]","40310","31880"
"Leaver CS","2021","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Outside London","Female","2260","[c]","27700","23660"
"Leaver CS","2021","Unknown","Outside London","Male","2235","[c]","30210","26350"
"Leaver CS","2021","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Overseas","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Overseas","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","300","[c]","40850","29250"
"Leaver CS","2021","Unknown","Unknown","Male","325","[c]","40850","32400"
"Leaver CS","2021","White","London","Female","1175","[c]","43980","37630"
"Leaver CS","2021","White","London","Male","1230","[c]","47790","40870"
"Leaver CS","2021","White","London","Unknown","40","[c]","51650","46710"
"Leaver CS","2021","White","Outside London","Female","8165","[c]","28380","24910"
"Leaver CS","2021","White","Outside London","Male","6810","[c]","32280","27570"
"Leaver CS","2021","White","Outside London","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Overseas","Female","40","[c]","38080","36960"
"Leaver CS","2021","White","Overseas","Male","50","[c]","48100","43220"
"Leaver CS","2021","White","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","London","Female","320","[c]","39820","34670"
"Leaver Dept.","2021","Asian","London","Male","220","[c]","38920","34550"
"Leaver Dept.","2021","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Outside London","Female","200","[c]","25900","24890"
"Leaver Dept.","2021","Asian","Outside London","Male","195","[c]","27210","25330"
"Leaver Dept.","2021","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","London","Female","220","[c]","36300","33260"
"Leaver Dept.","2021","Black","London","Male","95","[c]","37280","33960"
"Leaver Dept.","2021","Black","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Outside London","Female","85","[c]","28200","27570"
"Leaver Dept.","2021","Black","Outside London","Male","70","[c]","28060","27570"
"Leaver Dept.","2021","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","London","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","London","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","London","Female","115","[c]","42910","38700"
"Leaver Dept.","2021","Mixed","London","Male","95","[c]","41740","35070"
"Leaver Dept.","2021","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Outside London","Female","50","[c]","27680","27570"
"Leaver Dept.","2021","Mixed","Outside London","Male","40","[c]","34570","29390"
"Leaver Dept.","2021","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","London","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","London","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Outside London","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Outside London","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","London","Female","85","[c]","41740","37840"
"Leaver Dept.","2021","Undeclared","London","Male","105","[c]","43450","38480"
"Leaver Dept.","2021","Undeclared","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Outside London","Female","90","[c]","30610","27570"
"Leaver Dept.","2021","Undeclared","Outside London","Male","140","[c]","34540","31400"
"Leaver Dept.","2021","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Overseas","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","London","Female","785","[c]","42990","38750"
"Leaver Dept.","2021","Unknown","London","Male","680","[c]","43490","38750"
"Leaver Dept.","2021","Unknown","Outside London","Female","670","[c]","31230","27570"
"Leaver Dept.","2021","Unknown","Outside London","Male","595","[c]","31920","27570"
"Leaver Dept.","2021","Unknown","Overseas","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Overseas","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Female","215","[c]","33340","32000"
"Leaver Dept.","2021","Unknown","Unknown","Male","195","[c]","34660","32000"
"Leaver Dept.","2021","White","London","Female","1360","[c]","47250","42170"
"Leaver Dept.","2021","White","London","Male","1175","[c]","46620","41550"
"Leaver Dept.","2021","White","London","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Outside London","Female","2145","[c]","30890","27570"
"Leaver Dept.","2021","White","Outside London","Male","1515","[c]","32280","27570"
"Leaver Dept.","2021","White","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Overseas","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Overseas","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Female","130","[c]","36660","32000"
"Leaver Dept.","2021","White","Unknown","Male","95","[c]","39750","32000"
"Leaver Dept.","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","London","Female","985","[c]","32810","31060"
"New entrant CS","2021","Asian","London","Male","815","[c]","34210","31060"
"New entrant CS","2021","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Outside London","Female","1140","[c]","26500","27570"
"New entrant CS","2021","Asian","Outside London","Male","1125","[c]","28170","27570"
"New entrant CS","2021","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Unknown","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Unknown","Male","25","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","London","Female","1110","[c]","31050","31060"
"New entrant CS","2021","Black","London","Male","455","[c]","32080","31060"
"New entrant CS","2021","Black","London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Outside London","Female","640","[c]","27480","27570"
"New entrant CS","2021","Black","Outside London","Male","425","[c]","28390","27570"
"New entrant CS","2021","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Unknown","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","London","Female","35","[c]","39590","35460"
"New entrant CS","2021","Chinese","London","Male","30","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Outside London","Female","40","[c]","25930","25970"
"New entrant CS","2021","Chinese","Outside London","Male","25","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","London","Female","415","[c]","32810","31060"
"New entrant CS","2021","Mixed","London","Male","215","[c]","35340","31060"
"New entrant CS","2021","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Outside London","Female","540","[c]","26940","27570"
"New entrant CS","2021","Mixed","Outside London","Male","355","[c]","27060","27570"
"New entrant CS","2021","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Unknown","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","London","Female","110","[c]","34160","31060"
"New entrant CS","2021","Other ethnicity","London","Male","70","[c]","34120","31060"
"New entrant CS","2021","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Outside London","Female","115","[c]","26780","25230"
"New entrant CS","2021","Other ethnicity","Outside London","Male","80","[c]","31270","27570"
"New entrant CS","2021","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","London","Female","185","[c]","31420","31060"
"New entrant CS","2021","Undeclared","London","Male","185","[c]","37170","32330"
"New entrant CS","2021","Undeclared","Outside London","Female","255","[c]","28640","27570"
"New entrant CS","2021","Undeclared","Outside London","Male","345","[c]","28780","26370"
"New entrant CS","2021","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","London","Female","2550","[c]","34980","31060"
"New entrant CS","2021","Unknown","London","Male","2040","[c]","38590","32540"
"New entrant CS","2021","Unknown","London","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Outside London","Female","6005","[c]","26010","22850"
"New entrant CS","2021","Unknown","Outside London","Male","5645","[c]","26910","23440"
"New entrant CS","2021","Unknown","Outside London","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Overseas","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Overseas","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Female","325","[c]","34150","28000"
"New entrant CS","2021","Unknown","Unknown","Male","210","[c]","39990","28000"
"New entrant CS","2021","White","London","Female","3295","[c]","36110","32330"
"New entrant CS","2021","White","London","Male","2585","[c]","38090","32790"
"New entrant CS","2021","White","London","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","White","Outside London","Female","13710","[c]","26760","25560"
"New entrant CS","2021","White","Outside London","Male","10670","[c]","28130","26160"
"New entrant CS","2021","White","Outside London","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","White","Overseas","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","White","Overseas","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","White","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Unknown","Female","150","[c]","29480","27570"
"New entrant CS","2021","White","Unknown","Male","120","[c]","31390","27570"
"New entrant CS","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
