"Status","Year","Function_of_post","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Defence Electronics and Components Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Female","Heterosexual / straight","105","95","37710","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Male","Heterosexual / straight","225","220","41230","38060"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Male","Unknown","50","50","42690","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Heterosexual / straight","70","70","44700","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Heterosexual / straight","120","120","44700","39570"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Unknown","30","30","37880","35840"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","45","40","52570","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","65","65","52330","46430"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Female","Heterosexual / straight","155","140","43460","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Female","Unknown","30","30","48370","50010"
"In post","2021","Analysis","Department for Education (excl. agencies)","Male","Heterosexual / straight","135","130","44330","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Male","Unknown","35","35","47380","49860"
"In post","2021","Analysis","Department for Education (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","Heterosexual / straight","30","30","36790","33240"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Female","Heterosexual / straight","60","60","43400","38540"
"In post","2021","Analysis","Department for International Trade","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Female","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Male","Heterosexual / straight","100","100","44900","44810"
"In post","2021","Analysis","Department for International Trade","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Male","Unknown","35","35","41210","32100"
"In post","2021","Analysis","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Female","Heterosexual / straight","130","120","49020","50540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Female","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Male","Heterosexual / straight","140","140","46290","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Male","Undeclared","20","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Male","Unknown","45","45","42930","42470"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Female","Heterosexual / straight","70","65","51310","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Female","Unknown","70","65","53190","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Male","Heterosexual / straight","55","55","51710","53010"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Male","Unknown","75","75","52590","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Heterosexual / straight","30","30","58340","56900"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Female","Heterosexual / straight","45","40","69710","65730"
"In post","2021","Analysis","Government Actuary's Department","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Male","Heterosexual / straight","85","85","73710","66000"
"In post","2021","Analysis","Government Actuary's Department","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Male","Undeclared","[c]","[c]","[c]","[c]"
