"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Intelligence Analysis","London","EO","100","100","29160","29250"
"In post","2021","20-29","Intelligence Analysis","London","G6/G7","45","45","55810","53360"
"In post","2021","20-29","Intelligence Analysis","London","SEO/HEO","150","150","37500","37000"
"In post","2021","20-29","Intelligence Analysis","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Outside London","EO","160","160","26090","25830"
"In post","2021","20-29","Intelligence Analysis","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Outside London","SEO/HEO","60","60","33380","33000"
"In post","2021","20-29","Intelligence Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","SEO/HEO","10","10","38340","37000"
"In post","2021","20-29","Internal Audit","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","SEO/HEO","30","30","34080","33300"
"In post","2021","20-29","International Trade","London","EO","35","30","26690","26510"
"In post","2021","20-29","International Trade","London","G6/G7","100","100","51630","51970"
"In post","2021","20-29","International Trade","London","SEO/HEO","250","250","34840","33440"
"In post","2021","20-29","International Trade","Outside London","EO","15","15","24220","25560"
"In post","2021","20-29","International Trade","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","International Trade","Outside London","SEO/HEO","40","40","32500","31810"
"In post","2021","20-29","International Trade","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","International Trade","Overseas","SEO/HEO","10","10","34350","33730"
"In post","2021","20-29","Knowledge and Information Management","London","AA/AO","15","15","25270","25390"
"In post","2021","20-29","Knowledge and Information Management","London","EO","25","25","27700","27380"
"In post","2021","20-29","Knowledge and Information Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","London","SEO/HEO","40","40","34740","33550"
"In post","2021","20-29","Knowledge and Information Management","Outside London","AA/AO","55","55","20830","20920"
"In post","2021","20-29","Knowledge and Information Management","Outside London","EO","65","65","24900","26050"
"In post","2021","20-29","Knowledge and Information Management","Outside London","SEO/HEO","70","70","33050","32000"
"In post","2021","20-29","Knowledge and Information Management","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","London","AA/AO","10","10","23980","23490"
"In post","2021","20-29","Legal","London","EO","215","215","29990","29570"
"In post","2021","20-29","Legal","London","G6/G7","105","100","52200","51250"
"In post","2021","20-29","Legal","London","SEO/HEO","175","175","38470","37230"
"In post","2021","20-29","Legal","Outside London","AA/AO","35","35","20530","20140"
"In post","2021","20-29","Legal","Outside London","EO","350","345","25740","25560"
"In post","2021","20-29","Legal","Outside London","G6/G7","80","80","50690","50190"
"In post","2021","20-29","Legal","Outside London","SEO/HEO","265","265","33310","33550"
"In post","2021","20-29","Medicine","London","EO","5","5","[c]","[c]"
"In post","2021","20-29","Medicine","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Medicine","Outside London","AA/AO","40","40","22250","22640"
"In post","2021","20-29","Medicine","Outside London","EO","40","40","27920","27420"
"In post","2021","20-29","Medicine","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Outside London","SEO/HEO","40","40","33270","33180"
"In post","2021","20-29","Medicine","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","London","AA/AO","1735","1715","26220","24590"
"In post","2021","20-29","Operational Delivery","London","EO","1235","1220","29220","28670"
"In post","2021","20-29","Operational Delivery","London","G6/G7","135","135","55250","53600"
"In post","2021","20-29","Operational Delivery","London","SEO/HEO","940","925","35790","35070"
"In post","2021","20-29","Operational Delivery","London","Unknown","335","335","28570","26810"
"In post","2021","20-29","Operational Delivery","Outside London","AA/AO","14680","14250","22660","21430"
"In post","2021","20-29","Operational Delivery","Outside London","EO","5055","4995","26160","25560"
"In post","2021","20-29","Operational Delivery","Outside London","G6/G7","60","60","49530","49100"
"In post","2021","20-29","Operational Delivery","Outside London","SEO/HEO","1605","1590","32230","31810"
"In post","2021","20-29","Operational Delivery","Outside London","Unknown","1810","1770","24670","22920"
"In post","2021","20-29","Operational Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","London","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Operational Research","London","EO","20","20","30590","29180"
"In post","2021","20-29","Operational Research","London","G6/G7","15","15","58080","58130"
"In post","2021","20-29","Operational Research","London","SEO/HEO","105","105","36910","36570"
"In post","2021","20-29","Operational Research","Outside London","AA/AO","10","10","19850","20140"
"In post","2021","20-29","Operational Research","Outside London","EO","15","15","24910","25840"
"In post","2021","20-29","Operational Research","Outside London","G6/G7","10","10","47800","49310"
"In post","2021","20-29","Operational Research","Outside London","SEO/HEO","155","155","32230","31630"
"In post","2021","20-29","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","London","AA/AO","120","120","23460","23670"
"In post","2021","20-29","Other","London","EO","385","380","27910","27750"
"In post","2021","20-29","Other","London","G6/G7","90","90","53800","53040"
"In post","2021","20-29","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","London","SEO/HEO","315","315","36520","35070"
"In post","2021","20-29","Other","Outside London","AA/AO","510","500","20910","20920"
"In post","2021","20-29","Other","Outside London","EO","470","460","22680","22670"
"In post","2021","20-29","Other","Outside London","G6/G7","15","15","48780","45900"
"In post","2021","20-29","Other","Outside London","SEO/HEO","320","320","30310","30830"
"In post","2021","20-29","Other","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Overseas","SEO/HEO","10","10","37670","37650"
"In post","2021","20-29","Other","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Unknown","Unknown","365","365","29020","28980"
"In post","2021","20-29","Planning","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","London","EO","10","10","27790","27850"
"In post","2021","20-29","Planning","London","G6/G7","[c]","[c]","[c]","[c]"
