"Status","Year","Organisation","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","National Savings and Investments","Chancellor's other departments","London","SEO/HEO","65","65","41020","42550"
"In post","2021","National Savings and Investments","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Outside London","G6/G7","15","15","58850","61110"
"In post","2021","National Savings and Investments","Chancellor's other departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Outside London","SEO/HEO","25","25","40710","40290"
"In post","2021","Northern Ireland Office","Northern Ireland Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","London","EO","5","5","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","London","G6/G7","30","30","55250","52850"
"In post","2021","Northern Ireland Office","Northern Ireland Office","London","SCS level","10","10","92240","84450"
"In post","2021","Northern Ireland Office","Northern Ireland Office","London","SEO/HEO","30","30","36030","36800"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Outside London","EO","15","15","25580","25500"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Outside London","G6/G7","20","20","51920","49960"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Outside London","SEO/HEO","40","40","34250","34990"
"In post","2021","Office for Budget Responsibility","HM Treasury","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","London","G6/G7","20","20","61400","60050"
"In post","2021","Office for Budget Responsibility","HM Treasury","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","London","SEO/HEO","10","10","37730","35610"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","London","AA/AO","10","10","22660","22630"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","London","EO","30","30","28650","28880"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","London","G6/G7","185","180","72650","75500"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","London","SCS level","15","15","110820","95150"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","London","SEO/HEO","205","200","44730","42850"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Outside London","AA/AO","220","200","21170","21160"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Outside London","EO","170","165","25850","25880"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Outside London","G6/G7","400","390","73240","75500"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Outside London","SCS level","15","15","106980","94340"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Outside London","SEO/HEO","530","510","42480","39850"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","AA/AO","20","20","21060","19750"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","EO","100","100","27970","27000"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","G6/G7","310","300","61950","60800"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","SCS level","45","40","102100","96250"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","SEO/HEO","200","195","38080","37260"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","AA/AO","35","35","18850","18180"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","EO","165","165","24530","24050"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","G6/G7","130","130","56570","55040"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","SEO/HEO","175","175","34670","34000"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","EO","30","25","24270","24200"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","G6/G7","95","95","53040","48350"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","SCS level","20","20","96170","86380"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","SEO/HEO","115","105","36160","36540"
"In post","2021","Office of Rail and Road","Office of Rail and Road","London","AA/AO","15","15","24140","23490"
"In post","2021","Office of Rail and Road","Office of Rail and Road","London","EO","20","15","31410","30860"
"In post","2021","Office of Rail and Road","Office of Rail and Road","London","G6/G7","105","100","64210","63580"
"In post","2021","Office of Rail and Road","Office of Rail and Road","London","SCS level","15","15","115030","112270"
"In post","2021","Office of Rail and Road","Office of Rail and Road","London","SEO/HEO","60","60","41150","42670"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Outside London","G6/G7","75","70","59540","59720"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Outside London","SEO/HEO","35","35","37100","35840"
"In post","2021","Office of the Public Guardian","Ministry of Justice","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","Outside London","AA/AO","855","775","19750","19930"
"In post","2021","Office of the Public Guardian","Ministry of Justice","Outside London","EO","365","345","22280","22570"
"In post","2021","Office of the Public Guardian","Ministry of Justice","Outside London","G6/G7","20","20","49240","48350"
"In post","2021","Office of the Public Guardian","Ministry of Justice","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","Outside London","SEO/HEO","165","160","28510","26560"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","Outside London","AA/AO","10","10","24220","24910"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","Outside London","SEO/HEO","20","20","39570","38540"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Outside London","AA/AO","170","160","21530","21270"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Outside London","EO","100","90","26740","26050"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Outside London","G6/G7","425","375","58050","58810"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Outside London","SEO/HEO","155","150","36480","34860"
"In post","2021","Public Health England","Department of Health and Social Care","London","AA/AO","230","200","23540","23530"
"In post","2021","Public Health England","Department of Health and Social Care","London","EO","410","370","27560","27080"
"In post","2021","Public Health England","Department of Health and Social Care","London","G6/G7","935","890","59790","55960"
"In post","2021","Public Health England","Department of Health and Social Care","London","SCS level","215","180","107220","100640"
"In post","2021","Public Health England","Department of Health and Social Care","London","SEO/HEO","1180","1105","37750","38930"
"In post","2021","Public Health England","Department of Health and Social Care","Outside London","AA/AO","675","595","20380","19630"
"In post","2021","Public Health England","Department of Health and Social Care","Outside London","EO","515","480","24730","23920"
"In post","2021","Public Health England","Department of Health and Social Care","Outside London","G6/G7","940","890","56780","52350"
"In post","2021","Public Health England","Department of Health and Social Care","Outside London","SCS level","260","225","109430","105000"
"In post","2021","Public Health England","Department of Health and Social Care","Outside London","SEO/HEO","1545","1390","35350","36330"
"In post","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","London","EO","10","10","30310","29990"
"In post","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","London","SEO/HEO","20","20","39870","39920"
"In post","2021","Registers of Scotland","Scottish Government","Outside London","AA/AO","355","335","24010","24130"
"In post","2021","Registers of Scotland","Scottish Government","Outside London","EO","355","335","30050","30080"
"In post","2021","Registers of Scotland","Scottish Government","Outside London","G6/G7","60","55","60120","60630"
"In post","2021","Registers of Scotland","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Scottish Government","Outside London","SEO/HEO","395","380","39150","36780"
"In post","2021","Revenue Scotland","Scottish Government","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Scottish Government","Outside London","EO","10","10","28170","28170"
"In post","2021","Revenue Scotland","Scottish Government","Outside London","G6/G7","15","15","64150","61010"
"In post","2021","Revenue Scotland","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Scottish Government","Outside London","SEO/HEO","30","25","38620","37620"
"In post","2021","Royal Fleet Auxiliary","Ministry of Defence","Unknown","Unknown","1835","1835","37620","34460"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","975","875","21000","21050"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","EO","620","570","25510","25190"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","100","95","52840","49800"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","470","440","33060","31460"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","London","EO","5","5","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","London","G6/G7","10","10","56470","54770"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","London","SCS level","5","5","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","London","SEO/HEO","10","10","33680","32870"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Outside London","AA/AO","10","10","21710","21150"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Outside London","G6/G7","35","35","60140","61010"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Outside London","SEO/HEO","25","25","38980","39660"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Outside London","AA/AO","920","805","21680","22820"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Outside London","EO","490","450","28610","29350"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Outside London","G6/G7","60","60","58340","57820"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Outside London","SEO/HEO","320","305","37910","35230"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Scottish Government","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Scottish Government","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Scottish Government","Outside London","SEO/HEO","15","15","38200","35110"
"In post","2021","Scottish Forestry","Scottish Government","Outside London","AA/AO","50","45","23550","22920"
"In post","2021","Scottish Forestry","Scottish Government","Outside London","EO","55","50","30650","30160"
"In post","2021","Scottish Forestry","Scottish Government","Outside London","G6/G7","20","15","59420","56800"
"In post","2021","Scottish Forestry","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Scottish Government","Outside London","SEO/HEO","70","65","40570","38450"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Outside London","AA/AO","915","875","23730","23340"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Outside London","EO","1165","1120","28260","28170"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Outside London","G6/G7","2105","2015","62110","61010"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Outside London","SCS level","180","175","90010","83230"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Outside London","SEO/HEO","3415","3265","38920","38540"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Scottish Government","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Scottish Government","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Scottish Government","Outside London","G6/G7","25","25","63660","61010"
"In post","2021","Scottish Housing Regulator","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Scottish Government","Outside London","SEO/HEO","20","20","42870","46600"
"In post","2021","Scottish Prison Service","Scottish Government","Outside London","AA/AO","1545","1465","23760","24450"
"In post","2021","Scottish Prison Service","Scottish Government","Outside London","EO","2125","2005","32770","33650"
"In post","2021","Scottish Prison Service","Scottish Government","Outside London","G6/G7","130","125","60760","55110"
"In post","2021","Scottish Prison Service","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Scottish Government","Outside London","SEO/HEO","685","605","40860","39500"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Outside London","AA/AO","135","120","24020","24110"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Outside London","EO","80","70","28210","29190"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Outside London","G6/G7","15","15","60650","58560"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Outside London","SEO/HEO","55","55","36280","35110"
"In post","2021","Serious Fraud Office","Attorney General's Departments","London","AA/AO","15","15","23460","23960"
"In post","2021","Serious Fraud Office","Attorney General's Departments","London","EO","65","60","27740","27040"
"In post","2021","Serious Fraud Office","Attorney General's Departments","London","G6/G7","185","180","60910","58600"
"In post","2021","Serious Fraud Office","Attorney General's Departments","London","SCS level","15","15","102190","89220"
"In post","2021","Serious Fraud Office","Attorney General's Departments","London","SEO/HEO","205","205","37320","38300"
"In post","2021","Serious Fraud Office","Attorney General's Departments","London","Unknown","10","10","39350","36360"
"In post","2021","Social Security Scotland","Scottish Government","Outside London","AA/AO","400","380","21090","20060"
"In post","2021","Social Security Scotland","Scottish Government","Outside London","EO","275","270","26940","26160"
"In post","2021","Social Security Scotland","Scottish Government","Outside London","G6/G7","130","130","59940","61010"
"In post","2021","Social Security Scotland","Scottish Government","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Social Security Scotland","Scottish Government","Outside London","SEO/HEO","325","315","36200","35110"
"In post","2021","Standards and Testing Agency","Department for Education","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","Department for Education","London","G6/G7","15","15","60200","56730"
"In post","2021","Standards and Testing Agency","Department for Education","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","Department for Education","London","SEO/HEO","25","20","41880","44540"
"In post","2021","Standards and Testing Agency","Department for Education","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Standards and Testing Agency","Department for Education","Outside London","G6/G7","25","20","53470","50400"
"In post","2021","Standards and Testing Agency","Department for Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","Department for Education","Outside London","SEO/HEO","50","50","34430","33510"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Outside London","AA/AO","115","110","21800","22230"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Outside London","EO","60","55","28570","27150"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Outside London","G6/G7","15","15","62600","62480"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Outside London","SEO/HEO","50","50","39490","39110"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Outside London","Unknown","1760","1720","41600","39860"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Overseas","Unknown","25","25","37770","36710"
"In post","2021","Teaching Regulation Agency","Department for Education","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Department for Education","Outside London","EO","25","25","25410","25000"
"In post","2021","Teaching Regulation Agency","Department for Education","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Department for Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Department for Education","Outside London","SEO/HEO","30","30","33080","30210"
"In post","2021","The National Archives","The National Archives","London","AA/AO","95","85","21250","20650"
"In post","2021","The National Archives","The National Archives","London","EO","75","75","25550","24630"
"In post","2021","The National Archives","The National Archives","London","G6/G7","90","85","53110","50710"
"In post","2021","The National Archives","The National Archives","London","SCS level","10","10","[c]","[c]"
"In post","2021","The National Archives","The National Archives","London","SEO/HEO","275","265","35920","34770"
"In post","2021","Transport Scotland","Scottish Government","Outside London","AA/AO","60","55","22880","22230"
"In post","2021","Transport Scotland","Scottish Government","Outside London","EO","40","40","28000","28170"
"In post","2021","Transport Scotland","Scottish Government","Outside London","G6/G7","135","130","63330","62120"
"In post","2021","Transport Scotland","Scottish Government","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Transport Scotland","Scottish Government","Outside London","SEO/HEO","250","245","40210","39660"
"In post","2021","UK Export Finance","UK Export Finance","London","AA/AO","5","5","[c]","[c]"
"In post","2021","UK Export Finance","UK Export Finance","London","EO","45","45","29640","29000"
"In post","2021","UK Export Finance","UK Export Finance","London","G6/G7","120","120","67800","66690"
"In post","2021","UK Export Finance","UK Export Finance","London","SCS level","25","25","117220","101500"
"In post","2021","UK Export Finance","UK Export Finance","London","SEO/HEO","195","195","42550","42240"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Outside London","AA/AO","80","80","20360","20170"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Outside London","EO","225","210","27500","26740"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Outside London","G6/G7","60","60","57430","53720"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Outside London","SEO/HEO","470","450","37100","33520"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","G6/G7","10","10","63700","62010"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","195","175","20780","21140"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","EO","470","445","25540","23320"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","330","310","60040","59720"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","25","25","77640","72750"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","470","450","38630","39540"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","EO","10","10","[c]","[c]"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","G6/G7","50","50","58150","53600"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","SCS level","5","5","[c]","[c]"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","70","70","38640","40050"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","EO","10","10","[c]","[c]"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","60","60","55070","53380"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","50","45","35350","36740"
"In post","2021","UK Supreme Court","UK Supreme Court","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","UK Supreme Court","London","EO","20","20","27550","27300"
"In post","2021","UK Supreme Court","UK Supreme Court","London","G6/G7","10","10","57830","56210"
"In post","2021","UK Supreme Court","UK Supreme Court","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","UK Supreme Court","London","SEO/HEO","20","20","35490","37230"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","AA/AO","10","10","22130","22130"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","EO","30","30","26850","26050"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","G6/G7","85","80","56480","53460"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","SCS level","30","30","90360","79430"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","SEO/HEO","235","230","34880","32540"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Outside London","AA/AO","1450","1025","19620","19520"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Outside London","EO","745","700","23860","23050"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Outside London","G6/G7","845","815","52460","50090"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Outside London","SCS level","55","55","82240","75080"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Outside London","SEO/HEO","2065","1985","33340","33020"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","London","AA/AO","75","70","25400","25460"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","London","EO","200","190","30280","30000"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","London","G6/G7","100","100","63340","62080"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","London","SCS level","15","15","87930","81320"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","London","SEO/HEO","275","265","41570","38430"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Outside London","AA/AO","770","695","20870","21100"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Outside London","EO","755","690","26000","25930"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Outside London","G6/G7","295","280","57050","54990"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Outside London","SEO/HEO","1040","970","37430","37750"
"In post","2021","Vehicle Certification Agency","Department for Transport","Outside London","AA/AO","50","45","21560","21590"
"In post","2021","Vehicle Certification Agency","Department for Transport","Outside London","EO","50","45","26990","27250"
"In post","2021","Vehicle Certification Agency","Department for Transport","Outside London","G6/G7","15","15","65390","61840"
"In post","2021","Vehicle Certification Agency","Department for Transport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Department for Transport","Outside London","SEO/HEO","90","85","40100","38860"
"In post","2021","Vehicle Certification Agency","Department for Transport","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Department for Transport","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","25","20","24260","24370"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","EO","30","25","28750","28340"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","65","65","57620","56200"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","50","50","37230","38160"
"In post","2021","Wales Office","Wales Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Wales Office","London","EO","5","5","[c]","[c]"
