"Status","Year","Age","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","Female","20","15","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","Female","5","5","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","Male","30","30","19060","16200"
"In post","2021","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","Female","5","5","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","Female","30","30","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","Male","5","5","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Scottish Government","Female","5","5","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2021","16-19","The National Archives","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","10","10","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","Female","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","Male","10","10","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","Female","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","Male","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","70","70","26370","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","40","40","26910","24250"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","310","305","25200","24920"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","145","140","25820","24920"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Female","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Female","1925","1920","33620","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Male","1475","1470","34410","32000"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","45","45","25130","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","45","45","25560","24920"
"In post","2021","20-29","Charity Commission","Charity Commission","Female","30","30","27020","24440"
"In post","2021","20-29","Charity Commission","Charity Commission","Male","15","15","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Female","60","60","25800","24500"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Male","65","65","27350","24500"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Female","80","80","39840","34570"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Male","70","70","37320","33610"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","Female","15","15","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","Male","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Female","60","60","29210","27770"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Male","80","80","28280","27770"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Female","275","265","26170","22220"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Male","115","115","26180","23810"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","Female","635","625","27410","25480"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","Male","255","255","27610","25480"
"In post","2021","20-29","Debt Management Office","HM Treasury","Female","5","5","[c]","[c]"
"In post","2021","20-29","Debt Management Office","HM Treasury","Male","10","10","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Ministry of Defence","Male","20","20","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Ministry of Defence","Female","750","740","26210","25560"
"In post","2021","20-29","Defence Equipment and Support","Ministry of Defence","Male","1300","1295","26980","27540"
"In post","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","Female","315","310","29310","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","Male","595","590","28910","28650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","935","930","40160","38590"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","895","895","41190","39640"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","380","375","39990","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","300","300","42400","39020"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","Female","780","775","36220","33190"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","Male","475","470","35970","33000"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","620","615","35230","32680"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","500","495","34460","32560"
"In post","2021","20-29","Department for International Trade","Department for International Trade","Female","480","480","37560","33360"
"In post","2021","20-29","Department for International Trade","Department for International Trade","Male","470","465","37100","32130"
"In post","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","Female","455","455","37790","34710"
"In post","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","Male","470","470","38550","35060"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","5930","5765","26760","27570"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","4370","4345","26460","27570"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","765","760","36790","32790"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","470","470","38020","32790"
"In post","2021","20-29","Disclosure Scotland","Scottish Government","Female","35","30","23840","21150"
"In post","2021","20-29","Disclosure Scotland","Scottish Government","Male","35","35","22290","21150"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","Female","445","410","21970","21590"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","Male","345","335","23720","21590"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","Female","120","120","25650","26130"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","Male","155","155","27050","26410"
"In post","2021","20-29","Education and Skills Funding Agency","Department for Education","Female","155","155","32870","30090"
"In post","2021","20-29","Education and Skills Funding Agency","Department for Education","Male","145","145","32630","30200"
"In post","2021","20-29","Education Scotland","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","20-29","Education Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","FCDO Services","Foreign, Commonwealth and Development Office","Female","45","45","26820","26550"
"In post","2021","20-29","FCDO Services","Foreign, Commonwealth and Development Office","Male","90","90","27900","26650"
"In post","2021","20-29","Food Standards Agency","Food Standards Agency","Female","75","75","32780","32350"
"In post","2021","20-29","Food Standards Agency","Food Standards Agency","Male","35","35","32770","32350"
"In post","2021","20-29","Food Standards Scotland","Scottish Government","Female","15","15","[c]","[c]"
"In post","2021","20-29","Food Standards Scotland","Scottish Government","Male","10","10","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","785","785","35550","34770"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","555","555","35100","34220"
"In post","2021","20-29","Forestry and Land Scotland","Scottish Government","Female","45","45","26660","25830"
"In post","2021","20-29","Forestry and Land Scotland","Scottish Government","Male","60","60","25250","25140"
"In post","2021","20-29","Government Actuary's Department","Chancellor's other departments","Female","20","20","[c]","[c]"
"In post","2021","20-29","Government Actuary's Department","Chancellor's other departments","Male","40","40","37460","36410"
"In post","2021","20-29","Government Internal Audit Agency","HM Treasury","Female","20","20","[c]","[c]"
"In post","2021","20-29","Government Internal Audit Agency","HM Treasury","Male","10","10","[c]","[c]"
"In post","2021","20-29","Government Legal Department","Attorney General's Departments","Female","205","200","36660","33460"
"In post","2021","20-29","Government Legal Department","Attorney General's Departments","Male","130","130","36280","33050"
"In post","2021","20-29","Government Property Agency","Other Cabinet Office Agencies","Female","15","15","[c]","[c]"
"In post","2021","20-29","Government Property Agency","Other Cabinet Office Agencies","Male","15","15","[c]","[c]"
"In post","2021","20-29","Health and Safety Executive","Department for Work and Pensions","Female","140","135","28740","26410"
"In post","2021","20-29","Health and Safety Executive","Department for Work and Pensions","Male","105","105","29070","26410"
"In post","2021","20-29","HM Courts and Tribunals Service","Ministry of Justice","Female","1455","1425","21850","19930"
"In post","2021","20-29","HM Courts and Tribunals Service","Ministry of Justice","Male","720","715","22110","20520"
"In post","2021","20-29","HM Land Registry","HM Land Registry","Female","630","615","24920","22350"
"In post","2021","20-29","HM Land Registry","HM Land Registry","Male","480","475","25970","22350"
"In post","2021","20-29","HM Prison and Probation Service","Ministry of Justice","Female","6040","5925","25910","24880"
"In post","2021","20-29","HM Prison and Probation Service","Ministry of Justice","Male","4430","4415","26400","25790"
"In post","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","4565","4425","26650","25560"
"In post","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","5280","5210","27030","25560"
"In post","2021","20-29","HM Treasury (excl. agencies)","HM Treasury","Female","460","455","37840","32320"
"In post","2021","20-29","HM Treasury (excl. agencies)","HM Treasury","Male","520","515","39310","33890"
"In post","2021","20-29","Home Office (incl. agencies)","Home Office","Female","2830","2740","28450","25040"
"In post","2021","20-29","Home Office (incl. agencies)","Home Office","Male","2450","2405","28150","24890"
"In post","2021","20-29","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","125","125","23250","20880"
"In post","2021","20-29","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","90","90","24510","20880"
"In post","2021","20-29","Institute for Apprenticeships and Technical Education","Department for Education","Female","20","20","[c]","[c]"
"In post","2021","20-29","Institute for Apprenticeships and Technical Education","Department for Education","Male","5","5","[c]","[c]"
"In post","2021","20-29","Legal Aid Agency","Ministry of Justice","Female","65","65","20880","19930"
"In post","2021","20-29","Legal Aid Agency","Ministry of Justice","Male","40","40","20760","19930"
"In post","2021","20-29","Maritime and Coastguard Agency","Department for Transport","Female","85","80","27390","26590"
"In post","2021","20-29","Maritime and Coastguard Agency","Department for Transport","Male","110","110","30230","29350"
"In post","2021","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","145","145","34080","32640"
"In post","2021","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","75","75","30390","27400"
"In post","2021","20-29","Met Office","Department for Business, Energy and Industrial Strategy","Female","160","160","30950","31580"
"In post","2021","20-29","Met Office","Department for Business, Energy and Industrial Strategy","Male","130","130","30750","31580"
"In post","2021","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","1750","1725","29190","26670"
"In post","2021","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","2005","2000","29500","26670"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","340","340","37450","33210"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","305","305","37890","33210"
"In post","2021","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","605","600","33730","31000"
"In post","2021","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","340","340","34340","30990"
"In post","2021","20-29","National Crime Agency","National Crime Agency","Female","565","565","31690","32260"
"In post","2021","20-29","National Crime Agency","National Crime Agency","Male","370","370","32400","32770"
"In post","2021","20-29","National Infrastructure Commission","HM Treasury","Female","10","10","[c]","[c]"
"In post","2021","20-29","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","National Records of Scotland","Scottish Government","Female","20","20","[c]","[c]"
"In post","2021","20-29","National Records of Scotland","Scottish Government","Male","25","25","[c]","[c]"
"In post","2021","20-29","National Savings and Investments","Chancellor's other departments","Female","10","10","[c]","[c]"
"In post","2021","20-29","National Savings and Investments","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","Northern Ireland Office","Female","10","10","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","Northern Ireland Office","Male","15","15","[c]","[c]"
"In post","2021","20-29","Office for Budget Responsibility","HM Treasury","Female","5","5","[c]","[c]"
"In post","2021","20-29","Office for Budget Responsibility","HM Treasury","Male","5","5","[c]","[c]"
"In post","2021","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","95","95","28590","25880"
"In post","2021","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","60","60","29030","27250"
"In post","2021","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","165","165","30080","27000"
"In post","2021","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","180","180","31930","30950"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","15","15","[c]","[c]"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","10","10","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","Office of Rail and Road","Male","15","15","[c]","[c]"
"In post","2021","20-29","Office of the Public Guardian","Ministry of Justice","Female","200","190","20780","19930"
"In post","2021","20-29","Office of the Public Guardian","Ministry of Justice","Male","125","120","20280","19930"
"In post","2021","20-29","Office of the Scottish Charity Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
