"Status","Year","Ethnicity","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","465","455","45910","40600"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Asian","Companies House","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Communications","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Corporate Finance","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Legal","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Project Delivery","50","45","45500","35680"
"In post","2021","Asian","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Commercial","10","10","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Legal","20","20","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Operational Delivery","20","15","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Finance","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Legal","280","260","52840","51470"
"In post","2021","Asian","Crown Prosecution Service","Operational Delivery","285","260","26670","24590"
"In post","2021","Asian","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Security","10","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Commercial","25","25","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Finance","20","20","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Other","95","90","27150","22010"
"In post","2021","Asian","Defence Equipment and Support","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Project Delivery","70","65","35420","33060"
"In post","2021","Asian","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Science and Engineering","90","90","34790","33230"
"In post","2021","Asian","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Operational Research","5","5","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Science and Engineering","45","45","41520","37700"
"In post","2021","Asian","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","55","55","40120","33640"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","305","300","44120","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","5","5","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Economics","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Finance","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Other","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Policy","55","55","43920","40590"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","20","20","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Commercial","15","15","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Communications","15","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Digital, Data and Technology","50","50","36910","34000"
"In post","2021","Asian","Department for Education (excl. agencies)","Finance","55","55","35130","31650"
"In post","2021","Asian","Department for Education (excl. agencies)","Human Resources","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Legal","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Operational Delivery","60","60","37020","33780"
"In post","2021","Asian","Department for Education (excl. agencies)","Policy","200","190","42030","38480"
"In post","2021","Asian","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Property","45","45","49220","52030"
"In post","2021","Asian","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","25","25","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","15","15","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","115","115","40200","34050"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","15","15","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Communications","5","5","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Economics","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Finance","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Human Resources","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","International Trade","90","90","44900","38540"
"In post","2021","Asian","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Other","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Policy","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Project Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Statistics","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Commercial","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Corporate Finance","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Economics","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Finance","35","35","51980","54760"
"In post","2021","Asian","Department for Transport (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","International Trade","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Other","35","35","40080","30720"
"In post","2021","Asian","Department for Transport (excl. agencies)","Policy","70","70","44650","42470"
"In post","2021","Asian","Department for Transport (excl. agencies)","Project Delivery","35","35","41220","37660"
"In post","2021","Asian","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Security","20","20","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Unknown","7345","6620","27750","27570"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Commercial","5","5","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Finance","20","20","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Human Resources","5","5","[c]","[c]"
