"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","London","30","30","46870","44280"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","London","75","75","53810","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","London","20","20","41850","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","London","25","25","56490","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","London","20","20","49200","43280"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","London","45","45","48010","45250"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Outside London","100","95","42370","42220"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","London","130","120","46400","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Outside London","130","125","42610","42220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","London","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Outside London","55","55","35470","31350"
"In post","2021","Analysis","Department for International Trade","Economics","London","130","130","42790","31800"
"In post","2021","Analysis","Department for International Trade","Economics","Outside London","15","15","48190","51970"
"In post","2021","Analysis","Department for International Trade","Operational Research","London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","London","15","15","36070","30100"
"In post","2021","Analysis","Department for International Trade","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","London","10","10","47180","39780"
"In post","2021","Analysis","Department for International Trade","Social Research","London","20","20","44560","46050"
"In post","2021","Analysis","Department for International Trade","Statistics","London","50","50","43330","40030"
"In post","2021","Analysis","Department for International Trade","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","London","10","10","45940","43530"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","London","170","165","47670","54110"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","London","20","20","44510","42470"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","London","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","London","40","40","47930","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","London","115","110","45560","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","London","175","170","54550","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Outside London","60","55","49160","49530"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","London","20","20","52240","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Outside London","30","25","46700","50070"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Outside London","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Outside London","20","20","33840","32320"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Outside London","35","35","29600","31620"
"In post","2021","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","London","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","London","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","London","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Other","London","165","155","69370","65470"
"In post","2021","Analysis","Government Actuary's Department","Other","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","Outside London","15","10","34050","29750"
"In post","2021","Analysis","Health and Safety Executive","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Statistics","Outside London","15","15","50150","57510"
"In post","2021","Analysis","HM Courts and Tribunals Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Social Research","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Outside London","15","15","37780","33840"
"In post","2021","Analysis","HM Prison and Probation Service","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","London","75","75","48460","36350"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Outside London","25","25","36940","31810"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","London","20","20","41780","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Outside London","10","10","33900","33550"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","London","40","40","47100","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Outside London","60","55","41550","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","London","45","45","48410","42540"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Outside London","35","30","41290","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","London","140","135","47760","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Outside London","135","130","39070","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","London","25","25","50790","59160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Outside London","10","10","41600","38630"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Economics","London","85","85","47960","52530"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Policy","London","30","30","59170","59840"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Statistics","London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Statistics","Outside London","15","15","38410","39490"
"In post","2021","Analysis","Maritime and Coastguard Agency","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Economics","London","30","30","43990","38600"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Statistics","London","55","55","44000","41070"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Statistics","Outside London","110","105","37540","36000"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Economics","London","75","75","43680","35060"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","London","25","25","51520","53130"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","London","90","85","48480","49550"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Economics","London","45","40","45390","33930"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Finance","London","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","London","20","20","37210","36480"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Operational Research","London","95","90","48410","42190"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Operational Research","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Social Research","London","55","55","50400","53780"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Social Research","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Statistics","London","90","90","47650","41950"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Statistics","Outside London","15","15","30320","25290"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Unknown","London","20","20","45400","41930"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Unknown","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Social Research","London","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","London","25","20","46080","35010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","Outside London","15","15","34630","32010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","London","15","15","44820","42850"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","Outside London","100","95","38520","32010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Economics","London","15","15","46030","47180"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Finance","London","20","20","51610","50640"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Other","London","15","15","59680","52680"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Science and Engineering","London","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Economics","London","15","15","59370","59130"
"In post","2021","Analysis","Office of Rail and Road","Economics","Outside London","15","15","53270","57030"
"In post","2021","Analysis","Office of Rail and Road","Statistics","London","15","15","48690","48700"
"In post","2021","Analysis","Office of Rail and Road","Statistics","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Statistics","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Statistics","Outside London","20","20","37960","36780"
"In post","2021","Analysis","Rural Payments Agency","Operational Delivery","Outside London","35","30","31320","29690"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Economics","London","5","5","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Economics","Outside London","10","10","48610","50140"
"In post","2021","Analysis","UK Intellectual Property Office","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Economics","London","30","30","45410","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Economics","Outside London","120","120","35170","29540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Operational Delivery","London","30","30","32640","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Operational Delivery","Outside London","415","390","30560","29540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Operational Research","London","5","5","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Operational Research","Outside London","20","20","33240","32040"
"In post","2021","Analysis","United Kingdom Statistics Authority","Social Research","London","70","70","36600","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Social Research","Outside London","475","450","37830","37020"
"In post","2021","Analysis","United Kingdom Statistics Authority","Statistics","London","90","90","45360","35780"
"In post","2021","Analysis","United Kingdom Statistics Authority","Statistics","Outside London","440","425","41380","37020"
"In post","2021","Analysis","Valuation Office Agency","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Statistics","London","15","15","49330","38430"
"In post","2021","Analysis","Valuation Office Agency","Statistics","Outside London","20","15","44160","42140"
"In post","2021","Analysis","Wales Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Economics","London","20","20","74640","75500"
"In post","2021","Analysis","Water Services Regulation Authority","Economics","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Commercial","Outside London","10","10","27840","24370"
"In post","2021","Commercial","Animal and Plant Health Agency","Operational Delivery","Outside London","25","20","34250","31220"
"In post","2021","Commercial","Animal and Plant Health Agency","Science and Engineering","Outside London","15","15","31910","28890"
"In post","2021","Commercial","Animal and Plant Health Agency","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Policy","London","10","10","56700","57450"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Unknown","London","755","745","75770","67880"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Unknown","Outside London","630","620","64970","62010"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Unknown","Unknown","15","15","62420","54700"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","15","15","41410","38800"
"In post","2021","Commercial","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Commercial","London","10","10","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Commercial","London","20","20","47540","40730"
"In post","2021","Commercial","Crown Commercial Service","Commercial","Outside London","355","340","33360","33270"
"In post","2021","Commercial","Crown Prosecution Service","Commercial","London","5","5","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Commercial","Outside London","15","15","43670","38360"
"In post","2021","Commercial","Debt Management Office","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Commercial","Outside London","25","25","32190","30040"
"In post","2021","Commercial","Defence Equipment and Support","Commercial","Outside London","60","60","48890","37460"
"In post","2021","Commercial","Defence Equipment and Support","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Finance","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Other","Outside London","55","50","39920","39890"
"In post","2021","Commercial","Defence Equipment and Support","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Project Delivery","Outside London","60","60","47180","42780"
"In post","2021","Commercial","Defence Equipment and Support","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Science and Engineering","Outside London","90","90","42150","41900"
"In post","2021","Commercial","Defence Equipment and Support","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Commercial","Outside London","65","65","33560","35470"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","London","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
