"Status","Year","Age","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs (excl. agencies)","Female","30","30","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Male","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Defence Equipment and Support","Female","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Defence Equipment and Support","Male","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","Male","10","5","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Rural Payments Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Rural Payments Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Forestry and Land Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Public Health England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Public Health England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Female","15","15","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Male","10","10","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","Male","5","5","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","Male","15","15","[c]","[c]"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Licensing Agency","Female","25","20","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Licensing Agency","Male","10","5","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Female","30","30","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Male","10","10","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","Female","60","60","22490","22850"
"In post","2021","16-19","No function","HM Prison and Probation Service","Male","35","35","22840","22350"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Female","80","75","20240","20140"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Male","65","65","20200","20140"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","Female","10","10","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","Female","20","10","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","Male","5","5","[c]","[c]"
"In post","2021","16-19","No function","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Prison Service","Male","5","5","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Male","5","5","[c]","[c]"
"In post","2021","16-19","No function","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Electronics and Components Agency","Male","15","15","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","Female","20","20","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","Male","75","75","17850","17780"
"In post","2021","16-19","Project Delivery","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Submarine Delivery Agency","Male","15","15","[c]","[c]"
"In post","2021","16-19","Property","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","FCDO Services","Male","5","5","[c]","[c]"
"In post","2021","16-19","Property","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Forestry and Land Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","Female","5","5","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","Male","10","10","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2021","16-19","Security","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Female","120","120","22720","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Male","80","80","22630","21010"
"In post","2021","16-19","Unknown","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Female","45","40","22700","21430"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Male","35","30","21880","21430"
"In post","2021","16-19","Unknown","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","National Records of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","National Records of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Royal Fleet Auxiliary","Female","5","5","[c]","[c]"
