"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","285","275","33910","33570"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","180","175","42250","40640"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","EO","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","55","55","36170","34020"
"In post","2021","Declared disabled","Department for Education","AA/AO","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","EO","EO","105","100","26540","26000"
"In post","2021","Declared disabled","Department for Education","G6/G7","G6","65","60","64630","64180"
"In post","2021","Declared disabled","Department for Education","G6/G7","G7","140","135","52880","51620"
"In post","2021","Declared disabled","Department for Education","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","SEO/HEO","HEO","180","170","31410","30230"
"In post","2021","Declared disabled","Department for Education","SEO/HEO","SEO","190","180","39240","37100"
"In post","2021","Declared disabled","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","AO","250","225","21720","21050"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","EO","EO","225","210","26430","25640"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","G6","50","50","61660","61240"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","G7","155","155","51520","51580"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","245","230","31270","30730"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","210","195","38280","37590"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","EO","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","G6/G7","G6","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","G6/G7","G7","55","55","52570","51970"
"In post","2021","Declared disabled","Department for International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","SEO/HEO","HEO","40","40","32920","32120"
"In post","2021","Declared disabled","Department for International Trade","SEO/HEO","SEO","35","35","38170","38160"
"In post","2021","Declared disabled","Department for Transport","AA/AO","AA","195","140","18190","18060"
"In post","2021","Declared disabled","Department for Transport","AA/AO","AO","405","350","22200","21590"
"In post","2021","Declared disabled","Department for Transport","EO","EO","405","365","27890","26780"
"In post","2021","Declared disabled","Department for Transport","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","G6/G7","G7","70","65","55440","54760"
"In post","2021","Declared disabled","Department for Transport","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","SEO/HEO","HEO","170","160","33390","33350"
"In post","2021","Declared disabled","Department for Transport","SEO/HEO","SEO","105","100","42920","42470"
"In post","2021","Declared disabled","Department for Work and Pensions","AA/AO","AA","70","55","20130","20230"
"In post","2021","Declared disabled","Department for Work and Pensions","AA/AO","AO","5050","4265","21170","21010"
"In post","2021","Declared disabled","Department for Work and Pensions","EO","EO","8440","7490","28060","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","G6/G7","G6","75","70","67630","66250"
"In post","2021","Declared disabled","Department for Work and Pensions","G6/G7","G7","260","245","53130","52270"
"In post","2021","Declared disabled","Department for Work and Pensions","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","SEO/HEO","HEO","1165","1075","33680","33080"
"In post","2021","Declared disabled","Department for Work and Pensions","SEO/HEO","SEO","460","425","40550","39330"
"In post","2021","Declared disabled","Department of Health and Social Care","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","AA/AO","AO","70","60","21250","20150"
"In post","2021","Declared disabled","Department of Health and Social Care","EO","EO","80","75","26480","26880"
"In post","2021","Declared disabled","Department of Health and Social Care","G6/G7","G6","45","45","67640","66230"
"In post","2021","Declared disabled","Department of Health and Social Care","G6/G7","G7","90","85","53600","53100"
"In post","2021","Declared disabled","Department of Health and Social Care","SCS level","SCS level","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","SEO/HEO","HEO","110","100","32200","32330"
"In post","2021","Declared disabled","Department of Health and Social Care","SEO/HEO","SEO","100","95","40020","40030"
"In post","2021","Declared disabled","ESTYN","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","EO","EO","30","30","27550","26750"
"In post","2021","Declared disabled","Food Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","AO","80","80","25710","25430"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","EO","EO","125","120","29730","29500"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","G6","80","75","68790","68200"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","G7","170","165","55490","55620"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","220","220","35730","34770"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","90","85","42860","43100"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","AA/AO","AO","110","100","22450","22350"
"In post","2021","Declared disabled","HM Land Registry","EO","EO","200","170","27440","27130"
"In post","2021","Declared disabled","HM Land Registry","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","G6/G7","G7","15","10","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","SEO/HEO","HEO","105","90","34540","33840"
"In post","2021","Declared disabled","HM Land Registry","SEO/HEO","SEO","45","45","41900","40860"
"In post","2021","Declared disabled","HM Revenue and Customs","AA/AO","AA","125","100","20080","20070"
"In post","2021","Declared disabled","HM Revenue and Customs","AA/AO","AO","1850","1555","21050","21100"
"In post","2021","Declared disabled","HM Revenue and Customs","EO","EO","1285","1155","26760","25560"
"In post","2021","Declared disabled","HM Revenue and Customs","G6/G7","G6","165","155","66270","64670"
"In post","2021","Declared disabled","HM Revenue and Customs","G6/G7","G7","470","445","54080","52580"
"In post","2021","Declared disabled","HM Revenue and Customs","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs","SEO/HEO","HEO","1220","1135","32900","31810"
"In post","2021","Declared disabled","HM Revenue and Customs","SEO/HEO","SEO","595","565","39690","38630"
"In post","2021","Declared disabled","HM Treasury","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","EO","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","G6/G7","G6","35","35","65370","64300"
"In post","2021","Declared disabled","HM Treasury","G6/G7","G7","60","55","54380","52530"
"In post","2021","Declared disabled","HM Treasury","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","SEO/HEO","HEO","85","85","34260","33420"
"In post","2021","Declared disabled","HM Treasury","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Home Office","AA/AO","AA","135","110","19230","17990"
"In post","2021","Declared disabled","Home Office","AA/AO","AO","705","620","22370","21430"
"In post","2021","Declared disabled","Home Office","EO","EO","1190","1085","27170","26910"
"In post","2021","Declared disabled","Home Office","G6/G7","G6","65","60","69740","68940"
"In post","2021","Declared disabled","Home Office","G6/G7","G7","185","185","57580","57460"
"In post","2021","Declared disabled","Home Office","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Home Office","SEO/HEO","HEO","455","430","33700","33900"
"In post","2021","Declared disabled","Home Office","SEO/HEO","SEO","295","290","41650","41970"
"In post","2021","Declared disabled","Home Office","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","AA/AO","AA","415","395","19410","19560"
"In post","2021","Declared disabled","Ministry of Defence","AA/AO","AO","980","930","23600","21580"
"In post","2021","Declared disabled","Ministry of Defence","EO","EO","1090","1040","26870","26670"
"In post","2021","Declared disabled","Ministry of Defence","G6/G7","G6","90","90","68480","67220"
"In post","2021","Declared disabled","Ministry of Defence","G6/G7","G7","425","410","54390","54540"
"In post","2021","Declared disabled","Ministry of Defence","SCS level","SCS level","35","35","87620","85380"
"In post","2021","Declared disabled","Ministry of Defence","SEO/HEO","HEO","1165","1130","33170","33300"
"In post","2021","Declared disabled","Ministry of Defence","SEO/HEO","SEO","865","835","41450","40580"
"In post","2021","Declared disabled","Ministry of Defence","Unknown","Unknown","205","200","39880","39100"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","AA/AO","AO","40","35","23460","22560"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","EO","EO","50","50","28520","27850"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","G6/G7","G6","30","30","65830","64280"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","G6/G7","G7","80","80","53500","53130"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","SEO/HEO","HEO","75","75","33150","33210"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","SEO/HEO","SEO","50","50","40430","39600"
"In post","2021","Declared disabled","Ministry of Justice","AA/AO","AA","865","795","20150","20600"
"In post","2021","Declared disabled","Ministry of Justice","AA/AO","AO","3050","2780","24390","22850"
"In post","2021","Declared disabled","Ministry of Justice","EO","EO","1165","1115","27600","26850"
"In post","2021","Declared disabled","Ministry of Justice","G6/G7","G6","30","25","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","G6/G7","G7","220","215","59550","59000"
"In post","2021","Declared disabled","Ministry of Justice","SCS level","SCS level","35","35","89140","85210"
"In post","2021","Declared disabled","Ministry of Justice","SEO/HEO","HEO","735","710","33270","32170"
"In post","2021","Declared disabled","Ministry of Justice","SEO/HEO","SEO","615","590","44780","43870"
"In post","2021","Declared disabled","Ministry of Justice","Unknown","Unknown","2245","2085","30570","30210"
"In post","2021","Declared disabled","National Crime Agency","AA/AO","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","EO","EO","90","85","33570","33910"
"In post","2021","Declared disabled","National Crime Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","SEO/HEO","HEO","45","45","41330","40410"
"In post","2021","Declared disabled","National Crime Agency","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","AA/AO","AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","EO","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","G6/G7","G7","35","30","69340","70500"
"In post","2021","Declared disabled","Office for Standards in Education","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","SEO/HEO","HEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","SEO/HEO","SEO","45","45","47600","51360"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","EO","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","G6/G7","G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","EO","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","AA/AO","AA","160","150","21250","21150"
"In post","2021","Declared disabled","Scottish Government","AA/AO","AO","265","245","24470","24130"
"In post","2021","Declared disabled","Scottish Government","EO","EO","465","440","30520","30080"
"In post","2021","Declared disabled","Scottish Government","G6/G7","G6","70","65","71510","73940"
"In post","2021","Declared disabled","Scottish Government","G6/G7","G7","145","140","56520","56120"
"In post","2021","Declared disabled","Scottish Government","SCS level","SCS level","15","10","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","SEO/HEO","HEO","335","320","34740","35110"
"In post","2021","Declared disabled","Scottish Government","SEO/HEO","SEO","280","270","44390","45250"
"In post","2021","Declared disabled","Scottish Government","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","EO","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","AA/AO","AA","40","25","19080","18320"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","AA/AO","AO","105","80","19570","19520"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","EO","EO","70","70","24600","23520"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","G6/G7","G7","55","50","51430","50090"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","SEO/HEO","HEO","125","120","30850","30130"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","SEO/HEO","SEO","105","105","37480","37020"
"In post","2021","Declared disabled","Wales Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
