"Status","Year","Function_of_post","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Norwich and East Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Outside London","Female","15","10","[c]","[c]"
"In post","2021","Analysis","Nottingham","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Portsmouth","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Portsmouth","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Sefton","Outside London","Female","20","15","[c]","[c]"
"In post","2021","Analysis","Sefton","Outside London","Male","20","15","[c]","[c]"
"In post","2021","Analysis","Sheffield","Outside London","Female","60","55","42340","42220"
"In post","2021","Analysis","Sheffield","Outside London","Male","65","60","45660","45620"
"In post","2021","Analysis","Somerset","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Somerset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","Outside London","Female","255","235","37190","37020"
"In post","2021","Analysis","South Hampshire","Outside London","Male","190","185","37700","34460"
"In post","2021","Analysis","South Hampshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South Nottinghamshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Nottinghamshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Suffolk","Outside London","Female","155","140","31480","29270"
"In post","2021","Analysis","Suffolk","Outside London","Male","200","190","36560","35900"
"In post","2021","Analysis","Swansea","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","London","Female","295","275","49920","45740"
"In post","2021","Analysis","Tower Hamlets","London","Male","385","380","51440","46940"
"In post","2021","Analysis","Tyneside","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Tyneside","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Wakefield","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","West Surrey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (North East)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (North East)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","London","Female","1090","1045","46620","42980"
"In post","2021","Analysis","Westminster","London","Male","1390","1375","46800","42980"
"In post","2021","Analysis","Westminster","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Wiltshire","Outside London","Female","50","50","37140","37320"
"In post","2021","Analysis","Wiltshire","Outside London","Male","60","60","38160","37320"
"In post","2021","Analysis","Wirral","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wirral","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Worcestershire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Worcestershire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","Outside London","Female","35","30","37110","31610"
"In post","2021","Analysis","York","Outside London","Male","30","30","38700","32050"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Armagh City, Banbridge and Craigavon","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Armagh City, Banbridge and Craigavon","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","270","255","41130","34800"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","370","365","46170","41500"
"In post","2021","Commercial","Bedford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","Female","40","40","45420","40550"
"In post","2021","Commercial","Birmingham","Outside London","Male","35","35","50560","40830"
"In post","2021","Commercial","Blackpool","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Blackpool","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Outside London","Female","50","45","39450","37920"
"In post","2021","Commercial","Bristol, City of","Outside London","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","Female","35","35","39960","35300"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","Male","35","35","39970","36800"
"In post","2021","Commercial","Cambridgeshire CC","Outside London","Female","75","70","35530","33300"
"In post","2021","Commercial","Cambridgeshire CC","Outside London","Male","50","50","40230","40080"
"In post","2021","Commercial","Camden and City of London","London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Outside London","Female","120","115","35410","33300"
"In post","2021","Commercial","Central Hampshire","Outside London","Male","90","90","40580","34650"
"In post","2021","Commercial","Central Valleys","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Valleys","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Outside London","Male","35","30","38130","34190"
"In post","2021","Commercial","Clackmannanshire and Fife","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Clackmannanshire and Fife","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Conwy and Denbighshire","Outside London","Female","[c]","[c]","[c]","[c]"
